#	startTime:1560824996163
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b5856b	FloorName:2F
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560824996164	TYPE_WAYPOINT	139.95891	114.85036
1560824996279	TYPE_ACCELEROMETER	-0.8422699	0.09811401	12.564713
1560824996279	TYPE_MAGNETIC_FIELD	-23.58	-25.38	-27.779999
1560824996279	TYPE_GYROSCOPE	0.078826904	-0.08198547	0.010635376
1560824996279	TYPE_ROTATION_VECTOR	0.035165306	5.5640103E-6	-0.9234093
1560824996279	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.659998	-56.339996	-88.8
1560824996279	TYPE_GYROSCOPE_UNCALIBRATED	0.02748108	-0.21257019	-0.034210205
1560824996279	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8111725	0.13160706	12.463013
1560824996298	TYPE_ACCELEROMETER	-0.8614197	0.050247192	12.729828
1560824996298	TYPE_MAGNETIC_FIELD	-23.34	-25.32	-27.96
1560824996298	TYPE_GYROSCOPE	0.20375061	-0.06655884	0.004989624
1560824996298	TYPE_ROTATION_VECTOR	0.031437792	5.5640323E-9	-0.924698
1560824996298	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.899998	-56.28	-88.979996
1560824996298	TYPE_GYROSCOPE_UNCALIBRATED	0.045196533	-0.1693573	-0.020324707
1560824996298	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8111725	0.13160706	12.463013
1560824996317	TYPE_ACCELEROMETER	-0.74298096	0.08973694	12.406784
1560824996317	TYPE_MAGNETIC_FIELD	-23.34	-25.32	-27.96
1560824996317	TYPE_GYROSCOPE	0.38182068	-0.10900879	-0.02128601
1560824996317	TYPE_ROTATION_VECTOR	0.031437792	5.5640323E-9	-0.924698
1560824996317	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.899998	-56.28	-88.979996
1560824996317	TYPE_GYROSCOPE_UNCALIBRATED	0.13316345	-0.04611206	0.015258789
1560824996317	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8518524	0.061019897	12.628128
1560824996336	TYPE_ACCELEROMETER	-0.7405853	0.20339966	11.291733
1560824996336	TYPE_MAGNETIC_FIELD	-23.039999	-24.779999	-28.5
1560824996336	TYPE_GYROSCOPE	0.5776062	-0.08610535	-0.05732727
1560824996336	TYPE_ROTATION_VECTOR	0.032827333	0.011897944	-0.92254347
1560824996336	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.199999	-55.739998	-89.520004
1560824996336	TYPE_GYROSCOPE_UNCALIBRATED	0.2880249	-0.09559631	-0.012527466
1560824996336	TYPE_ACCELEROMETER_UNCALIBRATED	-0.87338257	0.06700134	12.685547
1560824996356	TYPE_ACCELEROMETER	-0.94277954	0.4390869	9.498306
1560824996356	TYPE_MAGNETIC_FIELD	-23.039999	-24.779999	-28.5
1560824996356	TYPE_GYROSCOPE	0.6845093	-0.10015869	-0.03288269
1560824996356	TYPE_ROTATION_VECTOR	0.032827333	0.011897944	-0.92254347
1560824996356	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.199999	-55.739998	-89.520004
1560824996356	TYPE_GYROSCOPE_UNCALIBRATED	0.4841156	-0.10169983	-0.040023804
1560824996356	TYPE_ACCELEROMETER_UNCALIBRATED	-1.002594	0.33740234	10.4075775
1560824996375	TYPE_ACCELEROMETER	-0.55992126	0.550354	8.111679
1560824996375	TYPE_MAGNETIC_FIELD	-23.039999	-24.779999	-28.5
1560824996375	TYPE_GYROSCOPE	0.6365509	-0.12948608	0.010177612
1560824996375	TYPE_ROTATION_VECTOR	0.032827333	0.011897944	-0.92254347
1560824996375	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.199999	-55.739998	-89.520004
1560824996375	TYPE_GYROSCOPE_UNCALIBRATED	0.65179443	-0.08581543	-0.061401367
1560824996375	TYPE_ACCELEROMETER_UNCALIBRATED	-0.722641	0.5001068	8.708679
1560824996394	TYPE_ACCELEROMETER	-0.49291992	0.61735535	7.2131653
1560824996394	TYPE_MAGNETIC_FIELD	-22.619999	-24.96	-28.5
1560824996394	TYPE_GYROSCOPE	0.51620483	-0.12857056	0.016281128
1560824996394	TYPE_ROTATION_VECTOR	0.04861976	-0.00852591	-0.9299166
1560824996394	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.619999	-55.92	-89.520004
1560824996394	TYPE_GYROSCOPE_UNCALIBRATED	0.6795807	-0.11972046	-0.008560181
1560824996394	TYPE_ACCELEROMETER_UNCALIBRATED	-0.501297	0.5922241	7.627121
1560824996413	TYPE_ACCELEROMETER	-0.4845581	0.6341095	6.5240326
1560824996413	TYPE_MAGNETIC_FIELD	-21.84	-24.66	-28.56
1560824996413	TYPE_GYROSCOPE	0.3644104	-0.109313965	0.022705078
1560824996413	TYPE_ROTATION_VECTOR	0.05180274	-0.024181489	-0.931522
1560824996413	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.399998	-55.62	-89.58
1560824996413	TYPE_GYROSCOPE_UNCALIBRATED	0.58184814	-0.13316345	0.01159668
1560824996413	TYPE_ACCELEROMETER_UNCALIBRATED	-0.501297	0.5922241	7.627121
1560824996433	TYPE_ACCELEROMETER	-0.47976685	0.66400146	6.070587
1560824996433	TYPE_MAGNETIC_FIELD	-22.38	-24.72	-28.199999
1560824996433	TYPE_GYROSCOPE	0.17533875	-0.08641052	0.021774292
1560824996433	TYPE_ROTATION_VECTOR	0.05242807	-0.029235467	-0.9313982
1560824996433	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.859999	-55.68	-89.22
1560824996433	TYPE_GYROSCOPE_UNCALIBRATED	0.4465332	-0.12185669	0.016479492
1560824996433	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47618103	0.6508484	6.258423
1560824996452	TYPE_ACCELEROMETER	-0.51924133	0.7346039	5.6566315
1560824996452	TYPE_MAGNETIC_FIELD	-22.439999	-24.779999	-27.48
1560824996452	TYPE_GYROSCOPE	0.0027770996	-0.029006958	0.025146484
1560824996452	TYPE_ROTATION_VECTOR	0.052700657	-0.032875698	-0.93126696
1560824996452	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.8	-55.739998	-88.5
1560824996452	TYPE_GYROSCOPE_UNCALIBRATED	0.2745819	-0.09681702	0.019851685
1560824996452	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47618103	0.6508484	6.258423
1560824996471	TYPE_ACCELEROMETER	-0.38523865	0.8231354	4.9950256
1560824996471	TYPE_MAGNETIC_FIELD	-22.56	-25.08	-27.42
1560824996471	TYPE_GYROSCOPE	-0.15177917	0.09806824	0.04194641
1560824996471	TYPE_ROTATION_VECTOR	0.052528795	-0.03475457	-0.93117875
1560824996471	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.679998	-56.04	-88.44
1560824996471	TYPE_GYROSCOPE_UNCALIBRATED	0.08520508	-0.07208252	0.018310547
1560824996471	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5096741	0.7980194	5.3611298
1560824996490	TYPE_ACCELEROMETER	-0.23330688	0.81596375	4.687546
