#	startTime:1560825152508
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b5856b	FloorName:2F
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560825152508	TYPE_WAYPOINT	128.26706	129.06276
1560825152624	TYPE_ACCELEROMETER	-0.97029114	-1.0911255	14.586655
1560825152624	TYPE_MAGNETIC_FIELD	17.34	19.98	-15.54
1560825152624	TYPE_GYROSCOPE	0.20741272	-0.039993286	0.019195557
1560825152624	TYPE_ROTATION_VECTOR	-0.03128764	0.01545345	0.33080527
1560825152624	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.88	-8.879999	-82.92
1560825152624	TYPE_GYROSCOPE_UNCALIBRATED	0.20921326	-0.040924072	0.016036987
1560825152624	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0911255	-1.4847565	14.382065
1560825152643	TYPE_ACCELEROMETER	-1.1294098	-1.9369965	14.085358
1560825152643	TYPE_MAGNETIC_FIELD	17.64	19.859999	-15.54
1560825152643	TYPE_GYROSCOPE	0.68969727	-0.025634766	0.20199585
1560825152643	TYPE_ROTATION_VECTOR	-0.06096601	0.013436278	0.39634937
1560825152643	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.17999	-9.0	-82.92
1560825152643	TYPE_GYROSCOPE_UNCALIBRATED	0.6914978	-0.026565552	0.19883728
1560825152643	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1641083	-2.3653107	13.791031
1560825152662	TYPE_ACCELEROMETER	-1.1641083	-2.6692047	13.402206
1560825152662	TYPE_MAGNETIC_FIELD	17.82	19.74	-15.599999
1560825152662	TYPE_GYROSCOPE	0.8045349	-0.20126343	0.21572876
1560825152662	TYPE_ROTATION_VECTOR	-0.09372399	1.3441753E-5	0.3967548
1560825152662	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.36	-9.119999	-82.979996
1560825152662	TYPE_GYROSCOPE_UNCALIBRATED	0.80633545	-0.20219421	0.21257019
1560825152662	TYPE_ACCELEROMETER_UNCALIBRATED	-0.92004395	-2.7577362	12.720245
1560825152681	TYPE_ACCELEROMETER	-0.69511414	-2.6691895	11.720047
1560825152681	TYPE_MAGNETIC_FIELD	17.82	19.619999	-15.66
1560825152681	TYPE_GYROSCOPE	1.0339203	-0.5115814	0.18702698
1560825152681	TYPE_ROTATION_VECTOR	-0.111062326	-0.0104443235	0.40218288
1560825152681	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.36	-9.24	-83.03999
1560825152681	TYPE_GYROSCOPE_UNCALIBRATED	1.0357208	-0.5125122	0.18386841
1560825152681	TYPE_ACCELEROMETER_UNCALIBRATED	-0.92004395	-2.7577362	12.720245
1560825152701	TYPE_ACCELEROMETER	-0.16989136	-2.1248322	9.036499
1560825152701	TYPE_MAGNETIC_FIELD	17.76	19.439999	-15.719999
1560825152701	TYPE_GYROSCOPE	1.274292	-0.51831055	0.1454773
1560825152701	TYPE_ROTATION_VECTOR	-0.112826966	-0.02628431	0.40472567
