#	startTime:1560766857608
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b5856b	FloorName:2F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560766857610	TYPE_WAYPOINT	128.26706	129.06276
1560766857828	TYPE_ACCELEROMETER	0.7374141	2.5187001	9.050082
1560766857828	TYPE_MAGNETIC_FIELD	19.375	2.5625	-15.25
1560766857828	TYPE_GYROSCOPE	-0.13753195	0.22045253	-0.0065275314
1560766857828	TYPE_ROTATION_VECTOR	0.122434996	0.047702	0.538405
1560766857828	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-620.5	476.75	229.0
1560766857828	TYPE_GYROSCOPE_UNCALIBRATED	-0.11328932	0.13220869	-0.0076096356
1560766857848	TYPE_ACCELEROMETER	0.7182605	2.4133554	8.896853
1560766857848	TYPE_MAGNETIC_FIELD	18.3125	8.75	-11.25
1560766857848	TYPE_GYROSCOPE	-0.18757053	0.33011156	-0.011850785
1560766857848	TYPE_ROTATION_VECTOR	0.121108	0.047544	0.538787
1560766857848	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-621.1875	477.5	229.875
1560766857848	TYPE_GYROSCOPE_UNCALIBRATED	-0.13777629	0.2205747	-0.006544985
1560766857868	TYPE_ACCELEROMETER	0.5746084	2.2409728	9.509769
1560766857868	TYPE_MAGNETIC_FIELD	20.4375	7.375	-15.375
1560766857868	TYPE_GYROSCOPE	-0.20673425	0.23109904	-0.038467057
1560766857868	TYPE_ROTATION_VECTOR	0.117762	0.049297	0.539167
1560766857868	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-621.1875	477.6875	229.5625
1560766857868	TYPE_GYROSCOPE_UNCALIBRATED	-0.18781488	0.33023375	-0.011868238
1560766857888	TYPE_ACCELEROMETER	0.076614454	2.4420857	10.170568
1560766857888	TYPE_MAGNETIC_FIELD	20.1875	3.375	-13.625
1560766857888	TYPE_GYROSCOPE	-0.17479472	-0.0850848	0.040299654
1560766857888	TYPE_ROTATION_VECTOR	0.11304	0.05215	0.539016
1560766857888	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-621.0625	477.3125	230.25
1560766857888	TYPE_GYROSCOPE_UNCALIBRATED	-0.20697859	0.23122121	-0.03848451
1560766857908	TYPE_ACCELEROMETER	0.41180268	2.5091233	9.959879
1560766857908	TYPE_MAGNETIC_FIELD	18.875	6.5	-16.1875
1560766857908	TYPE_GYROSCOPE	-0.13433799	-0.16386896	0.07862708
1560766857908	TYPE_ROTATION_VECTOR	0.112063	0.050456	0.539343
1560766857908	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-622.125	476.625	229.4375
1560766857908	TYPE_GYROSCOPE_UNCALIBRATED	-0.17503907	-0.08496263	0.040282197
1560766857928	TYPE_ACCELEROMETER	0.51714754	2.5091233	8.408437
1560766857928	TYPE_MAGNETIC_FIELD	21.125	6.5625	-12.8125
1560766857928	TYPE_GYROSCOPE	-0.13220869	0.30243066	0.08288568
1560766857928	TYPE_ROTATION_VECTOR	0.116571	0.051217	0.539221
1560766857928	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-621.75	477.4375	229.875
1560766857928	TYPE_GYROSCOPE_UNCALIBRATED	-0.13458234	-0.16374679	0.07860963
1560766857947	TYPE_ACCELEROMETER	1.0247183	2.078167	9.442732
1560766857947	TYPE_MAGNETIC_FIELD	19.5	4.125	-14.4375
1560766857947	TYPE_GYROSCOPE	-0.30574676	0.13634512	0.05094616
1560766857947	TYPE_ROTATION_VECTOR	0.113882996	0.052928	0.540323
1560766857947	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-621.5625	476.5	229.25
1560766857947	TYPE_GYROSCOPE_UNCALIBRATED	-0.13245304	0.30255282	0.08286823
1560766857968	TYPE_ACCELEROMETER	0.82360536	2.0973208	9.222465
1560766857968	TYPE_MAGNETIC_FIELD	20.9375	3.4375	-13.625
1560766857968	TYPE_GYROSCOPE	-0.28232446	0.2385516	0.029653143
1560766857968	TYPE_ROTATION_VECTOR	0.111353	0.049486	0.541372
1560766857968	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-621.4375	475.75	229.625
1560766857968	TYPE_GYROSCOPE_UNCALIBRATED	-0.3059911	0.1364673	0.05092871
1560766857988	TYPE_ACCELEROMETER	0.48841715	2.2601264	9.902418
1560766857988	TYPE_MAGNETIC_FIELD	21.8125	5.875	-15.3125
1560766857988	TYPE_GYROSCOPE	-0.30574676	0.023492131	0.034976397
1560766857988	TYPE_ROTATION_VECTOR	0.107728	0.049913	0.542014
1560766857988	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-621.125	476.25	229.25
1560766857988	TYPE_GYROSCOPE_UNCALIBRATED	-0.2825688	0.23867378	0.02963569
1560766858008	TYPE_ACCELEROMETER	0.29688102	2.2409728	9.835381
1560766858008	TYPE_MAGNETIC_FIELD	21.875	6.6875	-14.5
1560766858008	TYPE_GYROSCOPE	-0.28871235	-0.09786061	0.07969173
1560766858008	TYPE_ROTATION_VECTOR	0.105067	0.048268	0.542494
1560766858008	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-620.5	476.25	229.625
1560766858008	TYPE_GYROSCOPE_UNCALIBRATED	-0.3059911	0.023614304	0.034958944
1560766858028	TYPE_ACCELEROMETER	0.7278373	2.0207062	9.461885
1560766858028	TYPE_MAGNETIC_FIELD	21.0625	5.8125	-13.6875
1560766858028	TYPE_GYROSCOPE	-0.27593654	0.03626794	0.04668756
1560766858028	TYPE_ROTATION_VECTOR	0.103234	0.045807	0.543186
1560766858028	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-620.5625	476.125	229.4375
1560766858028	TYPE_GYROSCOPE_UNCALIBRATED	-0.2889567	-0.09773844	0.07967428
1560766858048	TYPE_ACCELEROMETER	0.91937345	1.9440918	9.404425
1560766858048	TYPE_MAGNETIC_FIELD	20.25	4.9375	-13.625
1560766858048	TYPE_GYROSCOPE	-0.17373008	0.20235348	-0.009721484
1560766858048	TYPE_ROTATION_VECTOR	0.101685	0.041584	0.544009
1560766858048	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-620.375	476.3125	229.625
1560766858048	TYPE_GYROSCOPE_UNCALIBRATED	-0.2761809	0.036390115	0.046670105
1560766858068	TYPE_ACCELEROMETER	0.7182605	2.0685902	9.385271
1560766858068	TYPE_MAGNETIC_FIELD	25.0625	10.0	-10.4375
1560766858068	TYPE_GYROSCOPE	-0.13966125	0.32052973	0.014748032
1560766858068	TYPE_ROTATION_VECTOR	0.099135	0.042335	0.544201
1560766858068	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-619.5625	477.625	230.25
1560766858068	TYPE_GYROSCOPE_UNCALIBRATED	-0.17397442	0.20247565	-0.009738937
1560766858087	TYPE_ACCELEROMETER	0.49799395	2.0398598	9.375694
1560766858087	TYPE_MAGNETIC_FIELD	21.0	5.0625	-16.125
1560766858087	TYPE_GYROSCOPE	-0.26954865	0.19170697	0.043493606
