#	startTime:1560767034862
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5ae2acfd2d33b5856b	FloorName:2F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560767034864	TYPE_WAYPOINT	128.26706	129.06276
1560767035071	TYPE_ACCELEROMETER	-0.37349546	2.4229321	9.423578
1560767035071	TYPE_MAGNETIC_FIELD	-20.5	-37.5625	-8.9375
1560767035071	TYPE_GYROSCOPE	-0.033196162	-0.13299409	-0.017174039
1560767035071	TYPE_ROTATION_VECTOR	0.044232998	-0.112668	-0.952123
1560767035071	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-658.9375	424.375	232.9375
1560767035071	TYPE_GYROSCOPE_UNCALIBRATED	-0.023858652	-0.20420352	-0.033161256
1560767035091	TYPE_ACCELEROMETER	-0.39264908	2.4995465	9.356541
1560767035091	TYPE_MAGNETIC_FIELD	-22.125	-39.1875	-10.5625
1560767035091	TYPE_GYROSCOPE	-0.012967796	-0.041434117	0.003036873
1560767035091	TYPE_ROTATION_VECTOR	0.042895	-0.112718	-0.952267
1560767035091	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-659.25	424.1875	232.9375
1560767035091	TYPE_GYROSCOPE_UNCALIBRATED	-0.033440508	-0.13287191	-0.017191494
1560767035112	TYPE_ACCELEROMETER	-0.2681506	2.5570073	9.3182335
1560767035112	TYPE_MAGNETIC_FIELD	-21.4375	-39.9375	-10.5625
1560767035112	TYPE_GYROSCOPE	0.004049164	0.0075223693	0.014748032
1560767035112	TYPE_ROTATION_VECTOR	0.043466	-0.114115	-0.952102
1560767035112	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-659.3125	423.9375	232.9375
1560767035112	TYPE_GYROSCOPE_UNCALIBRATED	-0.0132121425	-0.041311942	0.0030194195
1560767035131	TYPE_ACCELEROMETER	-0.2681506	2.4420857	9.452309
1560767035131	TYPE_MAGNETIC_FIELD	-20.0625	-41.4375	-10.5
1560767035131	TYPE_GYROSCOPE	0.0019198621	-0.011623893	-1.3962634E-4
1560767035131	TYPE_ROTATION_VECTOR	0.043534	-0.11414	-0.952053
1560767035131	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-659.0625	423.1875	233.25
1560767035131	TYPE_GYROSCOPE_UNCALIBRATED	0.0038048178	0.007644542	0.014730579
1560767035151	TYPE_ACCELEROMETER	-0.29688102	2.4420857	9.404425
1560767035151	TYPE_MAGNETIC_FIELD	-20.625	-39.0625	-11.375
1560767035151	TYPE_GYROSCOPE	-0.01829105	-0.018011797	-0.0065275314
1560767035151	TYPE_ROTATION_VECTOR	0.04428	-0.114582	-0.952001
1560767035151	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-659.0625	423.5	233.125
1560767035151	TYPE_GYROSCOPE_UNCALIBRATED	0.0016755161	-0.01150172	-1.5707963E-4
1560767035171	TYPE_ACCELEROMETER	-0.33518824	2.4612393	9.3182335
1560767035171	TYPE_MAGNETIC_FIELD	-19.9375	-39.875	-8.875
1560767035171	TYPE_GYROSCOPE	-0.03000221	-0.00842994	-0.0065275314
1560767035171	TYPE_ROTATION_VECTOR	0.044067	-0.114457	-0.952049
1560767035171	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-658.9375	423.0625	233.125
1560767035171	TYPE_GYROSCOPE_UNCALIBRATED	-0.018535396	-0.017889624	-0.006544985
1560767035191	TYPE_ACCELEROMETER	-0.32561144	2.4516625	9.375694
1560767035191	TYPE_MAGNETIC_FIELD	-19.375	-42.25	-7.125
1560767035191	TYPE_GYROSCOPE	-0.033196162	-0.0094945915	-0.008656833
1560767035191	TYPE_ROTATION_VECTOR	0.04483	-0.114539	-0.952057
1560767035191	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-658.375	422.4375	233.8125
1560767035191	TYPE_GYROSCOPE_UNCALIBRATED	-0.030246556	-0.008307767	-0.006544985
1560767035211	TYPE_ACCELEROMETER	-0.40222588	2.4516625	9.471462
1560767035211	TYPE_MAGNETIC_FIELD	-20.625	-39.0625	-10.5625
1560767035211	TYPE_GYROSCOPE	-0.0172264	-0.00842994	-0.013980087
1560767035211	TYPE_ROTATION_VECTOR	0.044659	-0.114247	-0.952124
1560767035211	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-658.25	422.5625	233.8125
1560767035211	TYPE_GYROSCOPE_UNCALIBRATED	-0.033440508	-0.009372418	-0.008674286
1560767035231	TYPE_ACCELEROMETER	-0.46926352	2.6240451	9.500193
1560767035231	TYPE_MAGNETIC_FIELD	-22.125	-39.1875	-9.75
1560767035231	TYPE_GYROSCOPE	0.025342181	0.02136283	0.0051661744
1560767035231	TYPE_ROTATION_VECTOR	0.046341	-0.115072	-0.952061
1560767035231	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-658.625	423.0625	233.9375
1560767035231	TYPE_GYROSCOPE_UNCALIBRATED	-0.017470745	-0.008307767	-0.013997541
1560767035252	TYPE_ACCELEROMETER	-0.5363012	2.6431987	9.452309
1560767035252	TYPE_MAGNETIC_FIELD	-22.0625	-38.375	-10.5625
1560767035252	TYPE_GYROSCOPE	0.014695672	0.053302355	0.027523842
1560767035252	TYPE_ROTATION_VECTOR	0.046612	-0.115257	-0.952007
1560767035252	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-658.9375	423.1875	234.125
1560767035252	TYPE_GYROSCOPE_UNCALIBRATED	0.025097834	0.021485003	0.0051487214
1560767035271	TYPE_ACCELEROMETER	-0.50757074	2.5378537	9.471462
1560767035271	TYPE_MAGNETIC_FIELD	-21.25	-37.5625	-9.75
1560767035271	TYPE_GYROSCOPE	-0.039584067	0.0458498	0.034976397
1560767035271	TYPE_ROTATION_VECTOR	0.048527	-0.115467	-0.951863
1560767035271	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-659.1875	423.625	233.9375
1560767035271	TYPE_GYROSCOPE_UNCALIBRATED	0.014451326	0.05342453	0.027506389
1560767035291	TYPE_ACCELEROMETER	-0.2873042	2.5091233	9.643845
1560767035291	TYPE_MAGNETIC_FIELD	-17.4375	-35.75	-7.3125
1560767035291	TYPE_GYROSCOPE	-0.060877085	0.032009337	0.026459191
1560767035291	TYPE_ROTATION_VECTOR	0.048814	-0.11498	-0.951788
1560767035291	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-658.8125	424.9375	233.875
1560767035291	TYPE_GYROSCOPE_UNCALIBRATED	-0.039828412	0.04597197	0.034958944
1560767035312	TYPE_ACCELEROMETER	-0.37349546	2.6527755	9.854534
1560767035312	TYPE_MAGNETIC_FIELD	-21.3125	-38.375	-9.75
1560767035312	TYPE_GYROSCOPE	0.06792822	0.06075491	0.072239175
1560767035312	TYPE_ROTATION_VECTOR	0.049709	-0.11498	-0.951678
1560767035312	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-658.9375	425.0625	234.0625
1560767035312	TYPE_GYROSCOPE_UNCALIBRATED	-0.06112143	0.03213151	0.026441738
1560767035331	TYPE_ACCELEROMETER	-0.5746084	2.6623523	9.892841
1560767035331	TYPE_MAGNETIC_FIELD	-21.375	-39.1875	-8.875
1560767035331	TYPE_GYROSCOPE	0.19675097	0.11398745	0.11376056
1560767035331	TYPE_ROTATION_VECTOR	0.050397	-0.115493	-0.951366
1560767035331	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-658.8125	425.0625	234.25
1560767035331	TYPE_GYROSCOPE_UNCALIBRATED	0.06768387	0.060877085	0.072221726
1560767035351	TYPE_ACCELEROMETER	-0.5554548	2.6240451	9.634268
1560767035351	TYPE_MAGNETIC_FIELD	-20.6875	-39.9375	-8.875
1560767035351	TYPE_GYROSCOPE	0.23827235	0.15018559	0.09459685
1560767035351	TYPE_ROTATION_VECTOR	0.053116	-0.117325	-0.950727
1560767035351	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-658.5	424.75	234.5625
1560767035351	TYPE_GYROSCOPE_UNCALIBRATED	0.19650662	0.11410963	0.113743104
1560767035371	TYPE_ACCELEROMETER	-0.63206923	2.6719291	9.471462
1560767035371	TYPE_MAGNETIC_FIELD	-21.25	-37.5625	-10.625
1560767035371	TYPE_GYROSCOPE	0.22656119	0.15870279	0.072239175
