#	startTime:1560674048629
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5857f	FloorName:3F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560674048632	TYPE_WAYPOINT	105.089386	59.832516
1560674048827	TYPE_ACCELEROMETER	0.80445176	3.5817258	8.848969
1560674048827	TYPE_MAGNETIC_FIELD	-35.4375	15.3125	-19.8125
1560674048827	TYPE_GYROSCOPE	-0.13938199	0.2086541	0.083112575
1560674048827	TYPE_ROTATION_VECTOR	0.138005	-0.128064	-0.446523
1560674048827	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-608.5	463.0	196.8125
1560674048827	TYPE_GYROSCOPE_UNCALIBRATED	-0.18966493	0.10550515	0.07990117
1560674048847	TYPE_ACCELEROMETER	0.7086837	3.514688	9.251195
1560674048847	TYPE_MAGNETIC_FIELD	-34.75	14.625	-20.625
1560674048847	TYPE_GYROSCOPE	-0.11489502	0.15861551	0.06394886
1560674048847	TYPE_ROTATION_VECTOR	0.13962	-0.123763	-0.445372
1560674048847	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-608.75	463.25	196.25
1560674048847	TYPE_GYROSCOPE_UNCALIBRATED	-0.13962634	0.20877628	0.083095126
1560674048868	TYPE_ACCELEROMETER	0.51714754	3.4955344	9.174581
1560674048868	TYPE_MAGNETIC_FIELD	-33.9375	16.25	-21.5
1560674048868	TYPE_GYROSCOPE	-0.1628043	0.09260717	0.055431657
1560674048868	TYPE_ROTATION_VECTOR	0.139242	-0.121949	-0.444731
1560674048868	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-608.75	463.75	195.75
1560674048868	TYPE_GYROSCOPE_UNCALIBRATED	-0.11513937	0.15873769	0.06393141
1560674048887	TYPE_ACCELEROMETER	0.49799395	3.5529952	9.002198
1560674048887	TYPE_MAGNETIC_FIELD	-33.9375	16.25	-21.5
1560674048887	TYPE_GYROSCOPE	-0.23839453	0.07983136	0.069272116
1560674048887	TYPE_ROTATION_VECTOR	0.141427	-0.118801	-0.44366
1560674048887	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.0625	463.9375	195.375
1560674048887	TYPE_GYROSCOPE_UNCALIBRATED	-0.16304865	0.092729345	0.055414204
1560674048907	TYPE_ACCELEROMETER	0.7278373	3.3039982	8.992621
1560674048907	TYPE_MAGNETIC_FIELD	-33.8125	17.8125	-18.1875
1560674048907	TYPE_GYROSCOPE	-0.31398472	0.10964158	0.041591197
1560674048907	TYPE_ROTATION_VECTOR	0.139608	-0.117138	-0.44322
1560674048907	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.25	465.5	194.875
1560674048907	TYPE_GYROSCOPE_UNCALIBRATED	-0.23863886	0.07995354	0.06925467
1560674048927	TYPE_ACCELEROMETER	0.59376204	3.3423057	9.212888
1560674048927	TYPE_MAGNETIC_FIELD	-33.3125	13.875	-19.75
1560674048927	TYPE_GYROSCOPE	-0.3044029	0.07344346	0.042655848
1560674048927	TYPE_ROTATION_VECTOR	0.138256	-0.113581	-0.443013
1560674048927	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-608.8125	465.1875	194.875
1560674048927	TYPE_GYROSCOPE_UNCALIBRATED	-0.31422907	0.10976376	0.041573744
1560674048947	TYPE_ACCELEROMETER	0.48841715	3.4380736	9.519346
1560674048947	TYPE_MAGNETIC_FIELD	-33.1875	16.3125	-19.8125
1560674048947	TYPE_GYROSCOPE	-0.19474384	0.061732296	0.033073988
1560674048947	TYPE_ROTATION_VECTOR	0.135858	-0.111643	-0.442877
1560674048947	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-608.5	465.5625	195.0
1560674048947	TYPE_GYROSCOPE_UNCALIBRATED	-0.3046472	0.073565625	0.042638395
1560674048967	TYPE_ACCELEROMETER	0.32561144	3.4476504	9.643845
1560674048967	TYPE_MAGNETIC_FIELD	-32.25	18.75	-21.5625
1560674048967	TYPE_GYROSCOPE	-0.13512339	-0.04045673	0.07672467
1560674048967	TYPE_ROTATION_VECTOR	0.136962	-0.108013	-0.442462
1560674048967	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-608.1875	466.0625	195.0
1560674048967	TYPE_GYROSCOPE_UNCALIBRATED	-0.19498818	0.061854467	0.033056535
1560674048987	TYPE_ACCELEROMETER	0.16280572	3.5434184	9.279925
1560674048987	TYPE_MAGNETIC_FIELD	-32.4375	16.3125	-17.3125
1560674048987	TYPE_GYROSCOPE	-0.20539035	0.0	0.13634512
1560674048987	TYPE_ROTATION_VECTOR	0.135513	-0.107874	-0.441988
1560674048987	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-607.875	466.0625	195.875
1560674048987	TYPE_GYROSCOPE_UNCALIBRATED	-0.13536774	-0.04033456	0.07670722
1560674049008	TYPE_ACCELEROMETER	0.46926352	3.3039982	8.992621
1560674049008	TYPE_MAGNETIC_FIELD	-33.0625	17.875	-19.875
1560674049008	TYPE_GYROSCOPE	-0.24584708	0.2980848	0.14805628
1560674049008	TYPE_ROTATION_VECTOR	0.134249	-0.106484	-0.440959
1560674049008	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-607.75	466.0625	195.5
1560674049008	TYPE_GYROSCOPE_UNCALIBRATED	-0.2056347	1.0471976E-4	0.13632767
1560674049027	TYPE_ACCELEROMETER	0.6703765	2.920926	9.471462
1560674049027	TYPE_MAGNETIC_FIELD	-35.75	21.5625	-14.125
1560674049027	TYPE_GYROSCOPE	-0.021205751	0.47694612	0.039461896
1560674049027	TYPE_ROTATION_VECTOR	0.133238	-0.102965	-0.439507
1560674049027	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-608.1875	467.625	196.625
1560674049027	TYPE_GYROSCOPE_UNCALIBRATED	-0.24609143	0.29820696	0.14803882
1560674049047	TYPE_ACCELEROMETER	0.58418524	2.9017725	10.840945
1560674049047	TYPE_MAGNETIC_FIELD	-29.4375	17.375	-19.8125
1560674049047	TYPE_GYROSCOPE	0.22364649	0.06279694	-0.024399703
1560674049047	TYPE_ROTATION_VECTOR	0.13218799	-0.097017	-0.439523
1560674049047	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-607.4375	467.8125	196.625
1560674049047	TYPE_GYROSCOPE_UNCALIBRATED	-0.021450097	0.4770683	0.03944444
1560674049067	TYPE_ACCELEROMETER	0.019153614	3.3423057	10.160992
1560674049067	TYPE_MAGNETIC_FIELD	-33.125	17.125	-20.6875
1560674049067	TYPE_GYROSCOPE	0.18531907	-0.27042133	0.019233529
1560674049067	TYPE_ROTATION_VECTOR	0.134463	-0.097412	-0.439435
1560674049067	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-607.625	467.5	196.8125
1560674049067	TYPE_GYROSCOPE_UNCALIBRATED	0.22340214	0.06291912	-0.024417156
1560674049087	TYPE_ACCELEROMETER	-0.095768064	3.763685	9.136273
1560674049087	TYPE_MAGNETIC_FIELD	-33.0625	17.8125	-17.375
1560674049087	TYPE_GYROSCOPE	-0.13725269	-0.15969762	6.981317E-5
1560674049087	TYPE_ROTATION_VECTOR	0.141431	-0.100643	-0.438149
1560674049087	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-607.75	467.8125	196.8125
1560674049087	TYPE_GYROSCOPE_UNCALIBRATED	0.18507472	-0.27029914	0.019216076
1560674049107	TYPE_ACCELEROMETER	0.20111294	3.466804	8.025364
1560674049107	TYPE_MAGNETIC_FIELD	-34.4375	19.375	-19.0625
1560674049107	TYPE_GYROSCOPE	-0.386381	-0.15437438	0.101211645
