#	startTime:1560674180477
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5857f	FloorName:3F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560674180477	TYPE_WAYPOINT	105.089386	59.832516
1560674180665	TYPE_ACCELEROMETER	0.46926352	1.1683705	9.749189
1560674180665	TYPE_MAGNETIC_FIELD	-29.4375	-26.4375	-15.4375
1560674180665	TYPE_GYROSCOPE	0.09908234	0.08941322	-0.04782202
1560674180665	TYPE_ROTATION_VECTOR	0.012787	-0.056188	-0.904409
1560674180665	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.4375	423.9375	202.25
1560674180665	TYPE_GYROSCOPE_UNCALIBRATED	0.113743104	0.09060004	-0.006318092
1560674180685	TYPE_ACCELEROMETER	0.49799395	1.1683705	9.5385
1560674180685	TYPE_MAGNETIC_FIELD	-30.9375	-26.5625	-12.9375
1560674180685	TYPE_GYROSCOPE	-0.0094945915	0.02979277	-0.11170107
1560674180685	TYPE_ROTATION_VECTOR	0.014043	-0.056699	-0.904543
1560674180685	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.5625	423.6875	202.25
1560674180685	TYPE_GYROSCOPE_UNCALIBRATED	0.098837994	0.08953539	-0.047839474
1560674180705	TYPE_ACCELEROMETER	0.21068975	1.3215994	9.490616
1560674180705	TYPE_MAGNETIC_FIELD	-29.5625	-28.0	-15.375
1560674180705	TYPE_GYROSCOPE	-0.09892526	-0.011711159	-0.10637782
1560674180705	TYPE_ROTATION_VECTOR	0.016458	-0.057678	-0.904992
1560674180705	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.3125	423.1875	201.75
1560674180705	TYPE_GYROSCOPE_UNCALIBRATED	-0.009738937	0.029914944	-0.11171853
1560674180725	TYPE_ACCELEROMETER	-0.038307227	1.4173675	9.643845
1560674180725	TYPE_MAGNETIC_FIELD	-30.25	-28.1875	-11.25
1560674180725	TYPE_GYROSCOPE	-0.09466666	0.036180675	-0.06485643
1560674180725	TYPE_ROTATION_VECTOR	0.016	-0.056815	-0.905497
1560674180725	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.1875	423.0625	202.4375
1560674180725	TYPE_GYROSCOPE_UNCALIBRATED	-0.099169604	-0.011588986	-0.106395274
1560674180745	TYPE_ACCELEROMETER	-0.038307227	1.3790601	9.797073
1560674180745	TYPE_MAGNETIC_FIELD	-32.375	-26.75	-11.25
1560674180745	TYPE_GYROSCOPE	-0.053145275	0.09473647	-0.025464354
1560674180745	TYPE_ROTATION_VECTOR	0.017501	-0.056507	-0.905798
1560674180745	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.375	422.25	201.9375
1560674180745	TYPE_GYROSCOPE_UNCALIBRATED	-0.094911	0.03630285	-0.06487389
1560674180765	TYPE_ACCELEROMETER	0.009576807	1.2545617	9.844957
1560674180765	TYPE_MAGNETIC_FIELD	-30.125	-25.75	-12.125
1560674180765	TYPE_GYROSCOPE	-0.060597833	0.09686577	-0.022270402
1560674180765	TYPE_ROTATION_VECTOR	0.018153	-0.055624	-0.905918
1560674180765	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.5	422.375	202.625
1560674180765	TYPE_GYROSCOPE_UNCALIBRATED	-0.05338962	0.09485865	-0.025481807
1560674180785	TYPE_ACCELEROMETER	0.20111294	1.1204864	9.864111
1560674180785	TYPE_MAGNETIC_FIELD	-30.1875	-26.5	-12.9375
1560674180785	TYPE_GYROSCOPE	-0.087214105	0.031922072	-0.0808262
1560674180785	TYPE_ROTATION_VECTOR	0.01817	-0.054787	-0.906019
1560674180785	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.375	422.375	202.625
1560674180785	TYPE_GYROSCOPE_UNCALIBRATED	-0.06084218	0.09698795	-0.022287855
1560674180805	TYPE_ACCELEROMETER	0.21068975	1.1109096	10.093954
1560674180805	TYPE_MAGNETIC_FIELD	-30.1875	-26.5	-15.4375
1560674180805	TYPE_GYROSCOPE	-0.07550294	-0.056426495	-0.12234758
1560674180805	TYPE_ROTATION_VECTOR	0.018141	-0.053848	-0.906399
1560674180805	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.5	422.6875	202.5625
1560674180805	TYPE_GYROSCOPE_UNCALIBRATED	-0.08745845	0.032044247	-0.08084365
1560674180825	TYPE_ACCELEROMETER	0.076614454	1.1587936	10.189722
1560674180825	TYPE_MAGNETIC_FIELD	-30.125	-25.75	-12.125
1560674180825	TYPE_GYROSCOPE	-0.038240165	-0.05003859	-0.12873548
1560674180825	TYPE_ROTATION_VECTOR	0.017719	-0.053291	-0.906967
1560674180825	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.4375	423.1875	202.4375
1560674180825	TYPE_GYROSCOPE_UNCALIBRATED	-0.07574729	-0.05630432	-0.122365035
1560674180845	TYPE_ACCELEROMETER	0.038307227	1.13964	9.940725
1560674180845	TYPE_MAGNETIC_FIELD	-29.5625	-28.8125	-14.5625
1560674180845	TYPE_GYROSCOPE	6.981317E-5	0.011693706	-0.10637782
1560674180845	TYPE_ROTATION_VECTOR	0.017177	-0.05313	-0.907533
1560674180845	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.9375	422.75	201.75
1560674180845	TYPE_GYROSCOPE_UNCALIBRATED	-0.03848451	-0.049916416	-0.12875293
1560674180865	TYPE_ACCELEROMETER	0.02873042	1.1971009	9.844957
1560674180865	TYPE_MAGNETIC_FIELD	-31.75	-28.1875	-13.75
1560674180865	TYPE_GYROSCOPE	0.050108403	0.07770206	-0.07550294
1560674180865	TYPE_ROTATION_VECTOR	0.01803	-0.053229	-0.907968
1560674180865	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.25	422.25	201.4375
1560674180865	TYPE_GYROSCOPE_UNCALIBRATED	-1.5707963E-4	0.011815879	-0.106395274
1560674180885	TYPE_ACCELEROMETER	0.047884032	1.1683705	9.787497
1560674180885	TYPE_MAGNETIC_FIELD	-30.25	-28.125	-12.0625
1560674180885	TYPE_GYROSCOPE	0.023492131	0.04469788	-0.09040806
1560674180885	TYPE_ROTATION_VECTOR	0.018986	-0.053348	-0.90824
1560674180885	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.25	421.9375	201.625
1560674180885	TYPE_GYROSCOPE_UNCALIBRATED	0.049864057	0.07782423	-0.075520396
1560674180905	TYPE_ACCELEROMETER	-0.06703765	1.2641385	9.854534
1560674180905	TYPE_MAGNETIC_FIELD	-28.625	-25.625	-12.9375
1560674180905	TYPE_GYROSCOPE	-0.013753194	-0.059620447	-0.0786969
1560674180905	TYPE_ROTATION_VECTOR	0.020969	-0.053633	-0.908587
1560674180905	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.9375	422.125	202.125
1560674180905	TYPE_GYROSCOPE_UNCALIBRATED	0.023247786	0.044820055	-0.090425506
1560674180925	TYPE_ACCELEROMETER	-0.15322891	1.2641385	9.950302
1560674180925	TYPE_MAGNETIC_FIELD	-28.75	-27.1875	-13.75
1560674180925	TYPE_GYROSCOPE	-9.773844E-4	-0.1277581	-0.0850848
1560674180925	TYPE_ROTATION_VECTOR	0.020414	-0.053737998	-0.908933
1560674180925	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.6875	421.8125	201.75
1560674180925	TYPE_GYROSCOPE_UNCALIBRATED	-0.013997541	-0.059498273	-0.07871435
1560674180945	TYPE_ACCELEROMETER	0.0	1.2162545	9.883265
1560674180945	TYPE_MAGNETIC_FIELD	-30.125	-25.75	-12.9375
1560674180945	TYPE_GYROSCOPE	0.024556782	-0.07878416	-0.101054564
1560674180945	TYPE_ROTATION_VECTOR	0.019889	-0.054395	-0.909303
1560674180945	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.75	422.4375	202.125
1560674180945	TYPE_GYROSCOPE_UNCALIBRATED	-0.0012217305	-0.12763593	-0.08510225
1560674180965	TYPE_ACCELEROMETER	0.0	1.1779473	9.615114
1560674180965	TYPE_MAGNETIC_FIELD	-28.6875	-26.4375	-12.125
1560674180965	TYPE_GYROSCOPE	-0.027593656	-0.034068827	-0.1457699
1560674180965	TYPE_ROTATION_VECTOR	0.01933	-0.054923	-0.909721
1560674180965	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.1875	422.8125	202.4375
1560674180965	TYPE_GYROSCOPE_UNCALIBRATED	0.024312437	-0.078661986	-0.10107201
1560674180985	TYPE_ACCELEROMETER	-0.16280572	1.2354081	9.615114
1560674180985	TYPE_MAGNETIC_FIELD	-31.0625	-29.0	-12.875
1560674180985	TYPE_GYROSCOPE	-0.07763225	-0.071331605	-0.1436406
1560674180985	TYPE_ROTATION_VECTOR	0.02185	-0.054876998	-0.910365
1560674180985	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.3125	422.625	202.25
1560674180985	TYPE_GYROSCOPE_UNCALIBRATED	-0.027838001	-0.033946656	-0.14578736
1560674181005	TYPE_ACCELEROMETER	-0.6512229	1.5227122	9.787497
1560674181005	TYPE_MAGNETIC_FIELD	-30.9375	-27.4375	-11.25
1560674181005	TYPE_GYROSCOPE	-0.04462807	-0.09688323	-0.07443829
1560674181005	TYPE_ROTATION_VECTOR	0.020964	-0.054431	-0.911009
1560674181005	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.8125	422.3125	202.625
1560674181005	TYPE_GYROSCOPE_UNCALIBRATED	-0.07787659	-0.07120943	-0.14365806
1560674181025	TYPE_ACCELEROMETER	-0.7661445	1.5897499	9.730036
1560674181025	TYPE_MAGNETIC_FIELD	-29.375	-25.6875	-12.9375
1560674181025	TYPE_GYROSCOPE	0.019233529	-0.085172065	-0.002042035
1560674181025	TYPE_ROTATION_VECTOR	0.024308	-0.054497	-0.911405
1560674181025	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.9375	422.5625	202.75
1560674181025	TYPE_GYROSCOPE_UNCALIBRATED	-0.044872414	-0.096761055	-0.074455746
1560674181045	TYPE_ACCELEROMETER	-0.6895301	1.4269443	9.662998
