#	startTime:1560674578351
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5857f	FloorName:3F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560674578353	TYPE_WAYPOINT	135.5728	32.20181
1560674578552	TYPE_ACCELEROMETER	-0.10534488	1.733402	9.481039
1560674578552	TYPE_MAGNETIC_FIELD	21.4375	-35.3125	-12.6875
1560674578552	TYPE_GYROSCOPE	0.009651671	-0.057491146	-0.035046212
1560674578552	TYPE_ROTATION_VECTOR	0.023756	0.081853	0.941747
1560674578552	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-557.8125	419.0	211.9375
1560674578552	TYPE_GYROSCOPE_UNCALIBRATED	0.049864057	-0.062692225	-0.031869713
1560674578572	TYPE_ACCELEROMETER	-0.22026655	1.8100165	9.308656
1560674578572	TYPE_MAGNETIC_FIELD	22.1875	-35.1875	-14.375
1560674578572	TYPE_GYROSCOPE	-0.03398156	0.0010471975	-0.019076448
1560674578572	TYPE_ROTATION_VECTOR	0.024299	0.081767	0.941611
1560674578572	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-558.125	418.5625	211.4375
1560674578572	TYPE_GYROSCOPE_UNCALIBRATED	0.009407325	-0.05736897	-0.035063665
1560674578592	TYPE_ACCELEROMETER	-0.32561144	1.8100165	9.375694
1560674578592	TYPE_MAGNETIC_FIELD	24.5625	-32.625	-13.5625
1560674578592	TYPE_GYROSCOPE	-0.057403877	0.021275563	-0.010559242
1560674578592	TYPE_ROTATION_VECTOR	0.022918	0.082991	0.941413
1560674578592	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-557.8125	418.875	211.3125
1560674578592	TYPE_GYROSCOPE_UNCALIBRATED	-0.034225907	0.0011693706	-0.019093903
1560674578612	TYPE_ACCELEROMETER	-0.32561144	1.8004397	9.662998
1560674578612	TYPE_MAGNETIC_FIELD	23.1875	-31.1875	-13.625
1560674578612	TYPE_GYROSCOPE	-0.06485643	-0.007452556	-0.0052359877
1560674578612	TYPE_ROTATION_VECTOR	0.02252	0.082523	0.941431
1560674578612	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-558.0625	419.3125	211.125
1560674578612	TYPE_GYROSCOPE_UNCALIBRATED	-0.057648227	0.021397736	-0.010576695
1560674578632	TYPE_ACCELEROMETER	-0.31603462	1.7812861	9.77792
1560674578632	TYPE_MAGNETIC_FIELD	23.0	-34.375	-12.6875
1560674578632	TYPE_GYROSCOPE	-0.06485643	-0.044715334	0.0053930674
1560674578632	TYPE_ROTATION_VECTOR	0.021333	0.082804	0.94137
1560674578632	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-558.25	418.8125	211.0
1560674578632	TYPE_GYROSCOPE_UNCALIBRATED	-0.06510078	-0.0073303827	-0.005253441
1560674578652	TYPE_ACCELEROMETER	-0.33518824	1.7621324	9.80665
1560674578652	TYPE_MAGNETIC_FIELD	23.0625	-33.5625	-13.5625
1560674578652	TYPE_GYROSCOPE	-0.042498767	-0.028745573	0.013910274
1560674578652	TYPE_ROTATION_VECTOR	0.021545	0.082047	0.941432
1560674578652	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-557.9375	419.1875	210.8125
1560674578652	TYPE_GYROSCOPE_UNCALIBRATED	-0.06510078	-0.044593163	0.005375614
1560674578671	TYPE_ACCELEROMETER	-0.2681506	1.7717092	9.825804
1560674578671	TYPE_MAGNETIC_FIELD	24.625	-31.875	-11.9375
1560674578671	TYPE_GYROSCOPE	0.010716322	0.0074351025	0.011780973
1560674578671	TYPE_ROTATION_VECTOR	0.021137	0.082427	0.941419
1560674578671	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-557.4375	419.8125	211.3125
1560674578671	TYPE_GYROSCOPE_UNCALIBRATED	-0.042743113	-0.0286234	0.013892821
1560674578692	TYPE_ACCELEROMETER	-0.2681506	1.8387469	9.825804
1560674578692	TYPE_MAGNETIC_FIELD	19.4375	-32.3125	-11.0625
1560674578692	TYPE_GYROSCOPE	0.056496307	0.011693706	0.014974925
