#	startTime:1560675591616
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5857f	FloorName:3F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560675591618	TYPE_WAYPOINT	94.760994	24.501753
1560675591809	TYPE_ACCELEROMETER	-0.31603462	1.5897499	8.858546
1560675591809	TYPE_MAGNETIC_FIELD	-12.75	26.0	-25.125
1560675591809	TYPE_GYROSCOPE	-0.20645499	-0.0042586033	0.030944688
1560675591809	TYPE_ROTATION_VECTOR	0.086908996	-0.004065	-0.16705
1560675591809	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-592.4375	478.4375	200.375
1560675591809	TYPE_GYROSCOPE_UNCALIBRATED	-0.13110913	-0.0073303827	0.02560398
1560675591829	TYPE_ACCELEROMETER	-0.22984336	1.5227122	8.8777
1560675591829	TYPE_MAGNETIC_FIELD	-10.5625	26.1875	-25.125
1560675591829	TYPE_GYROSCOPE	-0.27885124	-0.021293016	0.0021991148
1560675591829	TYPE_ROTATION_VECTOR	0.084899	-0.003654	-0.166771
1560675591829	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-592.25	478.5	200.125
1560675591829	TYPE_GYROSCOPE_UNCALIBRATED	-0.20669934	-0.00413643	0.030927233
1560675591850	TYPE_ACCELEROMETER	-0.23942018	1.5131354	8.925584
1560675591850	TYPE_MAGNETIC_FIELD	-8.1875	27.9375	-23.5
1560675591850	TYPE_GYROSCOPE	-0.32037264	-0.052167892	0.0032637657
1560675591850	TYPE_ROTATION_VECTOR	0.082124	-0.003398	-0.166776
1560675591850	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-591.625	478.875	200.25
1560675591850	TYPE_GYROSCOPE_UNCALIBRATED	-0.2790956	-0.021170843	0.0021816615
1560675591869	TYPE_ACCELEROMETER	-0.45968673	1.6184803	9.069236
1560675591869	TYPE_MAGNETIC_FIELD	-9.0	27.125	-25.125
1560675591869	TYPE_GYROSCOPE	-0.32250193	-0.033004176	0.040526547
1560675591869	TYPE_ROTATION_VECTOR	0.080908	-0.001091	-0.167051
1560675591869	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-591.5	479.25	199.9375
1560675591869	TYPE_GYROSCOPE_UNCALIBRATED	-0.320617	-0.052045718	0.0032463125
1560675591889	TYPE_ACCELEROMETER	-0.60333884	1.6950948	8.743625
1560675591889	TYPE_MAGNETIC_FIELD	-11.625	31.5	-18.5625
1560675591889	TYPE_GYROSCOPE	-0.35124752	0.11922344	0.12250466
1560675591889	TYPE_ROTATION_VECTOR	0.077683	-9.06E-4	-0.16668
1560675591889	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-591.5625	480.3125	200.875
1560675591889	TYPE_GYROSCOPE_UNCALIBRATED	-0.32274628	-0.032882	0.040509094
1560675591910	TYPE_ACCELEROMETER	-0.6512229	1.541866	8.66701
1560675591910	TYPE_MAGNETIC_FIELD	-11.1875	27.6875	-24.3125
1560675591910	TYPE_GYROSCOPE	-0.4225791	0.1894904	0.15231489
1560675591910	TYPE_ROTATION_VECTOR	0.074635	0.002449	-0.165552
1560675591910	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-591.25	480.625	201.0625
1560675591910	TYPE_GYROSCOPE_UNCALIBRATED	-0.35149187	0.11934561	0.12248721
1560675591929	TYPE_ACCELEROMETER	-0.30645782	1.2449849	9.251195
1560675591929	TYPE_MAGNETIC_FIELD	-12.75	26.0	-22.625
1560675591929	TYPE_GYROSCOPE	-0.44493678	0.097930424	0.029880038
1560675591929	TYPE_ROTATION_VECTOR	0.070795	0.004907	-0.163897
1560675591929	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-591.6875	480.625	201.5625
1560675591929	TYPE_GYROSCOPE_UNCALIBRATED	-0.42282346	0.18961257	0.15229744
1560675591949	TYPE_ACCELEROMETER	0.05746084	1.1683705	9.844957
1560675591949	TYPE_MAGNETIC_FIELD	-9.6875	27.875	-26.0
1560675591949	TYPE_GYROSCOPE	-0.4683591	-0.086236715	-0.14470525
1560675591949	TYPE_ROTATION_VECTOR	0.066477	0.004297	-0.163336
1560675591949	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-592.0	480.625	201.0625
1560675591949	TYPE_GYROSCOPE_UNCALIBRATED	-0.44518113	0.0980526	0.029862583
1560675591970	TYPE_ACCELEROMETER	-0.047884032	1.5705963	10.237606
1560675591970	TYPE_MAGNETIC_FIELD	-11.3125	25.25	-21.75
1560675591970	TYPE_GYROSCOPE	-0.5460786	-0.15437438	-0.12447688
1560675591970	TYPE_ROTATION_VECTOR	0.06172	0.004305	-0.164793
1560675591970	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-592.4375	480.25	201.75
1560675591970	TYPE_GYROSCOPE_UNCALIBRATED	-0.46860346	-0.08611455	-0.1447227
1560675591990	TYPE_ACCELEROMETER	-0.842759	1.5514427	10.141838
1560675591990	TYPE_MAGNETIC_FIELD	-9.375	32.5625	-21.0625
1560675591990	TYPE_GYROSCOPE	-0.70364696	0.034051374	0.068207465
1560675591990	TYPE_ROTATION_VECTOR	0.057081	0.008259	-0.166514
1560675591990	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-592.0	480.4375	201.25
1560675591990	TYPE_GYROSCOPE_UNCALIBRATED	-0.54632294	-0.1542522	-0.12449434
1560675592009	TYPE_ACCELEROMETER	-1.1204864	1.043872	11.128249
1560675592009	TYPE_MAGNETIC_FIELD	-11.6875	30.8125	-23.5625
1560675592009	TYPE_GYROSCOPE	-0.5375614	0.1894904	0.07778932
1560675592009	TYPE_ROTATION_VECTOR	0.050214	0.009733	-0.165753
1560675592009	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-592.125	481.0625	201.375
1560675592009	TYPE_GYROSCOPE_UNCALIBRATED	-0.7038913	0.03417355	0.068190016
1560675592029	TYPE_ACCELEROMETER	-0.36391866	1.1492168	13.953407
1560675592029	TYPE_MAGNETIC_FIELD	-9.5	30.9375	-21.875
1560675592029	TYPE_GYROSCOPE	0.07991862	0.18629645	-0.09360201
1560675592029	TYPE_ROTATION_VECTOR	0.045046	0.011664	-0.164789
1560675592029	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-591.4375	482.0625	201.5
1560675592029	TYPE_GYROSCOPE_UNCALIBRATED	-0.53780574	0.18961257	0.07777187
1560675592050	TYPE_ACCELEROMETER	-0.63206923	1.4077905	16.19438
1560675592050	TYPE_MAGNETIC_FIELD	-10.3125	29.3125	-22.6875
1560675592050	TYPE_GYROSCOPE	0.79004073	0.02766347	-0.10637782
1560675592050	TYPE_ROTATION_VECTOR	0.046131	0.013412	-0.165636
1560675592050	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-591.5625	482.375	202.1875
1560675592050	TYPE_GYROSCOPE_UNCALIBRATED	0.07967428	0.18641862	-0.09361946
1560675592069	TYPE_ACCELEROMETER	-1.7238252	1.6376339	16.050728
1560675592069	TYPE_MAGNETIC_FIELD	-10.3125	29.3125	-22.6875
1560675592069	TYPE_GYROSCOPE	1.219095	-0.029810224	0.1044056
1560675592069	TYPE_ROTATION_VECTOR	0.055465	0.017474	-0.167263
1560675592069	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-591.375	483.1875	202.0
1560675592069	TYPE_GYROSCOPE_UNCALIBRATED	0.7897964	0.027785642	-0.106395274
1560675592089	TYPE_ACCELEROMETER	-2.2888567	1.685518	14.106636
1560675592089	TYPE_MAGNETIC_FIELD	-12.375	31.5	-20.25
1560675592089	TYPE_GYROSCOPE	1.3425945	-0.0649437	0.31733575
1560675592089	TYPE_ROTATION_VECTOR	0.067422	0.015072	-0.166428
1560675592089	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-591.9375	482.9375	202.1875
1560675592089	TYPE_GYROSCOPE_UNCALIBRATED	1.2188507	-0.029688051	0.10438814
