#	startTime:1560675664472
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5857f	FloorName:3F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560675664473	TYPE_WAYPOINT	94.4749	28.996677
1560675664676	TYPE_ACCELEROMETER	-0.41180268	2.1260512	9.576807
1560675664676	TYPE_MAGNETIC_FIELD	48.625	6.375	-11.9375
1560675664676	TYPE_GYROSCOPE	0.051173054	-0.06600835	0.001134464
1560675664676	TYPE_ROTATION_VECTOR	0.072616	0.094935	0.613462
1560675664676	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-531.125	460.625	213.25
1560675664676	TYPE_GYROSCOPE_UNCALIBRATED	0.083932884	-0.095696405	0.004310963
1560675664696	TYPE_ACCELEROMETER	-0.40222588	2.135628	9.232041
1560675664696	TYPE_MAGNETIC_FIELD	50.9375	7.375	-12.8125
1560675664696	TYPE_GYROSCOPE	-0.053145275	-0.008517207	0.0053930674
1560675664696	TYPE_ROTATION_VECTOR	0.073421	0.094735	0.613374
1560675664696	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-530.9375	460.4375	212.8125
1560675664696	TYPE_GYROSCOPE_UNCALIBRATED	0.05092871	-0.06588618	0.0011170107
1560675664716	TYPE_ACCELEROMETER	-0.45010993	2.1452048	9.232041
1560675664716	TYPE_MAGNETIC_FIELD	49.4375	7.3125	-13.625
1560675664716	TYPE_GYROSCOPE	-0.13086478	-0.0031939526	0.001134464
1560675664716	TYPE_ROTATION_VECTOR	0.072927	0.093647	0.613534
1560675664716	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-531.0625	460.3125	212.4375
1560675664716	TYPE_GYROSCOPE_UNCALIBRATED	-0.05338962	-0.008395034	0.005375614
1560675664735	TYPE_ACCELEROMETER	-0.545878	2.087744	9.5385
1560675664735	TYPE_MAGNETIC_FIELD	48.6875	7.1875	-12.8125
1560675664735	TYPE_GYROSCOPE	-0.119153626	-0.011711159	0.0043284167
1560675664735	TYPE_ROTATION_VECTOR	0.071839	0.093168	0.615247
1560675664735	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-531.375	459.8125	212.0625
1560675664735	TYPE_GYROSCOPE_UNCALIBRATED	-0.13110913	-0.0030717794	0.0011170107
1560675664756	TYPE_ACCELEROMETER	-0.5554548	1.934515	9.730036
1560675664756	TYPE_MAGNETIC_FIELD	51.8125	9.8125	-12.875
1560675664756	TYPE_GYROSCOPE	-0.055274576	0.0063704518	0.001134464
1560675664756	TYPE_ROTATION_VECTOR	0.069483	0.091083	0.615566
1560675664756	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-531.25	460.1875	211.5625
1560675664756	TYPE_GYROSCOPE_UNCALIBRATED	-0.119397976	-0.011588986	0.004310963
1560675664776	TYPE_ACCELEROMETER	-0.61291564	1.8004397	9.643845
1560675664776	TYPE_MAGNETIC_FIELD	50.1875	7.375	-15.3125
1560675664776	TYPE_GYROSCOPE	0.0021991148	0.020210912	6.981317E-5
1560675664776	TYPE_ROTATION_VECTOR	0.069014	0.090794	0.615629
1560675664776	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-530.9375	460.375	210.875
1560675664776	TYPE_GYROSCOPE_UNCALIBRATED	-0.05551892	0.006492625	0.0011170107
1560675664795	TYPE_ACCELEROMETER	-0.6991069	1.8674773	9.5385
1560675664795	TYPE_MAGNETIC_FIELD	48.75	8.0625	-13.625
1560675664795	TYPE_GYROSCOPE	0.026686084	-0.022357667	0.018168878
1560675664795	TYPE_ROTATION_VECTOR	0.067411	0.090833	0.615674
1560675664795	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-531.375	460.5	210.75
1560675664795	TYPE_GYROSCOPE_UNCALIBRATED	0.0019547688	0.020333085	5.235988E-5
1560675664816	TYPE_ACCELEROMETER	-0.8714894	2.1452048	9.136273
1560675664816	TYPE_MAGNETIC_FIELD	51.0	9.0	-13.6875
1560675664816	TYPE_GYROSCOPE	-0.023335053	-0.0031939526	0.054367006
1560675664816	TYPE_ROTATION_VECTOR	0.067772	0.090813	0.615775
1560675664816	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-531.0625	460.875	210.75
1560675664816	TYPE_GYROSCOPE_UNCALIBRATED	0.026441738	-0.022235494	0.018151425
1560675664836	TYPE_ACCELEROMETER	-0.91937345	2.3080103	8.858546
1560675664836	TYPE_MAGNETIC_FIELD	47.5	11.0	-7.0625
1560675664836	TYPE_GYROSCOPE	-0.13086478	0.0	0.088435836
1560675664836	TYPE_ROTATION_VECTOR	0.068045	0.093434	0.615893
1560675664836	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-531.3125	461.625	211.875
1560675664836	TYPE_GYROSCOPE_UNCALIBRATED	-0.023579398	-0.0030717794	0.054349553
1560675664856	TYPE_ACCELEROMETER	-0.82360536	2.327164	8.973468
1560675664856	TYPE_MAGNETIC_FIELD	48.125	9.5	-11.1875
1560675664856	TYPE_GYROSCOPE	-0.18942058	0.013823007	0.09801769
1560675664856	TYPE_ROTATION_VECTOR	0.067108	0.092571	0.616702
1560675664856	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-532.0	461.5625	212.1875
1560675664856	TYPE_GYROSCOPE_UNCALIBRATED	-0.13110913	1.0471976E-4	0.08841838
1560675664875	TYPE_ACCELEROMETER	-0.6895301	2.1260512	9.471462
