#	startTime:1560761024215
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5858a	FloorName:4F
1560761024217	TYPE_WAYPOINT	133.0061	29.770594
1560761024426	TYPE_ACCELEROMETER	0.076614454	2.1260512	9.078813
1560761024426	TYPE_MAGNETIC_FIELD	7.75	-38.25	-6.9375
1560761024426	TYPE_GYROSCOPE	-0.04277802	0.11398745	-0.009721484
1560761024426	TYPE_ROTATION_VECTOR	0.024498	0.119582	0.986149
1560761024426	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-624.0625	428.0625	228.75
1560761024426	TYPE_GYROSCOPE_UNCALIBRATED	0.08897688	0.11304498	0.039217547
1560761024447	TYPE_ACCELEROMETER	-0.019153614	2.1547816	9.576807
1560761024447	TYPE_MAGNETIC_FIELD	7.875	-36.75	-2.8125
1560761024447	TYPE_GYROSCOPE	-0.1513724	-0.049951322	-0.097022854
1560761024447	TYPE_ROTATION_VECTOR	0.021293	0.117662	0.986449
1560761024447	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-624.3125	428.8125	229.8125
1560761024447	TYPE_GYROSCOPE_UNCALIBRATED	-0.043022364	0.11410963	-0.009738937
1560761024467	TYPE_ACCELEROMETER	-0.24899697	2.2601264	9.835381
1560761024467	TYPE_MAGNETIC_FIELD	9.125	-39.6875	-8.625
1560761024467	TYPE_GYROSCOPE	-0.17373008	-0.18409733	-0.059760075
1560761024467	TYPE_ROTATION_VECTOR	0.021499	0.116135	0.986506
1560761024467	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-624.1875	428.6875	229.25
1560761024467	TYPE_GYROSCOPE_UNCALIBRATED	-0.15161675	-0.04982915	-0.0970403
1560761024486	TYPE_ACCELEROMETER	-0.08619126	2.327164	9.653421
1560761024486	TYPE_MAGNETIC_FIELD	4.9375	-36.9375	-3.6875
1560761024486	TYPE_GYROSCOPE	-0.16095427	-0.1585457	-0.016109388
1560761024486	TYPE_ROTATION_VECTOR	0.021406	0.114547	0.986588
1560761024486	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-624.875	429.25	230.0625
1560761024486	TYPE_GYROSCOPE_UNCALIBRATED	-0.17397442	-0.18397516	-0.059777528
1560761024506	TYPE_ACCELEROMETER	-0.019153614	2.2218192	9.251195
1560761024506	TYPE_MAGNETIC_FIELD	9.1875	-38.9375	-6.9375
1560761024506	TYPE_GYROSCOPE	-0.11730358	0.029880038	-0.009721484
1560761024506	TYPE_ROTATION_VECTOR	0.022766	0.112783	0.986717
1560761024506	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-625.1875	429.6875	229.875
1560761024506	TYPE_GYROSCOPE_UNCALIBRATED	-0.16119862	-0.15842354	-0.016126841
1560761024527	TYPE_ACCELEROMETER	0.019153614	2.2218192	9.232041
1560761024527	TYPE_MAGNETIC_FIELD	9.125	-39.75	-5.25
1560761024527	TYPE_GYROSCOPE	-0.033196162	0.26090926	-0.01823869
1560761024527	TYPE_ROTATION_VECTOR	0.021319	0.112205	0.986799
1560761024527	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-624.875	429.375	230.25
1560761024527	TYPE_GYROSCOPE_UNCALIBRATED	-0.11754792	0.03000221	-0.009738937
1560761024546	TYPE_ACCELEROMETER	-0.06703765	2.183512	9.720459
1560761024546	TYPE_MAGNETIC_FIELD	7.6875	-39.0	-7.8125
1560761024546	TYPE_GYROSCOPE	0.051958453	0.24706881	-0.059760075
1560761024546	TYPE_ROTATION_VECTOR	0.018684	0.112182	0.986867
1560761024546	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-624.9375	428.9375	229.25
1560761024546	TYPE_GYROSCOPE_UNCALIBRATED	-0.033440508	0.26103145	-0.018256145
1560761024566	TYPE_ACCELEROMETER	0.35434186	1.340753	10.084377
1560761024566	TYPE_MAGNETIC_FIELD	9.25	-38.125	-7.8125
1560761024566	TYPE_GYROSCOPE	0.08602728	0.083112575	-0.32911673
1560761024566	TYPE_ROTATION_VECTOR	0.016607	0.109147	0.987206
1560761024566	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-624.875	429.25	229.375
1560761024566	TYPE_GYROSCOPE_UNCALIBRATED	0.051714107	0.24719098	-0.059777528
1560761024587	TYPE_ACCELEROMETER	-0.33518824	2.633622	9.56723
1560761024587	TYPE_MAGNETIC_FIELD	14.875	-42.4375	-8.5
1560761024587	TYPE_GYROSCOPE	-0.008709193	0.103340946	-0.087441
1560761024587	TYPE_ROTATION_VECTOR	0.015528	0.110148	0.986741
1560761024587	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-622.9375	428.1875	228.4375
1560761024587	TYPE_GYROSCOPE_UNCALIBRATED	0.08578293	0.08323475	-0.3291342
1560761024607	TYPE_ACCELEROMETER	-0.39264908	2.4516625	9.557653
1560761024607	TYPE_MAGNETIC_FIELD	8.4375	-39.0	-5.25
1560761024607	TYPE_GYROSCOPE	-0.109851025	0.039461896	0.008360127
1560761024607	TYPE_ROTATION_VECTOR	0.012328	0.111734	0.986504
1560761024607	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-623.0625	428.125	228.75
1560761024607	TYPE_GYROSCOPE_UNCALIBRATED	-0.008953539	0.10346312	-0.08745845
1560761024626	TYPE_ACCELEROMETER	-0.12449849	2.327164	9.576807
1560761024626	TYPE_MAGNETIC_FIELD	8.5	-38.125	-8.625
1560761024626	TYPE_GYROSCOPE	-0.0842994	0.07885397	0.06265732
1560761024626	TYPE_ROTATION_VECTOR	0.011816	0.110698	0.986641
1560761024626	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-623.1875	428.4375	228.0625
1560761024626	TYPE_GYROSCOPE_UNCALIBRATED	-0.11009537	0.039584067	0.008342674
1560761024647	TYPE_ACCELEROMETER	0.038307227	2.1068976	9.682152
1560761024647	TYPE_MAGNETIC_FIELD	11.5	-37.125	-8.625
1560761024647	TYPE_GYROSCOPE	0.015760323	0.14912093	0.04988151
1560761024647	TYPE_ROTATION_VECTOR	0.011243	0.109185	0.9869
1560761024647	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-622.4375	428.8125	227.9375
1560761024647	TYPE_GYROSCOPE_UNCALIBRATED	-0.08454375	0.07897615	0.06263987
1560761024667	TYPE_ACCELEROMETER	-0.019153614	1.9632454	10.132261
1560761024667	TYPE_MAGNETIC_FIELD	10.5625	-40.4375	-6.875
1560761024667	TYPE_GYROSCOPE	0.1179668	6.981317E-5	0.0136833815
1560761024667	TYPE_ROTATION_VECTOR	0.009843	0.109513	0.986957
1560761024667	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-622.1875	428.375	228.0625
1560761024667	TYPE_GYROSCOPE_UNCALIBRATED	0.015515977	0.1492431	0.049864057
1560761024686	TYPE_ACCELEROMETER	-0.1340753	2.0590134	9.595961
1560761024686	TYPE_MAGNETIC_FIELD	9.1875	-38.9375	-6.9375
1560761024686	TYPE_GYROSCOPE	0.10093239	-0.036110863	0.016877335
1560761024686	TYPE_ROTATION_VECTOR	0.009629	0.110583	0.986854
1560761024686	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-623.3125	429.0625	228.375
1560761024686	TYPE_GYROSCOPE_UNCALIBRATED	0.11772246	1.9198621E-4	0.013665928
1560761024706	TYPE_ACCELEROMETER	-0.18195933	2.3654714	8.839393
1560761024706	TYPE_MAGNETIC_FIELD	9.1875	-38.9375	-6.9375
1560761024706	TYPE_GYROSCOPE	-0.02893756	0.1107935	0.0956615
1560761024706	TYPE_ROTATION_VECTOR	0.010121	0.111537	0.986758
1560761024706	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-623.125	429.125	228.0625
1560761024706	TYPE_GYROSCOPE_UNCALIBRATED	0.10068805	-0.03598869	0.01685988
1560761024727	TYPE_ACCELEROMETER	-0.22026655	2.4229321	8.619126
1560761024727	TYPE_MAGNETIC_FIELD	8.5	-38.1875	-7.8125
1560761024727	TYPE_GYROSCOPE	-0.09813987	0.30668926	0.16060519
1560761024727	TYPE_ROTATION_VECTOR	0.008569	0.113532	0.986668
1560761024727	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-623.125	429.125	228.25
1560761024727	TYPE_GYROSCOPE_UNCALIBRATED	-0.029181905	0.110915676	0.09564404
1560761024747	TYPE_ACCELEROMETER	-0.08619126	2.1739352	9.375694
1560761024747	TYPE_MAGNETIC_FIELD	7.0	-38.3125	-6.9375
1560761024747	TYPE_GYROSCOPE	-0.06407104	0.2321637	0.15741125
1560761024747	TYPE_ROTATION_VECTOR	0.005612	0.112908	0.986986
1560761024747	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-624.0625	428.875	228.5625
1560761024747	TYPE_GYROSCOPE_UNCALIBRATED	-0.09838421	0.30681142	0.16058774
1560761024766	TYPE_ACCELEROMETER	0.0	1.8387469	9.80665
1560761024766	TYPE_MAGNETIC_FIELD	10.6875	-38.875	-5.25
1560761024766	TYPE_GYROSCOPE	0.020018926	0.02029818	0.09672615
1560761024766	TYPE_ROTATION_VECTOR	0.004112	0.110646	0.987458
1560761024766	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-624.0	429.1875	228.875
1560761024766	TYPE_GYROSCOPE_UNCALIBRATED	-0.064315386	0.23228587	0.1573938
1560761024787	TYPE_ACCELEROMETER	-0.019153614	1.9057846	8.446744
1560761024787	TYPE_MAGNETIC_FIELD	10.625	-39.6875	-4.4375
1560761024787	TYPE_GYROSCOPE	-0.123691484	0.06501351	0.08395033
1560761024787	TYPE_ROTATION_VECTOR	0.00404	0.110864	0.987545
1560761024787	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-623.75	429.0	229.375
1560761024787	TYPE_GYROSCOPE_UNCALIBRATED	0.01977458	0.020420352	0.09670869
1560761024807	TYPE_ACCELEROMETER	0.22026655	2.0685902	7.9583263
1560761024807	TYPE_MAGNETIC_FIELD	9.3125	-37.375	-4.5
1560761024807	TYPE_GYROSCOPE	-0.4590565	0.083112575	-0.012915436
1560761024807	TYPE_ROTATION_VECTOR	0.00592	0.111056	0.987635
1560761024807	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-623.6875	429.3125	229.875
1560761024807	TYPE_GYROSCOPE_UNCALIBRATED	-0.123935826	0.06513569	0.083932884
1560761024826	TYPE_ACCELEROMETER	0.2777274	2.2026656	8.465898
1560761024826	TYPE_MAGNETIC_FIELD	10.75	-38.0	-6.9375
1560761024826	TYPE_GYROSCOPE	-0.8593652	0.07459537	-0.16196655
1560761024826	TYPE_ROTATION_VECTOR	0.004576	0.106616996	0.988124
1560761024826	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-623.25	429.375	230.0625
1560761024826	TYPE_GYROSCOPE_UNCALIBRATED	-0.45930085	0.08323475	-0.01293289
1560761024846	TYPE_ACCELEROMETER	0.019153614	2.432509	11.166556
1560761024846	TYPE_MAGNETIC_FIELD	10.6875	-38.8125	-8.625
1560761024846	TYPE_GYROSCOPE	-1.030774	-0.12767084	-0.31101766
1560761024846	TYPE_ROTATION_VECTOR	0.003509	0.098465	0.988804
1560761024846	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-622.5625	429.25	229.75
1560761024846	TYPE_GYROSCOPE_UNCALIBRATED	-0.85960954	0.074717544	-0.16198401
1560761024867	TYPE_ACCELEROMETER	-0.7565677	2.4612393	14.949395
1560761024867	TYPE_MAGNETIC_FIELD	10.75	-38.0	-8.625
1560761024867	TYPE_GYROSCOPE	-0.71776664	-0.42044982	-0.37702602
1560761024867	TYPE_ROTATION_VECTOR	0.003276	0.088143	0.989406
1560761024867	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-622.5	429.4375	229.0625
1560761024867	TYPE_GYROSCOPE_UNCALIBRATED	-1.0310184	-0.12754866	-0.31103513
