#	startTime:1560757251720
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5858a	FloorName:4F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560757251722	TYPE_WAYPOINT	113.9275	50.428745
1560757251925	TYPE_ACCELEROMETER	-0.08619126	2.7964275	9.519346
1560757251925	TYPE_MAGNETIC_FIELD	26.5625	-32.75	-22.0625
1560757251925	TYPE_GYROSCOPE	0.027471483	-0.12128293	-0.023561945
1560757251925	TYPE_ROTATION_VECTOR	0.061381	0.124856	0.895574
1560757251925	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.0	429.9375	231.5625
1560757251925	TYPE_GYROSCOPE_UNCALIBRATED	0.010192723	-0.08389798	-0.02677335
1560757251945	TYPE_ACCELEROMETER	0.0	2.777274	9.270349
1560757251945	TYPE_MAGNETIC_FIELD	24.4375	-31.25	-24.625
1560757251945	TYPE_GYROSCOPE	-0.001256637	-0.13938199	-0.01823869
1560757251945	TYPE_ROTATION_VECTOR	0.0619	0.125474	0.895286
1560757251945	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.25	429.8125	231.0625
1560757251945	TYPE_GYROSCOPE_UNCALIBRATED	0.027227135	-0.12116075	-0.023579398
1560757251966	TYPE_ACCELEROMETER	0.047884032	2.767697	9.136273
1560757251966	TYPE_MAGNETIC_FIELD	23.125	-29.0	-24.6875
1560757251966	TYPE_GYROSCOPE	-0.063006386	-0.12660618	-0.025691247
1560757251966	TYPE_ROTATION_VECTOR	0.063119	0.124887	0.895122
1560757251966	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.6875	430.1875	230.75
1560757251966	TYPE_GYROSCOPE_UNCALIBRATED	-0.0015009831	-0.13925982	-0.018256145
1560757251985	TYPE_ACCELEROMETER	0.0	2.767697	9.308656
1560757251985	TYPE_MAGNETIC_FIELD	22.875	-32.125	-25.4375
1560757251985	TYPE_GYROSCOPE	-0.09707521	-0.08402015	-0.0310145
1560757251985	TYPE_ROTATION_VECTOR	0.063994	0.12476	0.894906
1560757251985	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.3125	429.5	230.125
1560757251985	TYPE_GYROSCOPE_UNCALIBRATED	-0.063250735	-0.126484	-0.0257087
1560757252005	TYPE_ACCELEROMETER	-0.076614454	2.7485435	9.548077
1560757252005	TYPE_MAGNETIC_FIELD	24.5	-30.4375	-25.5
1560757252005	TYPE_GYROSCOPE	-0.057683133	-0.041434117	-0.022497294
1560757252005	TYPE_ROTATION_VECTOR	0.064295	0.123557	0.89484
1560757252005	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.125	429.5	229.75
1560757252005	TYPE_GYROSCOPE_UNCALIBRATED	-0.09731956	-0.08389798	-0.031031953
1560757252026	TYPE_ACCELEROMETER	-0.095768064	2.777274	9.605537
1560757252026	TYPE_MAGNETIC_FIELD	25.25	-29.5625	-25.5
1560757252026	TYPE_GYROSCOPE	0.008307767	-0.028658306	-0.002268928
1560757252026	TYPE_ROTATION_VECTOR	0.063405	0.123413	0.894742
1560757252026	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.375	430.125	229.125
1560757252026	TYPE_GYROSCOPE_UNCALIBRATED	-0.057927478	-0.041311942	-0.022514747
1560757252045	TYPE_ACCELEROMETER	-0.05746084	2.7485435	9.519346
1560757252045	TYPE_MAGNETIC_FIELD	23.6875	-31.25	-27.125
1560757252045	TYPE_GYROSCOPE	0.004049164	-0.056339227	0.0062308256
1560757252045	TYPE_ROTATION_VECTOR	0.063694	0.123369	0.894703
1560757252045	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.5625	430.125	228.625
1560757252045	TYPE_GYROSCOPE_UNCALIBRATED	0.008063421	-0.028536133	-0.0022863813
1560757252065	TYPE_ACCELEROMETER	0.05746084	2.6623523	9.509769
1560757252065	TYPE_MAGNETIC_FIELD	23.1875	-28.1875	-23.0625
1560757252065	TYPE_GYROSCOPE	-0.033196162	-0.08189085	-0.0043982295
1560757252065	TYPE_ROTATION_VECTOR	0.063572	0.123542	0.894651
1560757252065	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.5625	430.3125	228.9375
1560757252065	TYPE_GYROSCOPE_UNCALIBRATED	0.0038048178	-0.056217056	0.006213372
1560757252085	TYPE_ACCELEROMETER	0.15322891	2.6719291	9.576807
1560757252085	TYPE_MAGNETIC_FIELD	23.75	-30.5	-25.5
1560757252085	TYPE_GYROSCOPE	-0.01829105	-0.04888667	-0.026755897
1560757252085	TYPE_ROTATION_VECTOR	0.064158	0.122903	0.89462
1560757252085	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.375	430.625	228.9375
1560757252085	TYPE_GYROSCOPE_UNCALIBRATED	-0.033440508	-0.08176868	-0.004415683
1560757252106	TYPE_ACCELEROMETER	0.047884032	2.72939	9.605537
1560757252106	TYPE_MAGNETIC_FIELD	30.75	-25.375	-17.25
1560757252106	TYPE_GYROSCOPE	0.028536133	-0.0052359877	-0.025691247
1560757252106	TYPE_ROTATION_VECTOR	0.064532	0.122193	0.89454
1560757252106	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.125	431.625	230.5625
1560757252106	TYPE_GYROSCOPE_UNCALIBRATED	-0.018535396	-0.0487645	-0.02677335
1560757252125	TYPE_ACCELEROMETER	0.0	2.777274	9.519346
1560757252125	TYPE_MAGNETIC_FIELD	25.375	-28.0625	-22.1875
1560757252125	TYPE_GYROSCOPE	0.06154031	-9.773844E-4	-0.007592182
1560757252125	TYPE_ROTATION_VECTOR	0.064669	0.122445	0.894392
1560757252125	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.0625	431.9375	231.25
1560757252125	TYPE_GYROSCOPE_UNCALIBRATED	0.028291788	-0.0051138145	-0.0257087
1560757252145	TYPE_ACCELEROMETER	0.0	2.767697	9.404425
1560757252145	TYPE_MAGNETIC_FIELD	27.0	-26.375	-22.25
1560757252145	TYPE_GYROSCOPE	0.026406832	-0.03398156	-0.0043982295
1560757252145	TYPE_ROTATION_VECTOR	0.064524	0.123532	0.89422
1560757252145	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.4375	432.9375	232.1875
1560757252145	TYPE_GYROSCOPE_UNCALIBRATED	0.061295964	-8.5521134E-4	-0.0076096356
1560757252166	TYPE_ACCELEROMETER	0.019153614	2.777274	9.461885
1560757252166	TYPE_MAGNETIC_FIELD	26.125	-27.875	-27.1875
1560757252166	TYPE_GYROSCOPE	-0.03000221	-0.0786969	-0.017174039
1560757252166	TYPE_ROTATION_VECTOR	0.064934	0.123629	0.894146
1560757252166	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-603.8125	433.0	231.375
1560757252166	TYPE_GYROSCOPE_UNCALIBRATED	0.026162485	-0.033859387	-0.004415683
1560757252185	TYPE_ACCELEROMETER	0.11492168	2.7485435	9.442732
