#	startTime:1560757443181
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5858a	FloorName:4F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560757443183	TYPE_WAYPOINT	94.86094	29.915678
1560757443389	TYPE_ACCELEROMETER	-0.047884032	2.384625	9.595961
1560757443389	TYPE_MAGNETIC_FIELD	44.375	12.1875	-20.625
1560757443389	TYPE_GYROSCOPE	8.5521134E-4	-0.068050385	-0.019303342
1560757443389	TYPE_ROTATION_VECTOR	0.10074	0.062662	0.550375
1560757443389	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-584.375	472.9375	234.1875
1560757443389	TYPE_GYROSCOPE_UNCALIBRATED	-0.064315386	-0.059411008	-0.034225907
1560757443410	TYPE_ACCELEROMETER	-0.10534488	2.432509	9.691729
1560757443410	TYPE_MAGNETIC_FIELD	43.0625	15.3125	-20.6875
1560757443410	TYPE_GYROSCOPE	0.0051138145	-0.016947147	-0.021432644
1560757443410	TYPE_ROTATION_VECTOR	0.101108	0.06328	0.550045
1560757443410	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-585.125	473.6875	234.0
1560757443410	TYPE_GYROSCOPE_UNCALIBRATED	6.1086525E-4	-0.06792822	-0.019320795
1560757443430	TYPE_ACCELEROMETER	-0.038307227	2.432509	9.643845
1560757443430	TYPE_MAGNETIC_FIELD	46.5625	12.375	-19.8125
1560757443430	TYPE_GYROSCOPE	-0.034260813	0.013910274	-0.02994985
1560757443430	TYPE_ROTATION_VECTOR	0.101231	0.063192	0.549846
1560757443430	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-584.875	473.5625	234.125
1560757443430	TYPE_GYROSCOPE_UNCALIBRATED	0.0048694685	-0.016824974	-0.021450097
1560757443449	TYPE_ACCELEROMETER	0.0	2.3942018	9.730036
1560757443449	TYPE_MAGNETIC_FIELD	45.125	12.25	-20.625
1560757443449	TYPE_GYROSCOPE	-0.02893756	6.981317E-5	-0.0310145
1560757443449	TYPE_ROTATION_VECTOR	0.100603	0.063489	0.549601
1560757443449	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-584.875	473.0625	233.9375
1560757443449	TYPE_GYROSCOPE_UNCALIBRATED	-0.03450516	0.014032447	-0.029967302
1560757443469	TYPE_ACCELEROMETER	0.009576807	2.3750482	9.77792
1560757443469	TYPE_MAGNETIC_FIELD	47.375	13.25	-21.5
1560757443469	TYPE_GYROSCOPE	0.04024729	-0.0063006384	-0.027820548
1560757443469	TYPE_ROTATION_VECTOR	0.100344	0.063364	0.549361
