#	startTime:1560758120451
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5858a	FloorName:4F
1560758120452	TYPE_WAYPOINT	10.465981	90.17561
1560758120671	TYPE_ACCELEROMETER	-0.019153614	3.3997664	8.868123
1560758120671	TYPE_MAGNETIC_FIELD	-23.6875	16.5625	-27.125
1560758120671	TYPE_GYROSCOPE	-0.14817846	-0.03398156	-0.032079153
1560758120671	TYPE_ROTATION_VECTOR	0.159198	-0.055391	-0.38561898
1560758120671	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-659.9375	485.5625	221.4375
1560758120671	TYPE_GYROSCOPE_UNCALIBRATED	-0.09625491	-0.08602728	-0.023579398
1560758120691	TYPE_ACCELEROMETER	-0.05746084	3.3614593	9.155427
1560758120691	TYPE_MAGNETIC_FIELD	-24.4375	16.5	-25.4375
1560758120691	TYPE_GYROSCOPE	-0.10239847	-0.014817845	-0.022497294
1560758120691	TYPE_ROTATION_VECTOR	0.157742	-0.055077	-0.386046
1560758120691	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-659.9375	485.3125	221.75
1560758120691	TYPE_GYROSCOPE_UNCALIBRATED	-0.1484228	-0.033859387	-0.032096606
1560758120711	TYPE_ACCELEROMETER	-0.19153613	3.3614593	9.452309
1560758120711	TYPE_MAGNETIC_FIELD	-24.25	19.6875	-25.5
1560758120711	TYPE_GYROSCOPE	-0.027872909	-0.041434117	-0.0043982295
1560758120711	TYPE_ROTATION_VECTOR	0.15702	-0.055014	-0.386345
1560758120711	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-659.875	485.9375	221.9375
1560758120711	TYPE_GYROSCOPE_UNCALIBRATED	-0.10264281	-0.014695672	-0.022514747
1560758120731	TYPE_ACCELEROMETER	-0.22026655	3.3327289	9.56723
1560758120731	TYPE_MAGNETIC_FIELD	-22.875	18.1875	-26.3125
1560758120731	TYPE_GYROSCOPE	-0.001256637	-0.09040806	-0.012915436
1560758120731	TYPE_ROTATION_VECTOR	0.156611	-0.055274	-0.386466
1560758120731	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-659.4375	485.6875	222.25
1560758120731	TYPE_GYROSCOPE_UNCALIBRATED	-0.028117254	-0.041311942	-0.004415683
1560758120751	TYPE_ACCELEROMETER	-0.11492168	3.3039982	9.3661175
