#	startTime:1560758284706
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5858a	FloorName:4F
1560758284707	TYPE_WAYPOINT	92.91639	31.628016
1560758284901	TYPE_ACCELEROMETER	0.0	2.0494366	9.423578
1560758284901	TYPE_MAGNETIC_FIELD	-25.25	36.9375	-20.125
1560758284901	TYPE_GYROSCOPE	0.30321604	0.44296455	-0.23010421
1560758284901	TYPE_ROTATION_VECTOR	0.072507	-0.032685	-0.290296
1560758284901	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-660.9375	503.6875	229.3125
1560758284901	TYPE_GYROSCOPE_UNCALIBRATED	0.064489916	-0.04024729	0.020053834
1560758284921	TYPE_ACCELEROMETER	0.91937345	0.2873042	9.222465
1560758284921	TYPE_MAGNETIC_FIELD	-24.5625	36.1875	-20.0625
1560758284921	TYPE_GYROSCOPE	0.50869364	0.6931575	-0.49413761
1560758284921	TYPE_ROTATION_VECTOR	0.07117	-0.029696	-0.292282
1560758284921	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-660.6875	503.8125	229.125
1560758284921	TYPE_GYROSCOPE_UNCALIBRATED	0.3029717	0.44308674	-0.23012166
1560758284941	TYPE_ACCELEROMETER	-0.2681506	1.934515	9.605537
1560758284941	TYPE_MAGNETIC_FIELD	-22.5625	33.25	-24.1875
1560758284941	TYPE_GYROSCOPE	0.5214695	0.4919385	-0.08850565
1560758284941	TYPE_ROTATION_VECTOR	0.078183	-0.024199	-0.296309
1560758284941	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-660.125	503.25	228.1875
1560758284941	TYPE_GYROSCOPE_UNCALIBRATED	0.5084493	0.6932797	-0.49415508
1560758284961	TYPE_ACCELEROMETER	-0.7565677	3.0550013	10.199299
1560758284961	TYPE_MAGNETIC_FIELD	-28.8125	39.0625	-21.0
1560758284961	TYPE_GYROSCOPE	0.15203562	0.1757372	0.06691592
1560758284961	TYPE_ROTATION_VECTOR	0.091811	-0.018655	-0.297091
1560758284961	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-660.6875	503.875	227.8125
1560758284961	TYPE_GYROSCOPE_UNCALIBRATED	0.52122515	0.49206066	-0.0885231
1560758284981	TYPE_ACCELEROMETER	-0.7469909	2.5187001	9.442732
1560758284981	TYPE_MAGNETIC_FIELD	-26.8125	35.1875	-16.75
1560758284981	TYPE_GYROSCOPE	-0.2812598	-0.0052359877	0.14037684
1560758284981	TYPE_ROTATION_VECTOR	0.093768	-0.017498	-0.296264
1560758284981	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-661.0	504.0	228.125
1560758284981	TYPE_GYROSCOPE_UNCALIBRATED	0.15179129	0.17585938	0.06689847
1560758285001	TYPE_ACCELEROMETER	-0.48841715	2.5091233	8.858546
1560758285001	TYPE_MAGNETIC_FIELD	-26.6875	37.625	-18.4375
1560758285001	TYPE_GYROSCOPE	-0.4718323	-0.0094945915	0.20425588
1560758285001	TYPE_ROTATION_VECTOR	0.096545	-0.017851999	-0.294964
1560758285001	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-661.25	504.125	228.4375
1560758285001	TYPE_GYROSCOPE_UNCALIBRATED	-0.28150415	-0.0051138145	0.14035937
1560758285021	TYPE_ACCELEROMETER	-0.19153613	2.4420857	9.251195
1560758285021	TYPE_MAGNETIC_FIELD	-27.3125	39.0625	-16.0
1560758285021	TYPE_GYROSCOPE	-0.36962584	-0.17238617	0.06798057
1560758285021	TYPE_ROTATION_VECTOR	0.091992	-0.016737	-0.293106
1560758285021	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-661.8125	504.6875	229.3125
1560758285021	TYPE_GYROSCOPE_UNCALIBRATED	-0.47207665	-0.009372418	0.20423843
1560758285041	TYPE_ACCELEROMETER	-0.06703765	1.5705963	10.67814
1560758285041	TYPE_MAGNETIC_FIELD	-23.875	35.5	-20.875
1560758285041	TYPE_GYROSCOPE	-0.20460495	-0.37679914	-0.097022854
1560758285041	TYPE_ROTATION_VECTOR	0.085232	-0.016854	-0.292829
1560758285041	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-662.0625	505.1875	229.9375
1560758285041	TYPE_GYROSCOPE_UNCALIBRATED	-0.3698702	-0.172264	0.06796312
1560758285061	TYPE_ACCELEROMETER	-0.12449849	1.6089035	10.429143
1560758285061	TYPE_MAGNETIC_FIELD	-22.375	35.5625	-20.875
1560758285061	TYPE_GYROSCOPE	-0.10665707	-0.17451547	-0.049113564
1560758285061	TYPE_ROTATION_VECTOR	0.082199	-0.019761	-0.294101
1560758285061	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-660.8125	504.4375	229.9375
1560758285061	TYPE_GYROSCOPE_UNCALIBRATED	-0.20484929	-0.37667695	-0.0970403
1560758285082	TYPE_ACCELEROMETER	-0.2681506	2.384625	9.212888
1560758285082	TYPE_MAGNETIC_FIELD	-24.5625	36.25	-20.9375
1560758285082	TYPE_GYROSCOPE	-0.12262683	0.24387486	0.18935077
1560758285082	TYPE_ROTATION_VECTOR	0.08857	-0.020445	-0.295027
1560758285082	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-660.375	504.6875	229.125
1560758285082	TYPE_GYROSCOPE_UNCALIBRATED	-0.106901415	-0.1743933	-0.049131017
1560758285101	TYPE_ACCELEROMETER	-0.61291564	2.7389667	8.63828
1560758285101	TYPE_MAGNETIC_FIELD	-27.4375	37.5625	-18.4375
1560758285101	TYPE_GYROSCOPE	-0.15243706	0.3705683	0.33733723
1560758285101	TYPE_ROTATION_VECTOR	0.088086	-0.017927	-0.293031
1560758285101	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-660.5	504.625	229.125
1560758285101	TYPE_GYROSCOPE_UNCALIBRATED	-0.122871175	0.24399702	0.18933332
1560758285121	TYPE_ACCELEROMETER	-0.2681506	2.1068976	9.471462
1560758285121	TYPE_MAGNETIC_FIELD	-25.9375	37.6875	-19.3125
1560758285121	TYPE_GYROSCOPE	-0.1471138	0.22471114	0.240454
1560758285121	TYPE_ROTATION_VECTOR	0.086663	-0.015374	-0.289419
1560758285121	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-660.25	504.375	228.4375
1560758285121	TYPE_GYROSCOPE_UNCALIBRATED	-0.1526814	0.37069046	0.3373198
1560758285141	TYPE_ACCELEROMETER	0.19153613	1.4652514	10.237606
1560758285141	TYPE_MAGNETIC_FIELD	-23.0	37.875	-19.3125
1560758285141	TYPE_GYROSCOPE	-0.12901473	-0.069115035	0.042428955
1560758285141	TYPE_ROTATION_VECTOR	0.085875	-0.01301	-0.286951
1560758285141	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-660.0625	504.875	228.8125
1560758285141	TYPE_GYROSCOPE_UNCALIBRATED	-0.14735815	0.22483331	0.24043655
1560758285161	TYPE_ACCELEROMETER	0.17238252	1.4460979	10.649409
1560758285161	TYPE_MAGNETIC_FIELD	-23.1875	34.75	-20.875
1560758285161	TYPE_GYROSCOPE	-0.0821701	-0.12021828	0.04881686
1560758285161	TYPE_ROTATION_VECTOR	0.084436	-0.014086	-0.286546
1560758285161	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-660.1875	504.6875	228.8125
1560758285161	TYPE_GYROSCOPE_UNCALIBRATED	-0.12925908	-0.06899287	0.042411502
1560758285181	TYPE_ACCELEROMETER	-0.30645782	2.0207062	9.56723
1560758285181	TYPE_MAGNETIC_FIELD	-24.75	33.6875	-15.875
1560758285181	TYPE_GYROSCOPE	-0.1449845	0.115052104	0.22448425
1560758285181	TYPE_ROTATION_VECTOR	0.083302	-0.015037	-0.286193
1560758285181	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-660.25	504.1875	229.8125
1560758285181	TYPE_GYROSCOPE_UNCALIBRATED	-0.08241445	-0.1200961	0.048799407
1560758285201	TYPE_ACCELEROMETER	-0.6607997	2.0494366	9.097966
1560758285201	TYPE_MAGNETIC_FIELD	-25.75	40.0	-17.6875
1560758285201	TYPE_GYROSCOPE	-0.12156218	0.1799958	0.2798461
1560758285201	TYPE_ROTATION_VECTOR	0.083797	-0.015598	-0.28355
1560758285201	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-659.875	504.6875	229.9375
1560758285201	TYPE_GYROSCOPE_UNCALIBRATED	-0.14522885	0.11517428	0.2244668
1560758285222	TYPE_ACCELEROMETER	0.22984336	1.8100165	9.768343
1560758285222	TYPE_MAGNETIC_FIELD	-23.0625	36.3125	-19.25
1560758285222	TYPE_GYROSCOPE	-0.033196162	0.041591197	0.029653143
