#	startTime:1560758908805
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5858a	FloorName:4F
1560758908807	TYPE_WAYPOINT	56.91705	75.46025
1560758909024	TYPE_ACCELEROMETER	-0.10534488	1.5993267	9.797073
1560758909024	TYPE_MAGNETIC_FIELD	-21.375	-26.0625	-14.9375
1560758909024	TYPE_GYROSCOPE	-0.039584067	-0.035046212	-0.036337756
1560758909024	TYPE_ROTATION_VECTOR	0.028209	-0.071675	-0.928507
1560758909024	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-655.8125	442.0625	232.5
1560758909024	TYPE_GYROSCOPE_UNCALIBRATED	0.017645279	-0.025342181	-0.03954916
1560758909044	TYPE_ACCELEROMETER	-0.21068975	1.6663644	9.883265
1560758909044	TYPE_MAGNETIC_FIELD	-22.75	-24.5625	-15.0
1560758909044	TYPE_GYROSCOPE	-0.031066861	-0.038240165	-0.013980087
1560758909044	TYPE_ROTATION_VECTOR	0.029253	-0.071604	-0.928596
1560758909044	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-656.1875	442.3125	232.875
1560758909044	TYPE_GYROSCOPE_UNCALIBRATED	-0.039828412	-0.034924038	-0.03635521
1560758909064	TYPE_ACCELEROMETER	-0.19153613	1.685518	9.883265
1560758909064	TYPE_MAGNETIC_FIELD	-22.8125	-25.375	-14.125
1560758909064	TYPE_GYROSCOPE	0.022148227	-0.0063006384	0.0136833815
1560758909064	TYPE_ROTATION_VECTOR	0.028797999	-0.071452	-0.92868
1560758909064	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-656.4375	442.25	233.3125
1560758909064	TYPE_GYROSCOPE_UNCALIBRATED	-0.031311207	-0.03811799	-0.013997541
1560758909084	TYPE_ACCELEROMETER	-0.16280572	1.7046716	9.902418
1560758909084	TYPE_MAGNETIC_FIELD	-24.1875	-23.8125	-17.5
1560758909084	TYPE_GYROSCOPE	0.050893802	-0.012688544	0.028588492
1560758909084	TYPE_ROTATION_VECTOR	0.029868	-0.072183	-0.928539
1560758909084	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-656.875	442.875	233.3125
1560758909084	TYPE_GYROSCOPE_UNCALIBRATED	0.021903882	-0.0061784657	0.013665928
1560758909104	TYPE_ACCELEROMETER	-0.10534488	1.7142484	9.835381
1560758909104	TYPE_MAGNETIC_FIELD	-21.25	-24.4375	-16.625
1560758909104	TYPE_GYROSCOPE	0.03598869	-0.025464354	0.042428955
1560758909104	TYPE_ROTATION_VECTOR	0.029916	-0.072712	-0.928402
1560758909104	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-657.1875	442.6875	233.5
1560758909104	TYPE_GYROSCOPE_UNCALIBRATED	0.050649453	-0.012566371	0.02857104
1560758909124	TYPE_ACCELEROMETER	-0.02873042	1.6663644	9.758766
1560758909124	TYPE_MAGNETIC_FIELD	-22.75	-24.5625	-15.0
1560758909124	TYPE_GYROSCOPE	0.02321288	0.0032637657	0.05094616
1560758909124	TYPE_ROTATION_VECTOR	0.029947	-0.073685996	-0.928184
1560758909124	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-657.4375	443.0	233.5
1560758909124	TYPE_GYROSCOPE_UNCALIBRATED	0.035744343	-0.025342181	0.042411502
1560758909143	TYPE_ACCELEROMETER	0.0	1.5801731	9.825804
