#	startTime:1560760882643
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5858a	FloorName:4F
1560760882645	TYPE_WAYPOINT	118.60598	50.992344
1560760882861	TYPE_ACCELEROMETER	0.076614454	2.6431987	9.270349
1560760882861	TYPE_MAGNETIC_FIELD	-28.1875	-46.375	-8.5625
1560760882861	TYPE_GYROSCOPE	-0.12795009	6.981317E-5	-0.02994985
1560760882861	TYPE_ROTATION_VECTOR	0.031613998	-0.1292	-0.946681
1560760882861	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-662.3125	421.875	226.0
1560760882861	TYPE_GYROSCOPE_UNCALIBRATED	-0.07283259	-0.045570545	-0.045937065
1560760882881	TYPE_ACCELEROMETER	0.20111294	2.5474305	9.548077
1560760882881	TYPE_MAGNETIC_FIELD	-31.0	-44.1875	-8.625
1560760882881	TYPE_GYROSCOPE	-0.074717544	-0.035046212	-0.045919612
1560760882881	TYPE_ROTATION_VECTOR	0.030483	-0.127343	-0.947043
1560760882881	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-662.75	422.3125	226.3125
1560760882881	TYPE_GYROSCOPE_UNCALIBRATED	-0.12819444	1.9198621E-4	-0.029967302
1560760882901	TYPE_ACCELEROMETER	0.29688102	2.4229321	9.710882
1560760882901	TYPE_MAGNETIC_FIELD	-31.125	-45.8125	-8.5625
1560760882901	TYPE_GYROSCOPE	-0.040648717	-0.07763225	-0.07785914
1560760882901	TYPE_ROTATION_VECTOR	0.029993	-0.126726	-0.94728297
1560760882901	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-663.0	422.25	226.4375
1560760882901	TYPE_GYROSCOPE_UNCALIBRATED	-0.07496189	-0.034924038	-0.045937065
1560760882921	TYPE_ACCELEROMETER	0.23942018	2.4899697	9.615114
1560760882921	TYPE_MAGNETIC_FIELD	-29.5625	-44.875	-8.5625
1560760882921	TYPE_GYROSCOPE	-0.05129523	-0.05953318	-0.09276425
1560760882921	TYPE_ROTATION_VECTOR	0.029197	-0.126497	-0.947593
1560760882921	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-663.125	422.375	226.75
1560760882921	TYPE_GYROSCOPE_UNCALIBRATED	-0.040893063	-0.077510074	-0.07787659
1560760882941	TYPE_ACCELEROMETER	0.18195933	2.5953147	9.423578
1560760882941	TYPE_MAGNETIC_FIELD	-32.1875	-40.375	-7.0625
1560760882941	TYPE_GYROSCOPE	-0.076846845	0.0053930674	-0.08850565
1560760882941	TYPE_ROTATION_VECTOR	0.028603	-0.126159	-0.947945
1560760882941	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-663.375	423.5	227.4375
1560760882941	TYPE_GYROSCOPE_UNCALIBRATED	-0.051539574	-0.059411008	-0.0927817
1560760882961	TYPE_ACCELEROMETER	0.18195933	2.6719291	9.442732
1560760882961	TYPE_MAGNETIC_FIELD	-30.9375	-43.375	-10.3125
1560760882961	TYPE_GYROSCOPE	-0.076846845	0.018168878	-0.064018674
1560760882961	TYPE_ROTATION_VECTOR	0.028971	-0.126398	-0.948145
1560760882961	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-663.9375	424.0625	227.0625
1560760882961	TYPE_GYROSCOPE_UNCALIBRATED	-0.077091195	0.0055152406	-0.0885231
1560760882981	TYPE_ACCELEROMETER	0.18195933	2.6527755	9.433155
1560760882981	TYPE_MAGNETIC_FIELD	-31.8125	-45.0625	-8.5625
1560760882981	TYPE_GYROSCOPE	-0.074717544	0.050108403	-0.04166101
1560760882981	TYPE_ROTATION_VECTOR	0.029004	-0.1256	-0.948422
1560760882981	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-664.0625	423.9375	227.0625
