#	startTime:1560762351168
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5858a	FloorName:4F
1560762351170	TYPE_WAYPOINT	149.25189	57.456768
1560762351392	TYPE_ACCELEROMETER	-0.32561144	1.1109096	9.710882
1560762351392	TYPE_MAGNETIC_FIELD	27.75	-15.125	-17.5
1560762351392	TYPE_GYROSCOPE	-0.06832964	0.06607816	0.036041047
1560762351392	TYPE_ROTATION_VECTOR	0.01282	0.072384	0.879144
1560762351392	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.375	441.0	229.875
1560762351392	TYPE_GYROSCOPE_UNCALIBRATED	-0.04728097	0.10026917	0.045605455
1560762351412	TYPE_ACCELEROMETER	-0.30645782	0.9768343	9.902418
1560762351412	TYPE_MAGNETIC_FIELD	26.625	-20.6875	-19.875
1560762351412	TYPE_GYROSCOPE	-0.08110545	-9.773844E-4	-0.0033335788
1560762351412	TYPE_ROTATION_VECTOR	0.011674	0.068992	0.879327
1560762351412	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.6875	440.625	229.75
1560762351412	TYPE_GYROSCOPE_UNCALIBRATED	-0.06857399	0.06620034	0.036023594
1560762351433	TYPE_ACCELEROMETER	-0.37349546	1.1109096	9.969456
1560762351433	TYPE_MAGNETIC_FIELD	30.25	-22.0	-19.875
1560762351433	TYPE_GYROSCOPE	-0.07258824	-0.053145275	-0.013980087
1560762351433	TYPE_ROTATION_VECTOR	0.011298	0.068277	0.879366
1560762351433	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.125	440.125	229.6875
1560762351433	TYPE_GYROSCOPE_UNCALIBRATED	-0.0813498	-8.5521134E-4	-0.0033510323
1560762351452	TYPE_ACCELEROMETER	-0.46926352	1.1683705	9.950302
1560762351452	TYPE_MAGNETIC_FIELD	27.25	-22.1875	-23.1875
1560762351452	TYPE_GYROSCOPE	-0.040648717	-0.035046212	9.0757123E-4
1560762351452	TYPE_ROTATION_VECTOR	0.010819	0.066776	0.879345
1560762351452	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.125	439.8125	228.875
1560762351452	TYPE_GYROSCOPE_UNCALIBRATED	-0.07283259	-0.053023104	-0.013997541
1560762351472	TYPE_ACCELEROMETER	-0.4213795	1.1013328	9.883265
1560762351472	TYPE_MAGNETIC_FIELD	25.9375	-19.9375	-20.75
1560762351472	TYPE_GYROSCOPE	0.002984513	0.016039576	9.0757123E-4
1560762351472	TYPE_ROTATION_VECTOR	0.010935	0.066255	0.879372
1560762351472	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.5625	440.0625	229.0
1560762351472	TYPE_GYROSCOPE_UNCALIBRATED	-0.040893063	-0.034924038	8.901179E-4
1560762351493	TYPE_ACCELEROMETER	-0.2873042	1.0726024	9.835381
1560762351493	TYPE_MAGNETIC_FIELD	28.125	-20.5625	-20.75
1560762351493	TYPE_GYROSCOPE	0.034924038	0.039461896	-0.01823869
1560762351493	TYPE_ROTATION_VECTOR	0.011273	0.064883	0.879353
1560762351493	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.5	439.0	228.375
1560762351493	TYPE_GYROSCOPE_UNCALIBRATED	0.0027401668	0.01616175	8.901179E-4
1560762351512	TYPE_ACCELEROMETER	-0.29688102	1.1683705	9.749189
1560762351512	TYPE_MAGNETIC_FIELD	29.625	-20.5	-19.0625
1560762351512	TYPE_GYROSCOPE	0.026406832	0.02029818	-0.025691247
1560762351512	TYPE_ROTATION_VECTOR	0.011078	0.065381	0.879248
1560762351512	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-608.875	439.0	228.5625
1560762351512	TYPE_GYROSCOPE_UNCALIBRATED	0.034679692	0.039584067	-0.018256145
1560762351532	TYPE_ACCELEROMETER	-0.48841715	1.3694834	9.662998
1560762351532	TYPE_MAGNETIC_FIELD	26.625	-20.6875	-20.75
1560762351532	TYPE_GYROSCOPE	-0.01616175	-0.027593656	0.021135937
1560762351532	TYPE_ROTATION_VECTOR	0.011045	0.066868	0.87912
1560762351532	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.625	439.3125	228.375
1560762351532	TYPE_GYROSCOPE_UNCALIBRATED	0.026162485	0.020420352	-0.0257087
1560762351552	TYPE_ACCELEROMETER	-0.545878	1.4748282	9.548077
1560762351552	TYPE_MAGNETIC_FIELD	26.75	-19.125	-19.0625
1560762351552	TYPE_GYROSCOPE	-0.06513569	-0.043563418	0.060528018
1560762351552	TYPE_ROTATION_VECTOR	0.011225	0.066596	0.879227
1560762351552	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.75	439.9375	229.1875
1560762351552	TYPE_GYROSCOPE_UNCALIBRATED	-0.016406095	-0.027471483	0.021118484
1560762351573	TYPE_ACCELEROMETER	-0.39264908	1.2737153	9.471462
1560762351573	TYPE_MAGNETIC_FIELD	27.4375	-19.8125	-20.75
1560762351573	TYPE_GYROSCOPE	-0.063006386	0.017104227	0.0371057
1560762351573	TYPE_ROTATION_VECTOR	0.011706	0.065642	0.879543
1560762351573	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.4375	439.9375	229.1875
1560762351573	TYPE_GYROSCOPE_UNCALIBRATED	-0.06538004	-0.043441243	0.060510565
1560762351592	TYPE_ACCELEROMETER	-0.18195933	1.0821792	9.595961
1560762351592	TYPE_MAGNETIC_FIELD	28.0625	-21.375	-21.5625
1560762351592	TYPE_GYROSCOPE	0.0061784657	0.07353072	-0.011850785
1560762351592	TYPE_ROTATION_VECTOR	0.011283	0.065166	0.87976
1560762351592	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.4375	439.75	229.0
1560762351592	TYPE_GYROSCOPE_UNCALIBRATED	-0.063250735	0.0172264	0.037088245
1560762351612	TYPE_ACCELEROMETER	-0.23942018	1.1587936	9.557653
1560762351612	TYPE_MAGNETIC_FIELD	27.3125	-21.4375	-20.6875
1560762351612	TYPE_GYROSCOPE	0.0072431164	0.06181956	-0.0033335788
1560762351612	TYPE_ROTATION_VECTOR	0.011163	0.065115	0.879704
1560762351612	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.875	439.5625	228.6875
1560762351612	TYPE_GYROSCOPE_UNCALIBRATED	0.005934119	0.07365289	-0.011868238
1560762351633	TYPE_ACCELEROMETER	-0.545878	1.436521	9.404425
1560762351633	TYPE_MAGNETIC_FIELD	27.4375	-19.8125	-19.9375
1560762351633	TYPE_GYROSCOPE	-0.11836823	0.0085870195	0.08075638
1560762351633	TYPE_ROTATION_VECTOR	0.01065	0.065473	0.879689
1560762351633	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.75	439.75	228.875
1560762351633	TYPE_GYROSCOPE_UNCALIBRATED	0.0069987704	0.061941735	-0.0033510323
1560762351652	TYPE_ACCELEROMETER	-0.63206923	1.541866	9.643845
1560762351652	TYPE_MAGNETIC_FIELD	32.25	-14.0625	-14.1875
1560762351652	TYPE_GYROSCOPE	-0.19182913	-0.035046212	0.13611823
1560762351652	TYPE_ROTATION_VECTOR	0.009958	0.066102	0.880138
1560762351652	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-608.625	440.75	229.8125
1560762351652	TYPE_GYROSCOPE_UNCALIBRATED	-0.11861257	0.008709193	0.08073893
1560762351672	TYPE_ACCELEROMETER	-0.45968673	1.0247183	9.902418
1560762351672	TYPE_MAGNETIC_FIELD	25.3125	-18.375	-20.8125
1560762351672	TYPE_GYROSCOPE	-0.09813987	-0.040369466	0.06798057
1560762351672	TYPE_ROTATION_VECTOR	0.009456	0.064239	0.880896
1560762351672	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.0625	441.0625	229.8125
1560762351672	TYPE_GYROSCOPE_UNCALIBRATED	-0.19207348	-0.034924038	0.13610077
1560762351692	TYPE_ACCELEROMETER	-0.2681506	0.7661445	9.662998
1560762351692	TYPE_MAGNETIC_FIELD	25.4375	-16.875	-16.625
1560762351692	TYPE_GYROSCOPE	0.030665435	0.023492131	-0.016109388
1560762351692	TYPE_ROTATION_VECTOR	0.009192	0.061276	0.881318
1560762351692	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.5625	441.9375	230.8125
1560762351692	TYPE_GYROSCOPE_UNCALIBRATED	-0.09838421	-0.04024729	0.06796312
1560762351713	TYPE_ACCELEROMETER	-0.48841715	1.0726024	9.490616
1560762351713	TYPE_MAGNETIC_FIELD	28.8125	-21.25	-23.1875
1560762351713	TYPE_GYROSCOPE	0.077510074	0.027750734	-0.0033335788
1560762351713	TYPE_ROTATION_VECTOR	0.009118	0.06166	0.881225
