#	startTime:1560762477434
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5858a	FloorName:4F
1560762477437	TYPE_WAYPOINT	129.0092	78.2116
1560762477658	TYPE_ACCELEROMETER	-0.16280572	1.982399	9.56723
1560762477658	TYPE_MAGNETIC_FIELD	40.9375	-5.3125	-21.875
1560762477658	TYPE_GYROSCOPE	-0.10239847	-0.14044665	-0.2109405
1560762477658	TYPE_ROTATION_VECTOR	0.068925	0.072907	0.696565
1560762477658	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-595.625	455.3125	228.1875
1560762477658	TYPE_GYROSCOPE_UNCALIBRATED	-0.07070329	-0.1158375	-0.2120226
1560762477678	TYPE_ACCELEROMETER	-0.22026655	1.9440918	9.653421
1560762477678	TYPE_MAGNETIC_FIELD	39.3125	-7.8125	-21.8125
1560762477678	TYPE_GYROSCOPE	-0.09920452	-0.1521578	-0.19922933
1560762477678	TYPE_ROTATION_VECTOR	0.068117	0.072216	0.695103
1560762477678	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-596.1875	454.5625	228.0
1560762477678	TYPE_GYROSCOPE_UNCALIBRATED	-0.10264281	-0.14032447	-0.21095794
1560762477698	TYPE_ACCELEROMETER	-0.25857377	1.982399	9.701305
1560762477698	TYPE_MAGNETIC_FIELD	41.75	-4.375	-24.4375
1560762477698	TYPE_GYROSCOPE	-0.0800408	-0.14151129	-0.16941911
1560762477698	TYPE_ROTATION_VECTOR	0.068323	0.070579	0.693646
1560762477698	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-596.0	454.75	227.375
1560762477698	TYPE_GYROSCOPE_UNCALIBRATED	-0.09944886	-0.15203562	-0.1992468
1560762477718	TYPE_ACCELEROMETER	-0.19153613	2.1068976	9.557653
1560762477718	TYPE_MAGNETIC_FIELD	41.875	-2.8125	-24.4375
1560762477718	TYPE_GYROSCOPE	-0.08749335	-0.040369466	-0.12896238
1560762477718	TYPE_ROTATION_VECTOR	0.069049	0.070921	0.692496
1560762477718	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-595.875	455.125	226.375
1560762477718	TYPE_GYROSCOPE_UNCALIBRATED	-0.08028515	-0.14138912	-0.16943656
1560762477738	TYPE_ACCELEROMETER	-0.05746084	2.1260512	9.452309
1560762477738	TYPE_MAGNETIC_FIELD	41.0	-4.5	-21.0625
1560762477738	TYPE_GYROSCOPE	-0.05342453	0.014974925	-0.12044517
1560762477738	TYPE_ROTATION_VECTOR	0.068612	0.070117	0.691606
1560762477738	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-596.125	455.125	226.5
1560762477738	TYPE_GYROSCOPE_UNCALIBRATED	-0.0877377	-0.04024729	-0.12897983
1560762477758	TYPE_ACCELEROMETER	0.0	1.9057846	9.77792
1560762477758	TYPE_MAGNETIC_FIELD	39.0	-1.5625	-17.8125
1560762477758	TYPE_GYROSCOPE	-0.007644542	-0.058468528	-0.13747959
1560762477758	TYPE_ROTATION_VECTOR	0.068062	0.069424	0.690798
1560762477758	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-596.5625	455.875	227.3125
1560762477758	TYPE_GYROSCOPE_UNCALIBRATED	-0.053668875	0.015097098	-0.120462626
1560762477778	TYPE_ACCELEROMETER	0.06703765	1.7812861	9.902418
1560762477778	TYPE_MAGNETIC_FIELD	38.25	-1.625	-18.625
1560762477778	TYPE_GYROSCOPE	-0.002321288	-0.09253736	-0.17048377
1560762477778	TYPE_ROTATION_VECTOR	0.068316	0.069048	0.689776
1560762477778	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-596.75	457.0625	228.0
1560762477778	TYPE_GYROSCOPE_UNCALIBRATED	-0.007888888	-0.058346357	-0.13749704
1560762477798	TYPE_ACCELEROMETER	0.1340753	1.8195933	9.586384
1560762477798	TYPE_MAGNETIC_FIELD	40.9375	-5.3125	-22.75
1560762477798	TYPE_GYROSCOPE	-0.037454765	-0.086149454	-0.1609019
1560762477798	TYPE_ROTATION_VECTOR	0.069183	0.06765	0.688529
1560762477798	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-596.9375	456.9375	228.3125
1560762477798	TYPE_GYROSCOPE_UNCALIBRATED	-0.002565634	-0.092415184	-0.17050122
1560762477818	TYPE_ACCELEROMETER	0.019153614	1.8962077	9.32781
1560762477818	TYPE_MAGNETIC_FIELD	41.6875	-5.3125	-20.1875
1560762477818	TYPE_GYROSCOPE	-0.10665707	-0.04675737	-0.1438675
1560762477818	TYPE_ROTATION_VECTOR	0.069398	0.066885	0.687335
1560762477818	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-596.9375	456.4375	229.125
1560762477818	TYPE_GYROSCOPE_UNCALIBRATED	-0.03769911	-0.08602728	-0.16091935
1560762477839	TYPE_ACCELEROMETER	0.1436521	1.8962077	9.155427
1560762477839	TYPE_MAGNETIC_FIELD	42.625	-2.8125	-21.125
1560762477839	TYPE_GYROSCOPE	-0.16308357	-0.037175514	-0.13960889
1560762477839	TYPE_ROTATION_VECTOR	0.069903	0.065767	0.686359
1560762477839	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-596.625	456.75	229.125
1560762477839	TYPE_GYROSCOPE_UNCALIBRATED	-0.106901415	-0.046635196	-0.14388494
1560762477858	TYPE_ACCELEROMETER	0.15322891	1.7429788	9.308656
1560762477858	TYPE_MAGNETIC_FIELD	43.25	-4.375	-21.0625
1560762477858	TYPE_GYROSCOPE	-0.20460495	0.0075223693	-0.16835445
1560762477858	TYPE_ROTATION_VECTOR	0.068889	0.064478	0.68543
1560762477858	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-595.75	456.1875	228.5
1560762477858	TYPE_GYROSCOPE_UNCALIBRATED	-0.16332792	-0.03705334	-0.13962634
1560762477878	TYPE_ACCELEROMETER	0.32561144	1.5705963	9.385271
1560762477878	TYPE_MAGNETIC_FIELD	43.1875	-5.125	-23.5625
1560762477878	TYPE_GYROSCOPE	-0.20247565	0.011780973	-0.24500932
1560762477878	TYPE_ROTATION_VECTOR	0.067865	0.061116	0.684536
1560762477878	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-594.8125	455.5	227.5
1560762477878	TYPE_GYROSCOPE_UNCALIBRATED	-0.20484929	0.007644542	-0.16837192
