#	startTime:1560762890564
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5858a	FloorName:4F
1560762890565	TYPE_WAYPOINT	88.95227	111.20895
1560762890785	TYPE_ACCELEROMETER	0.0	1.4556746	9.5385
1560762890785	TYPE_MAGNETIC_FIELD	30.6875	-36.4375	-5.9375
1560762890785	TYPE_GYROSCOPE	-0.01616175	-9.773844E-4	-0.002268928
1560762890785	TYPE_ROTATION_VECTOR	0.031264	0.064593	0.927475
1560762890785	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.5	425.1875	240.3125
1560762890785	TYPE_GYROSCOPE_UNCALIBRATED	-0.002565634	-0.032794736	-0.01293289
1560762890805	TYPE_ACCELEROMETER	-0.009576807	1.388637	9.615114
1560762890805	TYPE_MAGNETIC_FIELD	32.3125	-34.0	-3.5
1560762890805	TYPE_GYROSCOPE	-0.025743606	0.02242748	-0.008656833
1560762890805	TYPE_ROTATION_VECTOR	0.030535	0.064644	0.927484
1560762890805	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.3125	425.5625	240.75
1560762890805	TYPE_GYROSCOPE_UNCALIBRATED	-0.016406095	-8.5521134E-4	-0.0022863813
1560762890825	TYPE_ACCELEROMETER	-0.019153614	1.4173675	9.739613
1560762890825	TYPE_MAGNETIC_FIELD	31.5625	-34.0	-5.1875
1560762890825	TYPE_GYROSCOPE	-0.036390115	0.009651671	-0.034208454
1560762890825	TYPE_ROTATION_VECTOR	0.030216	0.064438	0.927161
1560762890825	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.3125	425.8125	240.6875
1560762890825	TYPE_GYROSCOPE_UNCALIBRATED	-0.025987953	0.022549653	-0.008674286
1560762890844	TYPE_ACCELEROMETER	-0.21068975	1.6280571	9.902418
1560762890844	TYPE_MAGNETIC_FIELD	32.125	-37.1875	-3.4375
1560762890844	TYPE_GYROSCOPE	-0.01616175	-0.027593656	-0.017174039
1560762890844	TYPE_ROTATION_VECTOR	0.028890999	0.065755	0.926967
1560762890844	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.375	425.375	241.0625
1560762890844	TYPE_GYROSCOPE_UNCALIBRATED	-0.03663446	0.009773844	-0.034225907
1560762890865	TYPE_ACCELEROMETER	-0.30645782	1.7429788	9.768343
1560762890865	TYPE_MAGNETIC_FIELD	29.1875	-36.5625	-5.125
1560762890865	TYPE_GYROSCOPE	-1.9198621E-4	-0.013753194	0.033911746
1560762890865	TYPE_ROTATION_VECTOR	0.029155	0.065796	0.92874
1560762890865	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.8125	425.125	241.0625
1560762890865	TYPE_GYROSCOPE_UNCALIBRATED	-0.016406095	-0.027471483	-0.017191494
1560762890885	TYPE_ACCELEROMETER	-0.22984336	1.5610195	9.56723
1560762890885	TYPE_MAGNETIC_FIELD	26.5	-32.875	-1.875
1560762890885	TYPE_GYROSCOPE	-0.010838495	0.02242748	0.060528018
1560762890885	TYPE_ROTATION_VECTOR	0.02824	0.066815	0.928809
1560762890885	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.6875	425.875	241.875
1560762890885	TYPE_GYROSCOPE_UNCALIBRATED	-4.363323E-4	-0.013631022	0.033894293
1560762890904	TYPE_ACCELEROMETER	-0.076614454	1.4460979	9.653421
1560762890904	TYPE_MAGNETIC_FIELD	28.5625	-35.0625	-5.125
1560762890904	TYPE_GYROSCOPE	-0.010838495	0.026686084	0.059463367
1560762890904	TYPE_ROTATION_VECTOR	0.028032	0.06678	0.92904097
1560762890904	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-607.4375	425.6875	241.5625
