#	startTime:1560762803879
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5858a	FloorName:4F
1560762803881	TYPE_WAYPOINT	88.95227	111.20895
1560762804098	TYPE_ACCELEROMETER	0.009576807	1.4556746	9.442732
1560762804098	TYPE_MAGNETIC_FIELD	-11.375	19.375	-47.4375
1560762804098	TYPE_GYROSCOPE	-0.04171337	0.02242748	-0.0043982295
1560762804098	TYPE_ROTATION_VECTOR	0.07466	-0.015003	-0.170034
1560762804098	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-646.6875	482.875	202.3125
1560762804098	TYPE_GYROSCOPE_UNCALIBRATED	-0.008953539	0.02893756	-0.009738937
1560762804119	TYPE_ACCELEROMETER	0.0	1.3694834	9.739613
1560762804119	TYPE_MAGNETIC_FIELD	-10.375	22.5	-42.5625
1560762804119	TYPE_GYROSCOPE	-0.048101272	-0.088278756	-0.007592182
1560762804119	TYPE_ROTATION_VECTOR	0.072737	-0.014181	-0.170144
1560762804119	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-646.875	483.0	202.5625
1560762804119	TYPE_GYROSCOPE_UNCALIBRATED	-0.041957714	0.022549653	-0.004415683
1560762804139	TYPE_ACCELEROMETER	0.02873042	1.3024458	9.988609
1560762804139	TYPE_MAGNETIC_FIELD	-9.75	21.8125	-43.375
1560762804139	TYPE_GYROSCOPE	-0.05448918	-0.160675	-0.011850785
1560762804139	TYPE_ROTATION_VECTOR	0.072117	-0.01496	-0.17029
1560762804139	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-646.875	482.875	202.5
1560762804139	TYPE_GYROSCOPE_UNCALIBRATED	-0.04834562	-0.08815658	-0.0076096356
1560762804158	TYPE_ACCELEROMETER	0.10534488	1.283292	9.931149
1560762804158	TYPE_MAGNETIC_FIELD	-11.0625	24.125	-45.9375
1560762804158	TYPE_GYROSCOPE	-0.01829105	-0.14151129	-0.015044739
1560762804158	TYPE_ROTATION_VECTOR	0.070404	-0.016545	-0.170535
1560762804158	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-647.125	483.375	201.3125
1560762804158	TYPE_GYROSCOPE_UNCALIBRATED	-0.054733526	-0.16055284	-0.011868238
1560762804179	TYPE_ACCELEROMETER	0.1436521	1.3311762	9.682152
1560762804179	TYPE_MAGNETIC_FIELD	-10.625	19.375	-45.8125
1560762804179	TYPE_GYROSCOPE	-0.021485003	-0.051015973	-0.012915436
1560762804179	TYPE_ROTATION_VECTOR	0.069988	-0.017893	-0.170786
1560762804179	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-647.625	482.25	200.6875
1560762804179	TYPE_GYROSCOPE_UNCALIBRATED	-0.018535396	-0.14138912	-0.0150621915
1560762804199	TYPE_ACCELEROMETER	0.22984336	1.3599066	9.423578
1560762804199	TYPE_MAGNETIC_FIELD	-13.125	25.4375	-40.9375
1560762804199	TYPE_GYROSCOPE	-0.036390115	0.023492131	-1.3962634E-4
1560762804199	TYPE_ROTATION_VECTOR	0.069567	-0.01883	-0.170923
1560762804199	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-648.0	483.4375	202.0
1560762804199	TYPE_GYROSCOPE_UNCALIBRATED	-0.021729348	-0.050893802	-0.01293289
1560762804218	TYPE_ACCELEROMETER	0.19153613	1.3790601	9.615114
1560762804218	TYPE_MAGNETIC_FIELD	-11.3125	20.0625	-42.5
