#	startTime:1560763068339
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5858a	FloorName:4F
1560763068341	TYPE_WAYPOINT	79.40978	103.39658
1560763068554	TYPE_ACCELEROMETER	-0.5267244	1.2545617	9.385271
1560763068554	TYPE_MAGNETIC_FIELD	27.125	-11.6875	-24.875
1560763068554	TYPE_GYROSCOPE	-0.0033859387	-0.0829555	0.008360127
1560763068554	TYPE_ROTATION_VECTOR	0.019532999	0.072119	0.813534
1560763068554	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-608.875	449.0	219.6875
1560763068554	TYPE_GYROSCOPE_UNCALIBRATED	0.062360615	-0.046635196	0.008342674
1560763068574	TYPE_ACCELEROMETER	-0.5267244	1.1204864	9.576807
1560763068574	TYPE_MAGNETIC_FIELD	27.1875	-10.875	-25.75
1560763068574	TYPE_GYROSCOPE	0.021083577	-0.060597833	0.020071287
1560763068574	TYPE_ROTATION_VECTOR	0.020194	0.071614	0.813567
1560763068574	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.125	449.25	219.75
1560763068574	TYPE_GYROSCOPE_UNCALIBRATED	-0.003630285	-0.08283333	0.008342674
1560763068595	TYPE_ACCELEROMETER	-0.49799395	1.1013328	9.749189
1560763068595	TYPE_MAGNETIC_FIELD	26.5625	-9.375	-23.3125
1560763068595	TYPE_GYROSCOPE	0.050893802	-0.049951322	0.027523842
1560763068595	TYPE_ROTATION_VECTOR	0.019745	0.070063	0.81372
1560763068595	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.375	449.6875	220.25
1560763068595	TYPE_GYROSCOPE_UNCALIBRATED	0.020839231	-0.06047566	0.020053834
1560763068614	TYPE_ACCELEROMETER	-0.46926352	1.1683705	9.701305
1560763068614	TYPE_MAGNETIC_FIELD	27.1875	-10.875	-25.75
1560763068614	TYPE_GYROSCOPE	0.033859387	-0.040369466	0.034976397
1560763068614	TYPE_ROTATION_VECTOR	0.020464	0.070186	0.813832
1560763068614	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.8125	450.125	220.25
1560763068614	TYPE_GYROSCOPE_UNCALIBRATED	0.050649453	-0.04982915	0.027506389
1560763068634	TYPE_ACCELEROMETER	-0.41180268	1.2066777	9.653421
1560763068634	TYPE_MAGNETIC_FIELD	27.125	-11.625	-25.75
1560763068634	TYPE_GYROSCOPE	0.021083577	-0.018011797	0.026459191
1560763068634	TYPE_ROTATION_VECTOR	0.02078	0.069323	0.814052
1560763068634	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.9375	449.9375	220.625
1560763068634	TYPE_GYROSCOPE_UNCALIBRATED	0.03361504	-0.04024729	0.034958944
1560763068654	TYPE_ACCELEROMETER	-0.25857377	1.1875241	9.624691
1560763068654	TYPE_MAGNETIC_FIELD	27.0	-14.0625	-24.875
1560763068654	TYPE_GYROSCOPE	0.020018926	0.0085870195	0.001972222
1560763068654	TYPE_ROTATION_VECTOR	0.021066	0.069387	0.814186
1560763068654	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.0	449.4375	220.625
1560763068654	TYPE_GYROSCOPE_UNCALIBRATED	0.020839231	-0.017889624	0.026441738
1560763068674	TYPE_ACCELEROMETER	-0.2777274	1.2066777	9.730036
1560763068674	TYPE_MAGNETIC_FIELD	27.125	-11.625	-28.25
1560763068674	TYPE_GYROSCOPE	0.014695672	0.025621433	0.001972222
1560763068674	TYPE_ROTATION_VECTOR	0.021468	0.068338	0.814272
1560763068674	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.0	449.3125	220.125
1560763068674	TYPE_GYROSCOPE_UNCALIBRATED	0.01977458	0.008709193	0.0019547688
1560763068694	TYPE_ACCELEROMETER	-0.33518824	1.2737153	9.758766
1560763068694	TYPE_MAGNETIC_FIELD	31.1875	-6.6875	-21.6875
1560763068694	TYPE_GYROSCOPE	-0.011903145	0.014974925	0.019006636
1560763068694	TYPE_ROTATION_VECTOR	0.021345	0.068607	0.814278
1560763068694	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.0625	449.8125	220.4375
1560763068694	TYPE_GYROSCOPE_UNCALIBRATED	0.014451326	0.025743606	0.0019547688
1560763068714	TYPE_ACCELEROMETER	-0.45968673	1.2737153	9.911995
1560763068714	TYPE_MAGNETIC_FIELD	27.125	-11.6875	-24.875
1560763068714	TYPE_GYROSCOPE	-0.034260813	-0.11383037	0.03817035
1560763068714	TYPE_ROTATION_VECTOR	0.020893	0.068182	0.81442
1560763068714	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.0625	449.6875	220.625
1560763068714	TYPE_GYROSCOPE_UNCALIBRATED	-0.012147492	0.015097098	0.018989183
1560763068735	TYPE_ACCELEROMETER	-0.4309563	1.292869	9.892841
1560763068735	TYPE_MAGNETIC_FIELD	25.6875	-11.75	-25.75
1560763068735	TYPE_GYROSCOPE	-0.038519416	-0.13618805	0.033911746
1560763068735	TYPE_ROTATION_VECTOR	0.021649	0.067242	0.814638
1560763068735	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.375	449.6875	220.625
1560763068735	TYPE_GYROSCOPE_UNCALIBRATED	-0.03450516	-0.1137082	0.038152896
1560763068754	TYPE_ACCELEROMETER	-0.31603462	1.3120226	9.883265
1560763068754	TYPE_MAGNETIC_FIELD	27.9375	-10.8125	-24.0625
1560763068754	TYPE_GYROSCOPE	0.0051138145	-0.0765676	0.020071287
1560763068754	TYPE_ROTATION_VECTOR	0.022797	0.06585	0.81485
1560763068754	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.1875	450.3125	220.75
1560763068754	TYPE_GYROSCOPE_UNCALIBRATED	-0.03876376	-0.13606587	0.033894293
1560763068774	TYPE_ACCELEROMETER	-0.30645782	1.2258313	9.768343
1560763068774	TYPE_MAGNETIC_FIELD	27.8125	-13.25	-24.0
1560763068774	TYPE_GYROSCOPE	-0.009773844	-0.014817845	0.020071287
1560763068774	TYPE_ROTATION_VECTOR	0.023463	0.065448	0.814943
1560763068774	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.0625	450.0	221.625
1560763068774	TYPE_GYROSCOPE_UNCALIBRATED	0.0048694685	-0.07644542	0.020053834
1560763068795	TYPE_ACCELEROMETER	-0.36391866	1.1683705	9.653421
1560763068795	TYPE_MAGNETIC_FIELD	27.0625	-13.25	-26.5625
1560763068795	TYPE_GYROSCOPE	-0.020420352	0.07246607	0.052010812
1560763068795	TYPE_ROTATION_VECTOR	0.023166	0.064711	0.815092
1560763068795	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.875	448.6875	220.625
1560763068795	TYPE_GYROSCOPE_UNCALIBRATED	-0.010018189	-0.014695672	0.020053834
1560763068814	TYPE_ACCELEROMETER	-0.40222588	1.1971009	9.9790325
1560763068814	TYPE_MAGNETIC_FIELD	25.0625	-10.25	-24.9375
1560763068814	TYPE_GYROSCOPE	-0.0055152406	-0.0765676	0.056269415
