#	startTime:1560763143823
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5858a	FloorName:4F
1560763143824	TYPE_WAYPOINT	58.63646	88.13972
1560763144038	TYPE_ACCELEROMETER	-0.35434186	1.2545617	9.816227
1560763144038	TYPE_MAGNETIC_FIELD	28.0	-21.3125	-16.3125
1560763144038	TYPE_GYROSCOPE	-0.027872909	0.0075223693	0.0371057
1560763144038	TYPE_ROTATION_VECTOR	0.023183	0.055074	0.889308
1560763144038	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.375	438.125	230.8125
1560763144038	TYPE_GYROSCOPE_UNCALIBRATED	-0.015341444	-0.01150172	-0.0012217305
1560763144058	TYPE_ACCELEROMETER	-0.16280572	1.0630256	10.0748005
1560763144058	TYPE_MAGNETIC_FIELD	25.0	-22.3125	-17.125
1560763144058	TYPE_GYROSCOPE	0.012566371	0.017104227	0.040299654
1560763144058	TYPE_ROTATION_VECTOR	0.021675	0.055629	0.889481
1560763144058	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.0	438.1875	230.25
1560763144058	TYPE_GYROSCOPE_UNCALIBRATED	-0.028117254	0.007644542	0.037088245
1560763144079	TYPE_ACCELEROMETER	0.0	1.0247183	10.0269165
1560763144079	TYPE_MAGNETIC_FIELD	27.8125	-23.6875	-17.125
1560763144079	TYPE_GYROSCOPE	0.057281706	0.0085870195	0.010489428
1560763144079	TYPE_ROTATION_VECTOR	0.021602	0.055811	0.88966
1560763144079	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.875	438.0	229.875
1560763144079	TYPE_GYROSCOPE_UNCALIBRATED	0.012322024	0.0172264	0.040282197
1560763144098	TYPE_ACCELEROMETER	-0.038307227	1.13964	9.797073
1560763144098	TYPE_MAGNETIC_FIELD	25.25	-18.4375	-12.25
1560763144098	TYPE_GYROSCOPE	0.057281706	-0.0063006384	-0.002268928
1560763144098	TYPE_ROTATION_VECTOR	0.022073	0.055168	0.889746
1560763144098	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.375	438.75	230.375
1560763144098	TYPE_GYROSCOPE_UNCALIBRATED	0.05703736	0.008709193	0.010471975
1560763144118	TYPE_ACCELEROMETER	-0.15322891	1.2066777	9.615114
1560763144118	TYPE_MAGNETIC_FIELD	25.625	-24.0	-12.125
1560763144118	TYPE_GYROSCOPE	0.026406832	-0.0063006384	0.012618731
1560763144118	TYPE_ROTATION_VECTOR	0.022386	0.055652	0.889702
1560763144118	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.6875	438.875	230.6875
1560763144118	TYPE_GYROSCOPE_UNCALIBRATED	0.05703736	-0.0061784657	-0.0022863813
1560763144138	TYPE_ACCELEROMETER	-0.095768064	1.1587936	9.615114
1560763144138	TYPE_MAGNETIC_FIELD	25.625	-23.9375	-15.4375
1560763144138	TYPE_GYROSCOPE	0.013631022	0.0085870195	0.017941985
1560763144138	TYPE_ROTATION_VECTOR	0.022466	0.056162998	0.889726
1560763144138	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.125	438.3125	230.875
1560763144138	TYPE_GYROSCOPE_UNCALIBRATED	0.026162485	-0.0061784657	0.012601277
1560763144158	TYPE_ACCELEROMETER	-0.009576807	1.1683705	9.662998
1560763144158	TYPE_MAGNETIC_FIELD	24.1875	-23.25	-14.625
1560763144158	TYPE_GYROSCOPE	0.020018926	0.0085870195	-1.3962634E-4
1560763144158	TYPE_ROTATION_VECTOR	0.022461	0.056321	0.8898
1560763144158	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.3125	438.125	231.375
1560763144158	TYPE_GYROSCOPE_UNCALIBRATED	0.013386675	0.008709193	0.01792453
1560763144178	TYPE_ACCELEROMETER	-0.02873042	1.2354081	9.653421
1560763144178	TYPE_MAGNETIC_FIELD	25.5625	-24.6875	-15.4375
1560763144178	TYPE_GYROSCOPE	-1.9198621E-4	-0.014817845	-0.017174039
1560763144178	TYPE_ROTATION_VECTOR	0.022968	0.056227	0.889799
1560763144178	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.75	437.9375	231.75
1560763144178	TYPE_GYROSCOPE_UNCALIBRATED	0.01977458	0.008709193	-1.5707963E-4
1560763144198	TYPE_ACCELEROMETER	-0.1340753	1.340753	9.557653
1560763144198	TYPE_MAGNETIC_FIELD	27.8125	-23.75	-15.4375
1560763144198	TYPE_GYROSCOPE	-0.034260813	-0.016947147	-0.008656833
1560763144198	TYPE_ROTATION_VECTOR	0.023089	0.056164	0.889717
1560763144198	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.25	436.875	231.0625
1560763144198	TYPE_GYROSCOPE_UNCALIBRATED	-4.363323E-4	-0.014695672	-0.017191494
1560763144219	TYPE_ACCELEROMETER	-0.17238252	1.3215994	9.653421
1560763144219	TYPE_MAGNETIC_FIELD	25.6875	-23.125	-14.625
1560763144219	TYPE_GYROSCOPE	-0.05129523	0.0085870195	0.0136833815
1560763144219	TYPE_ROTATION_VECTOR	0.023221	0.056877	0.88962
1560763144219	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.25	437.0625	230.5625
1560763144219	TYPE_GYROSCOPE_UNCALIBRATED	-0.03450516	-0.016824974	-0.008674286
1560763144238	TYPE_ACCELEROMETER	-0.15322891	1.2162545	9.768343
1560763144238	TYPE_MAGNETIC_FIELD	26.3125	-24.625	-15.4375
1560763144238	TYPE_GYROSCOPE	-0.056618482	-0.0073652896	0.023265239
1560763144238	TYPE_ROTATION_VECTOR	0.02292	0.056459	0.889713
1560763144238	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-611.125	436.9375	230.5625
1560763144238	TYPE_GYROSCOPE_UNCALIBRATED	-0.051539574	0.008709193	0.013665928
1560763144258	TYPE_ACCELEROMETER	-0.18195933	1.2449849	9.911995
1560763144258	TYPE_MAGNETIC_FIELD	26.75	-18.4375	-8.875
1560763144258	TYPE_GYROSCOPE	-0.060877085	-0.022270402	0.023265239
1560763144258	TYPE_ROTATION_VECTOR	0.022594	0.056183	0.889833
1560763144258	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.5625	437.875	231.75
1560763144258	TYPE_GYROSCOPE_UNCALIBRATED	-0.056862827	-0.0072431164	0.023247786
1560763144278	TYPE_ACCELEROMETER	-0.22984336	1.2449849	9.950302
1560763144278	TYPE_MAGNETIC_FIELD	26.375	-23.0625	-15.4375
1560763144278	TYPE_GYROSCOPE	-0.033196162	-0.024399703	0.029653143
1560763144278	TYPE_ROTATION_VECTOR	0.022529	0.055538	0.889967
1560763144278	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.4375	438.1875	231.75
1560763144278	TYPE_GYROSCOPE_UNCALIBRATED	-0.06112143	-0.022148227	0.023247786
1560763144298	TYPE_ACCELEROMETER	-0.22984336	1.1875241	9.864111
1560763144298	TYPE_MAGNETIC_FIELD	27.8125	-23.75	-14.625
1560763144298	TYPE_GYROSCOPE	0.002984513	-0.011623893	0.0371057
1560763144298	TYPE_ROTATION_VECTOR	0.022001	0.055596	0.890094
1560763144298	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.4375	438.1875	231.875
1560763144298	TYPE_GYROSCOPE_UNCALIBRATED	-0.033440508	-0.02427753	0.02963569
1560763144318	TYPE_ACCELEROMETER	-0.11492168	1.1779473	9.643845
1560763144318	TYPE_MAGNETIC_FIELD	27.1875	-22.1875	-17.125
1560763144318	TYPE_GYROSCOPE	0.0072431164	0.011780973	0.039235003
1560763144318	TYPE_ROTATION_VECTOR	0.022138	0.055564	0.890257
1560763144318	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-610.125	438.375	231.375
1560763144318	TYPE_GYROSCOPE_UNCALIBRATED	0.0027401668	-0.01150172	0.037088245
1560763144338	TYPE_ACCELEROMETER	-0.038307227	1.1875241	9.442732
1560763144338	TYPE_MAGNETIC_FIELD	27.125	-22.9375	-17.9375
1560763144338	TYPE_GYROSCOPE	-0.031066861	0.009651671	0.0371057
1560763144338	TYPE_ROTATION_VECTOR	0.022193	0.055806	0.890422
1560763144338	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.9375	438.75	230.875
1560763144338	TYPE_GYROSCOPE_UNCALIBRATED	0.0069987704	0.011903145	0.039217547
1560763144359	TYPE_ACCELEROMETER	0.0	1.1300632	9.289502
1560763144359	TYPE_MAGNETIC_FIELD	28.8125	-20.5	-14.6875
1560763144359	TYPE_GYROSCOPE	-0.09707521	-0.002042035	0.026459191
1560763144359	TYPE_ROTATION_VECTOR	0.021987	0.055567	0.890608
1560763144359	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-609.5	438.3125	229.75
1560763144359	TYPE_GYROSCOPE_UNCALIBRATED	-0.031311207	0.009773844	0.037088245
1560763144378	TYPE_ACCELEROMETER	0.0	1.1013328	9.337387
1560763144378	TYPE_MAGNETIC_FIELD	27.9375	-22.125	-15.5
1560763144378	TYPE_GYROSCOPE	-0.16095427	-0.00842994	0.01155408
1560763144378	TYPE_ROTATION_VECTOR	0.022109	0.054574	0.890781
