#	startTime:1560763683871
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5858a	FloorName:4F
1560763683872	TYPE_WAYPOINT	80.74058	93.44855
1560763684093	TYPE_ACCELEROMETER	-0.009576807	1.8291701	9.481039
1560763684093	TYPE_MAGNETIC_FIELD	-39.5625	-9.6875	-12.75
1560763684093	TYPE_GYROSCOPE	-0.011903145	-0.012688544	0.012618731
1560763684093	TYPE_ROTATION_VECTOR	0.053123	-0.070073	-0.771284
1560763684093	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-679.3125	450.8125	225.5625
1560763684093	TYPE_GYROSCOPE_UNCALIBRATED	0.027227135	-0.020018926	-0.0054803337
1560763684114	TYPE_ACCELEROMETER	-0.009576807	1.8291701	9.481039
1560763684114	TYPE_MAGNETIC_FIELD	-40.3125	-10.5625	-11.0625
1560763684114	TYPE_GYROSCOPE	-0.040648717	0.0021991148	0.029653143
1560763684114	TYPE_ROTATION_VECTOR	0.052943	-0.070068	-0.77121997
1560763684114	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-679.25	450.6875	225.75
1560763684114	TYPE_GYROSCOPE_UNCALIBRATED	-0.012147492	-0.012566371	0.012601277
1560763684134	TYPE_ACCELEROMETER	0.009576807	1.7621324	9.56723
1560763684134	TYPE_MAGNETIC_FIELD	-41.8125	-10.625	-13.5625
1560763684134	TYPE_GYROSCOPE	-0.056618482	0.02242748	0.029653143
1560763684134	TYPE_ROTATION_VECTOR	0.053119	-0.069902	-0.771035
1560763684134	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-679.5	450.625	225.375
1560763684134	TYPE_GYROSCOPE_UNCALIBRATED	-0.040893063	0.002321288	0.02963569
1560763684153	TYPE_ACCELEROMETER	0.05746084	1.7429788	9.739613
1560763684153	TYPE_MAGNETIC_FIELD	-41.0	-9.0	-11.9375
1560763684153	TYPE_GYROSCOPE	-0.057683133	0.013910274	0.02539454
1560763684153	TYPE_ROTATION_VECTOR	0.052916	-0.06934	-0.770876
1560763684153	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-679.625	450.9375	225.5625
1560763684153	TYPE_GYROSCOPE_UNCALIBRATED	-0.056862827	0.022549653	0.02963569
1560763684174	TYPE_ACCELEROMETER	0.06703765	1.7142484	9.844957
1560763684174	TYPE_MAGNETIC_FIELD	-41.0625	-10.5625	-13.5625
