#	startTime:1560677487771
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5859d	FloorName:5F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560677487771	TYPE_WAYPOINT	50.532314	71.09305
1560677487964	TYPE_ACCELEROMETER	0.10534488	1.8387469	9.519346
1560677487964	TYPE_MAGNETIC_FIELD	-14.875	18.3125	-37.8125
1560677487964	TYPE_GYROSCOPE	0.03413864	-0.06174975	-0.025464354
1560677487964	TYPE_ROTATION_VECTOR	0.084543	-0.027825	-0.213602
1560677487964	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-598.4375	469.8125	196.9375
1560677487964	TYPE_GYROSCOPE_UNCALIBRATED	0.07648033	-0.04139921	-0.027611108
1560677487985	TYPE_ACCELEROMETER	0.1340753	1.8579005	9.260772
1560677487985	TYPE_MAGNETIC_FIELD	-14.0	20.0	-38.6875
1560677487985	TYPE_GYROSCOPE	-0.028658306	0.026598819	-0.03398156
1560677487985	TYPE_ROTATION_VECTOR	0.084752	-0.028476	-0.213893
1560677487985	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-598.375	470.0	196.5625
1560677487985	TYPE_GYROSCOPE_UNCALIBRATED	0.033894293	-0.061627574	-0.025481807
1560677488005	TYPE_ACCELEROMETER	0.18195933	1.8483237	9.260772
1560677488005	TYPE_MAGNETIC_FIELD	-15.0	16.6875	-36.9375
1560677488005	TYPE_GYROSCOPE	-0.05953318	0.08196066	-0.055274576
1560677488005	TYPE_ROTATION_VECTOR	0.08544	-0.028107	-0.214214
1560677488005	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-598.5	469.4375	196.625
1560677488005	TYPE_GYROSCOPE_UNCALIBRATED	-0.028902652	0.026720991	-0.033999015
1560677488024	TYPE_ACCELEROMETER	0.076614454	1.8387469	9.643845
1560677488024	TYPE_MAGNETIC_FIELD	-15.375	21.4375	-37.875
1560677488024	TYPE_GYROSCOPE	-0.056339227	0.038309976	-0.058468528
1560677488024	TYPE_ROTATION_VECTOR	0.085053	-0.027134	-0.214698
1560677488024	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-598.9375	469.375	196.125
1560677488024	TYPE_GYROSCOPE_UNCALIBRATED	-0.059777528	0.08208284	-0.05529203
1560677488045	TYPE_ACCELEROMETER	0.06703765	1.9153614	9.921572
1560677488045	TYPE_MAGNETIC_FIELD	-14.75	19.875	-37.0
1560677488045	TYPE_GYROSCOPE	-0.029722957	-0.0042586033	-0.037175514
1560677488045	TYPE_ROTATION_VECTOR	0.08556	-0.026273	-0.215283
1560677488045	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-598.9375	469.6875	196.3125
1560677488045	TYPE_GYROSCOPE_UNCALIBRATED	-0.056583576	0.03843215	-0.058485985
1560677488065	TYPE_ACCELEROMETER	0.11492168	1.9632454	9.864111
1560677488065	TYPE_MAGNETIC_FIELD	-15.5625	19.0625	-37.0
1560677488065	TYPE_GYROSCOPE	-0.021205751	0.013823007	6.981317E-5
1560677488065	TYPE_ROTATION_VECTOR	0.085273	-0.026217	-0.215657
1560677488065	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-599.0625	469.875	196.4375
1560677488065	TYPE_GYROSCOPE_UNCALIBRATED	-0.029967302	-0.00413643	-0.037192967
1560677488084	TYPE_ACCELEROMETER	0.16280572	1.8770541	9.682152
1560677488084	TYPE_MAGNETIC_FIELD	-15.3125	22.1875	-35.375
1560677488084	TYPE_GYROSCOPE	-0.04888667	0.014887659	0.0032637657
1560677488084	TYPE_ROTATION_VECTOR	0.085491	-0.026231	-0.215632
1560677488084	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-599.3125	470.3125	197.125
1560677488084	TYPE_GYROSCOPE_UNCALIBRATED	-0.021450097	0.013945181	5.235988E-5
1560677488104	TYPE_ACCELEROMETER	0.2777274	1.7046716	9.768343
1560677488104	TYPE_MAGNETIC_FIELD	-14.8125	19.0625	-36.125
1560677488104	TYPE_GYROSCOPE	-0.056339227	0.021275563	-0.051015973
1560677488104	TYPE_ROTATION_VECTOR	0.085048	-0.025982	-0.2156
1560677488104	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-599.3125	470.75	197.25
1560677488104	TYPE_GYROSCOPE_UNCALIBRATED	-0.049131017	0.015009832	0.0032463125
1560677488125	TYPE_ACCELEROMETER	0.31603462	1.5993267	9.797073
1560677488125	TYPE_MAGNETIC_FIELD	-15.5625	19.125	-39.5
1560677488125	TYPE_GYROSCOPE	-0.04782202	0.02872812	-0.101054564
1560677488125	TYPE_ROTATION_VECTOR	0.083583	-0.026297	-0.216021
1560677488125	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-599.3125	470.3125	196.9375
1560677488125	TYPE_GYROSCOPE_UNCALIBRATED	-0.056583576	0.021397736	-0.051033426
1560677488145	TYPE_ACCELEROMETER	0.22984336	1.7429788	9.797073
1560677488145	TYPE_MAGNETIC_FIELD	-15.0	16.75	-37.75
1560677488145	TYPE_GYROSCOPE	-0.025464354	0.02979277	-0.103183866
1560677488145	TYPE_ROTATION_VECTOR	0.083208	-0.025828	-0.216992
1560677488145	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-599.375	469.6875	196.8125
1560677488145	TYPE_GYROSCOPE_UNCALIBRATED	-0.048066366	0.028850293	-0.10107201
1560677488164	TYPE_ACCELEROMETER	0.06703765	1.982399	9.682152
1560677488164	TYPE_MAGNETIC_FIELD	-15.6875	17.5	-39.4375
1560677488164	TYPE_GYROSCOPE	-0.019076448	0.013823007	-0.061662484
1560677488164	TYPE_ROTATION_VECTOR	0.084943	-0.025162	-0.218003
1560677488164	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-599.375	469.375	196.3125
1560677488164	TYPE_GYROSCOPE_UNCALIBRATED	-0.0257087	0.029914944	-0.103201315
1560677488185	TYPE_ACCELEROMETER	0.009576807	2.1164744	9.461885
1560677488185	TYPE_MAGNETIC_FIELD	-15.5	19.875	-39.5
1560677488185	TYPE_GYROSCOPE	-0.054209925	0.056409042	-0.019076448
1560677488185	TYPE_ROTATION_VECTOR	0.084805	-0.024932	-0.218595
1560677488185	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-599.4375	468.875	195.5
1560677488185	TYPE_GYROSCOPE_UNCALIBRATED	-0.019320795	0.013945181	-0.061679937
1560677488205	TYPE_ACCELEROMETER	0.17238252	2.0685902	9.375694
1560677488205	TYPE_MAGNETIC_FIELD	-15.5	19.875	-37.8125
1560677488205	TYPE_GYROSCOPE	-0.0765676	0.07450811	-0.03291691
1560677488205	TYPE_ROTATION_VECTOR	0.085872	-0.02513	-0.218661
1560677488205	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-599.5625	469.0625	195.125
1560677488205	TYPE_GYROSCOPE_UNCALIBRATED	-0.05445427	0.056531213	-0.019093903
1560677488224	TYPE_ACCELEROMETER	0.24899697	1.8291701	9.758766
1560677488224	TYPE_MAGNETIC_FIELD	-13.25	20.0	-36.1875
1560677488224	TYPE_GYROSCOPE	-0.066985734	-0.0042586033	-0.06485643
1560677488224	TYPE_ROTATION_VECTOR	0.0853	-0.024209	-0.218937
1560677488224	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-599.125	469.25	195.8125
1560677488224	TYPE_GYROSCOPE_UNCALIBRATED	-0.07681194	0.074630275	-0.032934364
1560677488244	TYPE_ACCELEROMETER	0.2681506	1.7525556	9.816227
1560677488244	TYPE_MAGNETIC_FIELD	-16.4375	17.4375	-38.625
1560677488244	TYPE_GYROSCOPE	-0.060597833	-0.0628144	-0.102119215
1560677488244	TYPE_ROTATION_VECTOR	0.084564	-0.024924	-0.219501
1560677488244	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-599.375	469.375	195.625
1560677488244	TYPE_GYROSCOPE_UNCALIBRATED	-0.06723008	-0.00413643	-0.06487389
1560677488265	TYPE_ACCELEROMETER	0.2681506	1.8962077	9.739613
1560677488265	TYPE_MAGNETIC_FIELD	-14.125	18.375	-38.625
1560677488265	TYPE_GYROSCOPE	-0.07124434	-0.11285299	-0.09786061
1560677488265	TYPE_ROTATION_VECTOR	0.083864	-0.025314	-0.220561
1560677488265	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-599.0625	469.5625	195.8125
1560677488265	TYPE_GYROSCOPE_UNCALIBRATED	-0.06084218	-0.062692225	-0.102136664
1560677488285	TYPE_ACCELEROMETER	0.23942018	2.0015526	9.758766
1560677488285	TYPE_MAGNETIC_FIELD	-13.5	16.8125	-37.75
1560677488285	TYPE_GYROSCOPE	-0.09679596	-0.14053391	-0.051015973
1560677488285	TYPE_ROTATION_VECTOR	0.08444	-0.02669	-0.221581
1560677488285	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-598.6875	468.9375	196.125
1560677488285	TYPE_GYROSCOPE_UNCALIBRATED	-0.071488686	-0.112730816	-0.09787806
1560677488304	TYPE_ACCELEROMETER	0.18195933	2.0207062	9.5385
1560677488304	TYPE_MAGNETIC_FIELD	-15.625	18.3125	-38.625
1560677488304	TYPE_GYROSCOPE	-0.103183866	-0.09368927	0.006457718
1560677488304	TYPE_ROTATION_VECTOR	0.083203	-0.027796	-0.22222
1560677488304	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-598.6875	468.625	196.0
1560677488304	TYPE_GYROSCOPE_UNCALIBRATED	-0.0970403	-0.14041173	-0.051033426
1560677488325	TYPE_ACCELEROMETER	0.2873042	1.8866309	9.375694
1560677488325	TYPE_MAGNETIC_FIELD	-17.0	19.75	-37.8125
1560677488325	TYPE_GYROSCOPE	-0.09040806	-0.0031939526	0.025621433
1560677488325	TYPE_ROTATION_VECTOR	0.082874	-0.029502999	-0.22217199
1560677488325	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-599.4375	468.5625	195.625
1560677488325	TYPE_GYROSCOPE_UNCALIBRATED	-0.103428215	-0.0935671	0.006440265
1560677488345	TYPE_ACCELEROMETER	0.39264908	1.7908629	9.308656
1560677488345	TYPE_MAGNETIC_FIELD	-16.3125	19.0	-38.625
1560677488345	TYPE_GYROSCOPE	-0.09040806	0.038309976	0.010716322
1560677488345	TYPE_ROTATION_VECTOR	0.081982	-0.029353	-0.221953
1560677488345	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-599.4375	468.875	195.625
1560677488345	TYPE_GYROSCOPE_UNCALIBRATED	-0.0906524	-0.0030717794	0.02560398
1560677488364	TYPE_ACCELEROMETER	0.34476504	1.8291701	9.232041
1560677488364	TYPE_MAGNETIC_FIELD	-13.5	16.8125	-37.75
1560677488364	TYPE_GYROSCOPE	-0.13938199	0.06705555	-0.0073652896
1560677488364	TYPE_ROTATION_VECTOR	0.082107	-0.029781999	-0.221758
1560677488364	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-599.3125	468.5625	195.8125
1560677488364	TYPE_GYROSCOPE_UNCALIBRATED	-0.0906524	0.03843215	0.010698868
1560677488384	TYPE_ACCELEROMETER	0.34476504	1.8579005	9.097966
