#	startTime:1560677682412
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5859d	FloorName:5F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560677682413	TYPE_WAYPOINT	54.840454	77.41866
1560677682604	TYPE_ACCELEROMETER	-0.40222588	3.1794999	8.686164
1560677682604	TYPE_MAGNETIC_FIELD	-5.25	12.9375	-23.375
1560677682604	TYPE_GYROSCOPE	-0.25755823	-0.04152138	0.006457718
1560677682604	TYPE_ROTATION_VECTOR	0.16789	-0.009354	-0.198658
1560677682604	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-596.0	469.375	203.125
1560677682604	TYPE_GYROSCOPE_UNCALIBRATED	-0.12472123	-0.0052010813	0.01282817
1560677682624	TYPE_ACCELEROMETER	-0.32561144	3.1794999	8.686164
1560677682624	TYPE_MAGNETIC_FIELD	-2.3125	12.3125	-20.875
1560677682624	TYPE_GYROSCOPE	-0.41086796	-0.070266955	0.02242748
1560677682624	TYPE_ROTATION_VECTOR	0.166054	-0.010325	-0.198486
1560677682624	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-595.0625	469.25	204.0625
1560677682624	TYPE_GYROSCOPE_UNCALIBRATED	-0.25780258	-0.04139921	0.006440265
1560677682645	TYPE_ACCELEROMETER	-0.25857377	3.064578	8.983045
1560677682645	TYPE_MAGNETIC_FIELD	-6.75	12.125	-25.875
1560677682645	TYPE_GYROSCOPE	-0.4619712	-0.179926	-0.004171337
1560677682645	TYPE_ROTATION_VECTOR	0.161941	-0.010224	-0.198424
1560677682645	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-595.375	469.1875	203.6875
1560677682645	TYPE_GYROSCOPE_UNCALIBRATED	-0.4111123	-0.07014478	0.022410028
1560677682664	TYPE_ACCELEROMETER	-0.21068975	2.825158	9.088389
1560677682664	TYPE_MAGNETIC_FIELD	-6.8125	11.25	-24.1875
1560677682664	TYPE_GYROSCOPE	-0.474747	-0.17034413	-0.016947147
