#	startTime:1560677957217
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5859d	FloorName:5F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560677957219	TYPE_WAYPOINT	62.073368	119.81949
1560677957417	TYPE_ACCELEROMETER	-0.038307227	1.532289	9.787497
1560677957417	TYPE_MAGNETIC_FIELD	28.625	11.8125	-15.6875
1560677957417	TYPE_GYROSCOPE	-0.053145275	0.021275563	-0.038240165
1560677957417	TYPE_ROTATION_VECTOR	0.059253	0.045168	0.531088
1560677957417	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-553.0	468.75	206.0
1560677957417	TYPE_GYROSCOPE_UNCALIBRATED	-0.0906524	-0.012653637	-0.008447394
1560677957438	TYPE_ACCELEROMETER	-0.009576807	1.4939818	9.921572
1560677957438	TYPE_MAGNETIC_FIELD	27.75	10.1875	-17.3125
1560677957438	TYPE_GYROSCOPE	-0.025464354	0.019146262	-0.07443829
1560677957438	TYPE_ROTATION_VECTOR	0.059327	0.044328	0.530832
1560677957438	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-553.0625	468.5	205.6875
1560677957438	TYPE_GYROSCOPE_UNCALIBRATED	-0.05338962	0.021397736	-0.038257618
1560677957458	TYPE_ACCELEROMETER	0.0	1.4652514	9.844957
1560677957458	TYPE_MAGNETIC_FIELD	27.75	10.1875	-16.4375
1560677957458	TYPE_GYROSCOPE	-0.025464354	0.0063704518	-0.09573131
1560677957458	TYPE_ROTATION_VECTOR	0.058984	0.045055	0.534041
1560677957458	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-553.125	468.4375	205.625
1560677957458	TYPE_GYROSCOPE_UNCALIBRATED	-0.0257087	0.019268434	-0.074455746
1560677957477	TYPE_ACCELEROMETER	-0.1436521	1.5801731	9.739613
1560677957477	TYPE_MAGNETIC_FIELD	27.9375	12.5625	-15.6875
1560677957477	TYPE_GYROSCOPE	-0.054209925	-0.019163715	-0.069115035
1560677957477	TYPE_ROTATION_VECTOR	0.059391	0.046262	0.532972
1560677957477	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-553.25	468.6875	205.8125
1560677957477	TYPE_GYROSCOPE_UNCALIBRATED	-0.0257087	0.006492625	-0.09574876
1560677957497	TYPE_ACCELEROMETER	-0.2873042	1.6663644	9.519346
1560677957497	TYPE_MAGNETIC_FIELD	27.0625	10.875	-14.8125
1560677957497	TYPE_GYROSCOPE	-0.10957177	-0.011711159	-0.04675737
1560677957497	TYPE_ROTATION_VECTOR	0.05901	0.04578	0.531907
1560677957497	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-553.25	468.875	205.9375
1560677957497	TYPE_GYROSCOPE_UNCALIBRATED	-0.05445427	-0.019041542	-0.06913249
1560677957518	TYPE_ACCELEROMETER	-0.22026655	1.6089035	9.509769
1560677957518	TYPE_MAGNETIC_FIELD	25.625	11.5625	-14.8125
1560677957518	TYPE_GYROSCOPE	-0.12873548	0.0063704518	-0.049951322
1560677957518	TYPE_ROTATION_VECTOR	0.058788	0.045959	0.531293
1560677957518	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-553.8125	468.8125	206.125
1560677957518	TYPE_GYROSCOPE_UNCALIBRATED	-0.10981612	-0.011588986	-0.046774823
1560677957537	TYPE_ACCELEROMETER	-0.12449849	1.4652514	9.701305
1560677957537	TYPE_MAGNETIC_FIELD	25.0	13.125	-15.6875
1560677957537	TYPE_GYROSCOPE	-0.117024325	0.0074351025	-0.08189085
1560677957537	TYPE_ROTATION_VECTOR	0.057644	0.04536	0.530933
1560677957537	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-554.375	469.4375	206.4375
1560677957537	TYPE_GYROSCOPE_UNCALIBRATED	-0.12897983	0.006492625	-0.049968775
1560677957557	TYPE_ACCELEROMETER	-0.10534488	1.3694834	9.959879
1560677957557	TYPE_MAGNETIC_FIELD	25.4375	8.375	-14.75
1560677957557	TYPE_GYROSCOPE	-0.069115035	0.005305801	-0.104248516
1560677957557	TYPE_ROTATION_VECTOR	0.05614	0.044414	0.530436
1560677957557	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-554.8125	469.0625	206.8125
1560677957557	TYPE_GYROSCOPE_UNCALIBRATED	-0.117268674	0.0075572757	-0.0819083
1560677957578	TYPE_ACCELEROMETER	-0.23942018	1.3599066	10.103531
1560677957578	TYPE_MAGNETIC_FIELD	27.75	10.125	-14.8125
1560677957578	TYPE_GYROSCOPE	-0.019076448	0.009564404	-0.102119215
1560677957578	TYPE_ROTATION_VECTOR	0.055480998	0.044152	0.529588
1560677957578	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-554.875	468.5625	206.9375
1560677957578	TYPE_GYROSCOPE_UNCALIBRATED	-0.069359384	0.005427974	-0.104265966
1560677957598	TYPE_ACCELEROMETER	-0.34476504	1.4652514	9.950302
1560677957598	TYPE_MAGNETIC_FIELD	26.3125	10.8125	-15.625
1560677957598	TYPE_GYROSCOPE	-0.014817845	-0.005323254	-0.07337364
1560677957598	TYPE_ROTATION_VECTOR	0.0551	0.045454	0.528481
1560677957598	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-555.0	468.5625	206.8125
1560677957598	TYPE_GYROSCOPE_UNCALIBRATED	-0.019320795	0.009686577	-0.102136664
1560677957617	TYPE_ACCELEROMETER	-0.4213795	1.5131354	9.653421
1560677957617	TYPE_MAGNETIC_FIELD	26.3125	10.8125	-14.8125
1560677957617	TYPE_GYROSCOPE	-0.06592108	-0.017034413	-0.04782202
1560677957617	TYPE_ROTATION_VECTOR	0.054969	0.045374	0.527864
1560677957617	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-554.875	468.4375	206.8125
1560677957617	TYPE_GYROSCOPE_UNCALIBRATED	-0.0150621915	-0.0052010813	-0.073391095
1560677957637	TYPE_ACCELEROMETER	-0.36391866	1.4460979	9.5385
1560677957637	TYPE_MAGNETIC_FIELD	24.9375	11.5	-14.8125
1560677957637	TYPE_GYROSCOPE	-0.07337364	0.0031764992	-0.051015973
1560677957637	TYPE_ROTATION_VECTOR	0.05463	0.045628	0.527323
1560677957637	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-554.875	468.0625	207.0
1560677957637	TYPE_GYROSCOPE_UNCALIBRATED	-0.06616543	-0.01691224	-0.047839474
1560677957658	TYPE_ACCELEROMETER	-0.18195933	1.4173675	9.682152
1560677957658	TYPE_MAGNETIC_FIELD	24.75	9.125	-15.625
1560677957658	TYPE_GYROSCOPE	-0.04782202	0.023404865	-0.070179686
1560677957658	TYPE_ROTATION_VECTOR	0.053968	0.045297	0.526925
1560677957658	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-555.0625	468.25	206.8125
1560677957658	TYPE_GYROSCOPE_UNCALIBRATED	-0.07361799	0.0032986724	-0.051033426
1560677957677	TYPE_ACCELEROMETER	-0.17238252	1.3982137	9.739613
1560677957677	TYPE_MAGNETIC_FIELD	27.875	11.6875	-14.0
1560677957677	TYPE_GYROSCOPE	-0.043563418	0.013823007	-0.07443829
1560677957677	TYPE_ROTATION_VECTOR	0.053556	0.045347	0.526342
1560677957677	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-555.0	468.5625	206.9375
1560677957677	TYPE_GYROSCOPE_UNCALIBRATED	-0.048066366	0.023527037	-0.07019714
1560677957697	TYPE_ACCELEROMETER	-0.22026655	1.436521	9.758766
1560677957697	TYPE_MAGNETIC_FIELD	26.4375	12.4375	-14.875
1560677957697	TYPE_GYROSCOPE	-0.055274576	0.00424115	-0.06272713
1560677957697	TYPE_ROTATION_VECTOR	0.05308	0.045276	0.525737
1560677957697	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-555.0	468.875	207.125
1560677957697	TYPE_GYROSCOPE_UNCALIBRATED	-0.043807764	0.013945181	-0.074455746
1560677957718	TYPE_ACCELEROMETER	-0.18195933	1.4748282	9.643845
1560677957718	TYPE_MAGNETIC_FIELD	28.0625	14.0625	-13.1875
1560677957718	TYPE_GYROSCOPE	-0.09360201	-0.008517207	-0.069115035
1560677957718	TYPE_ROTATION_VECTOR	0.053035	0.044868	0.525239
1560677957718	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-554.625	469.5	207.4375
1560677957718	TYPE_GYROSCOPE_UNCALIBRATED	-0.05551892	0.004363323	-0.06274459
1560677957738	TYPE_ACCELEROMETER	-0.10534488	1.3024458	9.624691
1560677957738	TYPE_MAGNETIC_FIELD	26.4375	12.375	-13.1875
1560677957738	TYPE_GYROSCOPE	-0.104248516	-0.028745573	-0.09360201
1560677957738	TYPE_ROTATION_VECTOR	0.052254	0.044342	0.524689
1560677957738	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-554.375	469.6875	207.75
1560677957738	TYPE_GYROSCOPE_UNCALIBRATED	-0.09384635	-0.008395034	-0.06913249
1560677957757	TYPE_ACCELEROMETER	-0.10534488	1.3024458	9.730036
1560677957757	TYPE_MAGNETIC_FIELD	26.3125	10.875	-17.3125
1560677957757	TYPE_GYROSCOPE	-0.086149454	-0.014905112	-0.13512339
1560677957757	TYPE_ROTATION_VECTOR	0.051625	0.043146	0.523996
1560677957757	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-554.0	470.0625	207.4375
1560677957757	TYPE_GYROSCOPE_UNCALIBRATED	-0.104492866	-0.0286234	-0.09361946
1560677957778	TYPE_ACCELEROMETER	-0.23942018	1.340753	9.940725
1560677957778	TYPE_MAGNETIC_FIELD	26.375	11.625	-14.8125
1560677957778	TYPE_GYROSCOPE	-0.039304815	-0.019163715	-0.13512339
1560677957778	TYPE_ROTATION_VECTOR	0.050912	0.042639	0.522876
1560677957778	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-554.3125	470.0	207.25
1560677957778	TYPE_GYROSCOPE_UNCALIBRATED	-0.086393796	-0.014782939	-0.13514084
1560677957798	TYPE_ACCELEROMETER	-0.45010993	1.5035586	9.892841
1560677957798	TYPE_MAGNETIC_FIELD	27.9375	12.5	-14.8125
1560677957798	TYPE_GYROSCOPE	-0.029722957	-0.019163715	-0.115959674
1560677957798	TYPE_ROTATION_VECTOR	0.050873	0.044014	0.521454
1560677957798	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-554.0	470.0625	207.25
1560677957798	TYPE_GYROSCOPE_UNCALIBRATED	-0.03954916	-0.019041542	-0.13514084
1560677957817	TYPE_ACCELEROMETER	-0.47884035	1.5227122	9.548077
1560677957817	TYPE_MAGNETIC_FIELD	25.75	13.1875	-16.5625
1560677957817	TYPE_GYROSCOPE	-0.0850848	-0.029810224	-0.09998991
1560677957817	TYPE_ROTATION_VECTOR	0.050668	0.043756	0.520469
1560677957817	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-554.5	469.875	206.625
1560677957817	TYPE_GYROSCOPE_UNCALIBRATED	-0.029967302	-0.019041542	-0.11597713
