#	startTime:1560678035606
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5859d	FloorName:5F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560678035607	TYPE_WAYPOINT	40.30151	126.05258
1560678035800	TYPE_ACCELEROMETER	-0.4309563	2.0111294	9.404425
1560678035800	TYPE_MAGNETIC_FIELD	-8.4375	24.125	-28.0
1560678035800	TYPE_GYROSCOPE	0.012845623	-0.031939525	-0.026529005
1560678035800	TYPE_ROTATION_VECTOR	0.098595	0.002829	-0.164534
1560678035800	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-587.25	471.6875	197.75
1560678035800	TYPE_GYROSCOPE_UNCALIBRATED	0.060510565	-0.03926991	-0.023352506
1560678035821	TYPE_ACCELEROMETER	-0.49799395	2.1452048	9.097966
1560678035821	TYPE_MAGNETIC_FIELD	-11.9375	26.9375	-25.625
1560678035821	TYPE_GYROSCOPE	-0.07443829	-0.033004176	-0.028658306
1560678035821	TYPE_ROTATION_VECTOR	0.101734	0.00344	-0.164918
1560678035821	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-588.25	472.5	198.5625
1560678035821	TYPE_GYROSCOPE_UNCALIBRATED	0.012601277	-0.03181735	-0.026546458
1560678035841	TYPE_ACCELEROMETER	-0.545878	2.1643584	9.011775
1560678035841	TYPE_MAGNETIC_FIELD	-9.75	27.25	-31.4375
1560678035841	TYPE_GYROSCOPE	-0.118088976	-0.030874874	-0.043563418
1560678035841	TYPE_ROTATION_VECTOR	0.100949	0.00327	-0.16523
1560678035841	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-588.375	473.0	197.9375
1560678035841	TYPE_GYROSCOPE_UNCALIBRATED	-0.07468264	-0.032882	-0.02867576
1560678035860	TYPE_ACCELEROMETER	-0.6512229	2.1068976	9.212888
1560678035860	TYPE_MAGNETIC_FIELD	-9.125	24.875	-30.5625
1560678035860	TYPE_GYROSCOPE	-0.11063642	0.0031764992	-0.027593656
1560678035860	TYPE_ROTATION_VECTOR	0.102033	0.005234	-0.166031
1560678035860	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-588.375	473.125	197.9375
1560678035860	TYPE_GYROSCOPE_UNCALIBRATED	-0.118333325	-0.030752702	-0.04358087
1560678035880	TYPE_ACCELEROMETER	-0.7278373	2.2026656	9.32781
1560678035880	TYPE_MAGNETIC_FIELD	-9.75	27.1875	-28.9375
1560678035880	TYPE_GYROSCOPE	-0.09466666	0.010629055	-0.0052359877
