#	startTime:1560678984502
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5859d	FloorName:5F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560678984504	TYPE_WAYPOINT	73.65938	98.328094
1560678984701	TYPE_ACCELEROMETER	-0.38307226	2.8443117	9.203311
1560678984701	TYPE_MAGNETIC_FIELD	5.4375	17.1875	-25.25
1560678984701	TYPE_GYROSCOPE	-0.14683455	-0.104335785	-0.04569272
1560678984701	TYPE_ROTATION_VECTOR	0.140994	0.022747999	0.078384
1560678984701	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-577.375	468.4375	199.5625
1560678984701	TYPE_GYROSCOPE_UNCALIBRATED	-0.09597565	-0.111666165	-0.053162728
1560678984721	TYPE_ACCELEROMETER	-0.36391866	2.882619	9.337387
1560678984721	TYPE_MAGNETIC_FIELD	1.8125	17.6875	-23.625
1560678984721	TYPE_GYROSCOPE	-0.11489502	-0.08304276	-0.028658306
1560678984721	TYPE_ROTATION_VECTOR	0.140539	0.022889	0.077715
1560678984721	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-578.1875	468.4375	199.75
1560678984721	TYPE_GYROSCOPE_UNCALIBRATED	-0.1470789	-0.10421361	-0.045710173
1560678984741	TYPE_ACCELEROMETER	-0.29688102	2.9113493	9.509769
1560678984741	TYPE_MAGNETIC_FIELD	4.1875	20.25	-23.6875
1560678984741	TYPE_GYROSCOPE	-0.028658306	-0.056426495	-0.010559242
1560678984741	TYPE_ROTATION_VECTOR	0.139464	0.022022	0.077341
1560678984741	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-578.1875	468.9375	199.875
1560678984741	TYPE_GYROSCOPE_UNCALIBRATED	-0.11513937	-0.082920596	-0.02867576
1560678984761	TYPE_ACCELEROMETER	-0.21068975	2.825158	9.385271
1560678984761	TYPE_MAGNETIC_FIELD	4.0625	18.6875	-26.125
1560678984761	TYPE_GYROSCOPE	-0.023335053	-0.03832743	-0.010559242
1560678984761	TYPE_ROTATION_VECTOR	0.139721	0.021453	0.077187
1560678984761	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-578.3125	469.25	199.6875
1560678984761	TYPE_GYROSCOPE_UNCALIBRATED	-0.028902652	-0.05630432	-0.010576695
1560678984781	TYPE_ACCELEROMETER	-0.10534488	2.7389667	9.251195
