#	startTime:1560680229213
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5859d	FloorName:5F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560680229214	TYPE_WAYPOINT	93.302284	150.76772
1560680229405	TYPE_ACCELEROMETER	-0.50757074	2.7868507	9.14585
1560680229405	TYPE_MAGNETIC_FIELD	47.625	-44.0	-4.875
1560680229405	TYPE_GYROSCOPE	-0.20964895	-0.1990897	-0.03398156
1560680229405	TYPE_ROTATION_VECTOR	0.039646998	0.118179	0.900514
1560680229405	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-548.5625	424.875	214.875
1560680229405	TYPE_GYROSCOPE_UNCALIBRATED	-0.1428203	-0.09250245	-0.03932227
1560680229425	TYPE_ACCELEROMETER	-0.22026655	2.4708161	9.270349
1560680229425	TYPE_MAGNETIC_FIELD	47.125	-40.875	-3.3125
1560680229425	TYPE_GYROSCOPE	-0.23307127	-0.14905111	-0.052080624
1560680229425	TYPE_ROTATION_VECTOR	0.041445	0.116092	0.900379
1560680229425	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-548.75	425.5625	215.0625
1560680229425	TYPE_GYROSCOPE_UNCALIBRATED	-0.2098933	-0.19896753	-0.033999015
1560680229446	TYPE_ACCELEROMETER	-0.15322891	2.432509	9.270349
1560680229446	TYPE_MAGNETIC_FIELD	44.75	-43.5	-1.5625
1560680229446	TYPE_GYROSCOPE	-0.2234894	-0.055361845	-0.06272713
1560680229446	TYPE_ROTATION_VECTOR	0.041736	0.11353	0.900366
1560680229446	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-549.375	425.4375	215.5625
1560680229446	TYPE_GYROSCOPE_UNCALIBRATED	-0.23331562	-0.14892894	-0.052098077
1560680229465	TYPE_ACCELEROMETER	-0.11492168	2.2888567	9.672575
1560680229465	TYPE_MAGNETIC_FIELD	47.6875	-43.1875	-4.875
1560680229465	TYPE_GYROSCOPE	-0.12554154	-0.017034413	-0.0765676
1560680229465	TYPE_ROTATION_VECTOR	0.041022	0.110043	0.900543
1560680229465	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-549.375	425.4375	215.5625
1560680229465	TYPE_GYROSCOPE_UNCALIBRATED	-0.22373375	-0.05523967	-0.06274459
1560680229485	TYPE_ACCELEROMETER	-0.22026655	2.2026656	9.940725
1560680229485	TYPE_MAGNETIC_FIELD	46.875	-44.0625	-4.0625
1560680229485	TYPE_GYROSCOPE	-0.060597833	-0.03832743	-0.066985734
1560680229485	TYPE_ROTATION_VECTOR	0.040563	0.108874	0.900352
1560680229485	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-549.6875	425.25	215.1875
1560680229485	TYPE_GYROSCOPE_UNCALIBRATED	-0.12578587	-0.01691224	-0.07658505
1560680229506	TYPE_ACCELEROMETER	-0.34476504	2.3942018	9.854534
1560680229506	TYPE_MAGNETIC_FIELD	46.8125	-45.6875	-4.0
1560680229506	TYPE_GYROSCOPE	-0.041434117	-0.042586032	-0.036110863
1560680229506	TYPE_ROTATION_VECTOR	0.04042	0.109884	0.899852
1560680229506	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-549.875	424.875	215.375
1560680229506	TYPE_GYROSCOPE_UNCALIBRATED	-0.06084218	-0.03820526	-0.06700319
1560680229525	TYPE_ACCELEROMETER	-0.25857377	2.5474305	9.414001
1560680229525	TYPE_MAGNETIC_FIELD	47.0	-42.5	-2.4375
1560680229525	TYPE_GYROSCOPE	-0.11170107	-0.044715334	-0.055274576
1560680229525	TYPE_ROTATION_VECTOR	0.040588	0.109349	0.899728
1560680229525	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-549.875	424.5625	215.5625
1560680229525	TYPE_GYROSCOPE_UNCALIBRATED	-0.041678462	-0.04246386	-0.036128316
1560680229545	TYPE_ACCELEROMETER	-0.12449849	2.4612393	9.212888
1560680229545	TYPE_MAGNETIC_FIELD	46.875	-44.0625	-5.6875
1560680229545	TYPE_GYROSCOPE	-0.13725269	-0.0021293017	-0.057403877
1560680229545	TYPE_ROTATION_VECTOR	0.041399	0.109701	0.89934
1560680229545	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-549.4375	424.5	214.75
1560680229545	TYPE_GYROSCOPE_UNCALIBRATED	-0.11194542	-0.044593163	-0.05529203
1560680229566	TYPE_ACCELEROMETER	-0.18195933	2.4420857	9.279925
