#	startTime:1560681091925
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5859d	FloorName:5F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560681091926	TYPE_WAYPOINT	105.8923	58.67879
1560681092133	TYPE_ACCELEROMETER	0.4213795	2.7485435	9.624691
1560681092133	TYPE_MAGNETIC_FIELD	-9.1875	0.0	-26.125
1560681092133	TYPE_GYROSCOPE	-0.10957177	-0.13521066	-0.103183866
1560681092133	TYPE_ROTATION_VECTOR	0.115492	-0.069574	-0.369005
1560681092133	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.4375	468.1875	192.8125
1560681092133	TYPE_GYROSCOPE_UNCALIBRATED	-0.10236356	-0.09889036	-0.09361946
1560681092154	TYPE_ACCELEROMETER	0.38307226	2.815581	9.481039
1560681092154	TYPE_MAGNETIC_FIELD	-5.3125	2.5625	-22.875
1560681092154	TYPE_GYROSCOPE	-0.08402015	-0.103271134	-0.08189085
1560681092154	TYPE_ROTATION_VECTOR	0.11406	-0.070293	-0.370185
1560681092154	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-603.8125	468.875	193.625
1560681092154	TYPE_GYROSCOPE_UNCALIBRATED	-0.10981612	-0.13508849	-0.103201315
1560681092174	TYPE_ACCELEROMETER	0.4309563	2.8634653	9.3182335
1560681092174	TYPE_MAGNETIC_FIELD	-7.6875	0.125	-27.0
1560681092174	TYPE_GYROSCOPE	-0.07230899	-0.028745573	-0.04888667
1560681092174	TYPE_ROTATION_VECTOR	0.114920996	-0.071697	-0.371017
1560681092174	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-603.875	468.8125	193.3125
1560681092174	TYPE_GYROSCOPE_UNCALIBRATED	-0.084264494	-0.10314896	-0.0819083
1560681092193	TYPE_ACCELEROMETER	0.50757074	2.882619	9.528923
1560681092193	TYPE_MAGNETIC_FIELD	-9.9375	-0.125	-25.3125
1560681092193	TYPE_GYROSCOPE	-0.027593656	0.00424115	-0.030787608
1560681092193	TYPE_ROTATION_VECTOR	0.114187	-0.071635	-0.371551
1560681092193	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.4375	468.875	193.3125
1560681092193	TYPE_GYROSCOPE_UNCALIBRATED	-0.07255334	-0.0286234	-0.048904125
1560681092214	TYPE_ACCELEROMETER	0.4213795	2.873042	9.653421
1560681092214	TYPE_MAGNETIC_FIELD	-6.8125	1.75	-26.1875
1560681092214	TYPE_GYROSCOPE	0.012845623	0.010629055	-0.021205751
1560681092214	TYPE_ROTATION_VECTOR	0.115163	-0.071627	-0.371842
1560681092214	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.25	469.25	193.4375
1560681092214	TYPE_GYROSCOPE_UNCALIBRATED	-0.027838001	0.004363323	-0.03080506
1560681092234	TYPE_ACCELEROMETER	0.45010993	2.7389667	9.595961
1560681092234	TYPE_MAGNETIC_FIELD	-7.625	0.8125	-24.5
1560681092234	TYPE_GYROSCOPE	0.012845623	-0.034068827	-0.058468528
1560681092234	TYPE_ROTATION_VECTOR	0.115338	-0.071551	-0.372016
1560681092234	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.0	469.375	193.8125
1560681092234	TYPE_GYROSCOPE_UNCALIBRATED	0.012601277	0.010751228	-0.021223204
1560681092253	TYPE_ACCELEROMETER	0.36391866	2.72939	9.356541
1560681092253	TYPE_MAGNETIC_FIELD	-6.0625	1.75	-24.5
1560681092253	TYPE_GYROSCOPE	-0.010559242	-0.06813765	-0.07337364
1560681092253	TYPE_ROTATION_VECTOR	0.116371	-0.071841	-0.372599
1560681092253	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.125	469.25	193.4375
1560681092253	TYPE_GYROSCOPE_UNCALIBRATED	0.012601277	-0.033946656	-0.058485985
1560681092273	TYPE_ACCELEROMETER	0.4405331	2.72939	9.107543
1560681092273	TYPE_MAGNETIC_FIELD	-7.625	0.8125	-23.625
1560681092273	TYPE_GYROSCOPE	-0.07443829	-0.11604694	-0.0850848
1560681092273	TYPE_ROTATION_VECTOR	0.116076	-0.07234	-0.373359
1560681092273	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.125	469.375	194.125
1560681092273	TYPE_GYROSCOPE_UNCALIBRATED	-0.010803588	-0.06801548	-0.073391095
1560681092294	TYPE_ACCELEROMETER	0.50757074	2.8060043	8.935161
1560681092294	TYPE_MAGNETIC_FIELD	-6.875	0.8125	-22.0
1560681092294	TYPE_GYROSCOPE	-0.1521578	-0.06813765	-0.087214105
1560681092294	TYPE_ROTATION_VECTOR	0.116746	-0.073625	-0.374267
1560681092294	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-603.5	469.5625	194.75
1560681092294	TYPE_GYROSCOPE_UNCALIBRATED	-0.07468264	-0.11592477	-0.08510225
1560681092314	TYPE_ACCELEROMETER	0.34476504	2.777274	9.509769
1560681092314	TYPE_MAGNETIC_FIELD	-9.9375	-0.0625	-26.125
1560681092314	TYPE_GYROSCOPE	-0.07976155	-0.022357667	-0.05953318
1560681092314	TYPE_ROTATION_VECTOR	0.115162	-0.073578	-0.375257
1560681092314	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.125	469.1875	194.8125
1560681092314	TYPE_GYROSCOPE_UNCALIBRATED	-0.15240215	-0.06801548	-0.087231554
1560681092333	TYPE_ACCELEROMETER	0.33518824	2.5953147	9.835381
1560681092333	TYPE_MAGNETIC_FIELD	-12.5625	4.375	-22.0625
1560681092333	TYPE_GYROSCOPE	0.069272116	0.008499754	-0.068050385
1560681092333	TYPE_ROTATION_VECTOR	0.114224	-0.07248	-0.376024
1560681092333	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.125	469.9375	195.25
1560681092333	TYPE_GYROSCOPE_UNCALIBRATED	-0.08000589	-0.022235494	-0.059550636
1560681092354	TYPE_ACCELEROMETER	0.34476504	2.6240451	9.56723
1560681092354	TYPE_MAGNETIC_FIELD	-8.375	0.8125	-25.3125
1560681092354	TYPE_GYROSCOPE	0.10547025	0.005305801	-0.07976155
1560681092354	TYPE_ROTATION_VECTOR	0.114942	-0.072583	-0.376588
1560681092354	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.5625	469.75	195.125
1560681092354	TYPE_GYROSCOPE_UNCALIBRATED	0.069027774	0.008621926	-0.06806784
1560681092374	TYPE_ACCELEROMETER	0.35434186	2.7102363	9.002198
1560681092374	TYPE_MAGNETIC_FIELD	-8.375	0.8125	-24.5
1560681092374	TYPE_GYROSCOPE	-0.011623893	0.009564404	-0.0829555
1560681092374	TYPE_ROTATION_VECTOR	0.117357	-0.07325	-0.377196
1560681092374	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.6875	469.75	194.9375
1560681092374	TYPE_GYROSCOPE_UNCALIBRATED	0.1052259	0.005427974	-0.079779
1560681092393	TYPE_ACCELEROMETER	0.45010993	2.7389667	8.6095495
1560681092393	TYPE_MAGNETIC_FIELD	-9.1875	-0.0625	-25.3125
1560681092393	TYPE_GYROSCOPE	-0.17451547	0.04256858	-0.07230899
1560681092393	TYPE_ROTATION_VECTOR	0.11735	-0.07302	-0.377954
1560681092393	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.1875	469.5625	194.25
1560681092393	TYPE_GYROSCOPE_UNCALIBRATED	-0.011868238	0.009686577	-0.08297295
1560681092413	TYPE_ACCELEROMETER	0.40222588	2.777274	8.6574335
1560681092413	TYPE_MAGNETIC_FIELD	-9.25	-0.875	-23.625
1560681092413	TYPE_GYROSCOPE	-0.31824332	0.056409042	-0.0829555
1560681092413	TYPE_ROTATION_VECTOR	0.117382	-0.072058	-0.378688
1560681092413	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-606.0625	469.375	194.75
1560681092413	TYPE_GYROSCOPE_UNCALIBRATED	-0.17475982	0.042690754	-0.072326444
1560681092434	TYPE_ACCELEROMETER	0.2777274	2.7102363	9.346964
1560681092434	TYPE_MAGNETIC_FIELD	-9.1875	-0.0625	-25.3125
1560681092434	TYPE_GYROSCOPE	-0.2777866	-0.022357667	-0.12234758
1560681092434	TYPE_ROTATION_VECTOR	0.114744	-0.070239	-0.379605
1560681092434	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.375	468.5	194.125
1560681092434	TYPE_GYROSCOPE_UNCALIBRATED	-0.31848767	0.056531213	-0.08297295
1560681092454	TYPE_ACCELEROMETER	0.21068975	2.6048915	9.595961
1560681092454	TYPE_MAGNETIC_FIELD	-6.875	0.875	-23.625
1560681092454	TYPE_GYROSCOPE	-0.17132153	-0.1362753	-0.12447688
1560681092454	TYPE_ROTATION_VECTOR	0.112649	-0.068285	-0.381087
1560681092454	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.0625	468.5	194.4375
1560681092454	TYPE_GYROSCOPE_UNCALIBRATED	-0.27803096	-0.022235494	-0.122365035
1560681092473	TYPE_ACCELEROMETER	0.08619126	2.6144683	9.11712
1560681092473	TYPE_MAGNETIC_FIELD	-10.5625	1.4375	-24.5
1560681092473	TYPE_GYROSCOPE	-0.1478992	-0.14585717	-0.087214105
1560681092473	TYPE_ROTATION_VECTOR	0.11065	-0.068739	-0.382494
1560681092473	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.5	468.625	194.4375
1560681092473	TYPE_GYROSCOPE_UNCALIBRATED	-0.17156586	-0.13615313	-0.12449434
1560681092494	TYPE_ACCELEROMETER	0.12449849	2.930503	8.1881695
1560681092494	TYPE_MAGNETIC_FIELD	-6.75	2.4375	-22.875
1560681092494	TYPE_GYROSCOPE	-0.31504938	0.011693706	0.028815385
1560681092494	TYPE_ROTATION_VECTOR	0.113363996	-0.070519	-0.383471
1560681092494	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.0	469.125	194.9375
1560681092494	TYPE_GYROSCOPE_UNCALIBRATED	-0.14814354	-0.145735	-0.087231554
1560681092514	TYPE_ACCELEROMETER	0.49799395	2.767697	8.054094
1560681092514	TYPE_MAGNETIC_FIELD	-9.75	2.25	-24.5
1560681092514	TYPE_GYROSCOPE	-0.5897293	0.18736109	0.009651671
1560681092514	TYPE_ROTATION_VECTOR	0.11051	-0.069234	-0.383412
1560681092514	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.125	469.75	194.75
1560681092514	TYPE_GYROSCOPE_UNCALIBRATED	-0.31529373	0.011815879	0.028797932
1560681092533	TYPE_ACCELEROMETER	0.5554548	2.2888567	8.887277
1560681092533	TYPE_MAGNETIC_FIELD	-9.0	2.25	-22.0
1560681092533	TYPE_GYROSCOPE	-0.71642274	0.2523048	-0.04569272
1560681092533	TYPE_ROTATION_VECTOR	0.105355	-0.065118	-0.38352
1560681092533	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-605.0625	470.25	195.4375
