#	startTime:1560751789761
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5859d	FloorName:5F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560751789763	TYPE_WAYPOINT	93.92418	24.726019
1560751789979	TYPE_ACCELEROMETER	0.0	1.6280571	9.835381
1560751789979	TYPE_MAGNETIC_FIELD	-22.375	25.8125	-17.9375
1560751789979	TYPE_GYROSCOPE	0.47914523	0.4352502	0.21722367
1560751789979	TYPE_ROTATION_VECTOR	0.081127	-0.029523	-0.328574
1560751789979	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-654.0625	489.1875	226.0625
1560751789979	TYPE_GYROSCOPE_UNCALIBRATED	0.4118279	0.34594172	0.3087662
1560751790000	TYPE_ACCELEROMETER	0.641646	0.6703765	9.050082
1560751790000	TYPE_MAGNETIC_FIELD	-23.8125	26.5	-19.625
1560751790000	TYPE_GYROSCOPE	-0.22776547	0.15950564	-0.37576938
1560751790000	TYPE_ROTATION_VECTOR	0.078365	-0.029371	-0.325829
1560751790000	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-654.125	489.5	225.9375
1560751790000	TYPE_GYROSCOPE_UNCALIBRATED	0.47890088	0.43537238	0.21720622
1560751790020	TYPE_ACCELEROMETER	0.047884032	1.3120226	8.42759
1560751790020	TYPE_MAGNETIC_FIELD	-19.8125	20.5625	-23.625
1560751790020	TYPE_GYROSCOPE	-0.9240471	-0.22907446	-0.43113124
1560751790020	TYPE_ROTATION_VECTOR	0.076854	-0.026837	-0.329301
1560751790020	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-653.375	488.4375	225.0625
