#	startTime:1560751889589
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5859d	FloorName:5F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560751889591	TYPE_WAYPOINT	112.473145	51.67401
1560751889801	TYPE_ACCELEROMETER	0.842759	1.7238252	9.165004
1560751889801	TYPE_MAGNETIC_FIELD	27.9375	-31.875	-20.8125
1560751889801	TYPE_GYROSCOPE	-0.014835299	0.47357765	0.051138148
1560751889801	TYPE_ROTATION_VECTOR	0.085131	0.083264	0.913306
1560751889801	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-603.9375	431.1875	225.125
1560751889801	TYPE_GYROSCOPE_UNCALIBRATED	0.20102702	0.49499282	0.091577426
1560751889821	TYPE_ACCELEROMETER	0.63206923	1.6089035	9.730036
1560751889821	TYPE_MAGNETIC_FIELD	25.625	-32.8125	-20.0
1560751889821	TYPE_GYROSCOPE	-0.12768829	0.24574235	0.005358161
1560751889821	TYPE_ROTATION_VECTOR	0.08079	0.084931	0.913907
1560751889821	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-604.0625	431.0	225.4375
1560751889821	TYPE_GYROSCOPE_UNCALIBRATED	-0.0150796445	0.4736998	0.051120695
1560751889841	TYPE_ACCELEROMETER	0.51714754	1.6567876	9.624691
1560751889841	TYPE_MAGNETIC_FIELD	27.0625	-33.5625	-19.125
1560751889841	TYPE_GYROSCOPE	-0.09681341	0.1690875	-0.021240657
