#	startTime:1560752017955
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5859d	FloorName:5F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560752017957	TYPE_WAYPOINT	116.09994	49.702843
1560752018179	TYPE_ACCELEROMETER	-0.24899697	1.1971009	9.730036
1560752018179	TYPE_MAGNETIC_FIELD	33.875	-20.375	-18.625
1560752018179	TYPE_GYROSCOPE	-0.021223204	0.041329395	0.011746066
1560752018179	TYPE_ROTATION_VECTOR	0.020703	0.046186	0.891292
1560752018179	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-596.875	441.1875	229.625
1560752018179	TYPE_GYROSCOPE_UNCALIBRATED	-0.04701917	-0.02560398	-0.0010297443
1560752018200	TYPE_ACCELEROMETER	-0.18195933	1.0630256	9.844957
1560752018200	TYPE_MAGNETIC_FIELD	30.0	-23.0625	-16.875
1560752018200	TYPE_GYROSCOPE	-0.023352506	0.040264744	-0.007400196
1560752018200	TYPE_ROTATION_VECTOR	0.020243	0.046183	0.891363
1560752018200	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-597.6875	440.875	229.5625
1560752018200	TYPE_GYROSCOPE_UNCALIBRATED	-0.02146755	0.04145157	0.011728613
1560752018220	TYPE_ACCELEROMETER	-0.1436521	1.043872	9.988609
1560752018220	TYPE_MAGNETIC_FIELD	32.3125	-21.25	-17.75
1560752018220	TYPE_GYROSCOPE	-0.01802925	0.004066617	-0.041469023
1560752018220	TYPE_ROTATION_VECTOR	0.019419	0.046523	0.89132
1560752018220	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-597.6875	441.125	229.375
1560752018220	TYPE_GYROSCOPE_UNCALIBRATED	-0.023596851	0.04038692	-0.0074176495
1560752018239	TYPE_ACCELEROMETER	-0.23942018	1.1013328	9.988609
1560752018239	TYPE_MAGNETIC_FIELD	36.1875	-19.5	-13.625
1560752018239	TYPE_GYROSCOPE	-0.012705997	-0.026790803	-0.057438787
1560752018239	TYPE_ROTATION_VECTOR	0.01928	0.046392	0.891141
1560752018239	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-596.875	442.25	229.8125
1560752018239	TYPE_GYROSCOPE_UNCALIBRATED	-0.018273598	0.00418879	-0.041486476
1560752018259	TYPE_ACCELEROMETER	-0.38307226	1.2545617	9.854534
1560752018259	TYPE_MAGNETIC_FIELD	32.25	-22.875	-17.6875
1560752018259	TYPE_GYROSCOPE	-0.006318092	-0.0076270886	-0.032951817
1560752018259	TYPE_ROTATION_VECTOR	0.01833	0.048498	0.890693
1560752018259	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-597.1875	441.75	229.3125
1560752018259	TYPE_GYROSCOPE_UNCALIBRATED	-0.012950343	-0.02666863	-0.05745624
1560752018280	TYPE_ACCELEROMETER	-0.39264908	1.292869	9.80665
1560752018280	TYPE_MAGNETIC_FIELD	33.0	-22.0	-18.5625
1560752018280	TYPE_GYROSCOPE	0.018151425	0.03387684	-0.0031415927
1560752018280	TYPE_ROTATION_VECTOR	0.018352	0.048416	0.890546
1560752018280	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-597.375	441.4375	229.375
1560752018280	TYPE_GYROSCOPE_UNCALIBRATED	-0.006562438	-0.007504916	-0.03296927
1560752018299	TYPE_ACCELEROMETER	-0.38307226	1.2162545	9.873688
1560752018299	TYPE_MAGNETIC_FIELD	32.4375	-19.75	-15.25
1560752018299	TYPE_GYROSCOPE	0.040509094	0.041329395	0.0021642083
1560752018299	TYPE_ROTATION_VECTOR	0.017363999	0.050364	0.890394
1560752018299	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-596.875	442.125	229.6875
1560752018299	TYPE_GYROSCOPE_UNCALIBRATED	0.017907077	0.033999015	-0.003159046
1560752018319	TYPE_ACCELEROMETER	-0.31603462	1.1779473	9.749189
1560752018319	TYPE_MAGNETIC_FIELD	33.125	-20.5	-15.25
1560752018319	TYPE_GYROSCOPE	0.022410028	0.017907077	-0.012723451
1560752018319	TYPE_ROTATION_VECTOR	0.017179	0.050913	0.89039
1560752018319	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-596.75	442.25	230.1875
1560752018319	TYPE_GYROSCOPE_UNCALIBRATED	0.040264744	0.04145157	0.0021467549
1560752018340	TYPE_ACCELEROMETER	-0.31603462	1.1875241	9.634268
