#	startTime:1560753344107
#	SiteID:5cd56b5ae2acfd2d33b58549	SiteName:百联南方购物中心	FloorId:5cd56b5be2acfd2d33b5859d	FloorName:5F
#	Brand:HUAWEI	Model:VTR-AL00	AndroidName:8.0.0	APILevel:26	
#	type:1	name:accelerometer-icm20690	version:1	vendor:invensense	resolution:0.009576807	power:0.23	maximumRange:78.4532
#	type:4	name:gyroscope-icm20690	version:1	vendor:invensense	resolution:1.7453292E-5	power:6.1	maximumRange:34.906586
#	type:2	name:mag-akm09911	version:1001	vendor:akm	resolution:0.0625	power:6.8	maximumRange:2000.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560753344110	TYPE_WAYPOINT	175.81468	89.84652
1560753344318	TYPE_ACCELEROMETER	0.38307226	0.78529817	9.548077
1560753344318	TYPE_MAGNETIC_FIELD	5.9375	6.875	-25.375
1560753344318	TYPE_GYROSCOPE	-0.051033426	0.021101031	-0.05956809
1560753344318	TYPE_ROTATION_VECTOR	0.043087	-0.009986	0.362355
1560753344318	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-630.75	478.4375	216.9375
1560753344318	TYPE_GYROSCOPE_UNCALIBRATED	-0.061924282	-0.044767696	-0.03509857
1560753344338	TYPE_ACCELEROMETER	0.20111294	0.82360536	9.662998
1560753344338	TYPE_MAGNETIC_FIELD	5.1875	6.875	-27.875
1560753344338	TYPE_GYROSCOPE	-0.060615286	0.026424285	-0.077667154
1560753344338	TYPE_ROTATION_VECTOR	0.042566	-0.007074	0.361671
1560753344338	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-630.9375	478.4375	216.875
1560753344338	TYPE_GYROSCOPE_UNCALIBRATED	-0.05127777	0.021223204	-0.05958554
1560753344359	TYPE_ACCELEROMETER	0.0	0.9768343	9.921572
1560753344359	TYPE_MAGNETIC_FIELD	5.625	13.125	-22.1875
1560753344359	TYPE_GYROSCOPE	-0.06700319	0.0019373155	-0.07553785
1560753344359	TYPE_ROTATION_VECTOR	0.041912	-0.007012	0.360953
1560753344359	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-630.9375	479.75	218.0
1560753344359	TYPE_GYROSCOPE_UNCALIBRATED	-0.06085963	0.026546458	-0.0776846
1560753344378	TYPE_ACCELEROMETER	-0.12449849	1.13964	10.0748005
1560753344378	TYPE_MAGNETIC_FIELD	4.4375	6.8125	-26.25
1560753344378	TYPE_GYROSCOPE	-0.033999015	0.004066617	-0.057438787
1560753344378	TYPE_ROTATION_VECTOR	0.042427	-0.002773	0.360158
1560753344378	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-631.25	479.875	218.3125
1560753344378	TYPE_GYROSCOPE_UNCALIBRATED	-0.06724753	0.0020594886	-0.0755553
1560753344398	TYPE_ACCELEROMETER	-0.21068975	1.1683705	10.04607
1560753344398	TYPE_MAGNETIC_FIELD	4.5625	8.375	-24.625
1560753344398	TYPE_GYROSCOPE	5.235988E-5	0.03600614	-0.034016468
1560753344398	TYPE_ROTATION_VECTOR	0.042097	-0.002831	0.359622
1560753344398	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-631.5	480.125	219.3125
1560753344398	TYPE_GYROSCOPE_UNCALIBRATED	-0.03424336	0.00418879	-0.05745624
1560753344419	TYPE_ACCELEROMETER	-0.31603462	1.1300632	10.007763
1560753344419	TYPE_MAGNETIC_FIELD	3.0625	8.3125	-27.9375
1560753344419	TYPE_GYROSCOPE	-9.948377E-4	0.028553586	-0.011658799
1560753344419	TYPE_ROTATION_VECTOR	0.042336	0.001981	0.359254
1560753344419	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-632.0625	480.4375	218.8125
1560753344419	TYPE_GYROSCOPE_UNCALIBRATED	-1.7453292E-4	0.036128316	-0.03403392
1560753344438	TYPE_ACCELEROMETER	-0.29688102	1.091756	10.036493
1560753344438	TYPE_MAGNETIC_FIELD	2.3125	8.25	-26.25
1560753344438	TYPE_GYROSCOPE	-0.0095120445	0.004066617	0.014940019
1560753344438	TYPE_ROTATION_VECTOR	0.042225	0.002251	0.359156
1560753344438	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-632.625	480.6875	219.125
1560753344438	TYPE_GYROSCOPE_UNCALIBRATED	-0.0012391837	0.02867576	-0.011676253
1560753344458	TYPE_ACCELEROMETER	-0.20111294	1.1300632	10.093954
1560753344458	TYPE_MAGNETIC_FIELD	3.125	9.0625	-25.4375
1560753344458	TYPE_GYROSCOPE	0.02560398	0.011519173	0.043685593
1560753344458	TYPE_ROTATION_VECTOR	0.042796	0.005132	0.359246
1560753344458	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-633.125	479.875	218.4375
1560753344458	TYPE_GYROSCOPE_UNCALIBRATED	-0.009756391	0.00418879	0.014922565
1560753344478	TYPE_ACCELEROMETER	-0.08619126	1.091756	10.0748005
1560753344478	TYPE_MAGNETIC_FIELD	3.125	9.9375	-28.0
1560753344478	TYPE_GYROSCOPE	0.07990117	0.046652652	0.059655353
1560753344478	TYPE_ROTATION_VECTOR	0.042997	0.005316	0.359655
1560753344478	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-633.375	480.5	218.125
1560753344478	TYPE_GYROSCOPE_UNCALIBRATED	0.025359634	0.011641346	0.043668136
1560753344499	TYPE_ACCELEROMETER	0.019153614	0.9864111	9.988609
1560753344499	TYPE_MAGNETIC_FIELD	3.875	9.125	-27.125
1560753344499	TYPE_GYROSCOPE	0.10332349	0.051975906	0.037297685
1560753344499	TYPE_ROTATION_VECTOR	0.043695	0.006783	0.360199
1560753344499	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-633.5625	480.6875	217.625
1560753344499	TYPE_GYROSCOPE_UNCALIBRATED	0.079656824	0.046774823	0.0596379
1560753344518	TYPE_ACCELEROMETER	0.1436521	0.8810662	9.787497
1560753344518	TYPE_MAGNETIC_FIELD	3.75	7.5625	-27.0625
1560753344518	TYPE_GYROSCOPE	0.06286676	0.023230333	-0.010594148
1560753344518	TYPE_ROTATION_VECTOR	0.044473	0.007626	0.36056
1560753344518	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-633.375	480.5	217.75
1560753344518	TYPE_GYROSCOPE_UNCALIBRATED	0.10307915	0.052098077	0.03728023
1560753344538	TYPE_ACCELEROMETER	0.12449849	0.8714894	9.710882
1560753344538	TYPE_MAGNETIC_FIELD	3.0	7.4375	-24.5625
1560753344538	TYPE_GYROSCOPE	0.017086774	-0.024661502	-0.03827507
1560753344538	TYPE_ROTATION_VECTOR	0.045074	0.008698	0.360444
1560753344538	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-633.25	480.375	218.125
1560753344538	TYPE_GYROSCOPE_UNCALIBRATED	0.06262241	0.023352506	-0.010611602
1560753344559	TYPE_ACCELEROMETER	0.0	1.0534488	9.682152
1560753344559	TYPE_MAGNETIC_FIELD	5.1875	6.875	-27.875
1560753344559	TYPE_GYROSCOPE	0.006440265	-0.025726153	-0.023369959
1560753344559	TYPE_ROTATION_VECTOR	0.045319	0.00855	0.360074
1560753344559	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-632.875	479.9375	217.625
1560753344559	TYPE_GYROSCOPE_UNCALIBRATED	0.016842427	-0.02453933	-0.038292523
1560753344578	TYPE_ACCELEROMETER	-0.047884032	1.1683705	9.576807
1560753344578	TYPE_MAGNETIC_FIELD	4.4375	6.75	-23.75
1560753344578	TYPE_GYROSCOPE	0.020280726	0.015777776	0.0021642083
1560753344578	TYPE_ROTATION_VECTOR	0.046507	0.00985	0.359821
1560753344578	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-632.5625	479.3125	218.5
1560753344578	TYPE_GYROSCOPE_UNCALIBRATED	0.0061959187	-0.02560398	-0.023387412
1560753344598	TYPE_ACCELEROMETER	-0.038307227	1.13964	9.528923
1560753344598	TYPE_MAGNETIC_FIELD	3.8125	8.375	-27.125
1560753344598	TYPE_GYROSCOPE	0.027733281	0.048781954	0.012810716
1560753344598	TYPE_ROTATION_VECTOR	0.04664	0.010072	0.359845
1560753344598	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-632.625	479.125	218.5
1560753344598	TYPE_GYROSCOPE_UNCALIBRATED	0.020036379	0.015899949	0.0021467549
1560753344618	TYPE_ACCELEROMETER	0.0	1.0726024	9.5385
1560753344618	TYPE_MAGNETIC_FIELD	3.0625	8.25	-25.4375
1560753344618	TYPE_GYROSCOPE	0.020280726	0.042394046	0.009616764
1560753344618	TYPE_ROTATION_VECTOR	0.047201	0.011541	0.359961
1560753344618	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-632.75	479.25	218.8125
1560753344618	TYPE_GYROSCOPE_UNCALIBRATED	0.027488936	0.048904125	0.012793263
1560753344639	TYPE_ACCELEROMETER	-0.009576807	0.9864111	9.433155
1560753344639	TYPE_MAGNETIC_FIELD	3.9375	10.75	-26.3125
1560753344639	TYPE_GYROSCOPE	-0.051033426	0.010454522	-0.012723451
1560753344639	TYPE_ROTATION_VECTOR	0.047238998	0.012007	0.360066
1560753344639	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-632.5625	479.9375	218.4375
1560753344639	TYPE_GYROSCOPE_UNCALIBRATED	0.020036379	0.04251622	0.009599311
1560753344658	TYPE_ACCELEROMETER	0.0	0.9768343	9.385271
