#	startTime:1560753919861
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5de2acfd2d33b5863e	FloorName:B1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560753919862	TYPE_WAYPOINT	132.12659	100.4419
1560753919976	TYPE_ACCELEROMETER	-1.4102325	1.6648102	9.208176
1560753919976	TYPE_MAGNETIC_FIELD	6.1325073	21.84906	-24.69635
1560753919976	TYPE_GYROSCOPE	-0.17098999	-0.054870605	-0.084747314
1560753919976	TYPE_ROTATION_VECTOR	0.07019411	0.07634453	0.067143165
1560753919976	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.71515	-22.200012	-199.80011
1560753919976	TYPE_GYROSCOPE_UNCALIBRATED	-0.16911316	-0.06472778	-0.083358765
1560753919996	TYPE_ACCELEROMETER	-1.4982147	1.5845947	10.169449
1560753919996	TYPE_MAGNETIC_FIELD	6.829834	21.154785	-24.021912
1560753919996	TYPE_GYROSCOPE	-0.16726685	0.027435303	-0.053863525
1560753919996	TYPE_ROTATION_VECTOR	0.07019411	0.07634453	0.067143165
1560753919996	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.017822	-22.894287	-199.12567
1560753919996	TYPE_GYROSCOPE_UNCALIBRATED	-0.16539001	0.017578125	-0.052474976
1560753920016	TYPE_ACCELEROMETER	-1.4880371	1.4678802	10.313705
1560753920016	TYPE_MAGNETIC_FIELD	6.1325073	19.767761	-24.021912
1560753920016	TYPE_GYROSCOPE	-0.045028687	0.017578125	-0.028564453
1560753920016	TYPE_ROTATION_VECTOR	0.06804181	0.07666712	0.06654177
1560753920016	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.71515	-24.281311	-199.12567
1560753920016	TYPE_GYROSCOPE_UNCALIBRATED	-0.043151855	0.0077209473	-0.027175903
1560753920036	TYPE_ACCELEROMETER	-1.5377197	1.4325714	10.003647
1560753920036	TYPE_MAGNETIC_FIELD	6.829834	21.154785	-24.021912
1560753920036	TYPE_GYROSCOPE	5.187988E-4	-0.02557373	-0.02935791
1560753920036	TYPE_ROTATION_VECTOR	0.06804181	0.07666712	0.06654177
1560753920036	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.017822	-22.894287	-199.12567
1560753920036	TYPE_GYROSCOPE_UNCALIBRATED	-0.043151855	0.0077209473	-0.027175903
1560753920056	TYPE_ACCELEROMETER	-1.6352844	1.4678802	10.080872
1560753920056	TYPE_MAGNETIC_FIELD	6.1325073	21.154785	-24.021912
1560753920056	TYPE_GYROSCOPE	-0.042633057	-0.038879395	-0.040542603
1560753920056	TYPE_ROTATION_VECTOR	0.06772541	0.07686849	0.0658941
1560753920056	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.71515	-22.894287	-199.12567
1560753920056	TYPE_GYROSCOPE_UNCALIBRATED	-0.040756226	-0.048736572	-0.039154053
1560753920076	TYPE_ACCELEROMETER	-1.6143341	1.5480804	10.471115
1560753920076	TYPE_MAGNETIC_FIELD	6.829834	23.236084	-25.370789
1560753920076	TYPE_GYROSCOPE	-0.04475403	-0.01864624	-0.047195435
1560753920076	TYPE_ROTATION_VECTOR	0.06724587	0.07727952	0.064561546
1560753920076	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.017822	-20.812988	-200.47455
1560753920076	TYPE_GYROSCOPE_UNCALIBRATED	-0.042877197	-0.028503418	-0.045806885
1560753920095	TYPE_ACCELEROMETER	-1.5574799	1.5031891	10.551926
1560753920095	TYPE_MAGNETIC_FIELD	6.1325073	19.767761	-23.345947
1560753920095	TYPE_GYROSCOPE	0.05432129	0.009048462	-0.04798889
1560753920095	TYPE_ROTATION_VECTOR	0.06720081	0.0775095	0.06327255
1560753920095	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.71515	-24.281311	-198.4497
1560753920095	TYPE_GYROSCOPE_UNCALIBRATED	-0.042877197	-0.028503418	-0.045806885
1560753920115	TYPE_ACCELEROMETER	-1.5832062	1.6408691	10.262817
1560753920115	TYPE_MAGNETIC_FIELD	6.829834	22.543335	-23.345947
1560753920115	TYPE_GYROSCOPE	0.17044067	0.052734375	-0.0599823
1560753920115	TYPE_ROTATION_VECTOR	0.06720081	0.0775095	0.06327255
1560753920115	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.017822	-21.505737	-198.4497
1560753920115	TYPE_GYROSCOPE_UNCALIBRATED	0.1723175	0.042877197	-0.05859375
1560753920135	TYPE_ACCELEROMETER	-1.7508087	1.7055054	9.981506
1560753920135	TYPE_MAGNETIC_FIELD	8.227539	21.84906	-24.021912
1560753920135	TYPE_GYROSCOPE	0.24794006	0.10546875	-0.051467896
1560753920135	TYPE_ROTATION_VECTOR	0.069207	0.07836871	0.06250892
1560753920135	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-35.620117	-22.200012	-199.12567
1560753920135	TYPE_GYROSCOPE_UNCALIBRATED	0.2498169	0.09561157	-0.050079346
1560753920155	TYPE_ACCELEROMETER	-1.8130646	1.7893066	9.653503
1560753920155	TYPE_MAGNETIC_FIELD	5.433655	21.84906	-24.69635
1560753920155	TYPE_GYROSCOPE	0.28094482	0.09082031	-0.0043182373
1560753920155	TYPE_ROTATION_VECTOR	0.07205133	0.08042682	0.061634596
1560753920155	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-38.414	-22.200012	-199.80011
1560753920155	TYPE_GYROSCOPE_UNCALIBRATED	0.2498169	0.09561157	-0.050079346
1560753920175	TYPE_ACCELEROMETER	-1.7514038	1.8820801	9.254868
1560753920175	TYPE_MAGNETIC_FIELD	4.7348022	22.543335	-24.021912
1560753920175	TYPE_GYROSCOPE	0.23274231	0.04901123	0.052947998
1560753920175	TYPE_ROTATION_VECTOR	0.07554132	0.08245294	0.060062483
1560753920175	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-39.112854	-21.505737	-199.12567
1560753920175	TYPE_GYROSCOPE_UNCALIBRATED	0.23461914	0.039154053	0.054336548
1560753920195	TYPE_ACCELEROMETER	-1.5467072	1.7503967	8.980728
1560753920195	TYPE_MAGNETIC_FIELD	6.829834	21.154785	-26.046753
1560753920195	TYPE_GYROSCOPE	0.086013794	0.0023956299	0.09689331
1560753920195	TYPE_ROTATION_VECTOR	0.078913	0.08384005	0.05900295
1560753920195	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.017822	-22.894287	-201.15051
1560753920195	TYPE_GYROSCOPE_UNCALIBRATED	0.23461914	0.039154053	0.054336548
1560753920214	TYPE_ACCELEROMETER	-1.3467865	1.8090515	9.244095
1560753920214	TYPE_MAGNETIC_FIELD	6.1325073	21.154785	-24.021912
1560753920214	TYPE_GYROSCOPE	-0.08123779	-0.033813477	0.096343994
1560753920214	TYPE_ROTATION_VECTOR	0.08034181	0.08333308	0.06077482
1560753920214	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.71515	-22.894287	-199.12567
1560753920214	TYPE_GYROSCOPE_UNCALIBRATED	-0.07936096	-0.043670654	0.097732544
1560753920234	TYPE_ACCELEROMETER	-1.3509827	1.7797241	9.73909
1560753920234	TYPE_MAGNETIC_FIELD	6.829834	21.154785	-24.021912
1560753920234	TYPE_GYROSCOPE	-0.19947815	-0.080963135	0.0806427
1560753920234	TYPE_ROTATION_VECTOR	0.07881715	0.08190953	0.062183123
1560753920234	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.017822	-22.894287	-199.12567
1560753920234	TYPE_GYROSCOPE_UNCALIBRATED	-0.19760132	-0.09082031	0.08203125
1560753920254	TYPE_ACCELEROMETER	-1.2689819	1.668396	10.261627
1560753920254	TYPE_MAGNETIC_FIELD	6.829834	21.84906	-24.69635
1560753920254	TYPE_GYROSCOPE	-0.23118591	-0.13369751	0.07585144
1560753920254	TYPE_ROTATION_VECTOR	0.07881715	0.08190953	0.062183123
1560753920254	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.017822	-22.200012	-199.80011
1560753920254	TYPE_GYROSCOPE_UNCALIBRATED	-0.22930908	-0.14355469	0.07723999
1560753920274	TYPE_ACCELEROMETER	-1.0696564	1.6929321	10.779373
1560753920274	TYPE_MAGNETIC_FIELD	6.1325073	21.154785	-24.021912
1560753920274	TYPE_GYROSCOPE	-0.1486206	-0.05645752	0.035110474
1560753920274	TYPE_ROTATION_VECTOR	0.07659558	0.07966474	0.06373573
1560753920274	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.71515	-22.894287	-199.12567
1560753920274	TYPE_GYROSCOPE_UNCALIBRATED	-0.14674377	-0.0663147	0.036499023
1560753920294	TYPE_ACCELEROMETER	-1.3623505	1.6552277	10.594421
1560753920294	TYPE_MAGNETIC_FIELD	5.433655	21.154785	-23.345947
1560753920294	TYPE_GYROSCOPE	0.025024414	-0.034622192	-0.0043182373
1560753920294	TYPE_ROTATION_VECTOR	0.07518348	0.07696275	0.06529898
1560753920294	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-38.414	-22.894287	-198.4497
1560753920294	TYPE_GYROSCOPE_UNCALIBRATED	-0.14674377	-0.0663147	0.036499023
1560753920314	TYPE_ACCELEROMETER	-1.522171	1.6600189	10.031784
1560753920314	TYPE_MAGNETIC_FIELD	5.433655	22.543335	-26.721191
1560753920314	TYPE_GYROSCOPE	0.13926697	-0.012512207	0.01939392
1560753920314	TYPE_ROTATION_VECTOR	0.07660258	0.07699474	0.06478971
1560753920314	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-38.414	-21.505737	-201.82495
1560753920314	TYPE_GYROSCOPE_UNCALIBRATED	0.026901245	-0.04447937	-0.0029296875
1560753920333	TYPE_ACCELEROMETER	-1.3288269	1.7043152	9.6145935
1560753920333	TYPE_MAGNETIC_FIELD	6.829834	20.462036	-23.345947
1560753920333	TYPE_GYROSCOPE	0.1539154	0.016525269	0.05267334
1560753920333	TYPE_ROTATION_VECTOR	0.07660258	0.07699474	0.06478971
1560753920333	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.017822	-23.587036	-198.4497
1560753920333	TYPE_GYROSCOPE_UNCALIBRATED	0.15579224	0.006668091	0.05406189
1560753920353	TYPE_ACCELEROMETER	-1.2091217	1.7761383	9.50386
1560753920353	TYPE_MAGNETIC_FIELD	6.1325073	21.154785	-24.69635
1560753920353	TYPE_GYROSCOPE	0.1027832	0.017578125	0.061203003
1560753920353	TYPE_ROTATION_VECTOR	0.07965007	0.07693542	0.06621313
1560753920353	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.71515	-22.894287	-199.80011
