#	startTime:1560754132258
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5de2acfd2d33b5863e	FloorName:B1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560754132259	TYPE_WAYPOINT	83.984	81.87411
1560754132373	TYPE_ACCELEROMETER	-1.5951843	1.1985321	7.833908
1560754132373	TYPE_MAGNETIC_FIELD	-5.04303	-29.489136	-22.671509
1560754132373	TYPE_GYROSCOPE	0.018371582	-0.14886475	-0.06556702
1560754132373	TYPE_ROTATION_VECTOR	0.073673084	-0.040340208	-0.9828625
1560754132373	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.890686	-73.53821	-197.77527
1560754132373	TYPE_GYROSCOPE_UNCALIBRATED	0.020248413	-0.15872192	-0.06417847
1560754132393	TYPE_ACCELEROMETER	-1.3300323	1.2362366	9.321899
1560754132393	TYPE_MAGNETIC_FIELD	-7.1380615	-28.100586	-22.671509
1560754132393	TYPE_GYROSCOPE	-0.3297119	-0.19122314	-0.028823853
1560754132393	TYPE_ROTATION_VECTOR	0.07823674	-0.04280688	-0.98164314
1560754132393	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.985718	-72.14966	-197.77527
1560754132393	TYPE_GYROSCOPE_UNCALIBRATED	0.020248413	-0.15872192	-0.06417847
1560754132413	TYPE_ACCELEROMETER	-1.3940735	1.1177368	10.536957
1560754132413	TYPE_MAGNETIC_FIELD	-5.04303	-27.407837	-23.345947
1560754132413	TYPE_GYROSCOPE	-0.29003906	-0.05192566	-0.04612732
1560754132413	TYPE_ROTATION_VECTOR	0.076586396	-0.041677114	-0.9815844
1560754132413	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.890686	-71.45691	-198.4497
1560754132413	TYPE_GYROSCOPE_UNCALIBRATED	-0.32783508	-0.20108032	-0.027435303
1560754132433	TYPE_ACCELEROMETER	-1.5484924	1.0776215	11.024185
1560754132433	TYPE_MAGNETIC_FIELD	-4.3441772	-28.79486	-23.345947
1560754132433	TYPE_GYROSCOPE	-0.12411499	-0.0047912598	-0.044799805
1560754132433	TYPE_ROTATION_VECTOR	0.075279914	-0.039169885	-0.9818953
1560754132433	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.191833	-72.84393	-198.4497
1560754132433	TYPE_GYROSCOPE_UNCALIBRATED	-0.28816223	-0.061782837	-0.04473877
1560754132453	TYPE_ACCELEROMETER	-1.6179352	1.0201721	10.723114
1560754132453	TYPE_MAGNETIC_FIELD	-5.7418823	-27.407837	-24.69635
1560754132453	TYPE_GYROSCOPE	0.04206848	-0.02557373	-0.039215088
1560754132453	TYPE_ROTATION_VECTOR	0.07524106	-0.03769313	-0.98208207
1560754132453	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-49.58954	-71.45691	-199.80011
1560754132453	TYPE_GYROSCOPE_UNCALIBRATED	-0.12223816	-0.0146484375	-0.043411255
1560754132473	TYPE_ACCELEROMETER	-1.6017609	1.008194	10.102417
1560754132473	TYPE_MAGNETIC_FIELD	-5.04303	-28.100586	-21.321106
1560754132473	TYPE_GYROSCOPE	0.09906006	-0.0063934326	-0.0365448
1560754132473	TYPE_ROTATION_VECTOR	0.07582246	-0.037571967	-0.98200387
1560754132473	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.890686	-72.14966	-196.42487
1560754132473	TYPE_GYROSCOPE_UNCALIBRATED	0.043945313	-0.03543091	-0.037826538
1560754132492	TYPE_ACCELEROMETER	-1.5365295	1.0866089	9.83905
1560754132492	TYPE_MAGNETIC_FIELD	-4.3441772	-27.407837	-24.021912
1560754132492	TYPE_GYROSCOPE	0.036209106	-0.015975952	-0.034423828
