#	startTime:1560754192473
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5de2acfd2d33b5863e	FloorName:B1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560754192473	TYPE_WAYPOINT	85.33889	77.863396
1560754192589	TYPE_ACCELEROMETER	-1.463501	1.1751862	9.438614
1560754192589	TYPE_MAGNETIC_FIELD	28.482056	-6.5948486	-20.646667
1560754192589	TYPE_GYROSCOPE	-0.45541382	-0.031951904	0.047348022
1560754192589	TYPE_ROTATION_VECTOR	-0.0268824	0.098518	0.76072234
1560754192589	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.365601	-50.64392	-195.75043
1560754192589	TYPE_GYROSCOPE_UNCALIBRATED	0.1171875	0.15553284	0.07084656
1560754192609	TYPE_ACCELEROMETER	-1.5395203	1.1219177	11.124741
1560754192609	TYPE_MAGNETIC_FIELD	29.878235	-6.5948486	-20.646667
1560754192609	TYPE_GYROSCOPE	-0.473526	-0.062316895	0.04788208
1560754192609	TYPE_ROTATION_VECTOR	-0.0268824	0.098518	0.76072234
1560754192609	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.969421	-50.64392	-195.75043
1560754192609	TYPE_GYROSCOPE_UNCALIBRATED	-0.453537	-0.041809082	0.048736572
1560754192629	TYPE_ACCELEROMETER	-1.5287476	1.1099548	11.412643
1560754192629	TYPE_MAGNETIC_FIELD	27.085876	-7.2891235	-19.970703
1560754192629	TYPE_GYROSCOPE	-0.15234375	0.031967163	0.06385803
1560754192629	TYPE_ROTATION_VECTOR	-0.027683973	0.0922818	0.7617383
1560754192629	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.76178	-51.338196	-195.07446
1560754192629	TYPE_GYROSCOPE_UNCALIBRATED	-0.47164917	-0.07217407	0.04927063
1560754192649	TYPE_ACCELEROMETER	-1.5407104	1.111145	10.557907
1560754192649	TYPE_MAGNETIC_FIELD	27.783203	-5.9005737	-20.646667
1560754192649	TYPE_GYROSCOPE	0.13368225	0.068725586	0.07106018
1560754192649	TYPE_ROTATION_VECTOR	-0.027440768	0.089442864	0.7627696
1560754192649	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.064453	-49.949646	-195.75043
1560754192649	TYPE_GYROSCOPE_UNCALIBRATED	-0.15046692	0.022109985	0.06524658
1560754192669	TYPE_ACCELEROMETER	-1.6047668	1.1566315	9.601425
1560754192669	TYPE_MAGNETIC_FIELD	28.482056	-6.5948486	-19.970703
1560754192669	TYPE_GYROSCOPE	0.14460754	0.07936096	0.07104492
1560754192669	TYPE_ROTATION_VECTOR	-0.02634924	0.09030934	0.7629224
1560754192669	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.365601	-50.64392	-195.07446
1560754192669	TYPE_GYROSCOPE_UNCALIBRATED	0.13555908	0.05886841	0.07244873
1560754192689	TYPE_ACCELEROMETER	-1.6119385	1.229065	9.514038
1560754192689	TYPE_MAGNETIC_FIELD	29.180908	-6.5948486	-19.970703
1560754192689	TYPE_GYROSCOPE	-0.03491211	0.040222168	0.070251465
1560754192689	TYPE_ROTATION_VECTOR	-0.025816578	0.09260709	0.7628121
1560754192689	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.666748	-50.64392	-195.07446
1560754192689	TYPE_GYROSCOPE_UNCALIBRATED	0.14648438	0.069503784	0.07243347
1560754192709	TYPE_ACCELEROMETER	-1.6406708	1.3074646	9.988693
1560754192709	TYPE_MAGNETIC_FIELD	27.783203	-7.2891235	-20.646667
1560754192709	TYPE_GYROSCOPE	-0.16140747	-0.022369385	0.06706238
1560754192709	TYPE_ROTATION_VECTOR	-0.02589202	0.09354813	0.76262283
1560754192709	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.064453	-51.338196	-195.75043
1560754192709	TYPE_GYROSCOPE_UNCALIBRATED	-0.03303528	0.03036499	0.071640015
1560754192728	TYPE_ACCELEROMETER	-1.6646118	1.3290253	10.198776
1560754192728	TYPE_MAGNETIC_FIELD	28.482056	-7.2891235	-19.296265
1560754192728	TYPE_GYROSCOPE	-0.13050842	-0.02130127	0.07450867
1560754192728	TYPE_ROTATION_VECTOR	-0.026067914	0.09303923	0.76268023
1560754192728	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.365601	-51.338196	-194.40002
1560754192728	TYPE_GYROSCOPE_UNCALIBRATED	-0.15953064	-0.032226563	0.06845093
1560754192748	TYPE_ACCELEROMETER	-1.6562347	1.4385529	10.038971
1560754192748	TYPE_MAGNETIC_FIELD	27.085876	-6.5948486	-21.321106
1560754192748	TYPE_GYROSCOPE	-0.06314087	0.0071868896	0.08757019
1560754192748	TYPE_ROTATION_VECTOR	-0.026075434	0.092697166	0.7627992
1560754192748	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.76178	-50.64392	-196.42487
1560754192748	TYPE_GYROSCOPE_UNCALIBRATED	-0.12863159	-0.031158447	0.07589722
1560754192768	TYPE_ACCELEROMETER	-1.6885529	1.4415436	9.95816
1560754192768	TYPE_MAGNETIC_FIELD	27.783203	-5.9005737	-19.970703
1560754192768	TYPE_GYROSCOPE	-0.05647278	-0.004257202	0.09794617
1560754192768	TYPE_ROTATION_VECTOR	-0.025606839	0.09337854	0.7625592
1560754192768	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.064453	-49.949646	-195.07446
1560754192768	TYPE_GYROSCOPE_UNCALIBRATED	-0.061264038	-0.002670288	0.08895874
1560754192788	TYPE_ACCELEROMETER	-1.5054016	1.3068695	9.706177
1560754192788	TYPE_MAGNETIC_FIELD	28.482056	-7.2891235	-20.646667
1560754192788	TYPE_GYROSCOPE	-0.08683777	-0.1326294	0.1043396
1560754192788	TYPE_ROTATION_VECTOR	-0.025175324	0.09404823	0.7623035
1560754192788	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.365601	-51.338196	-195.75043
1560754192788	TYPE_GYROSCOPE_UNCALIBRATED	-0.054595947	-0.01411438	0.09933472
1560754192808	TYPE_ACCELEROMETER	-1.5233612	1.3170471	10.018616
1560754192808	TYPE_MAGNETIC_FIELD	29.180908	-7.9818726	-19.970703
1560754192808	TYPE_GYROSCOPE	-0.16194153	-0.121170044	0.09262085
1560754192808	TYPE_ROTATION_VECTOR	-0.024013603	0.09305979	0.7626799
1560754192808	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.666748	-52.030945	-195.07446
1560754192808	TYPE_GYROSCOPE_UNCALIBRATED	-0.08496094	-0.14248657	0.10572815
1560754192828	TYPE_ACCELEROMETER	-1.5760345	1.2021179	10.527985
1560754192828	TYPE_MAGNETIC_FIELD	29.180908	-6.5948486	-21.321106
1560754192828	TYPE_GYROSCOPE	-0.1555481	-0.10412598	0.10461426
1560754192828	TYPE_ROTATION_VECTOR	-0.023499707	0.09151108	0.76321286
1560754192828	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.666748	-50.64392	-196.42487
1560754192828	TYPE_GYROSCOPE_UNCALIBRATED	-0.1600647	-0.13102722	0.0940094
1560754192847	TYPE_ACCELEROMETER	-1.4940338	1.1865692	10.759613
1560754192847	TYPE_MAGNETIC_FIELD	27.783203	-5.9005737	-17.945862
1560754192847	TYPE_GYROSCOPE	-0.075912476	-0.12490845	0.10247803
1560754192847	TYPE_ROTATION_VECTOR	-0.02338421	0.0897595	0.7638153
1560754192847	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.064453	-49.949646	-193.04962
1560754192847	TYPE_GYROSCOPE_UNCALIBRATED	-0.15367126	-0.113983154	0.10600281
1560754192867	TYPE_ACCELEROMETER	-1.6179352	1.3008881	10.779373
1560754192867	TYPE_MAGNETIC_FIELD	29.878235	-7.2891235	-18.621826
1560754192867	TYPE_GYROSCOPE	0.0069122314	-0.16246033	0.065460205
1560754192867	TYPE_ROTATION_VECTOR	-0.022499412	0.08827141	0.7643587
1560754192867	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.969421	-51.338196	-193.72559
1560754192867	TYPE_GYROSCOPE_UNCALIBRATED	-0.074035645	-0.13476563	0.10386658
1560754192887	TYPE_ACCELEROMETER	-1.8106537	1.4008331	10.462143
1560754192887	TYPE_MAGNETIC_FIELD	27.783203	-7.2891235	-20.646667
1560754192887	TYPE_GYROSCOPE	0.109451294	-0.21385193	0.045211792
1560754192887	TYPE_ROTATION_VECTOR	-0.021008238	0.08764037	0.7646241
1560754192887	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.064453	-51.338196	-195.75043
1560754192887	TYPE_GYROSCOPE_UNCALIBRATED	0.0087890625	-0.1723175	0.066848755
1560754192907	TYPE_ACCELEROMETER	-1.7891083	1.6085358	10.023407
1560754192907	TYPE_MAGNETIC_FIELD	28.482056	-5.9005737	-20.646667
1560754192907	TYPE_GYROSCOPE	0.17362976	-0.17922974	0.058807373
1560754192907	TYPE_ROTATION_VECTOR	-0.018855367	0.08805523	0.7645867
1560754192907	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.365601	-49.949646	-195.75043
1560754192907	TYPE_GYROSCOPE_UNCALIBRATED	0.111328125	-0.2237091	0.04660034
1560754192927	TYPE_ACCELEROMETER	-1.771164	1.6264954	9.816299
1560754192927	TYPE_MAGNETIC_FIELD	27.783203	-7.2891235	-18.621826
1560754192927	TYPE_GYROSCOPE	0.1645813	-0.12010193	0.077178955
1560754192927	TYPE_ROTATION_VECTOR	-0.016257914	0.08959949	0.7639671
1560754192927	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.064453	-51.338196	-193.72559
1560754192927	TYPE_GYROSCOPE_UNCALIBRATED	0.17550659	-0.18908691	0.060195923
1560754192947	TYPE_ACCELEROMETER	-1.6717987	1.5558624	9.9934845
1560754192947	TYPE_MAGNETIC_FIELD	27.783203	-7.9818726	-20.646667
1560754192947	TYPE_GYROSCOPE	0.10545349	-0.1174469	0.08729553
1560754192947	TYPE_ROTATION_VECTOR	-0.014244044	0.09138288	0.7638049
1560754192947	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.064453	-52.030945	-195.75043
1560754192947	TYPE_GYROSCOPE_UNCALIBRATED	0.16645813	-0.1299591	0.078567505
1560754192966	TYPE_ACCELEROMETER	-1.6328888	1.558258	10.363373
1560754192966	TYPE_MAGNETIC_FIELD	29.180908	-5.9005737	-19.970703
1560754192966	TYPE_GYROSCOPE	0.051132202	-0.16297913	0.06492615
1560754192966	TYPE_ROTATION_VECTOR	-0.012638852	0.09230647	0.7640275
1560754192966	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.666748	-49.949646	-195.07446
1560754192966	TYPE_GYROSCOPE_UNCALIBRATED	0.10733032	-0.12730408	0.08868408
1560754192986	TYPE_ACCELEROMETER	-1.6071625	1.6031494	10.513016
1560754192986	TYPE_MAGNETIC_FIELD	29.180908	-7.9818726	-18.621826
1560754192986	TYPE_GYROSCOPE	0.06736755	-0.21304321	0.037765503
1560754192986	TYPE_ROTATION_VECTOR	-0.010988285	0.09230587	0.7638266
1560754192986	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.666748	-52.030945	-193.72559
1560754192986	TYPE_GYROSCOPE_UNCALIBRATED	0.053009033	-0.1728363	0.0663147
1560754193006	TYPE_ACCELEROMETER	-1.6083527	1.7964935	10.375946
1560754193006	TYPE_MAGNETIC_FIELD	28.482056	-7.9818726	-21.995544
1560754193006	TYPE_GYROSCOPE	0.12142944	-0.19415283	0.010070801
1560754193006	TYPE_ROTATION_VECTOR	-0.008918138	0.09206219	0.7638474
1560754193006	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.365601	-52.030945	-197.0993
1560754193006	TYPE_GYROSCOPE_UNCALIBRATED	0.069244385	-0.22290039	0.039154053
1560754193026	TYPE_ACCELEROMETER	-1.6903534	2.0149536	9.983307
1560754193026	TYPE_MAGNETIC_FIELD	27.783203	-7.9818726	-21.321106
1560754193026	TYPE_GYROSCOPE	0.19839478	-0.12623596	0.002609253
1560754193026	TYPE_ROTATION_VECTOR	-0.0065030325	0.09263033	0.76338047
1560754193026	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.064453	-52.030945	-196.42487
1560754193026	TYPE_GYROSCOPE_UNCALIBRATED	0.123306274	-0.20401001	0.011459351
1560754193046	TYPE_ACCELEROMETER	-1.526947	2.2543793	9.435623
1560754193046	TYPE_MAGNETIC_FIELD	27.085876	-7.9818726	-19.970703
1560754193046	TYPE_GYROSCOPE	0.2351532	-0.09640503	0.005004883
1560754193046	TYPE_ROTATION_VECTOR	-0.0011560115	0.097276635	0.7614943
1560754193046	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.76178	-52.030945	-195.07446
1560754193046	TYPE_GYROSCOPE_UNCALIBRATED	0.2002716	-0.13609314	0.0039978027
1560754193066	TYPE_ACCELEROMETER	-1.4263916	2.3752747	8.989105
1560754193066	TYPE_MAGNETIC_FIELD	26.387024	-7.9818726	-21.321106
1560754193066	TYPE_GYROSCOPE	0.19760132	-0.0982666	-0.013381958
1560754193066	TYPE_ROTATION_VECTOR	-0.0011560115	0.097276635	0.7614943
1560754193066	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.460632	-52.030945	-196.42487
1560754193066	TYPE_GYROSCOPE_UNCALIBRATED	0.23703003	-0.10626221	0.0063934326
1560754193086	TYPE_ACCELEROMETER	-1.423996	2.4596863	8.780212
1560754193086	TYPE_MAGNETIC_FIELD	27.085876	-7.9818726	-20.646667
1560754193086	TYPE_GYROSCOPE	0.1259613	-0.113723755	-0.037887573
1560754193086	TYPE_ROTATION_VECTOR	0.0041784844	0.10150954	0.75870615
1560754193086	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.76178	-52.030945	-195.75043
1560754193086	TYPE_GYROSCOPE_UNCALIBRATED	0.19947815	-0.10812378	-0.011993408
1560754193105	TYPE_ACCELEROMETER	-1.490448	2.4854126	8.6622925
1560754193105	TYPE_MAGNETIC_FIELD	26.387024	-7.2891235	-20.646667
1560754193105	TYPE_GYROSCOPE	0.0750885	-0.10865784	-0.045333862
1560754193105	TYPE_ROTATION_VECTOR	0.0041784844	0.10150954	0.75870615
1560754193105	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.460632	-51.338196	-195.75043
1560754193105	TYPE_GYROSCOPE_UNCALIBRATED	0.12783813	-0.12358093	-0.036499023
1560754193125	TYPE_ACCELEROMETER	-1.332428	2.5644226	8.560547
1560754193125	TYPE_MAGNETIC_FIELD	27.085876	-6.5948486	-21.321106
1560754193125	TYPE_GYROSCOPE	0.074295044	-0.057525635	-0.038146973
1560754193125	TYPE_ROTATION_VECTOR	0.0061949496	0.103021875	0.75714535
1560754193125	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.76178	-50.64392	-196.42487
1560754193125	TYPE_GYROSCOPE_UNCALIBRATED	0.07696533	-0.118515015	-0.043945313
1560754193145	TYPE_ACCELEROMETER	-1.2779541	2.4345398	8.3349
1560754193145	TYPE_MAGNETIC_FIELD	27.085876	-7.9818726	-21.995544
1560754193145	TYPE_GYROSCOPE	0.09640503	0.027175903	-0.04133606
1560754193145	TYPE_ROTATION_VECTOR	0.008077294	0.104717255	0.7554289
1560754193145	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.76178	-52.030945	-197.0993
1560754193145	TYPE_GYROSCOPE_UNCALIBRATED	0.076171875	-0.06738281	-0.036758423
1560754193165	TYPE_ACCELEROMETER	-1.1839752	2.4854126	8.246307
1560754193165	TYPE_MAGNETIC_FIELD	27.085876	-8.676147	-19.970703
1560754193165	TYPE_GYROSCOPE	0.058044434	0.047409058	-0.060256958
1560754193165	TYPE_ROTATION_VECTOR	0.009298395	0.106892586	0.7540669
1560754193165	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.76178	-52.72522	-195.07446
1560754193165	TYPE_GYROSCOPE_UNCALIBRATED	0.09828186	0.017318726	-0.03994751
1560754193185	TYPE_ACCELEROMETER	-1.3707275	2.3782806	8.342667
1560754193185	TYPE_MAGNETIC_FIELD	27.783203	-7.2891235	-21.321106
1560754193185	TYPE_GYROSCOPE	-0.015731812	0.03250122	-0.096466064
1560754193185	TYPE_ROTATION_VECTOR	0.010202823	0.10882376	0.75278616
1560754193185	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.064453	-51.338196	-196.42487
1560754193185	TYPE_GYROSCOPE_UNCALIBRATED	0.059921265	0.03755188	-0.05886841
1560754193205	TYPE_ACCELEROMETER	-1.6233215	2.3938446	8.746704
1560754193205	TYPE_MAGNETIC_FIELD	27.783203	-7.2891235	-20.646667
1560754193205	TYPE_GYROSCOPE	-0.113204956	0.048736572	-0.112976074
1560754193205	TYPE_ROTATION_VECTOR	0.010400981	0.11007298	0.75120866
1560754193205	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.064453	-51.338196	-195.75043
1560754193205	TYPE_GYROSCOPE_UNCALIBRATED	-0.0138549805	0.022644043	-0.095077515
1560754193224	TYPE_ACCELEROMETER	-1.8429871	2.2920837	9.234512
1560754193224	TYPE_MAGNETIC_FIELD	26.387024	-6.5948486	-21.995544
1560754193224	TYPE_GYROSCOPE	-0.17312622	0.042617798	-0.09779358
1560754193224	TYPE_ROTATION_VECTOR	0.009559936	0.110777505	0.7497363
1560754193224	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.460632	-50.64392	-197.0993
1560754193224	TYPE_GYROSCOPE_UNCALIBRATED	-0.111328125	0.038879395	-0.111587524
1560754193244	TYPE_ACCELEROMETER	-1.7992859	2.3154297	9.789368
1560754193244	TYPE_MAGNETIC_FIELD	27.783203	-5.9005737	-20.646667
1560754193244	TYPE_GYROSCOPE	-0.20375061	0.06072998	-0.06637573
1560754193244	TYPE_ROTATION_VECTOR	0.008081885	0.11090624	0.74850327
1560754193244	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.064453	-49.949646	-195.75043
1560754193244	TYPE_GYROSCOPE_UNCALIBRATED	-0.17124939	0.03276062	-0.09640503
1560754193264	TYPE_ACCELEROMETER	-1.5951843	2.320221	10.150894
1560754193264	TYPE_MAGNETIC_FIELD	27.783203	-7.2891235	-19.970703
1560754193264	TYPE_GYROSCOPE	-0.19122314	0.041015625	-0.054656982
1560754193264	TYPE_ROTATION_VECTOR	0.006421012	0.11072332	0.74747133
1560754193264	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.064453	-51.338196	-195.07446
1560754193264	TYPE_GYROSCOPE_UNCALIBRATED	-0.20187378	0.050872803	-0.06498718
1560754193284	TYPE_ACCELEROMETER	-1.4988251	2.4369354	10.575867
1560754193284	TYPE_MAGNETIC_FIELD	27.783203	-7.9818726	-20.646667
1560754193284	TYPE_GYROSCOPE	-0.16166687	0.03996277	-0.072769165
1560754193284	TYPE_ROTATION_VECTOR	0.005181775	0.11022802	0.74684393
1560754193284	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.064453	-52.030945	-195.75043
1560754193284	TYPE_GYROSCOPE_UNCALIBRATED	-0.18934631	0.031158447	-0.053268433
1560754193304	TYPE_ACCELEROMETER	-1.7118988	2.4752502	10.623749
1560754193304	TYPE_MAGNETIC_FIELD	27.085876	-6.5948486	-21.321106
1560754193304	TYPE_GYROSCOPE	-0.07058716	-0.029037476	-0.09353638
1560754193304	TYPE_ROTATION_VECTOR	0.004312765	0.1098502	0.7461501
