#	startTime:1560755289204
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5de2acfd2d33b5863e	FloorName:B1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560755289204	TYPE_WAYPOINT	76.17728	74.57761
1560755289374	TYPE_ACCELEROMETER	-1.1773987	1.3942566	10.838638
1560755289374	TYPE_MAGNETIC_FIELD	-24.598694	12.136841	-28.746033
1560755289374	TYPE_GYROSCOPE	-0.3323822	0.10093689	0.05455017
1560755289374	TYPE_ROTATION_VECTOR	0.10228813	0.018531922	-0.51495695
1560755289374	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-68.44635	-31.912231	-203.8498
1560755289374	TYPE_GYROSCOPE_UNCALIBRATED	-0.3954773	0.092941284	0.10786438
1560755289394	TYPE_ACCELEROMETER	-1.1265106	1.5462952	11.029572
1560755289394	TYPE_MAGNETIC_FIELD	-25.297546	11.442566	-29.421997
1560755289394	TYPE_GYROSCOPE	-0.15899658	0.1368866	-0.013916016
1560755289394	TYPE_ROTATION_VECTOR	0.09582407	0.019157097	-0.5145335
1560755289394	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-69.1452	-32.606506	-204.52576
1560755289394	TYPE_GYROSCOPE_UNCALIBRATED	-0.33050537	0.09107971	0.05593872
1560755289414	TYPE_ACCELEROMETER	-1.22229	1.7252655	10.64949
1560755289414	TYPE_MAGNETIC_FIELD	-25.996399	12.82959	-30.096436
1560755289414	TYPE_GYROSCOPE	0.030075073	0.17124939	-0.07463074
1560755289414	TYPE_ROTATION_VECTOR	0.09327183	0.018587776	-0.5135833
1560755289414	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-69.844055	-31.219482	-205.2002
1560755289414	TYPE_GYROSCOPE_UNCALIBRATED	-0.15711975	0.12702942	-0.012527466
