#	startTime:1560755624498
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5de2acfd2d33b5863e	FloorName:B1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560755624501	TYPE_WAYPOINT	76.17728	74.57761
1560755624618	TYPE_ACCELEROMETER	-1.0044098	1.6695862	7.561569
1560755624618	TYPE_MAGNETIC_FIELD	33.77533	-8.815002	-23.00415
1560755624618	TYPE_GYROSCOPE	0.09613037	-0.042877197	0.010604858
1560755624618	TYPE_ROTATION_VECTOR	-0.0017678667	0.09901937	0.74777293
1560755624618	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.476685	-54.112244	-199.12567
1560755624618	TYPE_GYROSCOPE_UNCALIBRATED	0.63597107	-0.13529968	0.06285095
1560755624638	TYPE_ACCELEROMETER	-0.9894409	1.3894653	8.793976
1560755624638	TYPE_MAGNETIC_FIELD	31.680298	-10.202026	-26.377869
1560755624638	TYPE_GYROSCOPE	-0.28497314	-0.0034637451	-0.0056610107
1560755624638	TYPE_ROTATION_VECTOR	0.0045148702	0.10434942	0.7432195
1560755624638	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.571716	-55.499268	-202.49939
1560755624638	TYPE_GYROSCOPE_UNCALIBRATED	0.0980072	-0.052734375	0.011993408
1560755624658	TYPE_ACCELEROMETER	-1.0151978	1.265564	9.865387
1560755624658	TYPE_MAGNETIC_FIELD	32.37915	-8.815002	-25.70343
1560755624658	TYPE_GYROSCOPE	-0.38165283	-0.038619995	-0.015777588
1560755624658	TYPE_ROTATION_VECTOR	0.0040310468	0.100883186	0.7440144
1560755624658	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.872864	-54.112244	-201.82495
1560755624658	TYPE_GYROSCOPE_UNCALIBRATED	-0.2830963	-0.013320923	-0.004272461
1560755624678	TYPE_ACCELEROMETER	-1.0846252	1.142273	10.429825
1560755624678	TYPE_MAGNETIC_FIELD	31.680298	-6.7337036	-24.353027
1560755624678	TYPE_GYROSCOPE	-0.32278442	-0.08415222	-0.023223877
1560755624678	TYPE_ROTATION_VECTOR	-1.7115296E-4	0.089358665	0.7474441
1560755624678	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.571716	-52.030945	-200.47455
1560755624678	TYPE_GYROSCOPE_UNCALIBRATED	-0.379776	-0.048477173	-0.014389038
1560755624698	TYPE_ACCELEROMETER	-1.040329	1.056076	10.574066
1560755624698	TYPE_MAGNETIC_FIELD	32.37915	-10.202026	-25.028992
1560755624698	TYPE_GYROSCOPE	-0.19096375	-0.104400635	-0.02935791
1560755624698	TYPE_ROTATION_VECTOR	-1.7115296E-4	0.089358665	0.7474441
1560755624698	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.872864	-55.499268	-201.15051
1560755624698	TYPE_GYROSCOPE_UNCALIBRATED	-0.3209076	-0.0940094	-0.021835327
1560755624718	TYPE_ACCELEROMETER	-1.0409241	1.032135	10.450165
1560755624718	TYPE_MAGNETIC_FIELD	31.680298	-6.7337036	-24.353027
1560755624718	TYPE_GYROSCOPE	-0.0655365	-0.07110596	-0.053588867
1560755624718	TYPE_ROTATION_VECTOR	-0.0013375786	0.084851176	0.74939126
1560755624718	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.571716	-52.030945	-200.47455
1560755624718	TYPE_GYROSCOPE_UNCALIBRATED	-0.18908691	-0.11425781	-0.02796936
1560755624737	TYPE_ACCELEROMETER	-1.158844	0.9854584	10.022202
1560755624737	TYPE_MAGNETIC_FIELD	30.981445	-7.4279785	-23.678589
1560755624737	TYPE_GYROSCOPE	0.017044067	0.010925293	-0.07435608
1560755624737	TYPE_ROTATION_VECTOR	-0.0018093768	0.08219256	0.7500671
1560755624737	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.270569	-52.72522	-199.80011
1560755624737	TYPE_GYROSCOPE_UNCALIBRATED	-0.06365967	-0.080963135	-0.052200317
1560755624757	TYPE_ACCELEROMETER	-1.0133972	1.0943909	9.573898
1560755624757	TYPE_MAGNETIC_FIELD	31.680298	-8.122253	-25.028992
1560755624757	TYPE_GYROSCOPE	0.0042419434	0.022109985	-0.077819824
1560755624757	TYPE_ROTATION_VECTOR	-0.002881025	0.08157668	0.7504885
1560755624757	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.571716	-53.419495	-201.15051
1560755624757	TYPE_GYROSCOPE_UNCALIBRATED	0.018920898	0.0010681152	-0.07296753
1560755624777	TYPE_ACCELEROMETER	-0.9469452	1.1237183	9.445206
1560755624777	TYPE_MAGNETIC_FIELD	33.076477	-8.815002	-24.353027
1560755624777	TYPE_GYROSCOPE	-0.08416748	-0.026367188	-0.094070435
1560755624777	TYPE_ROTATION_VECTOR	-0.0030403587	0.08134178	0.75033164
1560755624777	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.175537	-54.112244	-200.47455
1560755624777	TYPE_GYROSCOPE_UNCALIBRATED	0.0061187744	0.012252808	-0.076431274
1560755624797	TYPE_ACCELEROMETER	-0.9756775	1.221878	9.542175
1560755624797	TYPE_MAGNETIC_FIELD	31.680298	-8.122253	-23.678589
1560755624797	TYPE_GYROSCOPE	-0.17045593	-0.03755188	-0.1028595
1560755624797	TYPE_ROTATION_VECTOR	-0.0030993593	0.08026054	0.7500402
1560755624797	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.571716	-53.419495	-199.80011
1560755624797	TYPE_GYROSCOPE_UNCALIBRATED	-0.08229065	-0.036224365	-0.092681885
1560755624817	TYPE_ACCELEROMETER	-1.079834	1.2302551	9.742676
1560755624817	TYPE_MAGNETIC_FIELD	33.77533	-7.4279785	-24.353027
1560755624817	TYPE_GYROSCOPE	-0.22425842	-0.031951904	-0.11164856
1560755624817	TYPE_ROTATION_VECTOR	-0.003415102	0.078918286	0.7493863
1560755624817	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.476685	-52.72522	-200.47455
1560755624817	TYPE_GYROSCOPE_UNCALIBRATED	-0.1685791	-0.047409058	-0.10147095
1560755624837	TYPE_ACCELEROMETER	-1.1612396	1.2063141	10.042557
1560755624837	TYPE_MAGNETIC_FIELD	30.981445	-7.4279785	-25.70343
1560755624837	TYPE_GYROSCOPE	-0.23783875	-0.0071868896	-0.10765076
1560755624837	TYPE_ROTATION_VECTOR	-0.004348489	0.07748213	0.74852824
1560755624837	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.270569	-52.72522	-201.82495
1560755624837	TYPE_GYROSCOPE_UNCALIBRATED	-0.22238159	-0.041809082	-0.11026001
1560755624856	TYPE_ACCELEROMETER	-1.1624298	1.1410828	10.146103
1560755624856	TYPE_MAGNETIC_FIELD	33.076477	-6.7337036	-25.028992
1560755624856	TYPE_GYROSCOPE	-0.22372437	-0.017578125	-0.09086609
1560755624856	TYPE_ROTATION_VECTOR	-0.005756771	0.07613008	0.74783987
1560755624856	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.175537	-52.030945	-201.15051
1560755624856	TYPE_GYROSCOPE_UNCALIBRATED	-0.23596191	-0.017044067	-0.10626221
1560755624876	TYPE_ACCELEROMETER	-0.9996338	1.1548309	10.220337
1560755624876	TYPE_MAGNETIC_FIELD	31.680298	-7.4279785	-23.678589
1560755624876	TYPE_GYROSCOPE	-0.21839905	-0.076431274	-0.08502197
1560755624876	TYPE_ROTATION_VECTOR	-0.0070412015	0.074673116	0.74721986
1560755624876	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.571716	-52.72522	-199.80011
1560755624876	TYPE_GYROSCOPE_UNCALIBRATED	-0.22184753	-0.027435303	-0.08947754
1560755624896	TYPE_ACCELEROMETER	-1.016983	1.221283	10.359787
1560755624896	TYPE_MAGNETIC_FIELD	32.37915	-6.0409546	-26.377869
1560755624896	TYPE_GYROSCOPE	-0.1877594	-0.087890625	-0.10845947
1560755624896	TYPE_ROTATION_VECTOR	-0.0074240654	0.072641	0.746747
1560755624896	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.872864	-51.338196	-202.49939
1560755624896	TYPE_GYROSCOPE_UNCALIBRATED	-0.21652222	-0.08628845	-0.08363342
1560755624916	TYPE_ACCELEROMETER	-1.2665863	1.2661743	10.374161
1560755624916	TYPE_MAGNETIC_FIELD	31.680298	-6.7337036	-24.353027
1560755624916	TYPE_GYROSCOPE	-0.11985779	-0.048461914	-0.13267517
1560755624916	TYPE_ROTATION_VECTOR	-0.0077442857	0.07062694	0.7445382
1560755624916	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.571716	-52.030945	-200.47455
1560755624916	TYPE_GYROSCOPE_UNCALIBRATED	-0.18588257	-0.0977478	-0.10707092
1560755624936	TYPE_ACCELEROMETER	-1.3593597	1.213501	10.115585
1560755624936	TYPE_MAGNETIC_FIELD	30.981445	-7.4279785	-25.70343
1560755624936	TYPE_GYROSCOPE	-0.03756714	-0.020233154	-0.12176514
1560755624936	TYPE_ROTATION_VECTOR	-0.008022407	0.07114349	0.7436037
1560755624936	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.270569	-52.72522	-201.82495
1560755624936	TYPE_GYROSCOPE_UNCALIBRATED	-0.11798096	-0.05831909	-0.13128662
1560755624956	TYPE_ACCELEROMETER	-1.2671814	1.2494049	9.841446
1560755624956	TYPE_MAGNETIC_FIELD	31.680298	-7.4279785	-25.70343
1560755624956	TYPE_GYROSCOPE	-0.010131836	-0.036758423	-0.108444214
1560755624956	TYPE_ROTATION_VECTOR	-0.007762042	0.07169206	0.7426647
1560755624956	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.571716	-52.72522	-201.82495
1560755624956	TYPE_GYROSCOPE_UNCALIBRATED	-0.035690308	-0.030090332	-0.12037659
1560755624975	TYPE_ACCELEROMETER	-1.1468658	1.2512054	9.727127
1560755624975	TYPE_MAGNETIC_FIELD	33.076477	-6.7337036	-26.377869
1560755624975	TYPE_GYROSCOPE	-0.0423584	-0.05833435	-0.12416077
1560755624975	TYPE_ROTATION_VECTOR	-0.007762042	0.07169206	0.7426647
1560755624975	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.175537	-52.030945	-202.49939
1560755624975	TYPE_GYROSCOPE_UNCALIBRATED	-0.008255005	-0.0466156	-0.107055664
1560755624995	TYPE_ACCELEROMETER	-1.1265259	1.2619781	9.785782
1560755624995	TYPE_MAGNETIC_FIELD	31.680298	-5.3466797	-25.028992
1560755624995	TYPE_GYROSCOPE	-0.10786438	-0.059661865	-0.15345764
1560755624995	TYPE_ROTATION_VECTOR	-0.0073577114	0.0716745	0.7415098
1560755624995	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.571716	-50.64392	-201.15051
1560755624995	TYPE_GYROSCOPE_UNCALIBRATED	-0.040481567	-0.06819153	-0.12277222
1560755625015	TYPE_ACCELEROMETER	-1.1714172	1.3469696	10.19519
