#	startTime:1560755767127
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5de2acfd2d33b5863e	FloorName:B1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560755767127	TYPE_WAYPOINT	80.15643	65.05261
1560755767244	TYPE_ACCELEROMETER	-1.6053619	1.692337	8.761063
1560755767244	TYPE_MAGNETIC_FIELD	41.45813	-8.815002	-29.078674
1560755767244	TYPE_GYROSCOPE	0.16271973	-0.064453125	0.06706238
1560755767244	TYPE_ROTATION_VECTOR	-0.008974089	0.12021789	0.7431217
1560755767244	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.7938843	-54.112244	-205.2002
1560755767244	TYPE_GYROSCOPE_UNCALIBRATED	0.16459656	-0.0743103	0.06845093
1560755767264	TYPE_ACCELEROMETER	-1.3174591	1.8760986	8.923874
1560755767264	TYPE_MAGNETIC_FIELD	42.855835	-9.509277	-27.053833
1560755767264	TYPE_GYROSCOPE	0.011444092	-0.030090332	0.0066070557
1560755767264	TYPE_ROTATION_VECTOR	-0.0041241674	0.12096135	0.7411563
1560755767264	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-1.3961792	-54.80652	-203.17535
1560755767264	TYPE_GYROSCOPE_UNCALIBRATED	0.013320923	-0.03994751	0.0079956055
1560755767284	TYPE_ACCELEROMETER	-1.7166901	1.7192688	9.12558
1560755767284	TYPE_MAGNETIC_FIELD	42.156982	-10.202026	-26.377869
1560755767284	TYPE_GYROSCOPE	-0.09190369	-0.046340942	-0.040542603
1560755767284	TYPE_ROTATION_VECTOR	-0.0048283045	0.12149785	0.74050766
1560755767284	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.0950317	-55.499268	-202.49939
1560755767284	TYPE_GYROSCOPE_UNCALIBRATED	-0.090026855	-0.05619812	-0.039154053
1560755767304	TYPE_ACCELEROMETER	-1.8711243	1.6145325	9.474533
1560755767304	TYPE_MAGNETIC_FIELD	41.45813	-10.896301	-26.377869
1560755767304	TYPE_GYROSCOPE	-0.14675903	-0.07510376	-0.012313843
1560755767304	TYPE_ROTATION_VECTOR	-0.0069277813	0.12080626	0.740977
1560755767304	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.7938843	-56.193542	-202.49939
1560755767304	TYPE_GYROSCOPE_UNCALIBRATED	-0.1448822	-0.08496094	-0.010925293
1560755767324	TYPE_ACCELEROMETER	-1.7113037	1.7144775	9.87616
1560755767324	TYPE_MAGNETIC_FIELD	42.855835	-8.122253	-27.053833
