#	startTime:1560755907165
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5de2acfd2d33b5863e	FloorName:B1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560755907166	TYPE_WAYPOINT	63.670284	81.785385
1560755907291	TYPE_ACCELEROMETER	-1.1636353	2.1418457	10.35141
1560755907291	TYPE_MAGNETIC_FIELD	-3.2424927	-30.322266	-15.579224
1560755907291	TYPE_GYROSCOPE	-0.085510254	-0.034347534	-3.2043457E-4
1560755907291	TYPE_ROTATION_VECTOR	0.073006384	-0.08899125	-0.98697865
1560755907291	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-47.494507	-75.61951	-191.70074
1560755907291	TYPE_GYROSCOPE_UNCALIBRATED	-0.23303223	-0.07696533	-0.0021362305
1560755907311	TYPE_ACCELEROMETER	-1.4060364	1.9526978	9.318909
1560755907311	TYPE_MAGNETIC_FIELD	-4.638672	-29.62799	-12.878418
1560755907311	TYPE_GYROSCOPE	0.04046631	-0.013046265	-0.0029907227
1560755907311	TYPE_ROTATION_VECTOR	0.07081725	-0.08991173	-0.98716545
1560755907311	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.890686	-74.92523	-188.99994
1560755907311	TYPE_GYROSCOPE_UNCALIBRATED	-0.08363342	-0.044204712	0.0010681152
1560755907331	TYPE_ACCELEROMETER	-1.4030457	1.913208	8.883774
1560755907331	TYPE_MAGNETIC_FIELD	-5.3375244	-28.933716	-13.552856
1560755907331	TYPE_GYROSCOPE	-0.106277466	-0.057785034	0.023376465
1560755907331	TYPE_ROTATION_VECTOR	0.075454995	-0.0905212	-0.98629576
1560755907331	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-49.58954	-74.23096	-189.67438
1560755907331	TYPE_GYROSCOPE_UNCALIBRATED	0.04234314	-0.022903442	-0.0016021729
1560755907351	TYPE_ACCELEROMETER	-1.4252014	1.8641205	9.644516
1560755907351	TYPE_MAGNETIC_FIELD	-4.638672	-28.933716	-14.228821
