#	startTime:1560756452193
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5de2acfd2d33b5863e	FloorName:B1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560756452194	TYPE_WAYPOINT	38.67685	74.304855
1560756452307	TYPE_ACCELEROMETER	-1.1181488	1.8407745	7.9470367
1560756452307	TYPE_MAGNETIC_FIELD	-7.432556	26.565552	-27.053833
1560756452307	TYPE_GYROSCOPE	0.08229065	-0.07749939	0.030838013
1560756452307	TYPE_ROTATION_VECTOR	0.09227723	0.06109433	-0.14354298
1560756452307	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.68457	-18.73169	-203.17535
1560756452307	TYPE_GYROSCOPE_UNCALIBRATED	0.08416748	-0.08735657	0.032226563
1560756452327	TYPE_ACCELEROMETER	-1.1247253	1.7833099	9.169876
1560756452327	TYPE_MAGNETIC_FIELD	-7.432556	27.259827	-28.404236
1560756452327	TYPE_GYROSCOPE	-0.23197937	-0.005065918	-0.018432617
1560756452327	TYPE_ROTATION_VECTOR	0.09227723	0.06109433	-0.14354298
1560756452327	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.68457	-18.037415	-204.52576
1560756452327	TYPE_GYROSCOPE_UNCALIBRATED	-0.23010254	-0.014923096	-0.017044067
1560756452347	TYPE_ACCELEROMETER	-1.395874	1.6031494	10.010239
1560756452347	TYPE_MAGNETIC_FIELD	-6.034851	25.872803	-27.728271
1560756452347	TYPE_GYROSCOPE	-0.2607422	0.014923096	-0.032546997
1560756452347	TYPE_ROTATION_VECTOR	0.08943783	0.058758203	-0.14177959
1560756452347	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.286865	-19.424438	-203.8498
1560756452347	TYPE_GYROSCOPE_UNCALIBRATED	-0.25886536	0.005065918	-0.031158447
1560756452367	TYPE_ACCELEROMETER	-1.38031	1.494812	10.456757
1560756452367	TYPE_MAGNETIC_FIELD	-7.432556	27.259827	-27.728271
1560756452367	TYPE_GYROSCOPE	-0.18482971	-0.012512207	-0.016036987
1560756452367	TYPE_ROTATION_VECTOR	0.08633247	0.05821575	-0.14201356
1560756452367	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.68457	-18.037415	-203.8498
1560756452367	TYPE_GYROSCOPE_UNCALIBRATED	-0.18295288	-0.022369385	-0.0146484375
1560756452387	TYPE_ACCELEROMETER	-1.376709	1.474472	10.47052
1560756452387	TYPE_MAGNETIC_FIELD	-8.131409	27.259827	-27.728271
1560756452387	TYPE_GYROSCOPE	-0.0932312	-0.010116577	-0.030410767
1560756452387	TYPE_ROTATION_VECTOR	0.08633247	0.05821575	-0.14201356
1560756452387	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.383423	-18.037415	-203.8498
1560756452387	TYPE_GYROSCOPE_UNCALIBRATED	-0.09135437	-0.019973755	-0.029022217
1560756452407	TYPE_ACCELEROMETER	-1.5467072	1.4762573	10.286758
1560756452407	TYPE_MAGNETIC_FIELD	-6.034851	25.872803	-27.728271
1560756452407	TYPE_GYROSCOPE	-0.043426514	-0.01890564	-0.058380127
1560756452407	TYPE_ROTATION_VECTOR	0.08444983	0.05771674	-0.14265633
1560756452407	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.286865	-19.424438	-203.8498
1560756452407	TYPE_GYROSCOPE_UNCALIBRATED	-0.041549683	-0.028762817	-0.056991577
1560756452426	TYPE_ACCELEROMETER	-1.6879578	1.549881	10.131149
1560756452426	TYPE_MAGNETIC_FIELD	-6.034851	26.565552	-28.404236
1560756452426	TYPE_GYROSCOPE	-0.017593384	-0.025039673	-0.059448242
1560756452426	TYPE_ROTATION_VECTOR	0.08371141	0.059164852	-0.1453867
1560756452426	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.286865	-18.73169	-204.52576
1560756452426	TYPE_GYROSCOPE_UNCALIBRATED	-0.015716553	-0.03489685	-0.058059692
1560756452446	TYPE_ACCELEROMETER	-1.6209259	1.6175232	9.912079
1560756452446	TYPE_MAGNETIC_FIELD	-6.7337036	25.872803	-27.053833
1560756452446	TYPE_GYROSCOPE	0.021835327	-0.020507813	-0.051986694
1560756452446	TYPE_ROTATION_VECTOR	0.08454612	0.059688568	-0.1466536
1560756452446	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.985718	-19.424438	-203.17535
1560756452446	TYPE_GYROSCOPE_UNCALIBRATED	0.023712158	-0.03036499	-0.050598145
1560756452466	TYPE_ACCELEROMETER	-1.5598755	1.7587738	9.5278015
1560756452466	TYPE_MAGNETIC_FIELD	-7.432556	27.954102	-27.053833
1560756452466	TYPE_GYROSCOPE	0.046066284	-0.018371582	-0.036010742
1560756452466	TYPE_ROTATION_VECTOR	0.08627029	0.05994331	-0.14747997
1560756452466	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.68457	-17.34314	-203.17535
1560756452466	TYPE_GYROSCOPE_UNCALIBRATED	0.047943115	-0.02822876	-0.034622192
1560756452486	TYPE_ACCELEROMETER	-1.5257568	1.7922974	9.227936
1560756452486	TYPE_MAGNETIC_FIELD	-8.131409	27.954102	-27.728271
1560756452486	TYPE_GYROSCOPE	0.013580322	0.017044067	-0.00592041
1560756452486	TYPE_ROTATION_VECTOR	0.08627029	0.05994331	-0.14747997
1560756452486	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.383423	-17.34314	-203.8498
1560756452486	TYPE_GYROSCOPE_UNCALIBRATED	0.015457153	0.0071868896	-0.0045318604
1560756452506	TYPE_ACCELEROMETER	-1.3276367	1.7222748	9.431442
1560756452506	TYPE_MAGNETIC_FIELD	-6.034851	27.259827	-27.053833
1560756452506	TYPE_GYROSCOPE	-0.09881592	0.052993774	0.005004883
1560756452506	TYPE_ROTATION_VECTOR	0.087756276	0.060730856	-0.1474642
1560756452506	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.286865	-18.037415	-203.17535
