#	startTime:1560762313112
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5ae2acfd2d33b5855e	FloorName:F1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560762313112	TYPE_WAYPOINT	53.905926	104.28482
1560762313229	TYPE_ACCELEROMETER	-1.5538788	2.3142395	8.856232
1560762313229	TYPE_MAGNETIC_FIELD	9.643555	16.140747	-23.425293
1560762313229	TYPE_GYROSCOPE	-0.45941162	-0.0029296875	-0.02482605
1560762313229	TYPE_ROTATION_VECTOR	0.1158225	0.10383655	0.16478749
1560762313229	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.71515	-27.056885	-200.47455
1560762313229	TYPE_GYROSCOPE_UNCALIBRATED	0.06498718	-0.07910156	-0.01171875
1560762313249	TYPE_ACCELEROMETER	-1.4844513	2.118515	10.868561
1560762313249	TYPE_MAGNETIC_FIELD	10.340881	16.140747	-24.101257
1560762313249	TYPE_GYROSCOPE	-0.45169067	0.03489685	0.012466431
1560762313249	TYPE_ROTATION_VECTOR	0.10383624	0.09867686	0.17089766
1560762313249	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.017822	-27.056885	-201.15051
1560762313249	TYPE_GYROSCOPE_UNCALIBRATED	-0.4575348	-0.012786865	-0.0234375
1560762313269	TYPE_ACCELEROMETER	-1.3108673	1.9437256	11.230682
1560762313269	TYPE_MAGNETIC_FIELD	10.340881	17.529297	-22.750854
1560762313269	TYPE_GYROSCOPE	-0.14755249	0.048202515	0.033233643
1560762313269	TYPE_ROTATION_VECTOR	0.10383624	0.09867686	0.17089766
1560762313269	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.017822	-25.668335	-199.80011
1560762313269	TYPE_GYROSCOPE_UNCALIBRATED	-0.44981384	0.025039673	0.0138549805
1560762313289	TYPE_ACCELEROMETER	-1.3192596	1.8772888	10.437012
1560762313289	TYPE_MAGNETIC_FIELD	11.039734	14.753723	-22.076416
1560762313289	TYPE_GYROSCOPE	0.078552246	0.04447937	0.02923584
1560762313289	TYPE_ROTATION_VECTOR	0.09315288	0.09191657	0.18075302
1560762313289	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-36.31897	-28.443909	-199.12567
1560762313289	TYPE_GYROSCOPE_UNCALIBRATED	-0.14567566	0.038345337	0.034622192
1560762313309	TYPE_ACCELEROMETER	-1.2965088	1.9269714	9.999466
1560762313309	TYPE_MAGNETIC_FIELD	11.039734	14.753723	-22.076416
1560762313309	TYPE_GYROSCOPE	0.08441162	0.032226563	0.0018157959
