#	startTime:1560763088482
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5ae2acfd2d33b5855e	FloorName:F1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560763088482	TYPE_WAYPOINT	27.35418	50.122795
1560763088616	TYPE_ACCELEROMETER	-0.94096375	2.0718231	9.925247
1560763088616	TYPE_MAGNETIC_FIELD	-32.556152	7.182312	-26.501465
1560763088616	TYPE_GYROSCOPE	-0.038894653	-0.06365967	-0.11618042
1560763088616	TYPE_ROTATION_VECTOR	0.104766116	-0.018962897	-0.5812332
1560763088616	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-77.526855	-36.769104	-201.82495
1560763088616	TYPE_GYROSCOPE_UNCALIBRATED	-0.037017822	-0.073516846	-0.11479187
1560763088636	TYPE_ACCELEROMETER	-0.99961853	2.1298828	9.891129
1560763088636	TYPE_MAGNETIC_FIELD	-32.556152	7.182312	-26.501465
1560763088636	TYPE_GYROSCOPE	-0.06340027	-0.02848816	-0.108184814
1560763088636	TYPE_ROTATION_VECTOR	0.10582759	-0.019097976	-0.5813494
1560763088636	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-77.526855	-36.769104	-201.82495
1560763088636	TYPE_GYROSCOPE_UNCALIBRATED	-0.061523438	-0.038345337	-0.106796265
1560763088656	TYPE_ACCELEROMETER	-0.94155884	2.0550537	10.029388
1560763088656	TYPE_MAGNETIC_FIELD	-32.556152	7.182312	-25.827026
1560763088656	TYPE_GYROSCOPE	-0.05886841	0.007461548	-0.09353638
1560763088656	TYPE_ROTATION_VECTOR	0.10586348	-0.018973392	-0.5817418
1560763088656	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-77.526855	-36.769104	-201.15051
1560763088656	TYPE_GYROSCOPE_UNCALIBRATED	-0.061523438	-0.038345337	-0.106796265
1560763088676	TYPE_ACCELEROMETER	-1.0810394	2.1526337	10.015625
1560763088676	TYPE_MAGNETIC_FIELD	-32.556152	7.182312	-25.827026
1560763088676	TYPE_GYROSCOPE	-0.041290283	0.0034637451	-0.087402344
1560763088676	TYPE_ROTATION_VECTOR	0.10690616	-0.018590646	-0.581983
1560763088676	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-77.526855	-36.769104	-201.15051
1560763088676	TYPE_GYROSCOPE_UNCALIBRATED	-0.039413452	-0.0063934326	-0.086013794
1560763088696	TYPE_ACCELEROMETER	-1.3144684	2.098755	10.237091
1560763088696	TYPE_MAGNETIC_FIELD	-33.95233	7.182312	-25.827026
1560763088696	TYPE_GYROSCOPE	-0.022125244	-0.052734375	-0.07249451
1560763088696	TYPE_ROTATION_VECTOR	0.10690616	-0.018590646	-0.581983
1560763088696	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-78.923035	-36.769104	-201.15051
1560763088696	TYPE_GYROSCOPE_UNCALIBRATED	-0.020248413	-0.06259155	-0.07110596
1560763088716	TYPE_ACCELEROMETER	-1.2917175	2.2358246	10.3298645
1560763088716	TYPE_MAGNETIC_FIELD	-33.255005	7.182312	-23.802185
1560763088716	TYPE_GYROSCOPE	0.069229126	-0.13742065	-0.050933838
1560763088716	TYPE_ROTATION_VECTOR	0.10895794	-0.018394975	-0.58326364
1560763088716	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-78.22571	-36.769104	-199.12567
1560763088716	TYPE_GYROSCOPE_UNCALIBRATED	0.07110596	-0.14727783	-0.049545288
1560763088735	TYPE_ACCELEROMETER	-1.3054962	2.2406158	9.974915
1560763088735	TYPE_MAGNETIC_FIELD	-33.255005	5.795288	-25.151062
1560763088735	TYPE_GYROSCOPE	0.19946289	-0.16937256	-0.051727295
1560763088735	TYPE_ROTATION_VECTOR	0.1110759	-0.020138608	-0.58391935
1560763088735	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-78.22571	-38.156128	-200.47455
1560763088735	TYPE_GYROSCOPE_UNCALIBRATED	0.20133972	-0.17922974	-0.050338745
1560763088755	TYPE_ACCELEROMETER	-1.4132233	2.3543396	9.174652
1560763088755	TYPE_MAGNETIC_FIELD	-34.651184	5.795288	-25.151062
1560763088755	TYPE_GYROSCOPE	0.2708435	-0.1728363	-0.04852295
1560763088755	TYPE_ROTATION_VECTOR	0.114730656	-0.022247836	-0.5843054
1560763088755	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-79.62189	-38.156128	-200.47455
1560763088755	TYPE_GYROSCOPE_UNCALIBRATED	0.27272034	-0.18269348	-0.0471344
1560763088775	TYPE_ACCELEROMETER	-1.4341736	2.4100037	8.477951
1560763088775	TYPE_MAGNETIC_FIELD	-33.255005	8.570862	-25.827026
1560763088775	TYPE_GYROSCOPE	0.18960571	-0.19760132	-0.034683228
1560763088775	TYPE_ROTATION_VECTOR	0.114730656	-0.022247836	-0.5843054
1560763088775	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-78.22571	-35.380554	-201.15051
1560763088775	TYPE_GYROSCOPE_UNCALIBRATED	0.19148254	-0.2074585	-0.033294678
1560763088795	TYPE_ACCELEROMETER	-1.4060516	2.399231	8.601837
1560763088795	TYPE_MAGNETIC_FIELD	-34.651184	7.182312	-24.476624
1560763088795	TYPE_GYROSCOPE	-0.043426514	-0.22610474	-0.02003479
1560763088795	TYPE_ROTATION_VECTOR	0.118869126	-0.024935935	-0.58383405
1560763088795	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-79.62189	-36.769104	-199.80011
1560763088795	TYPE_GYROSCOPE_UNCALIBRATED	-0.041549683	-0.23596191	-0.01864624
1560763088815	TYPE_ACCELEROMETER	-1.2893219	2.430954	9.70079
1560763088815	TYPE_MAGNETIC_FIELD	-33.95233	6.489563	-24.476624
1560763088815	TYPE_GYROSCOPE	-0.29083252	-0.2351532	-0.025634766
1560763088815	TYPE_ROTATION_VECTOR	0.11661042	-0.024704494	-0.5841904
1560763088815	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-78.923035	-37.461853	-199.80011
