#	startTime:1560763219197
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5ae2acfd2d33b5855e	FloorName:F1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560763219198	TYPE_WAYPOINT	25.55514	53.042843
1560763219324	TYPE_ACCELEROMETER	-1.2055206	1.3260193	10.381348
1560763219324	TYPE_MAGNETIC_FIELD	-6.0150146	28.689575	-30.551147
1560763219324	TYPE_GYROSCOPE	-0.58351135	0.08230591	0.0034179688
1560763219324	TYPE_ROTATION_VECTOR	0.10812639	0.051922493	-0.17130059
1560763219324	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.985718	-15.261841	-205.87463
1560763219324	TYPE_GYROSCOPE_UNCALIBRATED	-0.3443451	0.029037476	0.018920898
1560763219344	TYPE_ACCELEROMETER	-1.3677368	1.2152863	11.430008
1560763219344	TYPE_MAGNETIC_FIELD	-8.110046	27.301025	-29.20227
1560763219344	TYPE_GYROSCOPE	-0.36540222	0.036224365	0.010070801
1560763219344	TYPE_ROTATION_VECTOR	0.09344947	0.051414255	-0.17015488
1560763219344	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-53.08075	-16.65039	-204.52576
1560763219344	TYPE_GYROSCOPE_UNCALIBRATED	-0.5816345	0.07244873	0.0048065186
1560763219364	TYPE_ACCELEROMETER	-1.463501	1.1799774	11.040344
1560763219364	TYPE_MAGNETIC_FIELD	-6.0150146	28.689575	-28.526306
1560763219364	TYPE_GYROSCOPE	-0.024520874	-0.041275024	0.04283142
1560763219364	TYPE_ROTATION_VECTOR	0.08308492	0.051596772	-0.17058674
1560763219364	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.985718	-15.261841	-203.8498
1560763219364	TYPE_GYROSCOPE_UNCALIBRATED	-0.3635254	0.026367188	0.011459351
1560763219384	TYPE_ACCELEROMETER	-1.2336578	1.2422333	10.190994
1560763219384	TYPE_MAGNETIC_FIELD	-6.713867	28.689575	-29.20227
1560763219384	TYPE_GYROSCOPE	0.14247131	-0.07217407	0.057998657
1560763219384	TYPE_ROTATION_VECTOR	0.07907368	0.051996354	-0.17090161
1560763219384	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.68457	-15.261841	-204.52576
1560763219384	TYPE_GYROSCOPE_UNCALIBRATED	-0.022644043	-0.051132202	0.04421997
1560763219404	TYPE_ACCELEROMETER	-1.158844	1.332016	9.67984
1560763219404	TYPE_MAGNETIC_FIELD	-6.713867	27.9953	-27.851868
1560763219404	TYPE_GYROSCOPE	0.1411438	-0.037017822	0.024978638
1560763219404	TYPE_ROTATION_VECTOR	0.078727216	0.05068191	-0.17013626
1560763219404	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.68457	-15.956116	-203.17535
1560763219404	TYPE_GYROSCOPE_UNCALIBRATED	0.14434814	-0.08203125	0.059387207
1560763219424	TYPE_ACCELEROMETER	-1.3018951	1.4194031	9.463165
1560763219424	TYPE_MAGNETIC_FIELD	-6.713867	27.301025	-29.876709
1560763219424	TYPE_GYROSCOPE	0.062576294	0.0021209717	0.0063476563
1560763219424	TYPE_ROTATION_VECTOR	0.07964519	0.049681794	-0.16942422
1560763219424	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.68457	-16.65039	-205.2002
1560763219424	TYPE_GYROSCOPE_UNCALIBRATED	0.14302063	-0.046875	0.026367188
1560763219443	TYPE_ACCELEROMETER	-1.230072	1.5145721	9.593643
1560763219443	TYPE_MAGNETIC_FIELD	-6.0150146	27.9953	-28.526306
1560763219443	TYPE_GYROSCOPE	-0.022384644	0.010131836	0.0015411377
1560763219443	TYPE_ROTATION_VECTOR	0.08070957	0.050091527	-0.16946049
1560763219443	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.985718	-15.956116	-203.8498
1560763219443	TYPE_GYROSCOPE_UNCALIBRATED	0.064453125	-0.007736206	0.007736206
1560763219463	TYPE_ACCELEROMETER	-1.2306671	1.5714264	9.804337
1560763219463	TYPE_MAGNETIC_FIELD	-6.713867	27.9953	-29.20227
1560763219463	TYPE_GYROSCOPE	-0.02078247	0.040756226	0.0012817383
1560763219463	TYPE_ROTATION_VECTOR	0.08116183	0.050157942	-0.1687536
1560763219463	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.68457	-15.956116	-204.52576
1560763219463	TYPE_GYROSCOPE_UNCALIBRATED	-0.020507813	2.746582E-4	0.0029296875
1560763219483	TYPE_ACCELEROMETER	-1.1845856	1.6492462	10.307114
1560763219483	TYPE_MAGNETIC_FIELD	-8.110046	26.608276	-28.526306
1560763219483	TYPE_GYROSCOPE	0.022888184	0.087890625	0.0020751953
1560763219483	TYPE_ROTATION_VECTOR	0.08248464	0.050442617	-0.16753282
1560763219483	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-53.08075	-17.34314	-203.8498
1560763219483	TYPE_GYROSCOPE_UNCALIBRATED	-0.01890564	0.030899048	0.002670288
1560763219503	TYPE_ACCELEROMETER	-1.2689667	1.439148	10.584839
1560763219503	TYPE_MAGNETIC_FIELD	-6.713867	26.608276	-28.526306
1560763219503	TYPE_GYROSCOPE	0.11824036	0.015991211	-0.0045928955
1560763219503	TYPE_ROTATION_VECTOR	0.08248464	0.050442617	-0.16753282
1560763219503	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.68457	-17.34314	-203.8498
1560763219503	TYPE_GYROSCOPE_UNCALIBRATED	0.024765015	0.07803345	0.0034637451
1560763219523	TYPE_ACCELEROMETER	-1.1995392	1.2829285	10.052734
1560763219523	TYPE_MAGNETIC_FIELD	-6.713867	28.689575	-29.876709
1560763219523	TYPE_GYROSCOPE	0.21011353	-0.1643219	0.030044556
1560763219523	TYPE_ROTATION_VECTOR	0.083022	0.050148204	-0.16737941
1560763219523	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.68457	-15.261841	-205.2002
1560763219523	TYPE_GYROSCOPE_UNCALIBRATED	0.12011719	0.006134033	-0.0032043457
1560763219543	TYPE_ACCELEROMETER	-1.1923523	1.739624	9.593048
1560763219543	TYPE_MAGNETIC_FIELD	-7.4127197	27.9953	-28.526306
1560763219543	TYPE_GYROSCOPE	0.1299591	-0.37045288	0.029510498
1560763219543	TYPE_ROTATION_VECTOR	0.08386632	0.048147786	-0.16716446
1560763219543	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.383423	-15.956116	-203.8498
1560763219543	TYPE_GYROSCOPE_UNCALIBRATED	0.21199036	-0.17417908	0.031433105
1560763219562	TYPE_ACCELEROMETER	-1.1480713	1.873703	9.851028
1560763219562	TYPE_MAGNETIC_FIELD	-7.4127197	27.301025	-29.876709
1560763219562	TYPE_GYROSCOPE	-0.092422485	-0.17550659	0.011672974
1560763219562	TYPE_ROTATION_VECTOR	0.0854158	0.04437143	-0.16701701
1560763219562	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.383423	-16.65039	-205.2002
1560763219562	TYPE_GYROSCOPE_UNCALIBRATED	0.13183594	-0.38031006	0.030899048
1560763219582	TYPE_ACCELEROMETER	-1.4329834	1.850357	10.443588
1560763219582	TYPE_MAGNETIC_FIELD	-6.0150146	27.9953	-27.851868
1560763219582	TYPE_GYROSCOPE	-0.13264465	-0.07324219	-0.0045928955
1560763219582	TYPE_ROTATION_VECTOR	0.085325174	0.04271284	-0.166634
1560763219582	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.985718	-15.956116	-203.17535
1560763219582	TYPE_GYROSCOPE_UNCALIBRATED	-0.090545654	-0.18536377	0.013061523
1560763219602	TYPE_ACCELEROMETER	-1.5628662	1.8850708	10.334061
1560763219602	TYPE_MAGNETIC_FIELD	-6.713867	27.9953	-29.876709
1560763219602	TYPE_GYROSCOPE	0.013305664	-0.041809082	0.026306152
1560763219602	TYPE_ROTATION_VECTOR	0.08472987	0.04284217	-0.1665164
1560763219602	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.68457	-15.956116	-205.2002
1560763219602	TYPE_GYROSCOPE_UNCALIBRATED	-0.13076782	-0.083099365	-0.0032043457
1560763219622	TYPE_ACCELEROMETER	-1.3276367	1.8599396	9.976715
1560763219622	TYPE_MAGNETIC_FIELD	-7.4127197	27.9953	-29.876709
1560763219622	TYPE_GYROSCOPE	0.123031616	0.0013275146	0.047088623
1560763219622	TYPE_ROTATION_VECTOR	0.08573702	0.043295328	-0.16652861
1560763219622	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.383423	-15.956116	-205.2002
1560763219622	TYPE_GYROSCOPE_UNCALIBRATED	0.015182495	-0.05166626	0.027694702
1560763219642	TYPE_ACCELEROMETER	-1.2857361	1.7641602	9.7881775
1560763219642	TYPE_MAGNETIC_FIELD	-7.4127197	28.689575	-28.526306
1560763219642	TYPE_GYROSCOPE	0.15232849	0.034362793	0.00579834
1560763219642	TYPE_ROTATION_VECTOR	0.087713316	0.043391243	-0.16608411
1560763219642	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.383423	-15.261841	-203.8498
1560763219642	TYPE_GYROSCOPE_UNCALIBRATED	0.12490845	-0.008529663	0.048477173
1560763219662	TYPE_ACCELEROMETER	-1.5317383	1.8072662	9.530197
1560763219662	TYPE_MAGNETIC_FIELD	-7.4127197	27.301025	-28.526306
1560763219662	TYPE_GYROSCOPE	0.102264404	5.340576E-4	-0.020828247
1560763219662	TYPE_ROTATION_VECTOR	0.08969159	0.0437445	-0.16597681
1560763219662	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.383423	-16.65039	-203.8498
1560763219662	TYPE_GYROSCOPE_UNCALIBRATED	0.15420532	0.024505615	0.0071868896
1560763219682	TYPE_ACCELEROMETER	-1.5395203	1.7970886	9.723526
1560763219682	TYPE_MAGNETIC_FIELD	-6.713867	27.301025	-29.20227
1560763219682	TYPE_GYROSCOPE	0.020233154	-0.094818115	-0.016571045
1560763219682	TYPE_ROTATION_VECTOR	0.09134602	0.04441789	-0.16663212
1560763219682	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.68457	-16.65039	-204.52576
1560763219682	TYPE_GYROSCOPE_UNCALIBRATED	0.104141235	-0.00932312	-0.019439697
1560763219701	TYPE_ACCELEROMETER	-1.4347687	1.9078217	10.032974
1560763219701	TYPE_MAGNETIC_FIELD	-6.713867	27.9953	-29.876709
1560763219701	TYPE_GYROSCOPE	0.03514099	-0.15925598	-0.02482605
1560763219701	TYPE_ROTATION_VECTOR	0.09188193	0.044257045	-0.1671534
1560763219701	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.68457	-15.956116	-205.2002
1560763219701	TYPE_GYROSCOPE_UNCALIBRATED	0.022109985	-0.10467529	-0.015182495
1560763219721	TYPE_ACCELEROMETER	-1.4551239	2.0263214	9.961151
1560763219721	TYPE_MAGNETIC_FIELD	-7.4127197	27.9953	-29.20227
1560763219721	TYPE_GYROSCOPE	0.1368866	-0.2471466	-0.04107666
1560763219721	TYPE_ROTATION_VECTOR	0.09246961	0.04314857	-0.16753247
1560763219721	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.383423	-15.956116	-204.52576
1560763219721	TYPE_GYROSCOPE_UNCALIBRATED	0.037017822	-0.16911316	-0.0234375
1560763219741	TYPE_ACCELEROMETER	-1.3994598	2.256775	9.416473
1560763219741	TYPE_MAGNETIC_FIELD	-6.713867	27.301025	-29.20227
1560763219741	TYPE_GYROSCOPE	0.23222351	-0.27990723	-0.051452637
1560763219741	TYPE_ROTATION_VECTOR	0.0970778	0.03855411	-0.16907592
1560763219741	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.68457	-16.65039	-204.52576
1560763219741	TYPE_GYROSCOPE_UNCALIBRATED	0.13876343	-0.25700378	-0.03968811
1560763219761	TYPE_ACCELEROMETER	-1.5395203	2.4201813	8.607834
1560763219761	TYPE_MAGNETIC_FIELD	-7.4127197	26.608276	-30.551147
1560763219761	TYPE_GYROSCOPE	0.19520569	-0.22477722	-0.056518555
1560763219761	TYPE_ROTATION_VECTOR	0.0970778	0.03855411	-0.16907592
1560763219761	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.383423	-17.34314	-205.87463
1560763219761	TYPE_GYROSCOPE_UNCALIBRATED	0.23410034	-0.2897644	-0.050064087
1560763219781	TYPE_ACCELEROMETER	-1.6682129	2.5883636	8.406723
1560763219781	TYPE_MAGNETIC_FIELD	-6.0150146	27.301025	-30.551147
1560763219781	TYPE_GYROSCOPE	0.003982544	-0.17337036	-0.049331665
