#	startTime:1560763763435
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5ae2acfd2d33b5855e	FloorName:F1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560763763435	TYPE_WAYPOINT	79.928566	38.39378
1560763763550	TYPE_ACCELEROMETER	-1.2055206	2.7415924	8.667084
1560763763550	TYPE_MAGNETIC_FIELD	-3.2211304	-38.604736	-23.12622
1560763763550	TYPE_GYROSCOPE	-0.2535553	-0.05859375	0.008728027
1560763763550	TYPE_ROTATION_VECTOR	0.124473825	-0.15165442	-0.9646848
1560763763550	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.191833	-82.55615	-198.4497
1560763763550	TYPE_GYROSCOPE_UNCALIBRATED	-0.25167847	-0.06845093	0.010116577
1560763763570	TYPE_ACCELEROMETER	-1.3336182	2.577591	9.790558
1560763763570	TYPE_MAGNETIC_FIELD	-1.8249512	-37.91046	-23.12622
1560763763570	TYPE_GYROSCOPE	-0.20933533	-0.008255005	-0.008850098
1560763763570	TYPE_ROTATION_VECTOR	0.11340355	-0.1471579	-0.9684047
1560763763570	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-46.795654	-81.86188	-198.4497
1560763763570	TYPE_GYROSCOPE_UNCALIBRATED	-0.2074585	-0.018112183	-0.007461548
1560763763590	TYPE_ACCELEROMETER	-1.4676971	2.4189758	9.915665
1560763763590	TYPE_MAGNETIC_FIELD	-3.2211304	-38.604736	-25.151062
1560763763590	TYPE_GYROSCOPE	-0.0657959	-0.020507813	-0.001663208
1560763763590	TYPE_ROTATION_VECTOR	0.10156021	-0.13249531	-0.97403955
1560763763590	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.191833	-82.55615	-200.47455
1560763763590	TYPE_GYROSCOPE_UNCALIBRATED	-0.06391907	-0.03036499	-2.746582E-4
1560763763610	TYPE_ACCELEROMETER	-1.2366486	2.4303436	9.767227
1560763763610	TYPE_MAGNETIC_FIELD	-3.919983	-37.217712	-24.476624
1560763763610	TYPE_GYROSCOPE	-0.0037384033	-0.034622192	-0.0056610107
1560763763610	TYPE_ROTATION_VECTOR	0.10156021	-0.13249531	-0.97403955
1560763763610	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.890686	-81.16913	-199.80011
1560763763610	TYPE_GYROSCOPE_UNCALIBRATED	-0.06391907	-0.03036499	-2.746582E-4
1560763763630	TYPE_ACCELEROMETER	-1.2983093	2.423172	9.713348
1560763763630	TYPE_MAGNETIC_FIELD	-2.5238037	-37.91046	-25.827026
1560763763630	TYPE_GYROSCOPE	-0.011474609	-0.05859375	-0.04319763
1560763763630	TYPE_ROTATION_VECTOR	0.09719243	-0.12935363	-0.97557807
1560763763630	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-47.494507	-81.86188	-201.15051
1560763763630	TYPE_GYROSCOPE_UNCALIBRATED	-0.009597778	-0.06845093	-0.041809082
1560763763650	TYPE_ACCELEROMETER	-1.519165	2.5291138	9.817505
1560763763650	TYPE_MAGNETIC_FIELD	-2.5238037	-38.604736	-25.151062
1560763763650	TYPE_GYROSCOPE	-0.027709961	-0.09135437	-0.06504822
1560763763650	TYPE_ROTATION_VECTOR	0.09431642	-0.12694478	-0.9766883
1560763763650	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-47.494507	-82.55615	-200.47455
1560763763650	TYPE_GYROSCOPE_UNCALIBRATED	-0.02583313	-0.10121155	-0.06365967
1560763763669	TYPE_ACCELEROMETER	-1.6592255	2.5919647	9.804932
1560763763669	TYPE_MAGNETIC_FIELD	-3.2211304	-38.604736	-23.802185
1560763763669	TYPE_GYROSCOPE	-0.005340576	-0.10998535	-0.070373535
1560763763669	TYPE_ROTATION_VECTOR	0.09296474	-0.123981185	-0.97759205
1560763763669	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.191833	-82.55615	-199.12567
1560763763669	TYPE_GYROSCOPE_UNCALIBRATED	-0.0034637451	-0.11984253	-0.068984985
1560763763689	TYPE_ACCELEROMETER	-1.6837769	2.7409973	9.624176
1560763763689	TYPE_MAGNETIC_FIELD	-2.5238037	-37.217712	-24.476624
1560763763689	TYPE_GYROSCOPE	0.032211304	-0.13609314	-0.06716919
1560763763689	TYPE_ROTATION_VECTOR	0.09290851	-0.124277465	-0.977615
1560763763689	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-47.494507	-81.16913	-199.80011
1560763763689	TYPE_GYROSCOPE_UNCALIBRATED	0.034088135	-0.14595032	-0.06578064
1560763763709	TYPE_ACCELEROMETER	-1.724472	2.806839	9.339264
1560763763709	TYPE_MAGNETIC_FIELD	-3.919983	-37.217712	-25.151062
1560763763709	TYPE_GYROSCOPE	0.04978943	-0.15579224	-0.05491638
1560763763709	TYPE_ROTATION_VECTOR	0.09313324	-0.12521689	-0.9773969
1560763763709	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.890686	-81.16913	-200.47455
1560763763709	TYPE_GYROSCOPE_UNCALIBRATED	0.05166626	-0.16564941	-0.053527832
1560763763729	TYPE_ACCELEROMETER	-1.6993256	2.9193726	9.232712
1560763763729	TYPE_MAGNETIC_FIELD	-3.919983	-37.217712	-23.802185
1560763763729	TYPE_GYROSCOPE	0.045791626	-0.14727783	-0.038406372
1560763763729	TYPE_ROTATION_VECTOR	0.093310505	-0.12656829	-0.97711235
1560763763729	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.890686	-81.16913	-199.12567
1560763763729	TYPE_GYROSCOPE_UNCALIBRATED	0.047668457	-0.15713501	-0.037017822
1560763763749	TYPE_ACCELEROMETER	-1.6298981	2.9468994	9.1201935
1560763763749	TYPE_MAGNETIC_FIELD	-3.2211304	-37.91046	-25.151062
1560763763749	TYPE_GYROSCOPE	0.04286194	-0.1366272	-0.027496338
1560763763749	TYPE_ROTATION_VECTOR	0.09325067	-0.12800436	-0.9768728
1560763763749	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.191833	-81.86188	-200.47455
1560763763749	TYPE_GYROSCOPE_UNCALIBRATED	0.04473877	-0.14648438	-0.026107788
1560763763769	TYPE_ACCELEROMETER	-1.6179352	3.0187225	9.1046295
1560763763769	TYPE_MAGNETIC_FIELD	-3.2211304	-38.604736	-23.802185
1560763763769	TYPE_GYROSCOPE	0.0061187744	-0.13609314	-0.030685425
1560763763769	TYPE_ROTATION_VECTOR	0.09325067	-0.12800436	-0.9768728
1560763763769	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.191833	-82.55615	-199.12567
1560763763769	TYPE_GYROSCOPE_UNCALIBRATED	0.0079956055	-0.14595032	-0.029296875
1560763763788	TYPE_ACCELEROMETER	-1.6640167	3.0055542	9.192612
1560763763788	TYPE_MAGNETIC_FIELD	-1.1260986	-38.604736	-24.476624
1560763763788	TYPE_GYROSCOPE	-0.052474976	-0.15846252	-0.03175354
1560763763788	TYPE_ROTATION_VECTOR	0.093066745	-0.12921344	-0.97669345
1560763763788	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-46.0968	-82.55615	-199.80011
1560763763788	TYPE_GYROSCOPE_UNCALIBRATED	0.0079956055	-0.14595032	-0.029296875
