#	startTime:1560764576246
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5ae2acfd2d33b5855e	FloorName:F1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560764576247	TYPE_WAYPOINT	106.71763	48.168346
1560764576369	TYPE_ACCELEROMETER	-1.6783905	2.633255	9.1441345
1560764576369	TYPE_MAGNETIC_FIELD	3.0639648	-37.217712	-23.802185
1560764576369	TYPE_GYROSCOPE	-0.11399841	-0.073776245	0.042816162
1560764576369	TYPE_ROTATION_VECTOR	0.1142588	-0.1472912	-0.97960615
1560764576369	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.90674	-81.16913	-199.12567
1560764576369	TYPE_GYROSCOPE_UNCALIBRATED	-0.11212158	-0.08363342	0.044204712
1560764576389	TYPE_ACCELEROMETER	-1.7693634	2.3776855	9.314728
1560764576389	TYPE_MAGNETIC_FIELD	2.3666382	-37.217712	-23.802185
1560764576389	TYPE_GYROSCOPE	-0.08683777	-0.0023956299	0.041763306
1560764576389	TYPE_ROTATION_VECTOR	0.11061006	-0.1403567	-0.98133034
1560764576389	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-42.604065	-81.16913	-199.12567
1560764576389	TYPE_GYROSCOPE_UNCALIBRATED	-0.08496094	-0.012252808	0.043151855
1560764576409	TYPE_ACCELEROMETER	-1.6257019	2.256775	9.415878
1560764576409	TYPE_MAGNETIC_FIELD	3.0639648	-37.91046	-23.12622
1560764576409	TYPE_GYROSCOPE	-0.11373901	-0.0071868896	0.05747986
1560764576409	TYPE_ROTATION_VECTOR	0.10644559	-0.13456364	-0.98288345
1560764576409	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.90674	-81.86188	-198.4497
1560764576409	TYPE_GYROSCOPE_UNCALIBRATED	-0.11186218	-0.017044067	0.05886841
1560764576429	TYPE_ACCELEROMETER	-1.4305878	2.166397	9.890518
1560764576429	TYPE_MAGNETIC_FIELD	1.6677856	-37.91046	-24.476624
1560764576429	TYPE_GYROSCOPE	-0.1558075	-0.011459351	0.04069519
1560764576429	TYPE_ROTATION_VECTOR	0.10104554	-0.1287345	-0.9845354
1560764576429	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-43.302917	-81.86188	-199.80011
1560764576429	TYPE_GYROSCOPE_UNCALIBRATED	-0.15393066	-0.021316528	0.04208374
1560764576449	TYPE_ACCELEROMETER	-1.368927	2.166397	10.247864
1560764576449	TYPE_MAGNETIC_FIELD	3.7628174	-35.829163	-23.12622
1560764576449	TYPE_GYROSCOPE	-0.14541626	-0.015975952	0.023376465
1560764576449	TYPE_ROTATION_VECTOR	0.09608095	-0.12391364	-0.9859414
1560764576449	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.207886	-79.78058	-198.4497
1560764576449	TYPE_GYROSCOPE_UNCALIBRATED	-0.14353943	-0.02583313	0.024765015
1560764576469	TYPE_ACCELEROMETER	-1.2743683	2.2124786	10.364578
1560764576469	TYPE_MAGNETIC_FIELD	3.7628174	-38.604736	-23.802185
1560764576469	TYPE_GYROSCOPE	-0.07537842	-0.02583313	-0.004058838
1560764576469	TYPE_ROTATION_VECTOR	0.09608095	-0.12391364	-0.9859414
1560764576469	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.207886	-82.55615	-199.12567
1560764576469	TYPE_GYROSCOPE_UNCALIBRATED	-0.07350159	-0.035690308	-0.002670288
1560764576488	TYPE_ACCELEROMETER	-1.4341736	2.3387756	9.988693
1560764576488	TYPE_MAGNETIC_FIELD	3.0639648	-37.91046	-23.12622
1560764576488	TYPE_GYROSCOPE	-0.005340576	-0.01625061	-0.025100708
1560764576488	TYPE_ROTATION_VECTOR	0.0895047	-0.11983532	-0.98744786
1560764576488	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.90674	-81.86188	-198.4497
1560764576488	TYPE_GYROSCOPE_UNCALIBRATED	-0.07350159	-0.035690308	-0.002670288
1560764576508	TYPE_ACCELEROMETER	-1.5167847	2.4213715	9.616989
1560764576508	TYPE_MAGNETIC_FIELD	3.0639648	-35.829163	-25.151062
1560764576508	TYPE_GYROSCOPE	7.9345703E-4	-0.029037476	-0.024291992
1560764576508	TYPE_ROTATION_VECTOR	0.0895047	-0.11983532	-0.98744786
1560764576508	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.90674	-79.78058	-200.47455
1560764576508	TYPE_GYROSCOPE_UNCALIBRATED	0.002670288	-0.038894653	-0.022903442
1560764576528	TYPE_ACCELEROMETER	-1.526947	2.542282	9.464355
1560764576528	TYPE_MAGNETIC_FIELD	2.3666382	-37.217712	-23.802185
1560764576528	TYPE_GYROSCOPE	-0.026107788	-0.031951904	-0.014968872
1560764576528	TYPE_ROTATION_VECTOR	0.087810315	-0.120042086	-0.98766494
1560764576528	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-42.604065	-81.16913	-199.12567
1560764576528	TYPE_GYROSCOPE_UNCALIBRATED	-0.024230957	-0.041809082	-0.013580322
1560764576548	TYPE_ACCELEROMETER	-1.4293823	2.5746002	9.50386
1560764576548	TYPE_MAGNETIC_FIELD	3.0639648	-37.217712	-23.12622
1560764576548	TYPE_GYROSCOPE	-0.052474976	-0.025024414	-6.1035156E-5
1560764576548	TYPE_ROTATION_VECTOR	0.08675832	-0.12021948	-0.9877822
1560764576548	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.90674	-81.16913	-198.4497
1560764576548	TYPE_GYROSCOPE_UNCALIBRATED	-0.050598145	-0.03488159	0.0013275146
1560764576568	TYPE_ACCELEROMETER	-1.3419952	2.5488586	9.475739
1560764576568	TYPE_MAGNETIC_FIELD	1.6677856	-37.217712	-23.12622
1560764576568	TYPE_GYROSCOPE	-0.06286621	-0.034088135	7.4768066E-4
1560764576568	TYPE_ROTATION_VECTOR	0.08545652	-0.12019584	-0.98793435
1560764576568	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-43.302917	-81.16913	-198.4497
1560764576568	TYPE_GYROSCOPE_UNCALIBRATED	-0.06098938	-0.043945313	0.0021362305
1560764576588	TYPE_ACCELEROMETER	-1.4204102	2.494995	9.536774
1560764576588	TYPE_MAGNETIC_FIELD	2.3666382	-37.91046	-22.451782
1560764576588	TYPE_GYROSCOPE	-0.0934906	-0.028762817	-0.0037841797
1560764576588	TYPE_ROTATION_VECTOR	0.08457083	-0.11960292	-0.9881148
1560764576588	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-42.604065	-81.86188	-197.77527
1560764576588	TYPE_GYROSCOPE_UNCALIBRATED	-0.09161377	-0.038619995	-0.0023956299
1560764576607	TYPE_ACCELEROMETER	-1.4802704	2.4165802	9.851624
1560764576607	TYPE_MAGNETIC_FIELD	2.3666382	-37.91046	-23.12622
1560764576607	TYPE_GYROSCOPE	-0.11932373	-0.0236969	-0.0029907227
1560764576607	TYPE_ROTATION_VECTOR	0.083830155	-0.11830052	-0.98836184
1560764576607	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-42.604065	-81.86188	-198.4497
1560764576607	TYPE_GYROSCOPE_UNCALIBRATED	-0.1174469	-0.033554077	-0.0016021729
1560764576627	TYPE_ACCELEROMETER	-1.4724884	2.2747192	10.046143
1560764576627	TYPE_MAGNETIC_FIELD	3.7628174	-36.523438	-23.12622
1560764576627	TYPE_GYROSCOPE	-0.104141235	-0.027435303	0.0018005371
1560764576627	TYPE_ROTATION_VECTOR	0.0829455	-0.11672993	-0.98866856
1560764576627	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.207886	-80.47485	-198.4497
1560764576627	TYPE_GYROSCOPE_UNCALIBRATED	-0.102264404	-0.03729248	0.003189087
1560764576647	TYPE_ACCELEROMETER	-1.5137787	2.146637	10.104813
1560764576647	TYPE_MAGNETIC_FIELD	2.3666382	-36.523438	-26.501465
1560764576647	TYPE_GYROSCOPE	-0.08630371	-0.034622192	-3.2043457E-4
1560764576647	TYPE_ROTATION_VECTOR	0.08223138	-0.11501494	-0.9889484
1560764576647	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-42.604065	-80.47485	-201.82495
1560764576647	TYPE_GYROSCOPE_UNCALIBRATED	-0.08442688	-0.04447937	0.0010681152
1560764576667	TYPE_ACCELEROMETER	-1.4724884	2.087387	10.143707
1560764576667	TYPE_MAGNETIC_FIELD	2.3666382	-36.523438	-23.802185
1560764576667	TYPE_GYROSCOPE	-0.06340027	-0.033554077	-0.0011138916
1560764576667	TYPE_ROTATION_VECTOR	0.0814409	-0.11350675	-0.9892168
1560764576667	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-42.604065	-80.47485	-199.12567
1560764576667	TYPE_GYROSCOPE_UNCALIBRATED	-0.061523438	-0.043411255	2.746582E-4
1560764576687	TYPE_ACCELEROMETER	-1.427002	2.068222	10.087448
1560764576687	TYPE_MAGNETIC_FIELD	0.9689331	-37.217712	-25.151062
1560764576687	TYPE_GYROSCOPE	-0.025848389	-0.02078247	-0.014175415
1560764576687	TYPE_ROTATION_VECTOR	0.08080332	-0.112427965	-0.9894117
1560764576687	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-44.00177	-81.16913	-200.47455
1560764576687	TYPE_GYROSCOPE_UNCALIBRATED	-0.061523438	-0.043411255	2.746582E-4
1560764576707	TYPE_ACCELEROMETER	-1.4575195	2.044876	9.770218
1560764576707	TYPE_MAGNETIC_FIELD	2.3666382	-36.523438	-24.476624
1560764576707	TYPE_GYROSCOPE	0.0021209717	0.008255005	-0.026153564
1560764576707	TYPE_ROTATION_VECTOR	0.08068976	-0.11180304	-0.98952043
1560764576707	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-42.604065	-80.47485	-199.80011
1560764576707	TYPE_GYROSCOPE_UNCALIBRATED	0.0039978027	-0.0016021729	-0.024765015
1560764576727	TYPE_ACCELEROMETER	-1.5341339	2.052063	9.682831
