#	startTime:1560765587769
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5ae2acfd2d33b5855e	FloorName:F1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560765587770	TYPE_WAYPOINT	45.738705	93.5592
1560765587883	TYPE_ACCELEROMETER	-1.644867	2.4016113	8.403137
1560765587883	TYPE_MAGNETIC_FIELD	-16.178894	14.823914	-30.352783
1560765587883	TYPE_GYROSCOPE	-0.31932068	-0.011444092	-0.0131073
1560765587883	TYPE_ROTATION_VECTOR	0.13722266	0.039075777	-0.36523426
1560765587883	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-60.066223	-30.525208	-207.89948
1560765587883	TYPE_GYROSCOPE_UNCALIBRATED	0.25460815	-0.017578125	0.0013275146
1560765587903	TYPE_ACCELEROMETER	-1.747818	2.2160645	10.182617
1560765587903	TYPE_MAGNETIC_FIELD	-16.178894	14.823914	-29.678345
1560765587903	TYPE_GYROSCOPE	-0.42985535	0.054870605	-0.023498535
1560765587903	TYPE_ROTATION_VECTOR	0.1390864	0.03978629	-0.36334854
1560765587903	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-60.066223	-30.525208	-207.22504
1560765587903	TYPE_GYROSCOPE_UNCALIBRATED	-0.31744385	-0.02130127	-0.01171875
1560765587923	TYPE_ACCELEROMETER	-1.826828	1.989212	10.877533
1560765587923	TYPE_MAGNETIC_FIELD	-16.178894	16.210938	-32.377625
1560765587923	TYPE_GYROSCOPE	-0.2346344	0.031433105	-0.012039185
1560765587923	TYPE_ROTATION_VECTOR	0.13426788	0.04131077	-0.36354664
1560765587923	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-60.066223	-29.138184	-209.92432
1560765587923	TYPE_GYROSCOPE_UNCALIBRATED	-0.23275757	0.021575928	-0.010650635
1560765587943	TYPE_ACCELEROMETER	-1.7903137	2.004181	10.690186
1560765587943	TYPE_MAGNETIC_FIELD	-15.4800415	16.210938	-30.352783
1560765587943	TYPE_GYROSCOPE	0.014633179	0.019454956	-0.016845703
