#	startTime:1560766016227
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5ae2acfd2d33b5855e	FloorName:F1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560766016227	TYPE_WAYPOINT	126.48687	80.72012
1560766016339	TYPE_ACCELEROMETER	-2.2392273	2.3244019	8.11821
1560766016339	TYPE_MAGNETIC_FIELD	-4.3045044	-38.594055	-29.003906
1560766016339	TYPE_GYROSCOPE	0.15844727	-0.0010681152	-0.0053863525
1560766016339	TYPE_ROTATION_VECTOR	0.08146503	-0.08486049	-0.97813755
1560766016339	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.191833	-83.94318	-206.5506
1560766016339	TYPE_GYROSCOPE_UNCALIBRATED	0.50494385	0.08602905	-0.09375
1560766016359	TYPE_ACCELEROMETER	-1.5724487	2.368103	9.053757
1560766016359	TYPE_MAGNETIC_FIELD	-4.3045044	-35.820007	-28.327942
1560766016359	TYPE_GYROSCOPE	-0.12545776	-0.03755188	0.042297363
1560766016359	TYPE_ROTATION_VECTOR	0.097940415	-0.09018535	-0.9735308
1560766016359	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.191833	-81.16913	-205.87463
1560766016359	TYPE_GYROSCOPE_UNCALIBRATED	-0.12358093	-0.047409058	0.043685913
1560766016379	TYPE_ACCELEROMETER	-1.3653412	2.2400055	9.87915
1560766016379	TYPE_MAGNETIC_FIELD	-6.399536	-36.512756	-31.028748
1560766016379	TYPE_GYROSCOPE	-0.13529968	-0.0029296875	0.025512695
1560766016379	TYPE_ROTATION_VECTOR	0.09914907	-0.092452675	-0.9727147
1560766016379	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.286865	-81.86188	-208.57544
1560766016379	TYPE_GYROSCOPE_UNCALIBRATED	-0.12358093	-0.047409058	0.043685913
1560766016399	TYPE_ACCELEROMETER	-1.4694824	2.0969543	9.962357
1560766016399	TYPE_MAGNETIC_FIELD	-5.7022095	-38.594055	-28.327942
1560766016399	TYPE_GYROSCOPE	-0.025054932	-0.060180664	0.0063323975
1560766016399	TYPE_ROTATION_VECTOR	0.09673483	-0.09208934	-0.9732257
1560766016399	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-49.58954	-83.94318	-205.87463
1560766016399	TYPE_GYROSCOPE_UNCALIBRATED	-0.13342285	-0.012786865	0.026901245
1560766016419	TYPE_ACCELEROMETER	-1.4886475	2.1346588	9.953964
1560766016419	TYPE_MAGNETIC_FIELD	-5.7022095	-37.20703	-29.003906
1560766016419	TYPE_GYROSCOPE	0.0045166016	-0.10307312	-0.021102905
1560766016419	TYPE_ROTATION_VECTOR	0.09509068	-0.09144372	-0.973733
1560766016419	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-49.58954	-82.55615	-206.5506
1560766016419	TYPE_GYROSCOPE_UNCALIBRATED	-0.0231781	-0.07003784	0.0077209473
1560766016439	TYPE_ACCELEROMETER	-1.5939789	2.1137085	10.15329
1560766016439	TYPE_MAGNETIC_FIELD	-6.399536	-38.594055	-30.352783
1560766016439	TYPE_GYROSCOPE	-0.003753662	-0.1131897	-0.056518555
1560766016439	TYPE_ROTATION_VECTOR	0.093681194	-0.09141194	-0.97407585
1560766016439	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.286865	-83.94318	-207.89948
1560766016439	TYPE_GYROSCOPE_UNCALIBRATED	0.0063934326	-0.1129303	-0.019714355
1560766016458	TYPE_ACCELEROMETER	-1.6963348	2.2196655	10.141907
1560766016458	TYPE_MAGNETIC_FIELD	-5.003357	-37.901306	-29.678345
1560766016458	TYPE_GYROSCOPE	-0.015472412	-0.09240723	-0.08874512
1560766016458	TYPE_ROTATION_VECTOR	0.09273688	-0.09067458	-0.9745386
1560766016458	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.890686	-83.25043	-207.22504
1560766016458	TYPE_GYROSCOPE_UNCALIBRATED	-0.013595581	-0.102264404	-0.08735657
1560766016478	TYPE_ACCELEROMETER	-1.8262177	2.2878876	10.11438
1560766016478	TYPE_MAGNETIC_FIELD	-5.7022095	-36.512756	-29.678345
1560766016478	TYPE_GYROSCOPE	-0.04849243	-0.07350159	-0.12548828
1560766016478	TYPE_ROTATION_VECTOR	0.09273688	-0.09067458	-0.9745386
1560766016478	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-49.58954	-81.86188	-207.22504
1560766016478	TYPE_GYROSCOPE_UNCALIBRATED	-0.013595581	-0.102264404	-0.08735657
1560766016498	TYPE_ACCELEROMETER	-1.9788513	2.4453125	10.165863
1560766016498	TYPE_MAGNETIC_FIELD	-5.003357	-38.594055	-28.327942
1560766016498	TYPE_GYROSCOPE	-0.047683716	-0.113723755	-0.14839172
1560766016498	TYPE_ROTATION_VECTOR	0.09347248	-0.09026882	-0.97453433
1560766016498	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.890686	-83.94318	-205.87463
1560766016498	TYPE_GYROSCOPE_UNCALIBRATED	-0.0466156	-0.083358765	-0.12409973
1560766016518	TYPE_ACCELEROMETER	-1.9405518	2.5650177	10.082657
