#	startTime:1560766821017
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5ae2acfd2d33b5855e	FloorName:F1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560766821018	TYPE_WAYPOINT	79.928566	38.39378
1560766821148	TYPE_ACCELEROMETER	-1.3868866	1.5726318	10.057526
1560766821148	TYPE_MAGNETIC_FIELD	13.970947	32.322693	-30.60913
1560766821148	TYPE_GYROSCOPE	-0.25567627	-0.019714355	-0.03414917
1560766821148	TYPE_ROTATION_VECTOR	0.07906834	0.0836083	0.14327694
1560766821148	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.63617	-12.487793	-208.57544
1560766821148	TYPE_GYROSCOPE_UNCALIBRATED	-0.24128723	-0.15100098	-0.05619812
1560766821168	TYPE_ACCELEROMETER	-1.2336578	1.3673248	9.961151
1560766821168	TYPE_MAGNETIC_FIELD	14.6698	30.935669	-28.58429
1560766821168	TYPE_GYROSCOPE	-0.0894928	0.014923096	-3.2043457E-4
1560766821168	TYPE_ROTATION_VECTOR	0.07347653	0.081705905	0.1440357
1560766821168	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.937317	-13.874817	-206.5506
1560766821168	TYPE_GYROSCOPE_UNCALIBRATED	-0.25379944	-0.029571533	-0.03276062
1560766821188	TYPE_ACCELEROMETER	-1.1097565	1.205719	9.646912
1560766821188	TYPE_MAGNETIC_FIELD	13.272095	31.629944	-29.258728
1560766821188	TYPE_GYROSCOPE	-0.057540894	-0.013320923	-0.00592041
1560766821188	TYPE_ROTATION_VECTOR	0.06915556	0.07929394	0.14627787
1560766821188	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.335022	-13.180542	-207.22504
1560766821188	TYPE_GYROSCOPE_UNCALIBRATED	-0.08761597	0.005065918	0.0010681152
1560766821208	TYPE_ACCELEROMETER	-1.1803894	1.1416779	9.824692
1560766821208	TYPE_MAGNETIC_FIELD	13.970947	30.935669	-29.933167
1560766821208	TYPE_GYROSCOPE	-0.13076782	-0.017044067	-0.027755737
1560766821208	TYPE_ROTATION_VECTOR	0.06564478	0.07673613	0.14792734
1560766821208	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.63617	-13.874817	-207.89948
1560766821208	TYPE_GYROSCOPE_UNCALIBRATED	-0.055664063	-0.0231781	-0.0045318604
1560766821228	TYPE_ACCELEROMETER	-1.1319122	1.0842133	10.193985
1560766821228	TYPE_MAGNETIC_FIELD	13.970947	30.241394	-28.58429
1560766821228	TYPE_GYROSCOPE	-0.16885376	-0.051132202	-0.033355713
1560766821228	TYPE_ROTATION_VECTOR	0.06176962	0.07506129	0.14878972
1560766821228	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.63617	-14.569092	-206.5506
1560766821228	TYPE_GYROSCOPE_UNCALIBRATED	-0.12889099	-0.026901245	-0.026367188
1560766821248	TYPE_ACCELEROMETER	-1.0983887	1.0848083	10.510025
1560766821248	TYPE_MAGNETIC_FIELD	14.6698	32.322693	-28.58429
1560766821248	TYPE_GYROSCOPE	-0.1321106	-0.055130005	-0.054656982
1560766821248	TYPE_ROTATION_VECTOR	0.05783254	0.072752036	0.14991738
1560766821248	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.937317	-12.487793	-206.5506
1560766821248	TYPE_GYROSCOPE_UNCALIBRATED	-0.16697693	-0.06098938	-0.031967163
1560766821267	TYPE_ACCELEROMETER	-1.2228851	1.1913452	10.438202
1560766821267	TYPE_MAGNETIC_FIELD	13.272095	31.629944	-28.58429
1560766821267	TYPE_GYROSCOPE	-0.03463745	-0.042877197	-0.061309814
1560766821267	TYPE_ROTATION_VECTOR	0.054780044	0.07049127	0.15079385
1560766821267	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.335022	-13.180542	-206.5506
1560766821267	TYPE_GYROSCOPE_UNCALIBRATED	-0.13023376	-0.06498718	-0.053268433
1560766821287	TYPE_ACCELEROMETER	-1.1546478	1.2518158	10.061707
1560766821287	TYPE_MAGNETIC_FIELD	14.6698	31.629944	-27.908325
1560766821287	TYPE_GYROSCOPE	0.03781128	-0.04927063	-0.05065918
1560766821287	TYPE_ROTATION_VECTOR	0.05364252	0.06959982	0.15035485
1560766821287	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.937317	-13.180542	-205.87463
1560766821287	TYPE_GYROSCOPE_UNCALIBRATED	-0.03276062	-0.052734375	-0.059921265
1560766821307	TYPE_ACCELEROMETER	-1.0534973	1.3116608	9.721741
1560766821307	TYPE_MAGNETIC_FIELD	13.970947	30.241394	-28.58429
1560766821307	TYPE_GYROSCOPE	0.047668457	-0.048202515	-0.05491638
1560766821307	TYPE_ROTATION_VECTOR	0.053855933	0.068856336	0.1502049
1560766821307	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.63617	-14.569092	-206.5506
1560766821307	TYPE_GYROSCOPE_UNCALIBRATED	0.03968811	-0.059127808	-0.04927063
1560766821327	TYPE_ACCELEROMETER	-1.0660706	1.292511	9.537979
1560766821327	TYPE_MAGNETIC_FIELD	13.970947	33.016968	-27.908325
1560766821327	TYPE_GYROSCOPE	0.018630981	-0.048202515	-0.05758667
1560766821327	TYPE_ROTATION_VECTOR	0.054632537	0.06804035	0.14998926
1560766821327	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.63617	-11.793518	-205.87463
1560766821327	TYPE_GYROSCOPE_UNCALIBRATED	0.049545288	-0.058059692	-0.053527832
1560766821347	TYPE_ACCELEROMETER	-1.0654755	1.253006	9.6223755
1560766821347	TYPE_MAGNETIC_FIELD	13.272095	31.629944	-27.908325
1560766821347	TYPE_GYROSCOPE	-0.031982422	-0.055389404	-0.057052612
1560766821347	TYPE_ROTATION_VECTOR	0.055082206	0.06740396	0.1494443
1560766821347	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.335022	-13.180542	-205.87463
1560766821347	TYPE_GYROSCOPE_UNCALIBRATED	0.020507813	-0.058059692	-0.05619812
1560766821367	TYPE_ACCELEROMETER	-1.0313568	1.182373	9.815109
1560766821367	TYPE_MAGNETIC_FIELD	13.272095	31.629944	-29.258728
1560766821367	TYPE_GYROSCOPE	-0.061279297	-0.06578064	-0.06237793
1560766821367	TYPE_ROTATION_VECTOR	0.054862328	0.06662757	0.14890055
1560766821367	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.335022	-13.180542	-207.22504
1560766821367	TYPE_GYROSCOPE_UNCALIBRATED	-0.03010559	-0.06524658	-0.055664063
1560766821386	TYPE_ACCELEROMETER	-1.14328	1.1704102	9.925247
1560766821386	TYPE_MAGNETIC_FIELD	12.574768	30.935669	-27.233887
1560766821386	TYPE_GYROSCOPE	-0.0932312	-0.118515015	-0.084472656
1560766821386	TYPE_ROTATION_VECTOR	0.053062554	0.06434007	0.14739919
1560766821386	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.032349	-13.874817	-205.2002
1560766821386	TYPE_GYROSCOPE_UNCALIBRATED	-0.059402466	-0.07563782	-0.06098938
1560766821406	TYPE_ACCELEROMETER	-1.2683716	1.1302948	10.0407715
1560766821406	TYPE_MAGNETIC_FIELD	13.970947	30.241394	-28.58429
1560766821406	TYPE_GYROSCOPE	-0.099624634	-0.1882782	-0.09220886
1560766821406	TYPE_ROTATION_VECTOR	0.051924616	0.06285572	0.14624313
1560766821406	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.63617	-14.569092	-206.5506
1560766821406	TYPE_GYROSCOPE_UNCALIBRATED	-0.09135437	-0.12837219	-0.08308411
1560766821426	TYPE_ACCELEROMETER	-1.4706879	1.205719	9.79895
1560766821426	TYPE_MAGNETIC_FIELD	12.574768	30.241394	-27.908325
1560766821426	TYPE_GYROSCOPE	-0.0657959	-0.20132446	-0.08634949
1560766821426	TYPE_ROTATION_VECTOR	0.051924616	0.06285572	0.14624313
1560766821426	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.032349	-14.569092	-205.87463
1560766821426	TYPE_GYROSCOPE_UNCALIBRATED	-0.0977478	-0.19813538	-0.09082031
1560766821446	TYPE_ACCELEROMETER	-1.3749237	1.111145	9.309326
1560766821446	TYPE_MAGNETIC_FIELD	13.272095	31.629944	-27.908325
1560766821446	TYPE_GYROSCOPE	-0.08656311	-0.23168945	-0.045333862
1560766821446	TYPE_ROTATION_VECTOR	0.050802868	0.060656466	0.14298183
1560766821446	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.335022	-13.180542	-205.87463
1560766821446	TYPE_GYROSCOPE_UNCALIBRATED	-0.06391907	-0.21118164	-0.08496094
1560766821466	TYPE_ACCELEROMETER	-1.2815552	1.0405273	9.403305
1560766821466	TYPE_MAGNETIC_FIELD	11.875916	31.629944	-29.258728
1560766821466	TYPE_GYROSCOPE	-0.18963623	-0.25219727	-0.054397583
1560766821466	TYPE_ROTATION_VECTOR	0.050802868	0.060656466	0.14298183
1560766821466	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.731201	-13.180542	-207.22504
1560766821466	TYPE_GYROSCOPE_UNCALIBRATED	-0.08468628	-0.24154663	-0.043945313
1560766821486	TYPE_ACCELEROMETER	-1.3372192	1.0680542	9.886337
1560766821486	TYPE_MAGNETIC_FIELD	11.875916	31.629944	-28.58429
1560766821486	TYPE_GYROSCOPE	-0.24609375	-0.18055725	-0.06291199
1560766821486	TYPE_ROTATION_VECTOR	0.049092	0.058715664	0.14155446
1560766821486	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.731201	-13.180542	-206.5506
1560766821486	TYPE_GYROSCOPE_UNCALIBRATED	-0.1877594	-0.26205444	-0.053009033
1560766821505	TYPE_ACCELEROMETER	-1.4419556	0.94055176	10.163467
1560766821505	TYPE_MAGNETIC_FIELD	11.177063	30.935669	-28.58429
1560766821505	TYPE_GYROSCOPE	-0.19309998	-0.16325378	-0.04852295
1560766821505	TYPE_ROTATION_VECTOR	0.046779383	0.057433788	0.14015068
1560766821505	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.430054	-13.874817	-206.5506
1560766821505	TYPE_GYROSCOPE_UNCALIBRATED	-0.24421692	-0.19041443	-0.061523438
1560766821525	TYPE_ACCELEROMETER	-1.4407501	1.0028076	9.963547
1560766821525	TYPE_MAGNETIC_FIELD	12.574768	31.629944	-28.58429
1560766821525	TYPE_GYROSCOPE	-0.13290405	-0.1451416	-0.027755737
1560766821525	TYPE_ROTATION_VECTOR	0.044685885	0.056520093	0.13872358
1560766821525	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.032349	-13.180542	-206.5506
1560766821525	TYPE_GYROSCOPE_UNCALIBRATED	-0.19122314	-0.17311096	-0.0471344
1560766821545	TYPE_ACCELEROMETER	-1.6364899	1.0680542	9.855209
1560766821545	TYPE_MAGNETIC_FIELD	11.875916	30.935669	-28.58429
1560766821545	TYPE_GYROSCOPE	-0.1403656	-0.12702942	-0.0051116943
1560766821545	TYPE_ROTATION_VECTOR	0.04342247	0.05591472	0.13767439
1560766821545	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.731201	-13.874817	-206.5506
1560766821545	TYPE_GYROSCOPE_UNCALIBRATED	-0.13102722	-0.15499878	-0.026367188
1560766821565	TYPE_ACCELEROMETER	-1.5155792	1.2302551	10.050934
1560766821565	TYPE_MAGNETIC_FIELD	12.574768	31.629944	-27.233887
1560766821565	TYPE_GYROSCOPE	-0.12705994	-0.09587097	0.036697388
1560766821565	TYPE_ROTATION_VECTOR	0.041565135	0.055853862	0.13601226
1560766821565	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.032349	-13.180542	-205.2002
1560766821565	TYPE_GYROSCOPE_UNCALIBRATED	-0.13848877	-0.1368866	-0.0037231445
1560766821585	TYPE_ACCELEROMETER	-1.2965088	1.537323	10.122757
1560766821585	TYPE_MAGNETIC_FIELD	12.574768	33.016968	-28.58429
1560766821585	TYPE_GYROSCOPE	-0.029312134	0.027694702	0.053741455
1560766821585	TYPE_ROTATION_VECTOR	0.041565135	0.055853862	0.13601226
1560766821585	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.032349	-11.793518	-206.5506
1560766821585	TYPE_GYROSCOPE_UNCALIBRATED	-0.1251831	-0.10572815	0.038085938
1560766821605	TYPE_ACCELEROMETER	-1.5610657	1.731842	9.625366
1560766821605	TYPE_MAGNETIC_FIELD	11.875916	32.322693	-28.58429
1560766821605	TYPE_GYROSCOPE	0.064437866	0.06365967	0.08143616
1560766821605	TYPE_ROTATION_VECTOR	0.042281713	0.05671417	0.13596745
1560766821605	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.731201	-12.487793	-206.5506
1560766821605	TYPE_GYROSCOPE_UNCALIBRATED	-0.027435303	0.017837524	0.055130005
1560766821625	TYPE_ACCELEROMETER	-1.7316589	1.9239807	9.561325
1560766821625	TYPE_MAGNETIC_FIELD	11.875916	31.629944	-29.258728
1560766821625	TYPE_GYROSCOPE	0.051651	0.028244019	0.13735962
1560766821625	TYPE_ROTATION_VECTOR	0.044188127	0.058584563	0.13561378
1560766821625	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.731201	-13.180542	-207.22504
1560766821625	TYPE_GYROSCOPE_UNCALIBRATED	0.0663147	0.05380249	0.08282471
1560766821644	TYPE_ACCELEROMETER	-1.1785889	1.9042206	9.391342
1560766821644	TYPE_MAGNETIC_FIELD	13.970947	33.016968	-28.58429
1560766821644	TYPE_GYROSCOPE	0.008255005	0.04901123	0.18902588
1560766821644	TYPE_ROTATION_VECTOR	0.046263877	0.060318775	0.13559444
1560766821644	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.63617	-11.793518	-206.5506
1560766821644	TYPE_GYROSCOPE_UNCALIBRATED	0.053527832	0.01838684	0.13874817
1560766821664	TYPE_ACCELEROMETER	-0.8517761	1.9724579	9.760635
1560766821664	TYPE_MAGNETIC_FIELD	13.272095	32.322693	-27.908325
1560766821664	TYPE_GYROSCOPE	-0.09509277	0.064453125	0.12005615
1560766821664	TYPE_ROTATION_VECTOR	0.047879674	0.061184384	0.13720259
1560766821664	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.335022	-12.487793	-205.87463
1560766821664	TYPE_GYROSCOPE_UNCALIBRATED	0.010131836	0.039154053	0.19041443
1560766821684	TYPE_ACCELEROMETER	-1.0445251	1.9251709	10.100021
1560766821684	TYPE_MAGNETIC_FIELD	11.875916	33.016968	-27.233887
1560766821684	TYPE_GYROSCOPE	-0.12411499	0.07084656	0.02444458
1560766821684	TYPE_ROTATION_VECTOR	0.048464455	0.06145955	0.13859452
