#	startTime:1560771497854
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5be2acfd2d33b58572	FloorName:F2
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560771497854	TYPE_WAYPOINT	77.373695	33.428967
1560771497980	TYPE_ACCELEROMETER	-1.0523071	0.90345764	8.925659
1560771497980	TYPE_MAGNETIC_FIELD	20.76416	-9.985352	-18.571472
1560771497980	TYPE_GYROSCOPE	-0.17391968	0.07510376	0.07450867
1560771497980	TYPE_ROTATION_VECTOR	-0.03361083	0.08991	0.82984716
1560771497980	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.747253	-54.80652	-197.0993
1560771497980	TYPE_GYROSCOPE_UNCALIBRATED	0.21066284	0.20613098	0.08175659
1560771498000	TYPE_ACCELEROMETER	-0.8200531	0.8130646	10.007843
1560771498000	TYPE_MAGNETIC_FIELD	20.76416	-9.291077	-18.571472
1560771498000	TYPE_GYROSCOPE	-0.22584534	-0.007461548	0.031906128
1560771498000	TYPE_ROTATION_VECTOR	-0.03361083	0.08991	0.82984716
1560771498000	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.747253	-54.112244	-197.0993
1560771498000	TYPE_GYROSCOPE_UNCALIBRATED	-0.17204285	0.06524658	0.07589722
1560771498020	TYPE_ACCELEROMETER	-0.9397583	0.6963501	10.276596
1560771498020	TYPE_MAGNETIC_FIELD	22.161865	-11.3723755	-17.222595
1560771498020	TYPE_GYROSCOPE	-0.10441589	-0.017044067	-0.026153564
1560771498020	TYPE_ROTATION_VECTOR	-0.029426444	0.080747195	0.8306533
1560771498020	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.349548	-56.193542	-195.75043
1560771498020	TYPE_GYROSCOPE_UNCALIBRATED	-0.2239685	-0.017318726	0.033294678
1560771498040	TYPE_ACCELEROMETER	-1.2659912	0.6586304	10.018616
1560771498040	TYPE_MAGNETIC_FIELD	22.859192	-10.678101	-17.897034
1560771498040	TYPE_GYROSCOPE	-0.0090789795	-0.007446289	-0.058914185
1560771498040	TYPE_ROTATION_VECTOR	-0.029161848	0.07248476	0.83281755
1560771498040	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.652222	-55.499268	-196.42487
1560771498040	TYPE_GYROSCOPE_UNCALIBRATED	-0.10253906	-0.026901245	-0.024765015
1560771498060	TYPE_ACCELEROMETER	-1.4018555	0.65922546	9.821701
1560771498060	TYPE_MAGNETIC_FIELD	20.066833	-9.291077	-17.897034
1560771498060	TYPE_GYROSCOPE	-0.009063721	0.005584717	-0.053588867
1560771498060	TYPE_ROTATION_VECTOR	-0.029161848	0.07248476	0.83281755
1560771498060	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-24.44458	-54.112244	-196.42487
1560771498060	TYPE_GYROSCOPE_UNCALIBRATED	-0.0072021484	-0.017303467	-0.057525635
1560771498080	TYPE_ACCELEROMETER	-1.371933	0.6706085	9.830673
1560771498080	TYPE_MAGNETIC_FIELD	22.859192	-9.985352	-17.897034
1560771498080	TYPE_GYROSCOPE	-0.06793213	0.012527466	-0.059188843
1560771498080	TYPE_ROTATION_VECTOR	-0.030954959	0.071602434	0.8334809
1560771498080	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.652222	-54.80652	-196.42487
1560771498080	TYPE_GYROSCOPE_UNCALIBRATED	-0.0071868896	-0.004272461	-0.052200317
1560771498099	TYPE_ACCELEROMETER	-1.4383698	0.7621918	10.087448
1560771498099	TYPE_MAGNETIC_FIELD	22.859192	-9.985352	-17.897034
1560771498099	TYPE_GYROSCOPE	-0.10734558	0.014389038	-0.08395386
1560771498099	TYPE_ROTATION_VECTOR	-0.032449447	0.07048897	0.83370954
1560771498099	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.652222	-54.80652	-196.42487
1560771498099	TYPE_GYROSCOPE_UNCALIBRATED	-0.0660553	0.002670288	-0.057800293
1560771498119	TYPE_ACCELEROMETER	-1.5736389	0.8256378	10.167053
1560771498119	TYPE_MAGNETIC_FIELD	22.859192	-10.678101	-18.571472
1560771498119	TYPE_GYROSCOPE	-0.08364868	0.008255005	-0.08634949
1560771498119	TYPE_ROTATION_VECTOR	-0.0338119	0.069677845	0.83355415
1560771498119	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.652222	-55.499268	-197.0993
1560771498119	TYPE_GYROSCOPE_UNCALIBRATED	-0.10546875	0.0045318604	-0.08256531
1560771498139	TYPE_ACCELEROMETER	-1.598175	0.91423035	10.03418
1560771498139	TYPE_MAGNETIC_FIELD	22.859192	-10.678101	-18.571472
1560771498139	TYPE_GYROSCOPE	-0.033309937	-0.006652832	-0.06903076
1560771498139	TYPE_ROTATION_VECTOR	-0.03514065	0.0696465	0.8331475
1560771498139	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.652222	-55.499268	-197.0993
1560771498139	TYPE_GYROSCOPE_UNCALIBRATED	-0.08177185	-0.0016021729	-0.08496094
1560771498159	TYPE_ACCELEROMETER	-1.5473022	0.9674988	9.81871
