#	startTime:1560771990436
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5be2acfd2d33b58572	FloorName:F2
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560771990436	TYPE_WAYPOINT	118.4348	105.03116
1560771990570	TYPE_ACCELEROMETER	-1.1648254	1.292511	11.24086
1560771990570	TYPE_MAGNETIC_FIELD	-3.68042	-21.77887	-10.472107
1560771990570	TYPE_GYROSCOPE	-0.46022034	-0.024765015	-0.101257324
1560771990570	TYPE_ROTATION_VECTOR	0.06574085	-0.05906531	-0.989685
1560771990570	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.191833	-66.60004	-188.99994
1560771990570	TYPE_GYROSCOPE_UNCALIBRATED	-0.51638794	-0.07270813	-0.06578064
1560771990590	TYPE_ACCELEROMETER	-1.3898926	1.2422333	11.203751
1560771990590	TYPE_MAGNETIC_FIELD	-3.68042	-21.084595	-11.146545
1560771990590	TYPE_GYROSCOPE	-0.14596558	0.0061187744	-0.09353638
1560771990590	TYPE_ROTATION_VECTOR	0.06574085	-0.05906531	-0.989685
1560771990590	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.191833	-65.90576	-189.67438
1560771990590	TYPE_GYROSCOPE_UNCALIBRATED	-0.4583435	-0.034622192	-0.099868774
1560771990610	TYPE_ACCELEROMETER	-1.3479767	1.2577972	10.422043
1560771990610	TYPE_MAGNETIC_FIELD	-2.9830933	-23.165894	-9.797668
1560771990610	TYPE_GYROSCOPE	0.05697632	-0.0087890625	-0.087677
1560771990610	TYPE_ROTATION_VECTOR	0.0660527	-0.055212494	-0.98995894
1560771990610	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-47.494507	-67.98706	-188.3255
1560771990610	TYPE_GYROSCOPE_UNCALIBRATED	-0.14408875	-0.0037384033	-0.09214783
1560771990630	TYPE_ACCELEROMETER	-1.4234009	1.3505707	9.795364
1560771990630	TYPE_MAGNETIC_FIELD	-4.3792725	-23.165894	-12.496948
1560771990630	TYPE_GYROSCOPE	0.09799194	-0.02130127	-0.10951233
1560771990630	TYPE_ROTATION_VECTOR	0.068597436	-0.056408316	-0.9897696
1560771990630	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.890686	-67.98706	-191.02478
1560771990630	TYPE_GYROSCOPE_UNCALIBRATED	0.05885315	-0.01864624	-0.08628845
1560771990650	TYPE_ACCELEROMETER	-1.522171	1.4517212	9.623566
1560771990650	TYPE_MAGNETIC_FIELD	-2.9830933	-22.473145	-9.797668
1560771990650	TYPE_GYROSCOPE	0.059646606	-0.019714355	-0.11830139
1560771990650	TYPE_ROTATION_VECTOR	0.070728116	-0.05786668	-0.9895399
1560771990650	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-47.494507	-67.29431	-188.3255
1560771990650	TYPE_GYROSCOPE_UNCALIBRATED	0.099868774	-0.031158447	-0.10812378
1560771990670	TYPE_ACCELEROMETER	-1.5724335	1.5175629	9.516434
1560771990670	TYPE_MAGNETIC_FIELD	-4.3792725	-21.77887	-12.496948
1560771990670	TYPE_GYROSCOPE	0.008514404	-0.062057495	-0.11643982
1560771990670	TYPE_ROTATION_VECTOR	0.07242125	-0.05898177	-0.98925376
1560771990670	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.890686	-66.60004	-191.02478
1560771990670	TYPE_GYROSCOPE_UNCALIBRATED	0.061523438	-0.029571533	-0.11691284
1560771990689	TYPE_ACCELEROMETER	-1.4539337	1.3924713	9.512238
1560771990689	TYPE_MAGNETIC_FIELD	-2.2842407	-21.77887	-11.82251
1560771990689	TYPE_GYROSCOPE	-0.016799927	-0.08628845	-0.09274292
1560771990689	TYPE_ROTATION_VECTOR	0.072744675	-0.059237815	-0.9892717
1560771990689	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-46.795654	-66.60004	-190.35034
1560771990689	TYPE_GYROSCOPE_UNCALIBRATED	0.010391235	-0.07191467	-0.11505127
1560771990709	TYPE_ACCELEROMETER	-1.2983093	1.3104706	9.525406
1560771990709	TYPE_MAGNETIC_FIELD	-2.9830933	-23.165894	-11.82251
1560771990709	TYPE_GYROSCOPE	-0.045547485	-0.03488159	-0.08581543
1560771990709	TYPE_ROTATION_VECTOR	0.07258104	-0.058867812	-0.9893956
1560771990709	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-47.494507	-67.98706	-190.35034
1560771990709	TYPE_GYROSCOPE_UNCALIBRATED	-0.014923096	-0.09614563	-0.09135437
1560771990729	TYPE_ACCELEROMETER	-1.174408	1.2931061	9.75885
