#	startTime:1560772094196
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5be2acfd2d33b58572	FloorName:F2
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560772094196	TYPE_WAYPOINT	122.90367	105.51342
1560772094328	TYPE_ACCELEROMETER	-1.5802155	1.8653107	9.878555
1560772094328	TYPE_MAGNETIC_FIELD	8.891296	24.702454	-22.62268
1560772094328	TYPE_GYROSCOPE	-0.24928284	-0.1493988	0.04309082
1560772094328	TYPE_ROTATION_VECTOR	0.09316253	0.104037195	0.107795134
1560772094328	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-35.620117	-20.118713	-201.15051
1560772094328	TYPE_GYROSCOPE_UNCALIBRATED	-0.099609375	-0.20773315	0.04473877
1560772094348	TYPE_ACCELEROMETER	-1.7286682	1.8054657	10.379547
1560772094348	TYPE_MAGNETIC_FIELD	8.891296	25.396729	-22.62268
1560772094348	TYPE_GYROSCOPE	-0.20721436	-0.18136597	0.06625366
1560772094348	TYPE_ROTATION_VECTOR	0.08860941	0.098568946	0.110737026
1560772094348	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-35.620117	-19.424438	-201.15051
1560772094348	TYPE_GYROSCOPE_UNCALIBRATED	-0.247406	-0.15925598	0.04447937
1560772094368	TYPE_ACCELEROMETER	-1.7148895	1.7521973	10.228714
1560772094368	TYPE_MAGNETIC_FIELD	9.590149	24.702454	-23.29712
1560772094368	TYPE_GYROSCOPE	-0.099349976	-0.19094849	0.09715271
1560772094368	TYPE_ROTATION_VECTOR	0.08427985	0.09523693	0.11190903
1560772094368	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.921265	-20.118713	-201.82495
1560772094368	TYPE_GYROSCOPE_UNCALIBRATED	-0.20533752	-0.19122314	0.06764221
1560772094388	TYPE_ACCELEROMETER	-1.5221558	1.7438202	9.641525
1560772094388	TYPE_MAGNETIC_FIELD	10.287476	22.621155	-21.946716
1560772094388	TYPE_GYROSCOPE	-0.059936523	-0.19387817	0.11872864
1560772094388	TYPE_ROTATION_VECTOR	0.08188463	0.09280305	0.11284393
1560772094388	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.223938	-22.200012	-200.47455
1560772094388	TYPE_GYROSCOPE_UNCALIBRATED	-0.097473145	-0.20080566	0.09854126
1560772094408	TYPE_ACCELEROMETER	-1.4192047	1.6905365	9.431442
1560772094408	TYPE_MAGNETIC_FIELD	9.590149	24.008179	-22.62268
1560772094408	TYPE_GYROSCOPE	-0.13131714	-0.1962738	0.11578369
1560772094408	TYPE_ROTATION_VECTOR	0.08120181	0.09025179	0.11453898
1560772094408	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.921265	-20.812988	-201.15051
1560772094408	TYPE_GYROSCOPE_UNCALIBRATED	-0.058059692	-0.20373535	0.12011719
1560772094428	TYPE_ACCELEROMETER	-1.2815399	1.6977234	9.558334
1560772094428	TYPE_MAGNETIC_FIELD	8.891296	24.008179	-20.59784
1560772094428	TYPE_GYROSCOPE	-0.20108032	-0.19415283	0.108078
1560772094428	TYPE_ROTATION_VECTOR	0.08001906	0.0875409	0.11595076
1560772094428	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-35.620117	-20.812988	-199.12567
1560772094428	TYPE_GYROSCOPE_UNCALIBRATED	-0.12944031	-0.20613098	0.11717224
1560772094447	TYPE_ACCELEROMETER	-1.2019348	1.6378632	9.707962
1560772094447	TYPE_MAGNETIC_FIELD	8.891296	24.702454	-22.62268
1560772094447	TYPE_GYROSCOPE	-0.24342346	-0.1408844	0.08329773
1560772094447	TYPE_ROTATION_VECTOR	0.07836704	0.084291175	0.11764672
1560772094447	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-35.620117	-20.118713	-201.15051
1560772094447	TYPE_GYROSCOPE_UNCALIBRATED	-0.19920349	-0.20401001	0.10946655
1560772094467	TYPE_ACCELEROMETER	-1.1223297	1.6061401	9.87796
1560772094467	TYPE_MAGNETIC_FIELD	8.891296	23.31543	-19.921875
1560772094467	TYPE_GYROSCOPE	-0.27938843	-0.109451294	0.051620483
1560772094467	TYPE_ROTATION_VECTOR	0.0760651	0.08137576	0.11914135
1560772094467	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-35.620117	-21.505737	-198.4497
1560772094467	TYPE_GYROSCOPE_UNCALIBRATED	-0.24154663	-0.15074158	0.08468628
1560772094487	TYPE_ACCELEROMETER	-1.1696167	1.6624146	10.133545
1560772094487	TYPE_MAGNETIC_FIELD	7.4935913	24.008179	-21.946716
1560772094487	TYPE_GYROSCOPE	-0.30999756	-0.104400635	0.002609253
1560772094487	TYPE_ROTATION_VECTOR	0.07336511	0.07863478	0.120720804
1560772094487	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.017822	-20.812988	-200.47455
1560772094487	TYPE_GYROSCOPE_UNCALIBRATED	-0.2775116	-0.11930847	0.053009033
1560772094507	TYPE_ACCELEROMETER	-1.3270416	1.660614	10.396896
1560772094507	TYPE_MAGNETIC_FIELD	9.590149	24.702454	-22.62268
1560772094507	TYPE_GYROSCOPE	-0.2975006	-0.07510376	-0.027755737
1560772094507	TYPE_ROTATION_VECTOR	0.07069656	0.07628642	0.12100854
