#	startTime:1560772523188
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5be2acfd2d33b58572	FloorName:F2
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560772523188	TYPE_WAYPOINT	47.832035	108.060616
1560772523302	TYPE_ACCELEROMETER	-1.2420502	1.4205933	9.247086
1560772523302	TYPE_MAGNETIC_FIELD	-17.649841	-19.003296	-19.247437
1560772523302	TYPE_GYROSCOPE	-0.2069397	-0.043411255	0.009811401
1560772523302	TYPE_ROTATION_VECTOR	0.1005859	-0.03219333	-0.90099853
1560772523302	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-62.161255	-63.824463	-197.77527
1560772523302	TYPE_GYROSCOPE_UNCALIBRATED	0.049804688	-0.0743103	-0.0069274902
1560772523322	TYPE_ACCELEROMETER	-1.3701324	1.3170471	9.81691
1560772523322	TYPE_MAGNETIC_FIELD	-16.950989	-18.310547	-18.571472
1560772523322	TYPE_GYROSCOPE	-0.1954956	-0.026901245	-0.030151367
1560772523322	TYPE_ROTATION_VECTOR	0.09510621	-0.03134314	-0.9017499
1560772523322	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-61.462402	-63.131714	-197.0993
1560772523322	TYPE_GYROSCOPE_UNCALIBRATED	-0.20506287	-0.053268433	0.011199951
1560772523342	TYPE_ACCELEROMETER	-1.7136993	1.2075195	9.657089
1560772523342	TYPE_MAGNETIC_FIELD	-16.950989	-17.616272	-18.571472
1560772523342	TYPE_GYROSCOPE	-0.12651062	-0.08947754	-0.030944824
1560772523342	TYPE_ROTATION_VECTOR	0.09510621	-0.03134314	-0.9017499
1560772523342	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-61.462402	-62.43744	-197.0993
1560772523342	TYPE_GYROSCOPE_UNCALIBRATED	-0.19361877	-0.036758423	-0.028762817
1560772523362	TYPE_ACCELEROMETER	-1.653244	1.1793823	9.16568
1560772523362	TYPE_MAGNETIC_FIELD	-15.55481	-18.310547	-19.921875
1560772523362	TYPE_GYROSCOPE	-0.15608215	-0.19148254	0.008468628
1560772523362	TYPE_ROTATION_VECTOR	0.09576263	-0.02845143	-0.9015216
1560772523362	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-60.066223	-63.131714	-198.4497
1560772523362	TYPE_GYROSCOPE_UNCALIBRATED	-0.12463379	-0.09933472	-0.029556274
1560772523382	TYPE_ACCELEROMETER	-1.2677765	1.0357361	9.579285
1560772523382	TYPE_MAGNETIC_FIELD	-14.855957	-20.391846	-19.921875
1560772523382	TYPE_GYROSCOPE	-0.3134613	-0.19494629	0.009002686
1560772523382	TYPE_ROTATION_VECTOR	0.095332734	-0.02664261	-0.9012391
1560772523382	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-59.36737	-65.21301	-198.4497
1560772523382	TYPE_GYROSCOPE_UNCALIBRATED	-0.15420532	-0.20133972	0.009857178
1560772523402	TYPE_ACCELEROMETER	-1.2875366	0.97288513	10.635117
1560772523402	TYPE_MAGNETIC_FIELD	-16.950989	-17.616272	-19.247437
1560772523402	TYPE_GYROSCOPE	-0.35714722	-0.099609375	-0.039474487
1560772523402	TYPE_ROTATION_VECTOR	0.09091371	-0.024328113	-0.9023883
1560772523402	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-61.462402	-62.43744	-197.77527
1560772523402	TYPE_GYROSCOPE_UNCALIBRATED	-0.31158447	-0.20480347	0.010391235
1560772523421	TYPE_ACCELEROMETER	-1.3509827	1.0363312	10.899078
1560772523421	TYPE_MAGNETIC_FIELD	-16.252136	-16.921997	-19.921875
1560772523421	TYPE_GYROSCOPE	-0.22584534	-0.10493469	-0.06504822
1560772523421	TYPE_ROTATION_VECTOR	0.083742164	-0.019043222	-0.9041108
1560772523421	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-60.76355	-61.743164	-198.4497
1560772523421	TYPE_GYROSCOPE_UNCALIBRATED	-0.3552704	-0.10946655	-0.038085938
1560772523441	TYPE_ACCELEROMETER	-1.4497375	1.1291046	10.616577
1560772523441	TYPE_MAGNETIC_FIELD	-17.649841	-16.921997	-19.247437
1560772523441	TYPE_GYROSCOPE	-0.09269714	-0.12516785	-0.09274292
1560772523441	TYPE_ROTATION_VECTOR	0.083742164	-0.019043222	-0.9041108
1560772523441	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-62.161255	-61.743164	-197.77527
1560772523441	TYPE_GYROSCOPE_UNCALIBRATED	-0.2239685	-0.11479187	-0.06365967
1560772523461	TYPE_ACCELEROMETER	-1.4180145	1.2960968	10.166458
1560772523461	TYPE_MAGNETIC_FIELD	-16.252136	-19.003296	-20.59784
1560772523461	TYPE_GYROSCOPE	-0.003753662	-0.07217407	-0.057052612
1560772523461	TYPE_ROTATION_VECTOR	0.08237174	-0.018675923	-0.9043263
1560772523461	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-60.76355	-63.824463	-199.12567
1560772523461	TYPE_GYROSCOPE_UNCALIBRATED	-0.09082031	-0.13502502	-0.09135437
1560772523481	TYPE_ACCELEROMETER	-1.4198151	1.2697601	9.8199005
1560772523481	TYPE_MAGNETIC_FIELD	-18.348694	-18.310547	-20.59784
1560772523481	TYPE_GYROSCOPE	0.010910034	-0.08203125	-0.058914185
