#	startTime:1560773365686
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5be2acfd2d33b58572	FloorName:F2
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560773365686	TYPE_WAYPOINT	60.56707	37.630646
1560773366621	TYPE_ACCELEROMETER	-1.8950653	1.3529663	9.442215
1560773366621	TYPE_MAGNETIC_FIELD	8.399963	-35.916138	-35.50415
1560773366621	TYPE_GYROSCOPE	0.3209076	-0.27670288	-0.087677
1560773366621	TYPE_ROTATION_VECTOR	-0.099254265	0.06464899	0.9929139
1560773366621	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.826233	-79.78058	-213.97552
1560773366621	TYPE_GYROSCOPE_UNCALIBRATED	0.32278442	-0.28656006	-0.08628845
1560773366641	TYPE_ACCELEROMETER	-2.3086548	1.0997772	9.049561
1560773366641	TYPE_MAGNETIC_FIELD	10.494995	-35.22339	-36.853027
1560773366641	TYPE_GYROSCOPE	0.2436676	-0.30332947	-0.19873047
1560773366641	TYPE_ROTATION_VECTOR	-0.101809904	0.0650492	0.9926563
1560773366641	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.731201	-79.08783	-215.3244
1560773366641	TYPE_GYROSCOPE_UNCALIBRATED	0.24554443	-0.31318665	-0.19734192
1560773366661	TYPE_ACCELEROMETER	-1.7561951	1.6259003	9.417679
1560773366661	TYPE_MAGNETIC_FIELD	9.098816	-35.916138	-35.50415
1560773366661	TYPE_GYROSCOPE	0.17044067	-0.20799255	-0.039474487
1560773366661	TYPE_ROTATION_VECTOR	-0.09813234	0.06984526	0.99268115
1560773366661	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.12738	-79.78058	-213.97552
1560773366661	TYPE_GYROSCOPE_UNCALIBRATED	0.1723175	-0.21784973	-0.038085938
1560773366681	TYPE_ACCELEROMETER	-1.3862915	1.363739	9.428452
1560773366681	TYPE_MAGNETIC_FIELD	7.701111	-35.916138	-35.50415
1560773366681	TYPE_GYROSCOPE	0.13821411	-0.2820282	-0.10897827
1560773366681	TYPE_ROTATION_VECTOR	-0.09182472	0.07158839	0.99309564
1560773366681	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-33.525085	-79.78058	-213.97552
1560773366681	TYPE_GYROSCOPE_UNCALIBRATED	0.1723175	-0.21784973	-0.038085938
