#	startTime:1560773431470
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5be2acfd2d33b58572	FloorName:F2
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560773431470	TYPE_WAYPOINT	62.8051	31.708044
1560773431582	TYPE_ACCELEROMETER	-0.6728058	2.2358246	8.6892395
1560773431582	TYPE_MAGNETIC_FIELD	-25.125122	-10.942078	-17.953491
1560773431582	TYPE_GYROSCOPE	-0.20481873	0.031692505	-0.08262634
1560773431582	TYPE_ROTATION_VECTOR	0.09780577	-0.09086004	-0.7640994
1560773431582	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.35132	-54.80652	-196.42487
1560773431582	TYPE_GYROSCOPE_UNCALIBRATED	0.21359253	0.15499878	-0.08656311
1560773431602	TYPE_ACCELEROMETER	-0.7177124	1.9754486	10.31131
1560773431602	TYPE_MAGNETIC_FIELD	-25.823975	-10.247803	-19.303894
1560773431602	TYPE_GYROSCOPE	-0.2607422	0.0023956299	-0.089279175
1560773431602	TYPE_ROTATION_VECTOR	0.09985071	-0.08492438	-0.76562333
1560773431602	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.05017	-54.112244	-197.77527
1560773431602	TYPE_GYROSCOPE_UNCALIBRATED	-0.25886536	-0.007461548	-0.087890625
1560773431622	TYPE_ACCELEROMETER	-0.85536194	1.8246155	10.446579
1560773431622	TYPE_MAGNETIC_FIELD	-23.728943	-11.634827	-20.654297
1560773431622	TYPE_GYROSCOPE	-0.07884216	0.041549683	-0.10525513
1560773431622	TYPE_ROTATION_VECTOR	0.09288301	-0.06917325	-0.7751761
1560773431622	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.95514	-55.499268	-199.12567
1560773431622	TYPE_GYROSCOPE_UNCALIBRATED	-0.07696533	0.031692505	-0.10386658
1560773431642	TYPE_ACCELEROMETER	-0.82543945	1.7863007	9.877365
1560773431642	TYPE_MAGNETIC_FIELD	-26.522827	-10.247803	-18.62793
1560773431642	TYPE_GYROSCOPE	0.024749756	-0.0047912598	-0.13562012
1560773431642	TYPE_ROTATION_VECTOR	0.09288301	-0.06917325	-0.7751761
1560773431642	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.74902	-54.112244	-197.0993
1560773431642	TYPE_GYROSCOPE_UNCALIBRATED	0.026626587	-0.0146484375	-0.13423157
1560773431662	TYPE_ACCELEROMETER	-1.0265656	1.739624	9.67984
1560773431662	TYPE_MAGNETIC_FIELD	-25.125122	-9.555054	-19.303894
1560773431662	TYPE_GYROSCOPE	0.017562866	-0.036743164	-0.18089294
1560773431662	TYPE_ROTATION_VECTOR	0.09212078	-0.065636605	-0.7778851
1560773431662	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.35132	-53.419495	-197.77527
1560773431662	TYPE_GYROSCOPE_UNCALIBRATED	0.019439697	-0.04660034	-0.1795044
1560773431682	TYPE_ACCELEROMETER	-1.3192596	1.7162781	9.85701
1560773431682	TYPE_MAGNETIC_FIELD	-23.728943	-10.942078	-17.279053
1560773431682	TYPE_GYROSCOPE	-0.0072021484	0.012786865	-0.21017456
1560773431682	TYPE_ROTATION_VECTOR	0.092463985	-0.06221659	-0.7801678
1560773431682	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.95514	-54.80652	-195.75043
1560773431682	TYPE_GYROSCOPE_UNCALIBRATED	0.019439697	-0.04660034	-0.1795044
1560773431702	TYPE_ACCELEROMETER	-1.8094635	1.628891	10.026398
1560773431702	TYPE_MAGNETIC_FIELD	-23.728943	-9.555054	-17.953491
1560773431702	TYPE_GYROSCOPE	-0.026641846	0.048202515	-0.19740295
1560773431702	TYPE_ROTATION_VECTOR	0.093954414	-0.057939738	-0.7827293
1560773431702	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.95514	-53.419495	-196.42487
1560773431702	TYPE_GYROSCOPE_UNCALIBRATED	-0.0053253174	0.0029296875	-0.20878601
1560773431721	TYPE_ACCELEROMETER	-1.8956604	1.5594635	10.276596
1560773431721	TYPE_MAGNETIC_FIELD	-23.728943	-10.247803	-19.303894
1560773431721	TYPE_GYROSCOPE	-0.07272339	0.0894928	-0.12976074
