#	startTime:1560775195434
#	SiteID:5cd56b5ae2acfd2d33b5854a	SiteName:九六广场	FloorId:5cd56b5be2acfd2d33b5858b	FloorName:F3
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560775195434	TYPE_WAYPOINT	69.19123	32.934353
1560775195552	TYPE_ACCELEROMETER	-1.095993	2.1639862	10.484894
1560775195552	TYPE_MAGNETIC_FIELD	34.658813	-9.989929	-29.716492
1560775195552	TYPE_GYROSCOPE	-0.08843994	-0.047409058	-0.008590698
1560775195552	TYPE_ROTATION_VECTOR	0.0069242697	0.12247029	0.7636769
1560775195552	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-9.777832	-54.80652	-205.87463
1560775195552	TYPE_GYROSCOPE_UNCALIBRATED	-0.13023376	-0.043411255	-0.030899048
1560775195572	TYPE_ACCELEROMETER	-1.2959137	2.1298828	9.900711
1560775195572	TYPE_MAGNETIC_FIELD	33.95996	-11.376953	-28.367615
1560775195572	TYPE_GYROSCOPE	0.07322693	0.0013275146	-0.05970764
1560775195572	TYPE_ROTATION_VECTOR	0.013640124	0.11965212	0.7611199
1560775195572	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.476685	-56.193542	-204.52576
1560775195572	TYPE_GYROSCOPE_UNCALIBRATED	0.07510376	-0.008529663	-0.05831909
1560775195592	TYPE_ACCELEROMETER	-1.6442719	2.2052917	9.1992035
1560775195592	TYPE_MAGNETIC_FIELD	33.95996	-11.376953	-28.367615
1560775195592	TYPE_GYROSCOPE	0.06576538	-0.052459717	-0.06637573
1560775195592	TYPE_ROTATION_VECTOR	0.013710498	0.12372436	0.75869656
1560775195592	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.476685	-56.193542	-204.52576
1560775195592	TYPE_GYROSCOPE_UNCALIBRATED	0.07510376	-0.008529663	-0.05831909
1560775195612	TYPE_ACCELEROMETER	-1.7352448	2.2424011	9.297363
