#	startTime:1560825929601
#	SiteID:5cd56b61e2acfd2d33b58d20	SiteName:1088广场	FloorId:5cd56b62e2acfd2d33b58dda	FloorName:F1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560825929601	TYPE_WAYPOINT	38.383705	29.66065
1560825929750	TYPE_ACCELEROMETER	-1.2372589	1.7509918	10.358597
1560825929750	TYPE_MAGNETIC_FIELD	25.280762	-6.562805	-23.30017
1560825929750	TYPE_GYROSCOPE	-0.012207031	0.01133728	-0.025497437
1560825929750	TYPE_ROTATION_VECTOR	0.025293231	0.1017473	0.7543445
1560825929750	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.383423	-47.1756	-191.02478
1560825929750	TYPE_GYROSCOPE_UNCALIBRATED	-0.007461548	0.0039978027	-0.024765015
1560825929770	TYPE_ACCELEROMETER	-1.4192047	1.6965332	9.774414
1560825929770	TYPE_MAGNETIC_FIELD	23.883057	-6.562805	-22.625732
1560825929770	TYPE_GYROSCOPE	0.080215454	0.048095703	0.0011291504
1560825929770	TYPE_ROTATION_VECTOR	0.017971626	0.10411345	0.75625134
1560825929770	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.985718	-47.1756	-190.35034
1560825929770	TYPE_GYROSCOPE_UNCALIBRATED	0.08496094	0.040756226	0.0018615723
1560825929790	TYPE_ACCELEROMETER	-1.4455566	1.6612091	9.56192
1560825929790	TYPE_MAGNETIC_FIELD	23.184204	-7.949829	-23.30017
1560825929790	TYPE_GYROSCOPE	0.02029419	-0.031814575	0.022705078
1560825929790	TYPE_ROTATION_VECTOR	0.0154033275	0.10537449	0.7571637
1560825929790	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.286865	-48.562622	-191.02478
1560825929790	TYPE_GYROSCOPE_UNCALIBRATED	0.025039673	-0.039154053	0.0234375
1560825929810	TYPE_ACCELEROMETER	-1.3210449	1.5828094	9.828873
1560825929810	TYPE_MAGNETIC_FIELD	23.184204	-7.255554	-21.949768
1560825929810	TYPE_GYROSCOPE	-0.04336548	-0.03100586	0.039489746
1560825929810	TYPE_ROTATION_VECTOR	0.0154033275	0.10537449	0.7571637
1560825929810	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.286865	-47.868347	-189.67438
1560825929810	TYPE_GYROSCOPE_UNCALIBRATED	0.025039673	-0.039154053	0.0234375
1560825929830	TYPE_ACCELEROMETER	-1.3288269	1.5391083	10.088043
1560825929830	TYPE_MAGNETIC_FIELD	23.883057	-7.255554	-22.625732
1560825929830	TYPE_GYROSCOPE	-0.03831482	-0.0054473877	0.030166626
1560825929830	TYPE_ROTATION_VECTOR	0.011370353	0.10375959	0.7598645
1560825929830	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.985718	-47.868347	-190.35034
