#	startTime:1560826088335
#	SiteID:5cd56b61e2acfd2d33b58d20	SiteName:1088广场	FloorId:5cd56b62e2acfd2d33b58dda	FloorName:F1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560826088336	TYPE_WAYPOINT	30.346378	38.851315
1560826088467	TYPE_ACCELEROMETER	-1.1414795	1.7216644	10.45076
1560826088467	TYPE_MAGNETIC_FIELD	-23.609924	-5.1742554	-28.700256
1560826088467	TYPE_GYROSCOPE	-0.05482483	0.0028076172	0.04295349
1560826088467	TYPE_ROTATION_VECTOR	0.111727566	-0.014629926	-0.7219452
1560826088467	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.4927368	-45.78705	-196.42487
1560826088467	TYPE_GYROSCOPE_UNCALIBRATED	-0.14302063	-0.056732178	0.018112183
1560826088487	TYPE_ACCELEROMETER	-1.179184	1.6857605	9.647507
1560826088487	TYPE_MAGNETIC_FIELD	-24.308777	-5.1742554	-30.05066
1560826088487	TYPE_GYROSCOPE	0.06716919	0.048095703	0.025375366
1560826088487	TYPE_ROTATION_VECTOR	0.107822806	-0.016012104	-0.72248375
1560826088487	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.7938843	-45.78705	-197.77527
1560826088487	TYPE_GYROSCOPE_UNCALIBRATED	-0.050079346	-0.0045318604	0.043685913
1560826088507	TYPE_ACCELEROMETER	-1.4132233	1.739624	9.14534
1560826088507	TYPE_MAGNETIC_FIELD	-24.308777	-6.562805	-28.025818
1560826088507	TYPE_GYROSCOPE	-0.010070801	0.02810669	0.022445679
1560826088507	TYPE_ROTATION_VECTOR	0.10930376	-0.016492995	-0.7211937
1560826088507	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.7938843	-47.1756	-195.75043
1560826088507	TYPE_GYROSCOPE_UNCALIBRATED	0.07191467	0.040756226	0.026107788
1560826088527	TYPE_ACCELEROMETER	-1.3551636	1.7067108	9.686417
1560826088527	TYPE_MAGNETIC_FIELD	-23.609924	-7.255554	-30.05066
1560826088527	TYPE_GYROSCOPE	-0.12432861	-0.002243042	0.04081726
1560826088527	TYPE_ROTATION_VECTOR	0.10930376	-0.016492995	-0.7211937
1560826088527	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.4927368	-47.868347	-197.77527
1560826088527	TYPE_GYROSCOPE_UNCALIBRATED	-0.0053253174	0.020767212	0.0231781
1560826088547	TYPE_ACCELEROMETER	-1.2234802	1.707901	10.252655
1560826088547	TYPE_MAGNETIC_FIELD	-24.308777	-5.8685303	-30.05066
1560826088547	TYPE_GYROSCOPE	-0.107543945	0.035308838	0.042419434
1560826088547	TYPE_ROTATION_VECTOR	0.10700974	-0.015218684	-0.7209381
1560826088547	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.7938843	-46.481323	-197.77527
1560826088547	TYPE_GYROSCOPE_UNCALIBRATED	-0.11958313	-0.0095825195	0.041549683
1560826088567	TYPE_ACCELEROMETER	-1.3461914	1.7102966	10.0299835
1560826088567	TYPE_MAGNETIC_FIELD	-23.609924	-6.562805	-30.725098
1560826088567	TYPE_GYROSCOPE	-0.036712646	0.068862915	0.033355713
1560826088567	TYPE_ROTATION_VECTOR	0.10700974	-0.015218684	-0.7209381
1560826088567	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.4927368	-47.1756	-198.4497
1560826088567	TYPE_GYROSCOPE_UNCALIBRATED	-0.10279846	0.02796936	0.043151855
1560826088586	TYPE_ACCELEROMETER	-1.5161743	1.7671509	9.949783
1560826088586	TYPE_MAGNETIC_FIELD	-25.00763	-5.8685303	-29.374695
1560826088586	TYPE_GYROSCOPE	-0.06599426	0.058746338	0.03868103
1560826088586	TYPE_ROTATION_VECTOR	0.10707059	-0.014613942	-0.7207248
1560826088586	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.0950317	-46.481323	-197.0993
1560826088586	TYPE_GYROSCOPE_UNCALIBRATED	-0.031967163	0.061523438	0.034088135
1560826088606	TYPE_ACCELEROMETER	-1.4551239	1.7731476	10.537567
1560826088606	TYPE_MAGNETIC_FIELD	-23.609924	-6.562805	-29.374695
1560826088606	TYPE_GYROSCOPE	-0.10195923	0.040374756	0.05253601
1560826088606	TYPE_ROTATION_VECTOR	0.107700296	-0.013538518	-0.72008264
1560826088606	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.4927368	-47.1756	-197.0993
1560826088606	TYPE_GYROSCOPE_UNCALIBRATED	-0.06124878	0.05140686	0.039413452
1560826088626	TYPE_ACCELEROMETER	-1.4970245	1.8312073	10.875137
1560826088626	TYPE_MAGNETIC_FIELD	-25.00763	-7.949829	-29.374695
