#	startTime:1560826486432
#	SiteID:5cd56b61e2acfd2d33b58d20	SiteName:1088广场	FloorId:5cd56b62e2acfd2d33b58dda	FloorName:F1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560826486433	TYPE_WAYPOINT	42.733295	36.675262
1560826486572	TYPE_ACCELEROMETER	-0.71051025	1.5474854	10.739868
1560826486572	TYPE_MAGNETIC_FIELD	-31.991577	3.843689	-22.625732
1560826486572	TYPE_GYROSCOPE	-0.10647583	-0.00944519	0.1425476
1560826486572	TYPE_ROTATION_VECTOR	0.109764405	-0.011234923	-0.6012237
1560826486572	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.888916	-36.769104	-190.35034
1560826486572	TYPE_GYROSCOPE_UNCALIBRATED	-0.3166504	-0.05619812	0.1837616
1560826486592	TYPE_ACCELEROMETER	-0.8703308	1.5313263	9.912079
1560826486592	TYPE_MAGNETIC_FIELD	-31.292725	3.15094	-26.675415
1560826486592	TYPE_GYROSCOPE	0.0605011	0.062469482	0.10820007
1560826486592	TYPE_ROTATION_VECTOR	0.09774979	-0.012733414	-0.60335517
1560826486592	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.1900635	-37.461853	-194.40002
1560826486592	TYPE_GYROSCOPE_UNCALIBRATED	0.06524658	0.055130005	0.108932495
1560826486612	TYPE_ACCELEROMETER	-0.95832825	1.5744171	9.789368
1560826486612	TYPE_MAGNETIC_FIELD	-31.991577	4.537964	-23.976135
1560826486612	TYPE_GYROSCOPE	-2.1362305E-4	-0.0075683594	0.06877136
1560826486612	TYPE_ROTATION_VECTOR	0.096783824	-0.0123991715	-0.60360813
1560826486612	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.888916	-36.07483	-191.70074
1560826486612	TYPE_GYROSCOPE_UNCALIBRATED	0.0045318604	-0.014907837	0.069503784
1560826486632	TYPE_ACCELEROMETER	-1.0475159	1.7246552	10.244263
1560826486632	TYPE_MAGNETIC_FIELD	-30.595398	4.537964	-26.000977
1560826486632	TYPE_GYROSCOPE	-0.05029297	-0.1159668	0.021377563
1560826486632	TYPE_ROTATION_VECTOR	0.095818035	-0.012635948	-0.603795
1560826486632	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-3.4927368	-36.07483	-193.72559
1560826486632	TYPE_GYROSCOPE_UNCALIBRATED	0.0045318604	-0.014907837	0.069503784
1560826486652	TYPE_ACCELEROMETER	-1.213913	1.791687	10.263428
1560826486652	TYPE_MAGNETIC_FIELD	-31.292725	3.843689	-25.325012
1560826486652	TYPE_GYROSCOPE	0.03201294	-0.03793335	0.0032653809
1560826486652	TYPE_ROTATION_VECTOR	0.095818035	-0.012635948	-0.603795
1560826486652	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.1900635	-36.769104	-193.04962
1560826486652	TYPE_GYROSCOPE_UNCALIBRATED	0.036758423	-0.045272827	0.0039978027
1560826486672	TYPE_ACCELEROMETER	-1.4263916	1.8359833	9.704376
1560826486672	TYPE_MAGNETIC_FIELD	-29.197693	3.843689	-25.325012
1560826486672	TYPE_GYROSCOPE	0.112976074	0.07444763	0.0061950684
1560826486672	TYPE_ROTATION_VECTOR	0.10032055	-0.010865067	-0.60412943
1560826486672	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.0950317	-36.769104	-193.04962
1560826486672	TYPE_GYROSCOPE_UNCALIBRATED	0.11772156	0.067108154	0.0069274902
1560826486691	TYPE_ACCELEROMETER	-1.5018158	1.9042206	9.329681
1560826486691	TYPE_MAGNETIC_FIELD	-31.991577	3.15094	-26.000977
1560826486691	TYPE_GYROSCOPE	0.047729492	0.06460571	0.010726929
1560826486691	TYPE_ROTATION_VECTOR	0.10032055	-0.010865067	-0.60412943
1560826486691	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.888916	-37.461853	-193.72559
1560826486691	TYPE_GYROSCOPE_UNCALIBRATED	0.11772156	0.067108154	0.0069274902
1560826486711	TYPE_ACCELEROMETER	-1.3599548	1.897049	9.549957
1560826486711	TYPE_MAGNETIC_FIELD	-31.292725	5.924988	-26.675415
1560826486711	TYPE_GYROSCOPE	-0.048690796	0.029708862	0.018447876
1560826486711	TYPE_ROTATION_VECTOR	0.10484602	-0.008429805	-0.60343206
1560826486711	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.1900635	-34.687805	-194.40002
1560826486711	TYPE_GYROSCOPE_UNCALIBRATED	-0.043945313	0.022369385	0.019180298
1560826486731	TYPE_ACCELEROMETER	-1.2210846	1.9497223	9.914459
1560826486731	TYPE_MAGNETIC_FIELD	-31.292725	3.843689	-25.325012
1560826486731	TYPE_GYROSCOPE	-0.077178955	0.061676025	0.013916016
1560826486731	TYPE_ROTATION_VECTOR	0.10484602	-0.008429805	-0.60343206
1560826486731	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.1900635	-36.769104	-193.04962
