#	startTime:1560826582957
#	SiteID:5cd56b61e2acfd2d33b58d20	SiteName:1088广场	FloorId:5cd56b62e2acfd2d33b58dda	FloorName:F1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560826582957	TYPE_WAYPOINT	57.629337	32.11719
1560826583083	TYPE_ACCELEROMETER	-0.3675537	2.4028168	10.012039
1560826583083	TYPE_MAGNETIC_FIELD	-25.706482	5.232239	-32.74994
1560826583083	TYPE_GYROSCOPE	-0.09902954	0.07951355	-0.45986938
1560826583083	TYPE_ROTATION_VECTOR	0.13019507	-0.037158214	-0.5452443
1560826583083	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.3961792	-35.380554	-200.47455
1560826583083	TYPE_GYROSCOPE_UNCALIBRATED	-0.09428406	0.07217407	-0.45913696
1560826583103	TYPE_ACCELEROMETER	-0.8003082	2.3303986	9.297363
1560826583103	TYPE_MAGNETIC_FIELD	-22.912598	3.843689	-32.0755
1560826583103	TYPE_GYROSCOPE	-0.06253052	0.12638855	-0.47424316
1560826583103	TYPE_ROTATION_VECTOR	0.124819405	-0.036318447	-0.5525744
1560826583103	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.1900635	-36.769104	-199.80011
1560826583103	TYPE_GYROSCOPE_UNCALIBRATED	-0.057785034	0.11904907	-0.47351074
1560826583123	TYPE_ACCELEROMETER	-0.97387695	2.2687378	9.06871
1560826583123	TYPE_MAGNETIC_FIELD	-26.403809	5.232239	-33.425903
1560826583123	TYPE_GYROSCOPE	-0.114212036	0.08670044	-0.40953064
1560826583123	TYPE_ROTATION_VECTOR	0.12537071	-0.03306093	-0.5562602
1560826583123	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.69885254	-35.380554	-201.15051
1560826583123	TYPE_GYROSCOPE_UNCALIBRATED	-0.10946655	0.07936096	-0.40879822
1560826583143	TYPE_ACCELEROMETER	-0.79252625	2.3106384	9.433838
1560826583143	TYPE_MAGNETIC_FIELD	-23.609924	3.15094	-32.0755
1560826583143	TYPE_GYROSCOPE	-0.20448303	-0.04006958	-0.33869934
1560826583143	TYPE_ROTATION_VECTOR	0.12537071	-0.03306093	-0.5562602
1560826583143	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.4927368	-37.461853	-199.80011
1560826583143	TYPE_GYROSCOPE_UNCALIBRATED	-0.10946655	0.07936096	-0.40879822
1560826583163	TYPE_ACCELEROMETER	-0.8487854	2.407608	9.695999
1560826583163	TYPE_MAGNETIC_FIELD	-23.609924	4.537964	-32.0755
1560826583163	TYPE_GYROSCOPE	-0.2516327	-0.13807678	-0.31152344
1560826583163	TYPE_ROTATION_VECTOR	0.12335651	-0.03205916	-0.559038
1560826583163	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.4927368	-36.07483	-199.80011
1560826583163	TYPE_GYROSCOPE_UNCALIBRATED	-0.2468872	-0.14541626	-0.31079102
1560826583183	TYPE_ACCELEROMETER	-0.6973572	2.5093536	9.8199005
1560826583183	TYPE_MAGNETIC_FIELD	-25.00763	4.537964	-30.05066
1560826583183	TYPE_GYROSCOPE	-0.29370117	-0.2456665	-0.2841034
1560826583183	TYPE_ROTATION_VECTOR	0.12108115	-0.0315494	-0.56110764
1560826583183	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.0950317	-36.07483	-197.77527
1560826583183	TYPE_GYROSCOPE_UNCALIBRATED	-0.2468872	-0.14541626	-0.31079102
1560826583202	TYPE_ACCELEROMETER	-0.49923706	2.4854126	10.213745
1560826583202	TYPE_MAGNETIC_FIELD	-25.00763	4.537964	-30.05066
1560826583202	TYPE_GYROSCOPE	-0.30567932	-0.26431274	-0.26385498
1560826583202	TYPE_ROTATION_VECTOR	0.113895305	-0.034186937	-0.5640538
1560826583202	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.0950317	-36.07483	-197.77527
1560826583202	TYPE_GYROSCOPE_UNCALIBRATED	-0.30093384	-0.27165222	-0.26312256
1560826583222	TYPE_ACCELEROMETER	-0.11856079	2.414795	10.419052
1560826583222	TYPE_MAGNETIC_FIELD	-25.00763	5.232239	-31.401062
1560826583222	TYPE_GYROSCOPE	-0.2297821	-0.16070557	-0.24601746
1560826583222	TYPE_ROTATION_VECTOR	0.10988121	-0.036241394	-0.5647762
1560826583222	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.0950317	-35.380554	-199.12567
1560826583222	TYPE_GYROSCOPE_UNCALIBRATED	-0.22503662	-0.16804504	-0.24528503
1560826583242	TYPE_ACCELEROMETER	-0.052703857	2.3387756	10.380142
1560826583242	TYPE_MAGNETIC_FIELD	-27.102661	5.232239	-31.401062
1560826583242	TYPE_GYROSCOPE	-0.14242554	-0.05632019	-0.27211
1560826583242	TYPE_ROTATION_VECTOR	0.10988121	-0.036241394	-0.5647762
1560826583242	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.0	-35.380554	-199.12567
