#	startTime:1560826753317
#	SiteID:5cd56b61e2acfd2d33b58d20	SiteName:1088广场	FloorId:5cd56b62e2acfd2d33b58dda	FloorName:F1
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560826753318	TYPE_WAYPOINT	57.629337	32.11719
1560826753418	TYPE_ACCELEROMETER	-1.4964294	2.2549744	8.27623
1560826753418	TYPE_MAGNETIC_FIELD	14.105225	19.107056	-30.725098
1560826753418	TYPE_GYROSCOPE	-0.01966858	-0.100250244	-0.011123657
1560826753418	TYPE_ROTATION_VECTOR	0.076359615	0.090664186	0.20188995
1560826753418	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.207886	-21.505737	-198.4497
1560826753418	TYPE_GYROSCOPE_UNCALIBRATED	-0.014923096	-0.10758972	-0.010391235
1560826753438	TYPE_ACCELEROMETER	-1.337204	2.1771698	9.886932
1560826753438	TYPE_MAGNETIC_FIELD	13.406372	17.718506	-30.05066
1560826753438	TYPE_GYROSCOPE	-0.21540833	-0.10505676	-0.018051147
1560826753438	TYPE_ROTATION_VECTOR	0.08419763	0.093798965	0.1951916
1560826753438	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.509033	-22.894287	-197.77527
1560826753438	TYPE_GYROSCOPE_UNCALIBRATED	-0.014923096	-0.10758972	-0.010391235
1560826753458	TYPE_ACCELEROMETER	-1.5095978	2.1639862	10.154495
1560826753458	TYPE_MAGNETIC_FIELD	12.70752	17.718506	-30.725098
1560826753458	TYPE_GYROSCOPE	-0.05934143	-0.036071777	-0.019104004
1560826753458	TYPE_ROTATION_VECTOR	0.08442645	0.09080573	0.19507991
1560826753458	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.81018	-22.894287	-198.4497
1560826753458	TYPE_GYROSCOPE_UNCALIBRATED	-0.054595947	-0.043411255	-0.018371582
1560826753478	TYPE_ACCELEROMETER	-1.7214813	2.098755	9.408096
1560826753478	TYPE_MAGNETIC_FIELD	14.804077	19.799805	-30.05066
1560826753478	TYPE_GYROSCOPE	0.017364502	-0.008377075	8.69751E-4
1560826753478	TYPE_ROTATION_VECTOR	0.085423134	0.09291709	0.19234188
1560826753478	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.90674	-20.812988	-197.77527
1560826753478	TYPE_GYROSCOPE_UNCALIBRATED	-0.054595947	-0.043411255	-0.018371582
1560826753498	TYPE_ACCELEROMETER	-1.6442719	2.0466766	9.552338
1560826753498	TYPE_MAGNETIC_FIELD	15.501404	17.718506	-29.374695
1560826753498	TYPE_GYROSCOPE	-0.10568237	-0.03527832	0.0021972656
1560826753498	TYPE_ROTATION_VECTOR	0.084740356	0.09351148	0.19157203
1560826753498	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.604065	-22.894287	-197.0993
1560826753498	TYPE_GYROSCOPE_UNCALIBRATED	-0.10093689	-0.042617798	0.0029296875
1560826753518	TYPE_ACCELEROMETER	-1.6526489	2.0101624	10.465744
1560826753518	TYPE_MAGNETIC_FIELD	13.406372	19.799805	-29.374695
1560826753518	TYPE_GYROSCOPE	-0.1464386	-0.053115845	-0.023635864
1560826753518	TYPE_ROTATION_VECTOR	0.082728565	0.092831574	0.19098935
1560826753518	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.509033	-20.812988	-197.0993
1560826753518	TYPE_GYROSCOPE_UNCALIBRATED	-0.14169312	-0.060455322	-0.022903442
1560826753537	TYPE_ACCELEROMETER	-1.7771454	2.0496826	10.524994
1560826753537	TYPE_MAGNETIC_FIELD	13.406372	19.107056	-30.05066
1560826753537	TYPE_GYROSCOPE	-0.0036773682	-0.045394897	-0.03855896
1560826753537	TYPE_ROTATION_VECTOR	0.082728565	0.092831574	0.19098935
1560826753537	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.509033	-21.505737	-197.77527
1560826753537	TYPE_GYROSCOPE_UNCALIBRATED	0.0010681152	-0.052734375	-0.037826538
1560826753557	TYPE_ACCELEROMETER	-1.89505	2.1963196	9.836655
1560826753557	TYPE_MAGNETIC_FIELD	14.804077	18.41278	-29.374695
1560826753557	TYPE_GYROSCOPE	0.10284424	-0.038467407	-0.0340271
1560826753557	TYPE_ROTATION_VECTOR	0.08394944	0.094487354	0.18734847
1560826753557	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.90674	-22.200012	-197.0993
1560826753557	TYPE_GYROSCOPE_UNCALIBRATED	0.10758972	-0.045806885	-0.033294678
1560826753577	TYPE_ACCELEROMETER	-1.9890289	2.3034668	9.475128
1560826753577	TYPE_MAGNETIC_FIELD	13.406372	18.41278	-30.725098
1560826753577	TYPE_GYROSCOPE	0.08314514	-0.015823364	-0.025497437
1560826753577	TYPE_ROTATION_VECTOR	0.08394944	0.094487354	0.18734847
1560826753577	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.509033	-22.200012	-198.4497
1560826753577	TYPE_GYROSCOPE_UNCALIBRATED	0.10758972	-0.045806885	-0.033294678
1560826753597	TYPE_ACCELEROMETER	-2.0458984	2.422577	9.473938
1560826753597	TYPE_MAGNETIC_FIELD	14.804077	19.107056	-31.401062
1560826753597	TYPE_GYROSCOPE	0.022415161	-0.020629883	-0.0060577393
1560826753597	TYPE_ROTATION_VECTOR	0.08756919	0.09820122	0.18169735
1560826753597	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.90674	-21.505737	-199.12567
1560826753597	TYPE_GYROSCOPE_UNCALIBRATED	0.027160645	-0.02796936	-0.0053253174
1560826753617	TYPE_ACCELEROMETER	-1.9196014	2.4333496	9.746277
1560826753617	TYPE_MAGNETIC_FIELD	12.70752	18.41278	-30.05066
1560826753617	TYPE_GYROSCOPE	-0.007675171	-0.02355957	0.015777588
1560826753617	TYPE_ROTATION_VECTOR	0.08756919	0.09820122	0.18169735
1560826753617	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.81018	-22.200012	-197.77527
1560826753617	TYPE_GYROSCOPE_UNCALIBRATED	0.027160645	-0.02796936	-0.0053253174
1560826753637	TYPE_ACCELEROMETER	-1.7472076	2.375885	9.659485
1560826753637	TYPE_MAGNETIC_FIELD	12.70752	18.41278	-31.401062
1560826753637	TYPE_GYROSCOPE	0.040527344	-0.0033111572	0.0320282
1560826753637	TYPE_ROTATION_VECTOR	0.088691846	0.09902412	0.17996408
1560826753637	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.81018	-22.200012	-199.12567
1560826753637	TYPE_GYROSCOPE_UNCALIBRATED	-0.0029296875	-0.030899048	0.01651001
1560826753656	TYPE_ACCELEROMETER	-1.7532043	2.420166	9.487106
1560826753656	TYPE_MAGNETIC_FIELD	14.105225	18.41278	-30.05066
1560826753656	TYPE_GYROSCOPE	0.0410614	0.021194458	0.03656006
1560826753656	TYPE_ROTATION_VECTOR	0.090021245	0.0994942	0.17905296
1560826753656	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.207886	-22.200012	-197.77527
1560826753656	TYPE_GYROSCOPE_UNCALIBRATED	0.045272827	-0.010650635	0.03276062
1560826753676	TYPE_ACCELEROMETER	-1.6807861	2.3417664	9.570908
1560826753676	TYPE_MAGNETIC_FIELD	14.804077	20.49408	-30.725098
1560826753676	TYPE_GYROSCOPE	-0.010604858	-0.0035858154	0.044540405
1560826753676	TYPE_ROTATION_VECTOR	0.09137387	0.10029192	0.17861119
1560826753676	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.90674	-20.118713	-198.4497
1560826753676	TYPE_GYROSCOPE_UNCALIBRATED	0.045806885	0.0138549805	0.03729248
1560826753696	TYPE_ACCELEROMETER	-1.692749	2.3633118	9.799545
1560826753696	TYPE_MAGNETIC_FIELD	13.406372	17.718506	-30.05066
1560826753696	TYPE_GYROSCOPE	-0.020721436	-0.020355225	0.0317688
1560826753696	TYPE_ROTATION_VECTOR	0.09192637	0.100435205	0.17862554
1560826753696	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.509033	-22.894287	-197.77527
1560826753696	TYPE_GYROSCOPE_UNCALIBRATED	-0.005859375	-0.010925293	0.045272827
1560826753716	TYPE_ACCELEROMETER	-1.8447876	2.4363403	9.749878
1560826753716	TYPE_MAGNETIC_FIELD	15.501404	19.107056	-30.05066
1560826753716	TYPE_GYROSCOPE	0.017364502	-0.0259552	0.025894165
1560826753716	TYPE_ROTATION_VECTOR	0.093063146	0.10064135	0.17834921
1560826753716	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.604065	-21.505737	-197.77527
1560826753716	TYPE_GYROSCOPE_UNCALIBRATED	0.022109985	-0.033294678	0.026626587
1560826753736	TYPE_ACCELEROMETER	-1.8537598	2.4955902	9.370392
1560826753736	TYPE_MAGNETIC_FIELD	14.804077	18.41278	-30.05066
1560826753736	TYPE_GYROSCOPE	0.052246094	-0.033950806	0.0320282
1560826753736	TYPE_ROTATION_VECTOR	0.09447046	0.10109042	0.1778055
1560826753736	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.90674	-22.200012	-197.77527
1560826753736	TYPE_GYROSCOPE_UNCALIBRATED	0.056991577	-0.041290283	0.03276062
1560826753756	TYPE_ACCELEROMETER	-1.8178406	2.6380463	9.059143
1560826753756	TYPE_MAGNETIC_FIELD	12.70752	19.799805	-30.05066
1560826753756	TYPE_GYROSCOPE	0.02268982	-0.029418945	0.017654419
1560826753756	TYPE_ROTATION_VECTOR	0.09447046	0.10109042	0.1778055
1560826753756	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.81018	-20.812988	-197.77527
1560826753756	TYPE_GYROSCOPE_UNCALIBRATED	0.027435303	-0.036758423	0.01838684
1560826753776	TYPE_ACCELEROMETER	-1.8878784	2.8194122	8.897522
1560826753776	TYPE_MAGNETIC_FIELD	13.406372	19.107056	-30.725098
1560826753776	TYPE_GYROSCOPE	-0.0337677	-0.038726807	-0.00340271
1560826753776	TYPE_ROTATION_VECTOR	0.09603871	0.101523004	0.1764127
1560826753776	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.509033	-21.505737	-198.4497
1560826753776	TYPE_GYROSCOPE_UNCALIBRATED	-0.029022217	-0.046066284	-0.002670288
1560826753795	TYPE_ACCELEROMETER	-2.1350708	2.9828186	8.665298
1560826753795	TYPE_MAGNETIC_FIELD	14.105225	19.799805	-28.700256
1560826753795	TYPE_GYROSCOPE	-0.09661865	-0.043258667	-0.007659912
1560826753795	TYPE_ROTATION_VECTOR	0.097406305	0.10200584	0.17479275
1560826753795	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.207886	-20.812988	-196.42487
1560826753795	TYPE_GYROSCOPE_UNCALIBRATED	-0.09187317	-0.050598145	-0.0069274902
1560826753815	TYPE_ACCELEROMETER	-2.0716248	3.0935516	8.643738
