#	startTime:1560827895689
#	SiteID:5cd56b61e2acfd2d33b58d20	SiteName:1088广场	FloorId:5cd56b62e2acfd2d33b58ebe	FloorName:F2
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560827895690	TYPE_WAYPOINT	24.417543	9.947074
1560827895912	TYPE_ACCELEROMETER	-1.2875214	1.534317	9.922852
1560827895912	TYPE_MAGNETIC_FIELD	2.003479	20.233154	-28.227234
1560827895912	TYPE_GYROSCOPE	-0.056762695	-0.012649536	0.009841919
1560827895912	TYPE_ROTATION_VECTOR	0.078340225	0.063668735	-0.030909423
1560827895912	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.541138	-19.424438	-196.42487
1560827895912	TYPE_GYROSCOPE_UNCALIBRATED	-0.06391907	-0.028762817	0.0234375
1560827895932	TYPE_ACCELEROMETER	-1.4024506	1.5450897	9.816299
1560827895932	TYPE_MAGNETIC_FIELD	3.3996582	20.233154	-28.901672
1560827895932	TYPE_GYROSCOPE	-0.044509888	-0.013717651	2.593994E-4
1560827895932	TYPE_ROTATION_VECTOR	0.07825681	0.06436219	-0.03134895
1560827895932	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.937317	-19.424438	-197.0993
1560827895932	TYPE_GYROSCOPE_UNCALIBRATED	-0.05166626	-0.024505615	0.010116577
1560827895952	TYPE_ACCELEROMETER	-1.5592651	1.6025543	9.871368
1560827895952	TYPE_MAGNETIC_FIELD	2.7008057	18.844604	-27.552795
1560827895952	TYPE_GYROSCOPE	-0.045043945	0.017181396	7.9345703E-4
1560827895952	TYPE_ROTATION_VECTOR	0.07863596	0.066161536	-0.032895494
1560827895952	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.238464	-20.812988	-195.75043
1560827895952	TYPE_GYROSCOPE_UNCALIBRATED	-0.039413452	-0.02557373	5.340576E-4
1560827895972	TYPE_ACCELEROMETER	-1.4994202	1.5726166	9.83905
1560827895972	TYPE_MAGNETIC_FIELD	2.7008057	20.233154	-28.227234
1560827895972	TYPE_GYROSCOPE	-0.030136108	0.033691406	0.021560669
1560827895972	TYPE_ROTATION_VECTOR	0.07877225	0.067255385	-0.033278257
1560827895972	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.238464	-20.812988	-195.75043
1560827895972	TYPE_GYROSCOPE_UNCALIBRATED	-0.03994751	0.0053253174	0.0010681152
1560827895992	TYPE_ACCELEROMETER	-1.4431458	1.573822	9.675049
1560827895992	TYPE_MAGNETIC_FIELD	1.3046265	20.925903	-28.901672
1560827895992	TYPE_GYROSCOPE	-0.023742676	0.03955078	0.031143188
1560827895992	TYPE_ROTATION_VECTOR	0.079069115	0.06794368	-0.033525184
1560827895992	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.842285	-18.73169	-197.0993
1560827895992	TYPE_GYROSCOPE_UNCALIBRATED	-0.025039673	0.021835327	0.021835327
1560827896011	TYPE_ACCELEROMETER	-1.5137787	1.5642395	9.623566
1560827896011	TYPE_MAGNETIC_FIELD	3.3996582	21.620178	-30.92804
1560827896011	TYPE_GYROSCOPE	-0.054092407	0.017181396	0.039138794
1560827896011	TYPE_ROTATION_VECTOR	0.079069115	0.06794368	-0.033525184
1560827896011	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.842285	-18.73169	-197.0993
1560827896011	TYPE_GYROSCOPE_UNCALIBRATED	-0.01864624	0.027694702	0.031417847
1560827896031	TYPE_ACCELEROMETER	-1.3964691	1.5522766	9.816299
1560827896031	TYPE_MAGNETIC_FIELD	2.003479	18.844604	-28.901672
1560827896031	TYPE_GYROSCOPE	-0.071136475	-3.9672852E-4	0.05671692
1560827896031	TYPE_ROTATION_VECTOR	0.078504965	0.068607286	-0.032818347
1560827896031	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.541138	-20.812988	-197.0993
1560827896031	TYPE_GYROSCOPE_UNCALIBRATED	-0.04899597	0.0053253174	0.039413452
1560827896051	TYPE_ACCELEROMETER	-1.2851257	1.5331268	9.782776
