#	startTime:1560828272638
#	SiteID:5cd56b61e2acfd2d33b58d20	SiteName:1088广场	FloorId:5cd56b62e2acfd2d33b58ebe	FloorName:F2
#	Brand:OPPO	Model:OPPO R9s	AndroidName:6.0.1	APILevel:23	
#	type:1	name:BMI160 Accelerometer	version:2060500	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2060500	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560828272638	TYPE_WAYPOINT	39.112026	15.607937
1560828272870	TYPE_ACCELEROMETER	-1.289917	1.826416	10.279587
1560828272870	TYPE_MAGNETIC_FIELD	4.0985107	18.151855	-27.552795
1560828272870	TYPE_GYROSCOPE	0.13604736	0.15885925	0.074295044
1560828272870	TYPE_ROTATION_VECTOR	0.07866393	0.061617777	0.02443495
1560828272870	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.63617	-21.505737	-195.75043
1560828272870	TYPE_GYROSCOPE_UNCALIBRATED	0.1411438	0.14700317	0.0745697
1560828272890	TYPE_ACCELEROMETER	-1.1522522	1.7545776	10.067688
1560828272890	TYPE_MAGNETIC_FIELD	3.3996582	19.53888	-24.85199
1560828272890	TYPE_GYROSCOPE	0.19570923	0.20787048	0.13928223
1560828272890	TYPE_ROTATION_VECTOR	0.08130426	0.06265378	0.026774067
1560828272890	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.937317	-20.118713	-193.04962
1560828272890	TYPE_GYROSCOPE_UNCALIBRATED	0.20080566	0.1960144	0.13955688
1560828272910	TYPE_ACCELEROMETER	-0.8924866	1.7545776	9.333878
1560828272910	TYPE_MAGNETIC_FIELD	4.7973633	18.151855	-27.552795
1560828272910	TYPE_GYROSCOPE	0.15629578	0.08961487	0.1690979
1560828272910	TYPE_ROTATION_VECTOR	0.084065475	0.061475694	0.030875828
1560828272910	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.335022	-21.505737	-195.75043
1560828272910	TYPE_GYROSCOPE_UNCALIBRATED	0.16139221	0.07775879	0.16937256
1560828272930	TYPE_ACCELEROMETER	-1.0684509	1.815628	9.1124115
1560828272930	TYPE_MAGNETIC_FIELD	5.49469	19.53888	-25.527954
1560828272930	TYPE_GYROSCOPE	0.005554199	0.02357483	0.15579224
1560828272930	TYPE_ROTATION_VECTOR	0.08572429	0.061503462	0.03297722
1560828272930	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.032349	-20.118713	-193.72559
1560828272930	TYPE_GYROSCOPE_UNCALIBRATED	0.010650635	0.01171875	0.1560669
1560828272950	TYPE_ACCELEROMETER	-1.2959137	1.7138824	9.421265
1560828272950	TYPE_MAGNETIC_FIELD	5.49469	19.53888	-24.85199
1560828272950	TYPE_GYROSCOPE	-0.10417175	0.045944214	0.15791321
1560828272950	TYPE_ROTATION_VECTOR	0.0850772	0.06279061	0.03390351
1560828272950	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.032349	-20.118713	-193.04962
1560828272950	TYPE_GYROSCOPE_UNCALIBRATED	-0.09907532	0.034088135	0.15818787
1560828272969	TYPE_ACCELEROMETER	-1.0097961	1.5019989	9.603226
1560828272969	TYPE_MAGNETIC_FIELD	4.7973633	19.53888	-26.876831
1560828272969	TYPE_GYROSCOPE	-0.13825989	0.022506714	0.17974854
1560828272969	TYPE_ROTATION_VECTOR	0.08282462	0.061997827	0.036738005
1560828272969	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.335022	-20.118713	-195.07446
1560828272969	TYPE_GYROSCOPE_UNCALIBRATED	-0.13316345	0.010650635	0.1800232
1560828272989	TYPE_ACCELEROMETER	-0.6315155	1.3308105	9.79834
1560828272989	TYPE_MAGNETIC_FIELD	6.1935425	18.844604	-25.527954
1560828272989	TYPE_GYROSCOPE	-0.174469	-0.038742065	0.16323853
1560828272989	TYPE_ROTATION_VECTOR	0.08282462	0.061997827	0.036738005
1560828272989	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.731201	-20.812988	-193.72559
1560828272989	TYPE_GYROSCOPE_UNCALIBRATED	-0.13316345	0.010650635	0.1800232
1560828273009	TYPE_ACCELEROMETER	-0.42919922	1.1967316	9.71933
1560828273009	TYPE_MAGNETIC_FIELD	4.7973633	19.53888	-24.177551
1560828273009	TYPE_GYROSCOPE	-0.18565369	-0.0920105	0.10412598
1560828273009	TYPE_ROTATION_VECTOR	0.07602909	0.055173226	0.046031356
1560828273009	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.335022	-20.118713	-192.37518
1560828273009	TYPE_GYROSCOPE_UNCALIBRATED	-0.18055725	-0.10386658	0.104400635
1560828273029	TYPE_ACCELEROMETER	-0.23048401	1.257782	9.580475
1560828273029	TYPE_MAGNETIC_FIELD	4.7973633	18.844604	-26.202393
1560828273029	TYPE_GYROSCOPE	-0.21762085	-0.15751648	0.041809082
1560828273029	TYPE_ROTATION_VECTOR	0.07602909	0.055173226	0.046031356
1560828273029	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.335022	-20.812988	-194.40002
